"","SUBSTANCENAME","NONPROPRIETARYNAME","NDC_11","PHARM_CLASSES","PRODUCTNDC","NDCPACKAGECODE","PRODUCTID","PRODUCTTYPENAME","PROPRIETARYNAME","PROPRIETARYNAMESUFFIX","DOSAGEFORMNAME","ROUTENAME","STARTMARKETINGDATE","ENDMARKETINGDATE","MARKETINGCATEGORYNAME","APPLICATIONNUMBER","LABELERNAME","ACTIVE_NUMERATOR_STRENGTH","ACTIVE_INGRED_UNIT","DEASCHEDULE","NDC_EXCLUDE_FLAG","LISTING_RECORD_CERTIFIED_THROUGH"
"626","QUININE SULFATE","QUININE SULFATE","00220131041","Antimalarial [EPC]","0220-1310","0220-1310-41","0220-1310_09bf1e5f-9602-9b3b-e063-6294a90a3d92","HUMAN OTC DRUG","Chininum sulphuricum","","PELLET","ORAL","19830303","","UNAPPROVED HOMEOPATHIC","","Boiron","15","[hp_C]/15[hp_C]","","N","20251231"
"627","QUININE SULFATE","QUININE SULFATE","00220131141","Antimalarial [EPC]","0220-1311","0220-1311-41","0220-1311_fd64badf-0788-7fb1-e053-6294a90a3ab4","HUMAN OTC DRUG","Chininum sulphuricum","","PELLET","ORAL","19830303","","UNAPPROVED HOMEOPATHIC","","Boiron","30","[hp_C]/30[hp_C]","","N","20251231"
"628","QUININE SULFATE","QUININE SULFATE","00220131441","Antimalarial [EPC]","0220-1314","0220-1314-41","0220-1314_09bf01a1-7a37-609d-e063-6394a90a6408","HUMAN OTC DRUG","Chininum sulphuricum","","PELLET","ORAL","19830303","","UNAPPROVED HOMEOPATHIC","","Boiron","200","[kp_C]/200[kp_C]","","N","20251231"
"629","QUININE SALICYLATE","QUININE SALICYLATE","00220132141","Antimalarial [EPC]","0220-1321","0220-1321-41","0220-1321_1e68810b-fd42-a904-e063-6394a90a3741","HUMAN OTC DRUG","Chininum salicylicum","","PELLET","ORAL","19830303","","UNAPPROVED HOMEOPATHIC","","Boiron","30","[hp_C]/30[hp_C]","","N","20251231"
"630","QUININE SALICYLATE","QUININE SALICYLATE","00220132241","Antimalarial [EPC]","0220-1322","0220-1322-41","0220-1322_1e686478-1e59-36cf-e063-6294a90a929a","HUMAN OTC DRUG","Chininum salicylicum","","PELLET","ORAL","20240101","","UNAPPROVED HOMEOPATHIC","","Boiron","200","[kp_C]/200[kp_C]","","N","20251231"
"631","QUININE SULFATE","QUININE SULFATE","00220132541","Antimalarial [EPC]","0220-1325","0220-1325-41","0220-1325_09bf2450-da9d-ab38-e063-6294a90ab744","HUMAN OTC DRUG","Chininum sulphuricum","","PELLET","ORAL","19830303","","UNAPPROVED HOMEOPATHIC","","Boiron","6","[hp_C]/1","","N","20251231"
"632","METRONIDAZOLE","Metronidazole","00245086070","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","0245-0860","0245-0860-70","0245-0860_56d2d3bc-b54a-47d3-be98-732831279775","HUMAN PRESCRIPTION DRUG","Vandazole","","GEL","VAGINAL","20051004","","NDA","NDA021806","Upsher-Smith Laboratories, LLC","7.5","mg/g","","N","20251231"
"633","POSACONAZOLE","posaconazole","00254101636","Azole Antifungal [EPC], Azoles [CS]","0254-1016","0254-1016-36","0254-1016_13a71d11-5aa1-4d57-97a6-8a972103dbca","HUMAN PRESCRIPTION DRUG","POSACONAZOLE","","SUSPENSION","ORAL","20230329","","NDA AUTHORIZED GENERIC","NDA022003","ENDO USA, Inc.","40","mg/mL","","N","20251231"
"634","POSACONAZOLE","posaconazole","00254204502","Azole Antifungal [EPC], Azoles [CS]","0254-2045","0254-2045-02","0254-2045_13a71d11-5aa1-4d57-97a6-8a972103dbca","HUMAN PRESCRIPTION DRUG","POSACONAZOLE","","TABLET, COATED","ORAL","20190830","","NDA AUTHORIZED GENERIC","NDA205053","ENDO USA, Inc.","100","mg/1","","N","20251231"
"635","CEFAZOLIN SODIUM","Cefazolin Sodium","00264310311","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3103","0264-3103-11","0264-3103_fb2f076a-22b3-46e0-86c8-7678e89c9edf","HUMAN PRESCRIPTION DRUG","Cefazolin Sodium","","SOLUTION","INTRAVENOUS","20000727","","NDA","NDA050779","B. Braun Medical Inc.","1","g/50mL","","N","20261231"
"636","CEFAZOLIN SODIUM","Cefazolin Sodium","00264310511","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3105","0264-3105-11","0264-3105_fb2f076a-22b3-46e0-86c8-7678e89c9edf","HUMAN PRESCRIPTION DRUG","Cefazolin Sodium","","SOLUTION","INTRAVENOUS","20120113","","NDA","NDA050779","B. Braun Medical Inc.","2","g/50mL","","N","20261231"
"637","CEFAZOLIN SODIUM","Cefazolin Sodium","00264310711","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3107","0264-3107-11","0264-3107_fb2f076a-22b3-46e0-86c8-7678e89c9edf","HUMAN PRESCRIPTION DRUG","Cefazolin Sodium","","SOLUTION","INTRAVENOUS","20250310","","NDA","NDA050779","B. Braun Medical Inc.","3","g/50mL","","N","20261231"
"638","CEFUROXIME SODIUM","CEFUROXIME AND DEXTROSE","00264311211","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3112","0264-3112-11","0264-3112_6874a295-7ec7-4822-9d04-4dd9932b4546","HUMAN PRESCRIPTION DRUG","Cefuroxime and Dextrose","","INJECTION, SOLUTION","INTRAVENOUS","20010221","","NDA","NDA050780","B. Braun Medical Inc.","750","mg/50mL","","N","20251231"
"639","CEFUROXIME SODIUM","CEFUROXIME AND DEXTROSE","00264311411","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3114","0264-3114-11","0264-3114_6874a295-7ec7-4822-9d04-4dd9932b4546","HUMAN PRESCRIPTION DRUG","Cefuroxime and Dextrose","","INJECTION, SOLUTION","INTRAVENOUS","20010221","","NDA","NDA050780","B. Braun Medical Inc.","1.5","g/50mL","","N","20251231"
"640","CEFOXITIN SODIUM","CEFOXITIN SODIUM","00264312311","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3123","0264-3123-11","0264-3123_0cca0e6a-3047-4142-af33-d9b98efe85b1","HUMAN PRESCRIPTION DRUG","Cefoxitin and Dextrose","","INJECTION, SOLUTION","INTRAVENOUS","20060310","","NDA","NDA065214","B. Braun Medical Inc.","1","g/50mL","","N","20251231"
"641","CEFOXITIN SODIUM","CEFOXITIN SODIUM","00264312511","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3125","0264-3125-11","0264-3125_0cca0e6a-3047-4142-af33-d9b98efe85b1","HUMAN PRESCRIPTION DRUG","Cefoxitin and Dextrose","","INJECTION, SOLUTION","INTRAVENOUS","20060310","","NDA","NDA065214","B. Braun Medical Inc.","2","g/50mL","","N","20251231"
"642","CEFTRIAXONE SODIUM","CEFTRIAXONE","00264315311","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3153","0264-3153-11","0264-3153_05bf8d04-202d-472f-94b5-4f5d9020f0c7","HUMAN PRESCRIPTION DRUG","CEFTRIAXONE AND DEXTROSE","","INJECTION, SOLUTION","INTRAVENOUS","20050420","","NDA","NDA050796","B. Braun Medical Inc.","1","g/50mL","","N","20251231"
"643","CEFTRIAXONE SODIUM","CEFTRIAXONE","00264315511","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3155","0264-3155-11","0264-3155_05bf8d04-202d-472f-94b5-4f5d9020f0c7","HUMAN PRESCRIPTION DRUG","CEFTRIAXONE AND DEXTROSE","","INJECTION, SOLUTION","INTRAVENOUS","20050420","","NDA","NDA050796","B. Braun Medical Inc.","2","g/50mL","","N","20251231"
"644","MEROPENEM","Meropenem and Sodium Chloride","00264318311","Carbapenems [CS], Penem Antibacterial [EPC]","0264-3183","0264-3183-11","0264-3183_434f50bc-bc03-4001-9b23-cecb3d49a188","HUMAN PRESCRIPTION DRUG","Meropenem and Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20150430","","NDA","NDA202106","B. Braun Medical Inc.","500","mg/50mL","","N","20261231"
"645","MEROPENEM","Meropenem and Sodium Chloride","00264318511","Carbapenems [CS], Penem Antibacterial [EPC]","0264-3185","0264-3185-11","0264-3185_434f50bc-bc03-4001-9b23-cecb3d49a188","HUMAN PRESCRIPTION DRUG","Meropenem and Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20150430","","NDA","NDA202106","B. Braun Medical Inc.","1","g/50mL","","N","20261231"
"646","CEFEPIME HYDROCHLORIDE","CEFEPIME HYDROCHLORIDE","00264319311","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3193","0264-3193-11","0264-3193_afe666d5-84ec-45a7-ae00-c643b4eaeb35","HUMAN PRESCRIPTION DRUG","CEFEPIME HYDROCHLORIDE AND DEXTROSE","","INJECTION, SOLUTION","INTRAVENOUS","20100506","","NDA","NDA050821","B. Braun Medical Inc.","1","g/50mL","","N","20251231"
"647","CEFEPIME HYDROCHLORIDE","CEFEPIME HYDROCHLORIDE","00264319511","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0264-3195","0264-3195-11","0264-3195_afe666d5-84ec-45a7-ae00-c643b4eaeb35","HUMAN PRESCRIPTION DRUG","CEFEPIME HYDROCHLORIDE AND DEXTROSE","","INJECTION, SOLUTION","INTRAVENOUS","20100506","","NDA","NDA050821","B. Braun Medical Inc.","2","g/50mL","","N","20251231"
"648","PIPERACILLIN SODIUM; TAZOBACTAM SODIUM","Piperacillin and Tazobactam and Sodium Chloride","00264344611","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","0264-3446","0264-3446-11","0264-3446_665bf3ee-17b1-49dc-acfa-ed7fc2d82c8e","HUMAN PRESCRIPTION DRUG","Piperacillin and Tazobactam and Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20250620","","NDA","NDA206056","B. Braun Medical Inc.","2; 250","g/50mL; mg/50mL","","N","20261231"
"649","PIPERACILLIN SODIUM; TAZOBACTAM SODIUM","Piperacillin and Tazobactam and Sodium Chloride","00264344811","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","0264-3448","0264-3448-11","0264-3448_665bf3ee-17b1-49dc-acfa-ed7fc2d82c8e","HUMAN PRESCRIPTION DRUG","Piperacillin and Tazobactam and Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20250620","","NDA","NDA206056","B. Braun Medical Inc.","3; 375","g/50mL; mg/50mL","","N","20261231"
"650","PIPERACILLIN SODIUM; TAZOBACTAM SODIUM","Piperacillin and Tazobactam and Sodium Chloride","00264345022","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","0264-3450","0264-3450-22","0264-3450_665bf3ee-17b1-49dc-acfa-ed7fc2d82c8e","HUMAN PRESCRIPTION DRUG","Piperacillin and Tazobactam and Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20250620","","NDA","NDA206056","B. Braun Medical Inc.","4; 500","g/100mL; mg/100mL","","N","20261231"
"651","METRONIDAZOLE","METRONIDAZOLE","00264553532","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","0264-5535","0264-5535-32","0264-5535_ff10d27d-6a3a-45db-ae74-72ba2f442dd6","HUMAN PRESCRIPTION DRUG","METRONIDAZOLE","","SOLUTION","INTRAVENOUS","19830929","","NDA","NDA018900","B. Braun Medical Inc.","500","mg/100mL","","N","20261231"
"652","METRONIDAZOLE","metronidazole","00299382060","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","0299-3820","0299-3820-60","0299-3820_c61f8bdc-60b9-4292-a9de-d418c31e9ad7","HUMAN PRESCRIPTION DRUG","METROGEL","","GEL","TOPICAL","20050630","20260531","NDA","NDA021789","Galderma Laboratories, L.P.","10","mg/g","","N",""
"653","METRONIDAZOLE","metronidazole","00299383645","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","0299-3836","0299-3836-45","0299-3836_02c98a23-7923-4f37-b2e5-627e688f3e09","HUMAN PRESCRIPTION DRUG","MetroCream","","CREAM","TOPICAL","19950920","","NDA","NDA020531","Galderma Laboratories, L.P.","7.5","mg/g","","N","20251231"
"654","METRONIDAZOLE","metronidazole","00299383802","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","0299-3838","0299-3838-02","0299-3838_986498be-52fe-47ba-a639-5267a03e98bf","HUMAN PRESCRIPTION DRUG","MetroLotion","","LOTION","TOPICAL","19981124","","NDA","NDA020901","Galderma Laboratories, L.P.","7.5","mg/mL","","N","20251231"
"655","NYSTATIN","Nystatin Cream","00316022115","Polyene Antifungal [EPC], Polyenes [CS]","0316-0221","0316-0221-15","0316-0221_087c02ff-9dd7-4053-e063-6394a90a4937","HUMAN PRESCRIPTION DRUG","Nystatin Cream","","CREAM","TOPICAL","20171010","","ANDA","ANDA207733","Crown Laboratories","100000","[USP'U]/g","","N","20251231"
"656","NYSTATIN","Nystatin Cream","00316022130","Polyene Antifungal [EPC], Polyenes [CS]","0316-0221","0316-0221-30","0316-0221_087c02ff-9dd7-4053-e063-6394a90a4937","HUMAN PRESCRIPTION DRUG","Nystatin Cream","","CREAM","TOPICAL","20171010","","ANDA","ANDA207733","Crown Laboratories","100000","[USP'U]/g","","N","20251231"
"657","NYSTATIN; TRIAMCINOLONE ACETONIDE","Nystatin and Triamcinolone Acetonide","00316022330","Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Polyene Antifungal [EPC], Polyenes [CS]","0316-0223","0316-0223-30","0316-0223_087be530-68c1-bfaa-e063-6294a90ae1d3","HUMAN PRESCRIPTION DRUG","Nystatin and Triamcinolone Acetonide","","CREAM","TOPICAL","20180102","","ANDA","ANDA207730","Crown Laboratories","100000; 1","[USP'U]/g; mg/g","","N","20251231"
"658","NYSTATIN; TRIAMCINOLONE ACETONIDE","Nystatin and Triamcinolone Acetonide","00316022360","Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Polyene Antifungal [EPC], Polyenes [CS]","0316-0223","0316-0223-60","0316-0223_087be530-68c1-bfaa-e063-6294a90ae1d3","HUMAN PRESCRIPTION DRUG","Nystatin and Triamcinolone Acetonide","","CREAM","TOPICAL","20180102","","ANDA","ANDA207730","Crown Laboratories","100000; 1","[USP'U]/g; mg/g","","N","20251231"
"659","NYSTATIN; TRIAMCINOLONE ACETONIDE","Nystatin and Triamcinolone Acetonide","00316022315","Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Polyene Antifungal [EPC], Polyenes [CS]","0316-0223","0316-0223-15","0316-0223_087be530-68c1-bfaa-e063-6294a90ae1d3","HUMAN PRESCRIPTION DRUG","Nystatin and Triamcinolone Acetonide","","CREAM","TOPICAL","20180102","","ANDA","ANDA207730","Crown Laboratories","100000; 1","[USP'U]/g; mg/g","","N","20251231"
"660","MICONAZOLE NITRATE","MICONAZOLE NITRATE","00316022501","Azole Antifungal [EPC], Azoles [CS]","0316-0225","0316-0225-01","0316-0225_0c935646-fc62-0630-e063-6394a90acc57","HUMAN OTC DRUG","Desenex","","POWDER","TOPICAL","20090803","20250724","OTC MONOGRAPH DRUG","M005","Crown Laboratories","20","mg/g","","N",""
"661","MICONAZOLE NITRATE","MICONAZOLE NITRATE","00316022530","Azole Antifungal [EPC], Azoles [CS]","0316-0225","0316-0225-30","0316-0225_0c935646-fc62-0630-e063-6394a90acc57","HUMAN OTC DRUG","Desenex","","POWDER","TOPICAL","20090803","20250724","OTC MONOGRAPH DRUG","M005","Crown Laboratories","20","mg/g","","N",""
"662","MICONAZOLE NITRATE","MICONAZOLE NITRATE","00316022502","Azole Antifungal [EPC], Azoles [CS]","0316-0225","0316-0225-02","0316-0225_0c935646-fc62-0630-e063-6394a90acc57","HUMAN OTC DRUG","Desenex","","POWDER","TOPICAL","20090803","20250724","OTC MONOGRAPH DRUG","M005","Crown Laboratories","20","mg/g","","N",""
"663","MICONAZOLE NITRATE","Miconazole Nitrate","00316025501","Azole Antifungal [EPC], Azoles [CS]","0316-0255","0316-0255-01","0316-0255_3119e4da-1f2a-1404-e063-6294a90a7093","HUMAN OTC DRUG","Desenex Antifungal Foot Cream","","CREAM","TOPICAL","20250301","","OTC MONOGRAPH DRUG","M005","Crown Laboratories, Inc.","20","mg/g","","N","20261231"
"664","MICONAZOLE NITRATE","MICONAZOLE NITRATE","00316800001","Azole Antifungal [EPC], Azoles [CS]","0316-8000","0316-8000-01","0316-8000_09bb313e-90cb-5629-e063-6294a90ac268","HUMAN OTC DRUG","Zeasorb Athletes Foot","","POWDER","TOPICAL","20231019","","OTC MONOGRAPH DRUG","M005","Crown Laboratories","20","mg/g","","N","20251231"
"665","MICONAZOLE NITRATE","MICONAZOLE NITRATE","00316800102","Azole Antifungal [EPC], Azoles [CS]","0316-8001","0316-8001-02","0316-8001_09d088ef-aab3-5565-e063-6394a90af263","HUMAN OTC DRUG","Zeasorb Jock Itch","","POWDER","TOPICAL","20231019","","OTC MONOGRAPH DRUG","M005","Crown Laboratories","20","mg/g","","N","20251231"
"666","CEFAZOLIN SODIUM","Cefazolin Sodium","00338009606","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0338-0096","0338-0096-06","0338-0096_91298b84-e636-4b4d-8848-593964f9c8d5","HUMAN PRESCRIPTION DRUG","Cefazolin","","INJECTION, SOLUTION","INTRAVENOUS","20240531","","NDA","NDA207131","Baxter Healthcare Corporation","3","g/150mL","","N","20261231"
"667","VANCOMYCIN HYDROCHLORIDE","VANCOMYCIN HYDROCHLORIDE","00338012204","Glycopeptide Antibacterial [EPC], Glycopeptides [CS]","0338-0122","0338-0122-04","0338-0122_db8b59dd-edfd-4c37-b875-7e73f1f0bf35","HUMAN PRESCRIPTION DRUG","VANCOMYCIN HYDROCHLORIDE","","INJECTION, SOLUTION","INTRAVITREAL","19581114","","NDA","NDA050671","Baxter Healthcare Corporation","1.25","g/250mL","","N","20261231"
"668","VANCOMYCIN HYDROCHLORIDE","VANCOMYCIN HYDROCHLORIDE","00338012404","Glycopeptide Antibacterial [EPC], Glycopeptides [CS]","0338-0124","0338-0124-04","0338-0124_db8b59dd-edfd-4c37-b875-7e73f1f0bf35","HUMAN PRESCRIPTION DRUG","VANCOMYCIN HYDROCHLORIDE","","INJECTION, SOLUTION","INTRAVITREAL","19581114","","NDA","NDA050671","Baxter Healthcare Corporation","1.5","g/300mL","","N","20261231"
"669","GENTAMICIN SULFATE","Gentamicin Sulfate","00338050348","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]","0338-0503","0338-0503-48","0338-0503_1853c7b2-32b0-487c-9d3c-7e884858ac7b","HUMAN PRESCRIPTION DRUG","Gentamicin Sulfate in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","19820907","","ANDA","ANDA062373","Baxter Healthcare Corporation","80","mg/100mL","","N","20261231"
"670","GENTAMICIN SULFATE","Gentamicin Sulfate","00338050548","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]","0338-0505","0338-0505-48","0338-0505_1853c7b2-32b0-487c-9d3c-7e884858ac7b","HUMAN PRESCRIPTION DRUG","Gentamicin Sulfate in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","19820907","","ANDA","ANDA062373","Baxter Healthcare Corporation","100","mg/100mL","","N","20261231"
"671","GENTAMICIN SULFATE","Gentamicin Sulfate","00338050741","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]","0338-0507","0338-0507-41","0338-0507_1853c7b2-32b0-487c-9d3c-7e884858ac7b","HUMAN PRESCRIPTION DRUG","Gentamicin Sulfate in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","19820907","","ANDA","ANDA062373","Baxter Healthcare Corporation","60","mg/50mL","","N","20261231"
"672","GENTAMICIN SULFATE","Gentamicin Sulfate","00338050748","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]","0338-0507","0338-0507-48","0338-0507_1853c7b2-32b0-487c-9d3c-7e884858ac7b","HUMAN PRESCRIPTION DRUG","Gentamicin Sulfate in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","19820907","","ANDA","ANDA062373","Baxter Healthcare Corporation","60","mg/50mL","","N","20261231"
"673","GENTAMICIN SULFATE","Gentamicin Sulfate","00338050941","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]","0338-0509","0338-0509-41","0338-0509_1853c7b2-32b0-487c-9d3c-7e884858ac7b","HUMAN PRESCRIPTION DRUG","Gentamicin Sulfate in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","19820907","","ANDA","ANDA062373","Baxter Healthcare Corporation","80","mg/50mL","","N","20261231"
"674","GENTAMICIN SULFATE","Gentamicin Sulfate","00338051141","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]","0338-0511","0338-0511-41","0338-0511_1853c7b2-32b0-487c-9d3c-7e884858ac7b","HUMAN PRESCRIPTION DRUG","Gentamicin Sulfate in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","19820907","","ANDA","ANDA062373","Baxter Healthcare Corporation","100","mg/50mL","","N","20261231"
"675","DAPTOMYCIN","Daptomycin in Sodium Chloride","00338071224","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]","0338-0712","0338-0712-24","0338-0712_04d836cf-0428-4990-9c09-762c56b08942","HUMAN PRESCRIPTION DRUG","Daptomycin in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20220125","","NDA","NDA213645","Baxter Healthcare Corporation","350","mg/50mL","","N","20261231"
"676","DAPTOMYCIN","Daptomycin in Sodium Chloride","00338071424","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]","0338-0714","0338-0714-24","0338-0714_04d836cf-0428-4990-9c09-762c56b08942","HUMAN PRESCRIPTION DRUG","Daptomycin in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20220125","","NDA","NDA213645","Baxter Healthcare Corporation","500","mg/50mL","","N","20261231"
"677","DAPTOMYCIN","Daptomycin in Sodium Chloride","00338071612","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]","0338-0716","0338-0716-12","0338-0716_04d836cf-0428-4990-9c09-762c56b08942","HUMAN PRESCRIPTION DRUG","Daptomycin in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20220125","","NDA","NDA213645","Baxter Healthcare Corporation","700","mg/100mL","","N","20261231"
"678","DAPTOMYCIN","Daptomycin in Sodium Chloride","00338071812","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]","0338-0718","0338-0718-12","0338-0718_04d836cf-0428-4990-9c09-762c56b08942","HUMAN PRESCRIPTION DRUG","Daptomycin in Sodium Chloride","","INJECTION, SOLUTION","INTRAVENOUS","20220125","","NDA","NDA213645","Baxter Healthcare Corporation","1000","mg/100mL","","N","20261231"
"679","OXACILLIN SODIUM","OXACILLIN","00338101541","Penicillin-class Antibacterial [EPC], Penicillins [CS]","0338-1015","0338-1015-41","0338-1015_dc761dcc-7333-4b1c-90be-e9ec96e7b2aa","HUMAN PRESCRIPTION DRUG","OXACILLIN","","INJECTION, SOLUTION","INTRAVENOUS","19891026","","NDA","NDA050640","Baxter Healthcare Corporation","2","g/50mL","","N","20261231"
"680","NAFCILLIN SODIUM","NAFCILLIN","00338101948","Penicillin-class Antibacterial [EPC], Penicillins [CS]","0338-1019","0338-1019-48","0338-1019_ad3cc424-4e9f-49e8-b72b-6969ae6b16b8","HUMAN PRESCRIPTION DRUG","NAFCILLIN","","INJECTION, SOLUTION","INTRAVENOUS","19891031","","NDA","NDA050655","Baxter Healthcare Corporation","2","g/100mL","","N","20261231"
"681","PENICILLIN G POTASSIUM","PENICILLIN G","00338102141","Penicillin-class Antibacterial [EPC], Penicillins [CS]","0338-1021","0338-1021-41","0338-1021_b7e68f35-c49a-4137-841d-902b1b2b400a","HUMAN PRESCRIPTION DRUG","PENICILLIN G POTASSIUM","","INJECTION, SOLUTION","INTRAVENOUS","19900625","","NDA","NDA050638","Baxter Healthcare Corporation","1000000","[iU]/50mL","","N","20261231"
"682","PENICILLIN G POTASSIUM","PENICILLIN G","00338102341","Penicillin-class Antibacterial [EPC], Penicillins [CS]","0338-1023","0338-1023-41","0338-1023_b7e68f35-c49a-4137-841d-902b1b2b400a","HUMAN PRESCRIPTION DRUG","PENICILLIN G POTASSIUM","","INJECTION, SOLUTION","INTRAVENOUS","19900625","","NDA","NDA050638","Baxter Healthcare Corporation","2000000","[iU]/50mL","","N","20261231"
"683","PENICILLIN G POTASSIUM","PENICILLIN G","00338102541","Penicillin-class Antibacterial [EPC], Penicillins [CS]","0338-1025","0338-1025-41","0338-1025_b7e68f35-c49a-4137-841d-902b1b2b400a","HUMAN PRESCRIPTION DRUG","PENICILLIN G POTASSIUM","","INJECTION, SOLUTION","INTRAVENOUS","19900625","","NDA","NDA050638","Baxter Healthcare Corporation","3000000","[iU]/50mL","","N","20261231"
"684","METRONIDAZOLE","Metronidazole","00338105548","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","0338-1055","0338-1055-48","0338-1055_3e7d4d73-778e-4e49-bd5b-2c70c5c92488","HUMAN PRESCRIPTION DRUG","Metronidazole","","INJECTION, SOLUTION","INTRAVENOUS","19811224","","NDA","NDA018657","Baxter Healthcare Corporation","500","mg/100mL","","N","20261231"
"685","CEFEPIME HYDROCHLORIDE","cefepime","00338130148","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0338-1301","0338-1301-48","0338-1301_c5dbd51b-47b1-4a3b-9a8a-f73a91471bd7","HUMAN PRESCRIPTION DRUG","Cefepime","","INJECTION, SOLUTION","INTRAVENOUS","20080805","","NDA","NDA050817","Baxter Healthcare Company","1","g/50mL","","N","20261231"
"686","CEFEPIME HYDROCHLORIDE","cefepime","00338130141","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0338-1301","0338-1301-41","0338-1301_c5dbd51b-47b1-4a3b-9a8a-f73a91471bd7","HUMAN PRESCRIPTION DRUG","Cefepime","","INJECTION, SOLUTION","INTRAVENOUS","20080805","","NDA","NDA050817","Baxter Healthcare Company","1","g/50mL","","N","20261231"
"687","CLINDAMYCIN PHOSPHATE","Clindamycin phosphate","00338341024","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","0338-3410","0338-3410-24","0338-3410_9373fc85-1d70-4907-842a-ae9e2a3958b3","HUMAN PRESCRIPTION DRUG","Clindamycin phosphate","","INJECTION, SOLUTION","INTRAVENOUS","20170628","","ANDA","ANDA208084","Baxter Healthcare Company","300","mg/50mL","","N","20261231"
"688","CEFAZOLIN SODIUM","Cefazolin Sodium","00338350341","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0338-3503","0338-3503-41","0338-3503_91298b84-e636-4b4d-8848-593964f9c8d5","HUMAN PRESCRIPTION DRUG","Cefazolin","","INJECTION, SOLUTION","INTRAVENOUS","20150807","","NDA","NDA207131","Baxter Healthcare Corporation","1","g/50mL","","N","20261231"
"689","CEFAZOLIN SODIUM","Cefazolin Sodium","00338350841","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","0338-3508","0338-3508-41","0338-3508_91298b84-e636-4b4d-8848-593964f9c8d5","HUMAN PRESCRIPTION DRUG","Cefazolin","","INJECTION, SOLUTION","INTRAVENOUS","20150807","","NDA","NDA207131","Baxter Healthcare Corporation","2","g/100mL","","N","20261231"
