***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************																
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:														
08/02/2016	14:11:15	1169		6.5107	---	---	---	20	---	---	---	1018.23	55.569	---	---	---	23.349	---	---	---	188.75	---	---	---	5.234	---	---	---	
08/02/2016	14:11:16	1170		6.5076	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.355	---	---	---	188.78	---	---	---	5.223	---	---	---	
08/02/2016	14:11:17	1171		6.5063	---	---	---	20	---	---	---	1018.23	55.569	---	---	---	23.357	---	---	---	188.805	---	---	---	5.232	---	---	---	
08/02/2016	14:11:18	1172		6.5074	---	---	---	20	---	---	---	1018.24	55.569	---	---	---	23.355	---	---	---	188.83	---	---	---	5.224	---	---	---	
08/02/2016	14:11:19	1173		6.5058	---	---	---	20	---	---	---	1018.28	55.569	---	---	---	23.358	---	---	---	188.863	---	---	---	5.225	---	---	---	
08/02/2016	14:11:20	1174		6.5025	---	---	---	20	---	---	---	1018.27	55.569	---	---	---	23.364	---	---	---	188.878	---	---	---	5.233	---	---	---	
08/02/2016	14:11:21	1175		6.4962	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.376	---	---	---	188.893	---	---	---	5.207	---	---	---	
08/02/2016	14:11:22	1176		6.496	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.376	---	---	---	188.934	---	---	---	5.195	---	---	---	
08/02/2016	14:11:23	1177		6.4942	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.379	---	---	---	188.974	---	---	---	5.191	---	---	---	
08/02/2016	14:11:24	1178		6.4953	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.377	---	---	---	189.005	---	---	---	5.215	---	---	---	
08/02/2016	14:11:25	1179		6.4942	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.379	---	---	---	189.016	---	---	---	5.206	---	---	---	
08/02/2016	14:11:26	1180		6.4955	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.377	---	---	---	189.04	---	---	---	5.194	---	---	---	
08/02/2016	14:11:27	1181		6.4946	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.379	---	---	---	189.038	---	---	---	5.19	---	---	---	
08/02/2016	14:11:28	1182		6.4916	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.384	---	---	---	189.047	---	---	---	5.204	---	---	---	
08/02/2016	14:11:29	1183		6.4861	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.394	---	---	---	189.048	---	---	---	5.204	---	---	---	
08/02/2016	14:11:30	1184		6.4854	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.395	---	---	---	189.074	---	---	---	5.21	---	---	---	
08/02/2016	14:11:31	1185		6.4871	---	---	---	20	---	---	---	1018.23	55.569	---	---	---	23.392	---	---	---	189.112	---	---	---	5.224	---	---	---	
08/02/2016	14:11:32	1186		6.4876	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.391	---	---	---	189.16	---	---	---	5.22	---	---	---	
08/02/2016	14:11:33	1187		6.4845	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.397	---	---	---	189.203	---	---	---	5.202	---	---	---	
08/02/2016	14:11:34	1188		6.4836	---	---	---	20	---	---	---	1018.23	55.569	---	---	---	23.399	---	---	---	189.2	---	---	---	5.196	---	---	---	
08/02/2016	14:11:35	1189		6.4854	---	---	---	20	---	---	---	1018.23	55.569	---	---	---	23.395	---	---	---	189.214	---	---	---	5.197	---	---	---	
08/02/2016	14:11:36	1190		6.4851	---	---	---	20	---	---	---	1018.25	55.569	---	---	---	23.396	---	---	---	189.228	---	---	---	5.218	---	---	---	
08/02/2016	14:11:37	1191		6.4821	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.401	---	---	---	189.256	---	---	---	5.217	---	---	---	
08/02/2016	14:11:38	1192		6.4794	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.406	---	---	---	189.268	---	---	---	5.209	---	---	---	
08/02/2016	14:11:39	1193		6.4783	---	---	---	20	---	---	---	1018.17	55.569	---	---	---	23.408	---	---	---	189.279	---	---	---	5.188	---	---	---	
08/02/2016	14:11:40	1194		6.4777	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.409	---	---	---	189.298	---	---	---	5.198	---	---	---	
08/02/2016	14:11:41	1195		6.4755	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.413	---	---	---	189.319	---	---	---	5.206	---	---	---	
08/02/2016	14:11:42	1196		6.4744	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.415	---	---	---	189.361	---	---	---	5.219	---	---	---	
08/02/2016	14:11:43	1197		6.4723	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.419	---	---	---	189.398	---	---	---	5.217	---	---	---	
08/02/2016	14:11:44	1198		6.4706	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.422	---	---	---	189.419	---	---	---	5.208	---	---	---	
08/02/2016	14:11:45	1199		6.4668	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.429	---	---	---	189.444	---	---	---	5.191	---	---	---	
08/02/2016	14:11:46	1200		6.4662	---	---	---	20	---	---	---	1018.23	55.569	---	---	---	23.43	---	---	---	189.476	---	---	---	5.182	---	---	---	
08/02/2016	14:11:47	1201		6.4642	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.434	---	---	---	189.496	---	---	---	5.197	---	---	---	
08/02/2016	14:11:48	1202		6.4648	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.433	---	---	---	189.495	---	---	---	5.211	---	---	---	
08/02/2016	14:11:49	1203		6.4629	---	---	---	20	---	---	---	1018.15	55.569	---	---	---	23.436	---	---	---	189.512	---	---	---	5.218	---	---	---	
08/02/2016	14:11:50	1204		6.4602	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.441	---	---	---	189.539	---	---	---	5.207	---	---	---	
08/02/2016	14:11:51	1205		6.4586	---	---	---	20	---	---	---	1018.12	55.569	---	---	---	23.444	---	---	---	189.591	---	---	---	5.217	---	---	---	
08/02/2016	14:11:52	1206		6.4549	---	---	---	20	---	---	---	1018.14	55.569	---	---	---	23.451	---	---	---	189.628	---	---	---	5.198	---	---	---	
08/02/2016	14:11:53	1207		6.4548	---	---	---	20	---	---	---	1018.14	55.569	---	---	---	23.451	---	---	---	189.671	---	---	---	5.222	---	---	---	
08/02/2016	14:11:54	1208		6.452	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.456	---	---	---	189.688	---	---	---	5.228	---	---	---	
08/02/2016	14:11:55	1209		6.4524	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.456	---	---	---	189.694	---	---	---	5.229	---	---	---	
08/02/2016	14:11:56	1210		6.4507	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.459	---	---	---	189.696	---	---	---	5.213	---	---	---	
08/02/2016	14:11:57	1211		6.4528	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.455	---	---	---	189.711	---	---	---	5.19	---	---	---	
08/02/2016	14:11:58	1212		6.4519	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.457	---	---	---	189.735	---	---	---	5.216	---	---	---	
08/02/2016	14:11:59	1213		6.4524	---	---	---	20	---	---	---	1018.17	55.569	---	---	---	23.456	---	---	---	189.778	---	---	---	5.22	---	---	---	
08/02/2016	14:12:00	1214		6.4484	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.463	---	---	---	189.801	---	---	---	5.247	---	---	---	
08/02/2016	14:12:01	1215		6.4484	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.463	---	---	---	189.821	---	---	---	5.236	---	---	---	
08/02/2016	14:12:02	1216		6.4438	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.471	---	---	---	189.827	---	---	---	5.234	---	---	---	
08/02/2016	14:12:03	1217		6.4449	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.469	---	---	---	189.836	---	---	---	5.207	---	---	---	
08/02/2016	14:12:04	1218		6.4424	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.474	---	---	---	189.85	---	---	---	5.21	---	---	---	
08/02/2016	14:12:05	1219		6.442	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.475	---	---	---	189.882	---	---	---	5.232	---	---	---	
08/02/2016	14:12:06	1220		6.4366	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.485	---	---	---	189.917	---	---	---	5.243	---	---	---	
08/02/2016	14:12:07	1221		6.4357	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.486	---	---	---	189.977	---	---	---	5.24	---	---	---	
08/02/2016	14:12:08	1222		6.4333	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.491	---	---	---	189.978	---	---	---	5.233	---	---	---	
08/02/2016	14:12:09	1223		6.4333	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.491	---	---	---	190.013	---	---	---	5.226	---	---	---	
08/02/2016	14:12:10	1224		6.4304	---	---	---	20	---	---	---	1018.24	55.569	---	---	---	23.496	---	---	---	190.02	---	---	---	5.22	---	---	---	
08/02/2016	14:12:11	1225		6.4315	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.494	---	---	---	190.073	---	---	---	5.22	---	---	---	
08/02/2016	14:12:12	1226		6.4283	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.5	---	---	---	190.089	---	---	---	5.222	---	---	---	
08/02/2016	14:12:13	1227		6.4279	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.501	---	---	---	190.1	---	---	---	5.228	---	---	---	
08/02/2016	14:12:14	1228		6.4252	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.506	---	---	---	190.1	---	---	---	5.225	---	---	---	
08/02/2016	14:12:15	1229		6.4273	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.502	---	---	---	190.096	---	---	---	5.247	---	---	---	
08/02/2016	14:12:16	1230		6.4261	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.504	---	---	---	190.103	---	---	---	5.262	---	---	---	
08/02/2016	14:12:17	1231		6.4244	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.507	---	---	---	190.137	---	---	---	5.264	---	---	---	
08/02/2016	14:12:18	1232		6.4232	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.509	---	---	---	190.185	---	---	---	5.238	---	---	---	
08/02/2016	14:12:19	1233		6.4196	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.516	---	---	---	190.218	---	---	---	5.224	---	---	---	
08/02/2016	14:12:20	1234		6.4187	---	---	---	20	---	---	---	1018.23	55.569	---	---	---	23.518	---	---	---	190.226	---	---	---	5.201	---	---	---	
08/02/2016	14:12:21	1235		6.4183	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.518	---	---	---	190.239	---	---	---	5.214	---	---	---	
08/02/2016	14:12:22	1236		6.4194	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.516	---	---	---	190.266	---	---	---	5.222	---	---	---	
08/02/2016	14:12:23	1237		6.4185	---	---	---	20	---	---	---	1018.17	55.569	---	---	---	23.518	---	---	---	190.284	---	---	---	5.239	---	---	---	
08/02/2016	14:12:24	1238		6.412	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.53	---	---	---	190.298	---	---	---	5.221	---	---	---	
08/02/2016	14:12:25	1239		6.4092	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.535	---	---	---	190.318	---	---	---	5.224	---	---	---	
08/02/2016	14:12:26	1240		6.4058	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.541	---	---	---	190.348	---	---	---	5.236	---	---	---	
08/02/2016	14:12:27	1241		6.4076	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.538	---	---	---	190.363	---	---	---	5.246	---	---	---	
08/02/2016	14:12:28	1242		6.4065	---	---	---	20	---	---	---	1018.17	55.569	---	---	---	23.54	---	---	---	190.371	---	---	---	5.216	---	---	---	
08/02/2016	14:12:29	1243		6.4098	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.534	---	---	---	190.398	---	---	---	5.197	---	---	---	
08/02/2016	14:12:30	1244		6.4086	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.536	---	---	---	190.422	---	---	---	5.184	---	---	---	
08/02/2016	14:12:31	1245		6.4071	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.539	---	---	---	190.458	---	---	---	5.188	---	---	---	
08/02/2016	14:12:32	1246		6.4055	---	---	---	20	---	---	---	1018.24	55.569	---	---	---	23.542	---	---	---	190.465	---	---	---	5.18	---	---	---	
08/02/2016	14:12:33	1247		6.4008	---	---	---	20	---	---	---	1018.23	55.569	---	---	---	23.551	---	---	---	190.501	---	---	---	5.197	---	---	---	
08/02/2016	14:12:34	1248		6.4013	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.55	---	---	---	190.51	---	---	---	5.206	---	---	---	
08/02/2016	14:12:35	1249		6.3995	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.553	---	---	---	190.539	---	---	---	5.208	---	---	---	
08/02/2016	14:12:36	1250		6.4019	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.549	---	---	---	190.558	---	---	---	5.219	---	---	---	
08/02/2016	14:12:37	1251		6.3992	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.554	---	---	---	190.589	---	---	---	5.221	---	---	---	
08/02/2016	14:12:38	1252		6.3985	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.555	---	---	---	190.617	---	---	---	5.236	---	---	---	
08/02/2016	14:12:39	1253		6.3992	---	---	---	20	---	---	---	1018.17	55.569	---	---	---	23.554	---	---	---	190.648	---	---	---	5.232	---	---	---	
08/02/2016	14:12:40	1254		6.3963	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.559	---	---	---	190.671	---	---	---	5.234	---	---	---	
08/02/2016	14:12:41	1255		6.3913	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.568	---	---	---	190.688	---	---	---	5.217	---	---	---	
08/02/2016	14:12:42	1256		6.3889	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.573	---	---	---	190.696	---	---	---	5.201	---	---	---	
08/02/2016	14:12:43	1257		6.39	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.571	---	---	---	190.715	---	---	---	5.188	---	---	---	
08/02/2016	14:12:44	1258		6.3902	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.57	---	---	---	190.755	---	---	---	5.186	---	---	---	
08/02/2016	14:12:45	1259		6.3888	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.573	---	---	---	190.81	---	---	---	5.194	---	---	---	
08/02/2016	14:12:46	1260		6.3893	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.572	---	---	---	190.841	---	---	---	5.203	---	---	---	
08/02/2016	14:12:47	1261		6.389	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.573	---	---	---	190.87	---	---	---	5.215	---	---	---	
08/02/2016	14:12:48	1262		6.389	---	---	---	20	---	---	---	1018.17	55.569	---	---	---	23.573	---	---	---	190.869	---	---	---	5.215	---	---	---	
08/02/2016	14:12:49	1263		6.3848	---	---	---	20	---	---	---	1018.17	55.569	---	---	---	23.58	---	---	---	190.885	---	---	---	5.216	---	---	---	
08/02/2016	14:12:50	1264		6.3825	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.585	---	---	---	190.893	---	---	---	5.218	---	---	---	
08/02/2016	14:12:51	1265		6.3785	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.592	---	---	---	190.928	---	---	---	5.228	---	---	---	
08/02/2016	14:12:52	1266		6.376	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.597	---	---	---	190.946	---	---	---	5.238	---	---	---	
08/02/2016	14:12:53	1267		6.3751	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.598	---	---	---	190.958	---	---	---	5.227	---	---	---	
08/02/2016	14:12:54	1268		6.3742	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.6	---	---	---	190.96	---	---	---	5.222	---	---	---	
08/02/2016	14:12:55	1269.02		6.3724	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.603	---	---	---	190.995	---	---	---	5.211	---	---	---	
08/02/2016	14:12:56	1270		6.3688	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.61	---	---	---	191.046	---	---	---	5.203	---	---	---	
08/02/2016	14:12:57	1271		6.3658	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.616	---	---	---	191.097	---	---	---	5.201	---	---	---	
08/02/2016	14:12:58	1272		6.3642	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.619	---	---	---	191.127	---	---	---	5.208	---	---	---	
08/02/2016	14:12:59	1273		6.3637	---	---	---	20	---	---	---	1018.18	55.569	---	---	---	23.62	---	---	---	191.152	---	---	---	5.223	---	---	---	
08/02/2016	14:13:00	1274		6.361	---	---	---	20	---	---	---	1018.22	55.569	---	---	---	23.625	---	---	---	191.183	---	---	---	5.23	---	---	---	
08/02/2016	14:13:01	1275		6.3606	---	---	---	20	---	---	---	1018.24	55.569	---	---	---	23.625	---	---	---	191.224	---	---	---	5.231	---	---	---	
08/02/2016	14:13:02	1276		6.3594	---	---	---	20	---	---	---	1018.21	55.569	---	---	---	23.628	---	---	---	191.245	---	---	---	5.232	---	---	---	
08/02/2016	14:13:03	1277		6.3597	---	---	---	20	---	---	---	1018.2	55.569	---	---	---	23.627	---	---	---	191.266	---	---	---	5.218	---	---	---	
08/02/2016	14:13:04	1278		6.3581	---	---	---	20	---	---	---	1018.16	55.569	---	---	---	23.63	---	---	---	191.258	---	---	---	5.207	---	---	---	
08/02/2016	14:13:05	1279		6.3569	---	---	---	20	---	---	---	1018.19	55.569	---	---	---	23.632	---	---	---	191.268	---	---	---	5.204	---	---	---	
08/02/2016	14:13:06	1280		6.3542	---	---	---	20	---	---	---	1018.17	55.559	---	---	---	23.637	---	---	---	191.291	---	---	---	5.209	---	---	---	
08/02/2016	14:13:07	1281		6.3517	---	---	---	20	---	---	---	1018.17	55.548	---	---	---	23.642	---	---	---	191.326	---	---	---	5.213	---	---	---	
08/02/2016	14:13:08	1282		6.3495	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.646	---	---	---	191.359	---	---	---	5.21	---	---	---	
08/02/2016	14:13:09	1283		6.3481	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.649	---	---	---	191.376	---	---	---	5.214	---	---	---	
08/02/2016	14:13:10	1284		6.3452	---	---	---	20	---	---	---	1018.18	55.538	---	---	---	23.654	---	---	---	191.384	---	---	---	5.215	---	---	---	
08/02/2016	14:13:11	1285		6.3438	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.657	---	---	---	191.399	---	---	---	5.222	---	---	---	
08/02/2016	14:13:12	1286		6.3417	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.661	---	---	---	191.41	---	---	---	5.204	---	---	---	
08/02/2016	14:13:13	1287		6.3424	---	---	---	20	---	---	---	1018.14	55.538	---	---	---	23.659	---	---	---	191.446	---	---	---	5.197	---	---	---	
08/02/2016	14:13:14	1288		6.3417	---	---	---	20	---	---	---	1018.17	55.538	---	---	---	23.661	---	---	---	191.478	---	---	---	5.201	---	---	---	
08/02/2016	14:13:15	1289		6.3437	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.657	---	---	---	191.53	---	---	---	5.214	---	---	---	
08/02/2016	14:13:16	1290		6.3441	---	---	---	20	---	---	---	1018.18	55.538	---	---	---	23.656	---	---	---	191.573	---	---	---	5.214	---	---	---	
08/02/2016	14:13:17	1291		6.3433	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.658	---	---	---	191.582	---	---	---	5.207	---	---	---	
08/02/2016	14:13:18	1292		6.3426	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.659	---	---	---	191.585	---	---	---	5.207	---	---	---	
08/02/2016	14:13:19	1293		6.3412	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.662	---	---	---	191.597	---	---	---	5.225	---	---	---	
08/02/2016	14:13:20	1294		6.3389	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.666	---	---	---	191.641	---	---	---	5.221	---	---	---	
08/02/2016	14:13:21	1295		6.3378	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.668	---	---	---	191.659	---	---	---	5.21	---	---	---	
08/02/2016	14:13:22	1296		6.3366	---	---	---	20	---	---	---	1018.14	55.538	---	---	---	23.67	---	---	---	191.667	---	---	---	5.204	---	---	---	
08/02/2016	14:13:23	1297		6.3382	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.667	---	---	---	191.659	---	---	---	5.207	---	---	---	
08/02/2016	14:13:24	1298		6.3359	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.672	---	---	---	191.666	---	---	---	5.218	---	---	---	
08/02/2016	14:13:25	1299		6.3339	---	---	---	20	---	---	---	1018.17	55.538	---	---	---	23.675	---	---	---	191.698	---	---	---	5.204	---	---	---	
08/02/2016	14:13:26	1300		6.3301	---	---	---	20	---	---	---	1018.17	55.538	---	---	---	23.682	---	---	---	191.721	---	---	---	5.188	---	---	---	
08/02/2016	14:13:27	1301		6.325	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.692	---	---	---	191.739	---	---	---	5.178	---	---	---	
08/02/2016	14:13:28	1302		6.3244	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.693	---	---	---	191.758	---	---	---	5.181	---	---	---	
08/02/2016	14:13:29	1303		6.3236	---	---	---	20	---	---	---	1018.12	55.538	---	---	---	23.695	---	---	---	191.798	---	---	---	5.198	---	---	---	
08/02/2016	14:13:30	1304		6.3229	---	---	---	20	---	---	---	1018.14	55.538	---	---	---	23.696	---	---	---	191.828	---	---	---	5.205	---	---	---	
08/02/2016	14:13:31	1305		6.3196	---	---	---	20	---	---	---	1018.12	55.538	---	---	---	23.702	---	---	---	191.85	---	---	---	5.22	---	---	---	
08/02/2016	14:13:32	1306		6.3164	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.708	---	---	---	191.875	---	---	---	5.22	---	---	---	
08/02/2016	14:13:33	1307		6.312	---	---	---	20	---	---	---	1018.14	55.538	---	---	---	23.716	---	---	---	191.923	---	---	---	5.211	---	---	---	
08/02/2016	14:13:34	1308		6.3124	---	---	---	20	---	---	---	1018.16	55.538	---	---	---	23.716	---	---	---	191.944	---	---	---	5.197	---	---	---	
08/02/2016	14:13:35	1309		6.3133	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.714	---	---	---	191.963	---	---	---	5.2	---	---	---	
08/02/2016	14:13:36	1310		6.3188	---	---	---	20	---	---	---	1018.21	55.538	---	---	---	23.704	---	---	---	191.973	---	---	---	5.206	---	---	---	
08/02/2016	14:13:37	1311		6.3167	---	---	---	20	---	---	---	1018.2	55.538	---	---	---	23.708	---	---	---	191.991	---	---	---	5.189	---	---	---	
08/02/2016	14:13:38	1312		6.3133	---	---	---	20	---	---	---	1018.22	55.538	---	---	---	23.714	---	---	---	192.012	---	---	---	5.18	---	---	---	
08/02/2016	14:13:39	1313		6.311	---	---	---	20	---	---	---	1018.17	55.538	---	---	---	23.718	---	---	---	192.019	---	---	---	5.187	---	---	---	
08/02/2016	14:13:40	1314		6.3108	---	---	---	20	---	---	---	1018.15	55.538	---	---	---	23.719	---	---	---	192.028	---	---	---	5.212	---	---	---	
08/02/2016	14:13:41	1315		6.3113	---	---	---	20	---	---	---	1018.13	55.538	---	---	---	23.718	---	---	---	192.044	---	---	---	5.203	---	---	---	
08/02/2016	14:13:42	1316		6.3099	---	---	---	20	---	---	---	1018.18	55.538	---	---	---	23.72	---	---	---	192.069	---	---	---	5.206	---	---	---	
08/02/2016	14:13:43	1317		6.3083	---	---	---	20	---	---	---	1018.21	55.538	---	---	---	23.723	---	---	---	192.094	---	---	---	5.208	---	---	---	
08/02/2016	14:13:44	1318		6.3103	---	---	---	20	---	---	---	1018.22	55.538	---	---	---	23.72	---	---	---	192.118	---	---	---	5.212	---	---	---	
08/02/2016	14:13:45	1319		6.3073	---	---	---	20	---	---	---	1018.2	55.538	---	---	---	23.725	---	---	---	192.151	---	---	---	5.194	---	---	---	
08/02/2016	14:13:46	1320		6.3037	---	---	---	20	---	---	---	1018.19	55.528	---	---	---	23.732	---	---	---	192.177	---	---	---	5.197	---	---	---	
08/02/2016	14:13:47	1321		6.2966	---	---	---	20	---	---	---	1018.2	55.518	---	---	---	23.745	---	---	---	192.196	---	---	---	5.204	---	---	---	
08/02/2016	14:13:48	1322		6.2957	---	---	---	20	---	---	---	1018.19	55.508	---	---	---	23.747	---	---	---	192.211	---	---	---	5.219	---	---	---	
08/02/2016	14:13:49	1323		6.2954	---	---	---	20	---	---	---	1018.18	55.508	---	---	---	23.748	---	---	---	192.249	---	---	---	5.203	---	---	---	
08/02/2016	14:13:50	1324		6.2924	---	---	---	20	---	---	---	1018.2	55.508	---	---	---	23.753	---	---	---	192.284	---	---	---	5.194	---	---	---	
08/02/2016	14:13:51	1325		6.2905	---	---	---	20	---	---	---	1018.19	55.508	---	---	---	23.757	---	---	---	192.317	---	---	---	5.212	---	---	---	
08/02/2016	14:13:52	1326		6.2885	---	---	---	20	---	---	---	1018.19	55.508	---	---	---	23.761	---	---	---	192.331	---	---	---	5.218	---	---	---	
08/02/2016	14:13:53	1327		6.2887	---	---	---	20	---	---	---	1018.17	55.508	---	---	---	23.76	---	---	---	192.341	---	---	---	5.227	---	---	---	
08/02/2016	14:13:54	1328		6.2867	---	---	---	20	---	---	---	1018.18	55.508	---	---	---	23.764	---	---	---	192.356	---	---	---	5.191	---	---	---	
08/02/2016	14:13:55	1329		6.285	---	---	---	20	---	---	---	1018.18	55.508	---	---	---	23.767	---	---	---	192.406	---	---	---	5.189	---	---	---	
08/02/2016	14:13:56	1330		6.2848	---	---	---	20	---	---	---	1018.16	55.508	---	---	---	23.768	---	---	---	192.446	---	---	---	5.197	---	---	---	
08/02/2016	14:13:57	1331		6.2824	---	---	---	20	---	---	---	1018.16	55.508	---	---	---	23.772	---	---	---	192.481	---	---	---	5.208	---	---	---	
08/02/2016	14:13:58	1332		6.2815	---	---	---	20	---	---	---	1018.14	55.508	---	---	---	23.774	---	---	---	192.494	---	---	---	5.208	---	---	---	
08/02/2016	14:13:59	1333		6.2806	---	---	---	20	---	---	---	1018.15	55.508	---	---	---	23.776	---	---	---	192.526	---	---	---	5.192	---	---	---	
08/02/2016	14:14:00	1334		6.2827	---	---	---	20	---	---	---	1018.16	55.508	---	---	---	23.772	---	---	---	192.548	---	---	---	5.205	---	---	---	
08/02/2016	14:14:01	1335		6.2808	---	---	---	20	---	---	---	1018.18	55.508	---	---	---	23.775	---	---	---	192.548	---	---	---	5.213	---	---	---	
08/02/2016	14:14:02	1336		6.2792	---	---	---	20	---	---	---	1018.17	55.508	---	---	---	23.778	---	---	---	192.549	---	---	---	5.239	---	---	---	
08/02/2016	14:14:03	1337		6.2751	---	---	---	20	---	---	---	1018.14	55.508	---	---	---	23.786	---	---	---	192.587	---	---	---	5.23	---	---	---	
08/02/2016	14:14:04	1338		6.2718	---	---	---	20	---	---	---	1018.15	55.508	---	---	---	23.792	---	---	---	192.629	---	---	---	5.196	---	---	---	
08/02/2016	14:14:05	1339		6.2674	---	---	---	20	---	---	---	1018.16	55.508	---	---	---	23.801	---	---	---	192.641	---	---	---	5.158	---	---	---	
