Wreck ID;Strauss ID;Name;Parker Number;Sea area;Country;Region;Latitude;Longitude;Min depth;Max depth;Depth;Period;Dating;Earliest date;Latest date;Date range;Mid point of date range;Probability;Place of origin;Place of destination;Reference;Comments;Amphorae;Marble;Columns etc;Sarcophagi;Blocks;Marble type;Other cargo;Hull remains;Shipboard paraphernalia;Ship equipment;Estimated tonnage;Amphora type
209;349;Torre Sgarrata;1163;Central Mediterranean;Italy;South east of Taranto, Puglia;;;11;11;11m;Roman Imperial;late C2nd-early 3rd AD;180;205;;;;Thasos/Asia Minor;Rome?;"P. Throckmorton, National Geographic  135 (1969), 282-300; B. Booth, IJNA 13 (1984), 189-204.";;FALSK;SAND;FALSK;SAND;SAND;Eighteen roughed out sarcophagi and twenty-three large blocks and marble veneer weighing at least 160 tons, from Thasos. Alabaster from Asia Minor. Total tonnage possibly 250 tons.;;The ship’s length was at least 30m and the hull of Aleppo pine had been repaired with a patch. The spaces between the frames and planking were packed with twigs of tamarisk.;Tripolitanian and other amphorae, pottery, tile fragments, two glass vessels, a cuirass buckle and several coins including one of Commodus AD 180-192.;;;
210;340;Grado (Julia Felix);464;Adriatic;Italy;Near Aquileia, Veneto;45,71666;13,33333;15;15;15m;Roman Imperial;first half C2nd AD;117;150;;;;North Africa ?;Aquileia ?;"S. Picozzi Subacqueo 16 (1988) 46-50; R. Auriemma, MEFRA 112 (2000), 27-51; C. Beltrame and D. Gaddi, IJNA 34 (2005), 79-87; G. Lattanzi, Navi e Citta Sommerse (2007), 184-91; C. Beltrame, IJNA 36 (2007)138-147; JP Oleson and R. Stein, IJNA 36 (2007), 415-416; P. Dell'Amico, Archaeologia Maritima Mediterranea 7 (2010).                                               http://www.archeosub.it/news1999/news9911.htm#felix2                                                                                                                                       http://www.archeosub.it/news2000/news0007.htm";At least one layer of several types including Africano I, Tripolitanian, Coan, Dr.5 and Kapitän 1. They held garum and small pieces of fish that were perfectly preserved. Small amphorae of North-east Italy. It seems that all of the amphorae were being re-used to carry fish products. At least 600 in total, estimated 23-25 tons.;SAND;FALSK;FALSK;FALSK;FALSK;;"Bronze stands with lions’ paws and acanthus decoration. Glass, much of it waste glass, packed in a barrel which had disintegrated; some square bottles with the base mark C SALVI GRATI.";The ship is estimated 18m x 5m, lead sheathed and some of the frames are squared off. The right side of the ship is completely preserved and shows a mortise and tenon construction, with all the frames built from pine, while planking is either of pine or elm. Some strakes, of Alpine larch, are a repair made by patch-tenons. Presumably a short-haul trade ship? A bronze coin was found in the mast-step.;A dolium, common and African pottery. A box of fishing hooks. Some games including a die. Bronze figurine of Neptune.;A bronze steelyard-weight in the form of Minerva and a conical sounding lead. Many wooden elements of the rigging have been preserved including a large block with six pulleys and a bilge pump that are unique, as well as3 wooden toggles. An iron anchor.;24;
211;350;Punta Scifo A;965;Central Mediterranean;Italy;Near Crotone;;;;;4-7m;Roman Imperial;Early C 3rd AD;200;225;;;;Docimium/ Proconnesus;Rome;"P. Orsi, Notizie degli Scavi (1911), 18-24; N. Lamboglia, Rivisti di Studi Liguria 40 (1974), 155-91; P. Pensabene, IJNA 7 (1978), 105-18 and 233-4; Parker (1992), 965.";Unidentified broken amphorae.;SAND;SAND;SAND;FALSK;FALSK;Pavonazzetto and white marble from Docimium and grey-white marble from Proconnesus: columns, basins, blocks, capitals, bases, tables and a statuary group of Cupid and Psyche, some roughed out, some half-finished and some finished. Consular dates of AD 197 and 200 cut into some of the columns. 150 tons were raised from an area 50m x 50m, 3m thick and in 2 sections (cf Marzamemi A).;;Oak planking from a hull 30-35m long, with large iron nails and lighter planking of a lighter wood, maybe fir.;High quality shipboard items include bronze lamp with a base decorated with three dolphins. Plaques of slate and marble may have been samples to help with ordering.;;;
212;351;Torre Chianca;1153;Central Mediterranean;Italy;South east of Taranto, Puglia;40,26248;17,8569;6;6;6m;Roman Imperial;Mid C 3rd AD;225;275;;;;Euboea;Rome?;Unpublished, Parker (1992), 1153.                                                                                                                             http://www.archeomar.it/templates/archeomar/atlante/player_atlante_en.html               site 155, area 9;A shipwreck of Dr. 43 (AC 4) wine amphorae from Crete and marble columns.;SAND;SAND;SAND;FALSK;FALSK;Five marble columns, 8-9m long of cipollino, lying approximately 50cm apart, still in the original position in which they were transported. Another 2 are still buried in sand.;A lead seal marked with a Greek monogram and a star.;;;;;
213;352;San Pietro;1022;;Italy;South east of Taranto, Puglia;;;3;6;6m;Roman Imperial;first half C3rd AD;200;250;;;;Asia Minor;Rome?;"J.B. Ward-Perkins and P. Throckmorton, Archaeology 18 (1965), 201-9;  A. Alessio and A. Zaccaria, Atti del Congresso Nazionale di Archeologia Subacquea: Antium May-June 1996 (Bari, 1997), 211-234; R. Petriaggi et al, Archaeologia Maritima Mediterranea 7 (2010).";Amphora fragments.;SAND;SAND;FALSK;SAND;FALSK;Twenty-three half-finished sarcophagi,  some left double and some with lids in fine white, crystalline stone, maybe from Aphrodisias. Most of the shapes are rectangular, while nine are rounded at the ends. Total weight about 75 tons.;Tile fragments.;Two elm frames with square holes where iron nails had been, The ship may have been about 20-22m long, judging by the position of the marble.;;A lead ring and a sheet of lead.;75;
7252;0;Abbeville;4;;ZZ-Non-Mediterranean;;0;0;;;;;;-150;400;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7253;0;Alblasserdam;29;;ZZ-Non-Mediterranean;;0;0;;;;;;100;250;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7254;0;Ancenis;40;;ZZ-Non-Mediterranean;;0;0;;;;;;100;300;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7255;0;Avenches;63;;ZZ-Non-Mediterranean;;0;0;;;;;;100;200;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7256;0;Bevaix;102;;ZZ-Non-Mediterranean;;0;0;;;;;;182;190;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7257;0;Bevaix NE 1917;103;;ZZ-Non-Mediterranean;;0;0;;;;;;-39;-1;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7258;0;Bordeaux;108;;ZZ-Non-Mediterranean;;0;0;;;;;;161;161;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7259;0;Bruges;118;;ZZ-Non-Mediterranean;;0;0;;;;;;100;275;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7260;0;Cabo de Mar;121;;ZZ-Non-Mediterranean;;0;0;;;;;;1;300;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7261;0;Caen A;134;;ZZ-Non-Mediterranean;;0;0;;;;;;138;170;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7262;0;Caen B;135;;ZZ-Non-Mediterranean;;0;0;;;;;;-150;150;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7263;0;Canarias;168;;ZZ-Non-Mediterranean;;0;0;;;;;;200;300;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7264;0;Chantenay;295;;ZZ-Non-Mediterranean;;0;0;;;;;;-150;400;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7265;0;Chaudeney-sur-Moselle A;296;;ZZ-Non-Mediterranean;;0;0;;;;;;40;160;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7266;0;Chaudenay-sur-Moselle B;297;;ZZ-Non-Mediterranean;;0;0;;;;;;130;270;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7267;0;Cortegada;340;;ZZ-Non-Mediterranean;;0;0;;;;;;1;100;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7268;0;Cudrefin;342;;ZZ-Non-Mediterranean;;0;0;;;;;;-50;150;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7269;0;Druten;379;;ZZ-Non-Mediterranean;;0;0;;;;;;190;210;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7270;0;Fuenterrabia;430;;ZZ-Non-Mediterranean;;0;0;;;;;;100;150;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7271;0;Hardham;497;;ZZ-Non-Mediterranean;;0;0;;;;;;245;345;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7272;0;Herne Bay;502;;ZZ-Non-Mediterranean;;0;0;;;;;;55;85;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7273;0;Isle of Wight;521;;ZZ-Non-Mediterranean;;0;0;;;;;;1;100;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7274;0;Kapel Avazaath;533;;ZZ-Non-Mediterranean;;0;0;;;;;;100;160;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7275;0;Little Russel A;602;;ZZ-Non-Mediterranean;;0;0;;;;;;75;125;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7276;0;Little Russel B;603;;ZZ-Non-Mediterranean;;0;0;;;;;;1;75;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7277;0;London (Blackfriars);606;;ZZ-Non-Mediterranean;;0;0;;;;;;175;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7278;0;London (County Hall);607;;ZZ-Non-Mediterranean;;0;0;;;;;;296;300;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7279;0;London (New Guy's House);608;;ZZ-Non-Mediterranean;;0;0;;;;;;175;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7280;0;Mainz A;622;;ZZ-Non-Mediterranean;;0;0;;;;;;-30;100;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7281;0;Mainz B;623;;ZZ-Non-Mediterranean;;0;0;;;;;;406;410;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7282;0;Mainz C;624;;ZZ-Non-Mediterranean;;0;0;;;;;;406;410;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7283;0;Mainz D;625;;ZZ-Non-Mediterranean;;0;0;;;;;;406;410;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7284;0;Mainz E;626;;ZZ-Non-Mediterranean;;0;0;;;;;;406;410;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7285;0;Mainz F;627;;ZZ-Non-Mediterranean;;0;0;;;;;;406;410;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7286;0;Mainz G;628;;ZZ-Non-Mediterranean;;0;0;;;;;;406;410;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7287;0;Mainz H;629;;ZZ-Non-Mediterranean;;0;0;;;;;;81;125;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7288;0;Mainz J;630;;ZZ-Non-Mediterranean;;0;0;;;;;;75;125;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7289;0;Maresquel;651;;ZZ-Non-Mediterranean;;0;0;;;;;;100;200;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7290;0;Mersea;692;;ZZ-Non-Mediterranean;;0;0;;;;;;-150;400;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7291;0;Oberstimm A;751;;ZZ-Non-Mediterranean;;0;0;;;;;;100;125;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7292;0;Oberstimm B;752;;ZZ-Non-Mediterranean;;0;0;;;;;;100;125;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7293;0;Ooze Deep;763;;ZZ-Non-Mediterranean;;0;0;;;;;;65;105;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7294;0;Panxon;789;;ZZ-Non-Mediterranean;;0;0;;;;;;1;300;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7295;0;Ploumanac'h;838;;ZZ-Non-Mediterranean;;0;0;;;;;;200;400;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7296;0;Pommeroeul A;853;;ZZ-Non-Mediterranean;;0;0;;;;;;50;150;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7297;0;Pommeroeul B;854;;ZZ-Non-Mediterranean;;0;0;;;;;;50;150;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7298;0;Pommeroeul C;855;;ZZ-Non-Mediterranean;;0;0;;;;;;50;150;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7299;0;Pommeroeul D;856;;ZZ-Non-Mediterranean;;0;0;;;;;;50;150;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7300;0;Pommeroeul E;857;;ZZ-Non-Mediterranean;;0;0;;;;;;150;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7301;0;Pommeroeul F;858;;ZZ-Non-Mediterranean;;0;0;;;;;Unknown;;;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7302;0;Pudding-Pan Rock;908;;ZZ-Non-Mediterranean;;0;0;;;;;;175;200;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7303;0;Runcorn;997;;ZZ-Non-Mediterranean;;0;0;;;;;;80;90;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7304;0;Saint Peter Port;1007;;ZZ-Non-Mediterranean;;0;0;;;;;;280;290;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7305;0;Sanguinet;1028;;ZZ-Non-Mediterranean;;0;0;;;;;;125;175;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7307;0;Shiant Isalnds;1080;;ZZ-Non-Mediterranean;;0;0;;;;;;-150;400;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7308;0;Szazhalombatta;1126;;ZZ-Non-Mediterranean;;0;0;;;;;;1;200;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7309;0;Tours;1173;;ZZ-Non-Mediterranean;;0;0;;;;;;1;400;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7310;0;Vechten;1210;;ZZ-Non-Mediterranean;;0;0;;;;;;1;100;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7311;0;Vichy;1214;;ZZ-Non-Mediterranean;;0;0;;;;;;100;150;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7312;0;Wantzenau;1231;;ZZ-Non-Mediterranean;;0;0;;;;;;275;300;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7313;0;Woerden;1232;;ZZ-Non-Mediterranean;;0;0;;;;;;170;175;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7314;0;Yverdon A;1241;;ZZ-Non-Mediterranean;;0;0;;;;;;75;100;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7315;0;Yverdon B;1242;;ZZ-Non-Mediterranean;;0;0;;;;;;300;400;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7316;0;Zwammerdam A;1254;;ZZ-Non-Mediterranean;;0;0;;;;;;150;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7317;0;Zwammerdam B;1255;;ZZ-Non-Mediterranean;;0;0;;;;;;150;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7318;0;Zwammerdam C;1256;;ZZ-Non-Mediterranean;;0;0;;;;;;150;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7319;0;Zwammerdam D;1257;;ZZ-Non-Mediterranean;;0;0;;;;;;150;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7320;0;Zwammerdam E;1258;;ZZ-Non-Mediterranean;;0;0;;;;;;150;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;s;;;;
7321;0;Zwammerdam F;1259;;ZZ-Non-Mediterranean;;0;0;;;;;;150;225;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;i;;;;
7324;0;Palagruza B (Pupak Reef);775;Adriatic;Croatia;central Dalmatia;42,36666;16,33333;18;35;35m;Roman Imperial;late C1st AD;75;100;0;0;0;Spain - central/southern Italy;Adriatic/ further east?;"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 62; M . Jurisic in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192";A badly looted site of a cargo of amphorae and pottery.;SAND;FALSK;FALSK;FALSK;FALSK;;Pottery, numerous sherds of clay mortaria and, uniquely for the Adriatic,  chamber pots (lasanua). South Italic services of 'orlo bifido' dishes with plates/lids and Pompeian red ware plates were also found.;;A massive profiled bronze rod of indefinite function;;;
7325;0;Bumbiste;;Adriatic;Croatia;west side of Istria;44,8;13,9;10;40;40m;Roman Imperial;C1st-2nd AD;-30;200;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 4;Various scattered amphora sherds may signal a shipwreck.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;A lead anchor stock was found nearby may be part of the same site.;;
7326;0;Drazica;;Adriatic;Croatia;Velebit;44,7;14,8;30;30;30m;Roman Rep/Imperial;second half C1st BC;-50;-1;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 6;A contaminated and looted site;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7328;0;Cape Gradina;;Adriatic;Croatia;Bay of Rogoznica;43,5166;15,96667;30;30;30m;Roman Imperial;end C1st BC -C1st AD;-30;100;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000) no. 13;A possible shipwreck or simply solitary amphora finds.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7329;0;Greben S. islet;;Adriatic;Croatia;SW of Silba Island;44,31666;14,7;30;32;32m;Roman Republic/Imperial;C1st BC- C1st AD;-70;100;0;0;0;;;"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000) no. 15; S. Gluscevic, Archaeologia maritima mediterranea 6 (2009), 80-81";A cargo of Dr. 2-4 amphorae was found;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7330;0;Host B;;Adriatic;Croatia;central Dalmatia;43,06666;16,2;18;40;18-40m;Roman Imperial;C1st AD;1;100;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000) no. 18;A cargo of rare Dr 35-36 amphorae, allegedly as there are no illustrations.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7332;0;Jaz, islet;;Adriatic;Croatia;central Dalmatia;43,53333;15,93333;39;39;39m;Roman Rep/Imperial;second half C1st  BC;-50;-1;0;0;0;;;M. Jurisi?, Ancient Shipwrecks of the Adriatic (2000), no. 23;A possible shipwreck based on 2 amphorae and fragments and some corroded iron.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;Some corrided iron, possibly an anchor.;;
7333;0;Karantunic;;Adriatic;Croatia;northern Dalmatia;43;15,23333;42;42;42m;Roman Imperial;C1st AD;1;75;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 24;A cargo of amphorae, probably Dr 6A.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7335;0;Kopa;;Adriatic;Croatia;west side of Istria;44,8;13,86666;11;36;11-36m;Roman Imperial;late C1st BC - C1st AD;-25;75;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no.  28;A cargo of probable Dr 6A amphorae.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;A lead anchor stock was found nearby.;;
7336;0;Kopiste;;Adriatic;Croatia;central Dalmatia;42,73333;16,71666;15;48;48m;Roman Imperial;C1st AD;-25;75;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 29, and in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192;A cargo of amphorae that was well preserved on first inspection in 1993 but devestated by 1995.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7338;0;Krbar;;Adriatic;Croatia;central Dalmatia;43,88333;15,26666;12;12;12m;Roman;C1st-4th AD;1;400;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 32;A cargo of Dr 29(?) amphorae;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7339;0;Lirica;;Adriatic;Croatia;southern Dalmatia;42,86666;17,43333;45;45;45m;Roman Imperial;end C1st BC - 1st AD;-25;75;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 36;A cargo of Dr 6A amphorae;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7342;0;Mala Palagruza;;Adriatic;Croatia;central Dalmatia;42,38333;16,26666;25;25;25m;Roman Imperial;C1st AD;1;100;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 39;A heavily looted site of a dolia cargo.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;Remains of an iron anchor and a lead anchor stock.;;
7343;0;Mali Frasker;;Adriatic;Croatia;West Istria;44,81666;13,83333;20;20;20m;Roman Imperial;end C1st BC- 1st AD;-25;75;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 40;Dr 6A;SAND;FALSK;FALSK;FALSK;FALSK;;;;;A lead anchor stock.;;
7344;0;Mrcara;;Adriatic;Croatia;central Dalmatia;42,75;16,8;5;10;10m;Roman Imperial;C1st-2nd AD;1;200;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 47;;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7345;0;Parzanj;;Adriatic;Croatia;near Hvar;43,16666;16,31666;25;35;35m;Roman Imperial;C1st AD;1;96;0;0;0;Spain;;"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 53; M . Jurisic in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192";A completely looted wreck of mainly Spanish amphorae.;SAND;FALSK;FALSK;FALSK;FALSK;;Mortaria;;;A large amount of ballast stones indicate that the ship was partially empty when it sank.;;
7346;0;Pelegrin (cape);;Adriatic;Croatia;west of Hvar;43,18333;16,36666;18;30;18-30m;Roman Imperial;C1st-2nd AD;1;150;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 54;A totally looted site of amphorae and pottery.;SAND;FALSK;FALSK;FALSK;FALSK;;ECW -like pottery;;;;;
7347;0;Skolj od Volam;;Adriatic;Croatia;west side of Istria;44,8;13,86666;38;41;41m;Roma Imperial;C1st AD;1;100;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 74;;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7348;0;Supetar;;Adriatic;Croatia;southern Dalmatia;42,58333;18,2;30;30;30m;Roman Imperial;C1st-3rd AD;-30;200;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 66  and in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192;A dolia shipwreck although there are no hull remains.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7349;0;Supetric;;Adriatic;Croatia;southern Dalmatia;42,43333;18,43333;;;not known;Roman Imperial;C1st- 2nd AD;-30;200;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 69;A probable shipwreck of tegulae and imbrices.;FALSK;FALSK;FALSK;FALSK;FALSK;;A large quantity of tegulae and imbrices suggests a shipwreck.;;;;;
7350;0;Tijascica;;Adriatic;Croatia;central Dalmatia;43,66666;15,76666;32;40;40m;Roman Republic/Imperial;C1st BC;-60;-1;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 78;Only piles of fragments remain from this amphorae wreck.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;A lead anchor stock and an iron anchor stock were found nearby.;;
7354;0;Verudica;;Adriatic;Croatia;west side of Istria;44,83333;13,81666;14;35;35m;Roman Imperial;C1st AD;1;100;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 83;;SAND;FALSK;FALSK;FALSK;FALSK;;;;;A lead anchor stock was found nearby.;;
7355;0;Vratnicka;;Adriatic;Croatia;Mjlet Island;42,7;17,73333;6;25;6-25m;Roman Imperial;C1st AD;1;100;0;0;0;;;M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 90;A cargo of different-sized Dr 2-4 was found.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7377;0;Bay of Naousa;;;Greece;Paros;37,12295;25,22598;;;;;;-100;-1;0;0;0;;;Five wreck sites?;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7385;0;Ithaki 2;;Ionian;Greece;Between Ithaki and Cephalonia;37,98909;20,76965;60;60;60m;Roman Rep/Imp;C1st BC - 1st AD;-100;100;0;0;0;;;"www.norwinst.gr/Feltarbeid/Ithaki.htm (2000); K. Delaporta et al. IJNA 35 (2006), 79-87.";A cargo of several thousand amphorae froma ship estimated to have been 25m long.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7386;0;Ithaki 4;;Ionian;Greece;Between Ithaki and Cephalonia;37,98909;20,76965;;;deep;;;;;0;0;0;;;"www.norwinst.gr/Feltarbeid/Ithaki.htm (2000); K. Delaporta et al. IJNA 35 (2006), 79-87.";A cargo of lead ingots.;FALSK;FALSK;FALSK;FALSK;FALSK;;Lead ingots.;;;;;
7387;0;Ithaki 3;;Ionian;Greece;Between Ithaki and Cephalonia;37,98909;20,76965;;;;Roman Republic;C1st BC;-100;-1;0;0;0;;;"www.norwinst.gr/Feltarbeid/Ithaki.htm (2000); K. Delaporta et al. IJNA 35 (2006), 79-87.";A cargo of roof tiles.;FALSK;FALSK;FALSK;FALSK;FALSK;;Roof tiles.;;;;;
7407;0;Skerki Bank;;;International waters;;0;0;;;;;;355;400;0;0;0;;;McCann and Freed 1994;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
7410;0;Torre Flavia B;1158;;Italy;;0;0;25;25;;;Unknown;;;0;0;0;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;;;
