"Census Profile, 2021 Census of Population",,,,,,,,,,,,
,,,"Burnaby, City (CY) [Census subdivision], British Columbia",,"Coquitlam, City (CY) [Census subdivision], British Columbia",,"Port Moody, City (CY) [Census subdivision], British Columbia",,"West Vancouver, District municipality (DM) [Census subdivision], British Columbia",,"Maple Ridge, City (CY) [Census subdivision], British Columbia",
Class of worker including job permanency,"        Casual, seasonal or short-term position (less than 1 year)",,11765,,6630,,1610,,1775,,3340,
Class of worker including job permanency,    Self-employed,192,20350,,13350,,3140,,6975,,7750,
Occupation - Broad category - National Occupational Classification (NOC) 2021,Total - Labour force aged 15 years and over by occupation - Broad category - National Occupational Classification (NOC) 2021 - 25% sample data,193,137320,,81265,,19325,,19485,,49870,
Occupation - Broad category - National Occupational Classification (NOC) 2021,  Occupation - not applicable,190,3600,,2130,,390,,580,,905,
Occupation - Broad category - National Occupational Classification (NOC) 2021,  All occupations,191,133720,,79140,,18935,,18900,,48970,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    0 Legislative and senior management occupations,,1210,,975,,375,,1240,,540,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    1 Business, finance and administration occupations",,27230,,16085,,4015,,4530,,8310,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    2 Natural and applied sciences and related occupations,,17890,,9215,,2295,,1835,,3140,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    3 Health occupations,,9155,,5450,,1285,,1455,,3165,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    4 Occupations in education, law and social, community and government services",,13785,,9265,,2605,,2275,,6150,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    5 Occupations in art, culture, recreation and sport",,6515,,3175,,1170,,1470,,1670,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    6 Sales and service occupations,,34510,,20520,,4120,,4355,,11730,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    7 Trades, transport and equipment operators and related occupations",,18640,,11895,,2490,,1350,,11575,
Occupation - Broad category - National Occupational Classification (NOC) 2021,"    8 Natural resources, agriculture and related production occupations",,1025,,520,,145,,180,,955,
Occupation - Broad category - National Occupational Classification (NOC) 2021,    9 Occupations in manufacturing and utilities,,3755,,2035,,435,,210,,1735,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,Total - Labour force aged 15 years and over by industry - Sectors - North American Industry Classification System (NAICS) 2017 - 25% sample data,194,137320,,81265,,19325,,19485,,49870,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,  Industry - not applicable,190,3600,,2130,,390,,580,,905,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,  All industries,191,133720,,79140,,18935,,18900,,48970,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    11 Agriculture, forestry, fishing and hunting",,465,,240,,60,,80,,515,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    21 Mining, quarrying, and oil and gas extraction",,275,,215,,85,,180,,150,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    22 Utilities,,1030,,615,,190,,60,,320,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    23 Construction,,9805,,6805,,1470,,1065,,6300,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    31-33 Manufacturing,,7330,,4625,,980,,580,,3335,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    41 Wholesale trade,,5180,,3195,,745,,625,,2415,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    44-45 Retail trade,,15230,,9385,,1895,,1930,,5910,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    48-49 Transportation and warehousing,,6455,,3580,,735,,410,,2785,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    51 Information and cultural industries,,6345,,3030,,965,,565,,1325,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    52 Finance and insurance,,6960,,4190,,940,,1645,,1720,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    53 Real estate and rental and leasing,,3835,,2210,,510,,1500,,1070,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    54 Professional, scientific and technical services",,17000,,9155,,2555,,3420,,3015,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    55 Management of companies and enterprises,,390,,235,,90,,85,,145,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    56 Administrative and support, waste management and remediation services",,5670,,2785,,605,,610,,2225,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    61 Educational services,,9895,,6190,,1690,,1390,,3795,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    62 Health care and social assistance,,14725,,8740,,2180,,1940,,5665,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,"    71 Arts, entertainment and recreation",,2605,,1535,,540,,740,,985,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    72 Accommodation and food services,,9335,,5035,,810,,920,,2480,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    81 Other services (except public administration),,5830,,3435,,710,,645,,2170,
Industry - Sectors - North American Industry Classification System (NAICS) 2017,    91 Public administration,,5360,,3955,,1180,,515,,2660,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,198,124155,,73920,,17950,,17640,,46530,
Place of work status,  Worked at home,,36340,,20070,,6070,,7140,,8605,
Place of work status,  Worked outside Canada,,875,,490,,75,,290,,110,
Place of work status,  No fixed workplace address,,16145,,9710,,2115,,1665,,8525,
Place of work status,  Usual place of work,,70790,,43650,,9680,,8550,,29285,
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over with a usual place of work - 25% sample data,199,70790,,43650,,9680,,8550,,29285,
Commuting destination,  Commute within census subdivision (CSD) of residence,,26685,,12820,,1805,,3050,,11140,
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,43300,,30225,,7730,,5295,,16690,
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,575,,485,,120,,155,,1380,
Commuting destination,  Commute to a different province or territory,,220,,115,,30,,50,,75,
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,200,86940,,53360,,11800,,10215,,37810,
Main mode of commuting,"  Car, truck or van",,61745,,42780,,9500,,8135,,34075,
Main mode of commuting,"    Car, truck or van - as a driver",,56400,,39505,,8860,,7495,,31710,
Main mode of commuting,"    Car, truck or van - as a passenger",,5345,,3270,,645,,640,,2360,
Main mode of commuting,  Public transit,,18735,,6805,,1455,,710,,1700,
Main mode of commuting,  Walked,,4090,,2405,,430,,790,,1210,
Main mode of commuting,  Bicycle,,790,,255,,65,,170,,170,
Main mode of commuting,  Other method,,1575,,1120,,345,,395,,660,
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,201,86940,,53360,,11800,,10215,,37810,
Commuting duration,  Less than 15 minutes,,14165,,10720,,2300,,2810,,9015,
Commuting duration,  15 to 29 minutes,,30030,,16240,,3275,,4070,,9465,
Commuting duration,  30 to 44 minutes,,27530,,13850,,3390,,2060,,9100,
Commuting duration,  45 to 59 minutes,,8830,,6740,,1835,,775,,5265,
Commuting duration,  60 minutes and over,,6385,,5810,,1005,,505,,4965,
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,202,86940,,53360,,11800,,10215,,37810,
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,,4430,,3365,,610,,220,,4675,
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,,12615,,8630,,2070,,925,,7205,
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,,19200,,12225,,3165,,2115,,9430,
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,,19895,,11020,,2385,,2785,,6410,
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,,18470,,10500,,2040,,2995,,4410,
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,,12320,,7620,,1530,,1175,,5680,
,,,,,,,,,,,,
Symbols:,,,,,,,,,,,,
...,not applicable,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
1,2021 and 2016 population,,,,,,,,,,,
,Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment  some population counts of geographic areas are adjusted in order to ensure confidentiality.,,,,,,,,,,,
,The adjustment to counts of the total population for any dissemination block is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions.,,,,,,,,,,,
,,,,,,,,,,,,
2,Total private dwellings,,,,,,,,,,,
,Private dwelling refers to a separate set of living quarters with a private entrance either from outside the building or from a common hall  lobby  vestibule or stairway inside the building. The entrance to the dwelling must be one that can be used without passing through the living quarters of some other person or group of persons.,,,,,,,,,,,
,,,,,,,,,,,,
3,Private dwellings occupied by usual residents,,,,,,,,,,,
,A private dwelling occupied by usual residents refers to a private dwelling in which a person or a group of persons is permanently residing. Also included are private dwellings whose usual residents are temporarily absent on May 11  2021.,,,,,,,,,,,
,,,,,,,,,,,,
4,The category 'Movable dwelling' includes mobile homes and other movable dwellings such as houseboats  recreational vehicles and railroad cars.,,,,,,,,,,,
,,,,,,,,,,,,
6,There is no age restriction on children. Includes children living with a grandparent or grandparents without a parent present.,,,,,,,,,,,
,,,,,,,,,,,,
8,Multigenerational households represent all households where there is at least one person who is both the grandparent of a person in the household and the parent of another person in the same household. They also represent all households where there is at least one person who is both the child of a person in the household and the grandchild of another person in the same household. In previous censuses  multigenerational households were only created based on the former definition  not the latter. As a result  there may be small differences in counts for 2011 and 2016 in archived tables.,,,,,,,,,,,
,,,,,,,,,,,,
9,Excludes multigenerational households.,,,,,,,,,,,
,,,,,,,,,,,,
21,Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    *statistical units of social statistical programs such as persons  private households  census families and economic families;,,,,,,,,,,,,
,,,,,,,,,,,,
    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,,,,,,,,,,,,
,,,,,,,,,,,,
    *statistical units of farm statistical programs such as farm operator and farm family.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
,,,,,,,,,,,,
In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
,,,,,,,,,,,,
In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
,,,,,,,,,,,,
In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
,,,,,,,,,,,,
The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,,,,,,,,,,,,
,,,,,,,,,,,,
    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,,,,,,,,,,,,
,,,,,,,,,,,,
    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,,,,,,,,,,,,
,,,,,,,,,,,,
    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,,,,,,,,,,,,
,,,,,,,,,,,,
    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  COVID-19 benefits and Canada Pension Plan and Québec Pension Plan benefits and disability income.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Receipts excluded from this income definition are:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,,,,,,,,,,,,
,,,,,,,,,,,,
    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,,,,,,,,,,,,
,,,,,,,,,,,,
    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,,,,,,,,,,,,
,,,,,,,,,,,,
    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,
,,,,,,,,,,,,
22,After-tax income - After-tax income refers to total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,,,,,,,,,,,
,,,,,,,,,,,,
For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,
,,,,,,,,,,,,
26,Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    *statistical units of social statistical programs such as persons  private households  census families and economic families;,,,,,,,,,,,,
,,,,,,,,,,,,
    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,,,,,,,,,,,,
,,,,,,,,,,,,
    *statistical units of farm statistical programs such as farm operator and farm family.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
,,,,,,,,,,,,
In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
,,,,,,,,,,,,
In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
,,,,,,,,,,,,
In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
,,,,,,,,,,,,
The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,,,,,,,,,,,,
,,,,,,,,,,,,
    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,,,,,,,,,,,,
,,,,,,,,,,,,
    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,,,,,,,,,,,,
,,,,,,,,,,,,
    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,,,,,,,,,,,,
,,,,,,,,,,,,
    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  COVID-19 benefits and Canada Pension Plan and Québec Pension Plan benefits and disability income.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Receipts excluded from this income definition are:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,,,,,,,,,,,,
,,,,,,,,,,,,
    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,,,,,,,,,,,,
,,,,,,,,,,,,
    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,,,,,,,,,,,,
,,,,,,,,,,,,
    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,,,,,,,,,,,,
,,,,,,,,,,,,
For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,
,,,,,,,,,,,,
Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of households are calculated for all units  whether or not they had income.,,,,,,,,,,,,
,,,,,,,,,,,,
27,Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,,,,,,,,,,,
    *statistical units of social statistical programs such as persons  private households  census families and economic families;,,,,,,,,,,,,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,,,,,,,,,,,
,    *statistical units of farm statistical programs such as farm operator and farm family.,,,,,,,,,,,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,
In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,
The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,,,,,,,,,,,,
    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,,,,,,,,,,,,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,,,,,,,,,,,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,,,,,,,,,,,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,,,,,,,,,,,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  COVID-19 benefits and Canada Pension Plan and Québec Pension Plan benefits and disability income.,,,,,,,,,,,
,Receipts excluded from this income definition are:,,,,,,,,,,,
    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,,,,,,,,,,,,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,,,,,,,,,,,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,,,,,,,,,,,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,,,,,,,,,,,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,,,,,,,,,,,
For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,
Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of households are calculated for all units  whether or not they had income.,,,,,,,,,,,,
,,,,,,,,,,,,
33,Low-income status - The income situation of the statistical unit in relation to a specific low-income line in a reference year. Statistical units with income that is below the low-income line are considered to be in low income.,,,,,,,,,,,
,,,,,,,,,,,,
For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,
,,,,,,,,,,,,
Prior to the 2021 Census  the LIM thresholds and the LIM low income statistics were derived and reported for the population residing outside of the territories and off reserve only. It was based on the consideration that the income  prices and expenditure patterns could be quite different in the territories and on reserve  and thus  could make the interpretation of the LIM low-income statistics difficult.,,,,,,,,,,,,
,,,,,,,,,,,,
Since the 2016 Census  there were research studies that analyzed the feasibility of defining LIM thresholds that include the population living in the territories and on reserve  and examined the aspects that should be considered when interpreting low-income statistics based on this definition.  With the guidance and support of such research  the 2021 Census expanded the coverage of the LIM concept to all regions in Canada  making it the only low-income concept that is applicable to the population living in the territories and on reserve.,,,,,,,,,,,,
,,,,,,,,,,,,
Low-income measure  after tax (LIM-AT) - The Low-income measure  after tax  refers to a fixed percentage (50%) of median-adjusted after-tax income of private households. The household after-tax income is adjusted by an equivalence scale to take economies of scale into account. This adjustment for different household sizes reflects the fact that a household's needs increase  but at a decreasing rate  as the number of members increases.,,,,,,,,,,,,
,,,,,,,,,,,,
Using data from the 2021 Census of Population  the line applicable to a household is defined as half the Canadian median of the adjusted household after-tax income multiplied by the square root of household size. The median is determined based on all persons in private households where low-income concepts are applicable. Thresholds for specific household sizes are presented in Table 2.4 Low-income measures thresholds (LIM-AT and LIM-BT) for private households of Canada  2020  Dictionary  Census of Population  2021.,,,,,,,,,,,,
,,,,,,,,,,,,
When the unadjusted after-tax income of household pertaining to a person falls below the threshold applicable to the person based on household size  the person is considered to be in low income according to LIM-AT. Since the LIM-AT threshold and household income are unique within each household  low-income status based on LIM-AT can also be reported for households.,,,,,,,,,,,,
,,,,,,,,,,,,
Low-income cut-offs  after tax (LICO-AT) - The Low-income cut-offs  after tax refers to an income threshold  defined using 1992 expenditure data  below which economic families or persons not in economic families would likely have devoted a larger share of their after-tax income than average to the necessities of food  shelter and clothing. More specifically  the thresholds represented income levels at which these families or persons were expected to spend 20 percentage points or more of their after-tax income than average on food  shelter and clothing. These thresholds have been adjusted to current dollars using the all-items Consumer Price Index (CPI).,,,,,,,,,,,,
The LICO-AT has 35 cut-offs varying by seven family sizes and five different sizes of area of residence to account for economies of scale and potential differences in cost of living in communities of different sizes. These thresholds are presented in Table 2.5 Low-income cut-offs  after tax (LICO-AT - 1992 base) for economic families and persons not in economic families  2020  Dictionary  Census of Population  2021.,,,,,,,,,,,,
,,,,,,,,,,,,
When the after-tax income of an economic family member or a person not in an economic family falls below the threshold applicable to the person  the person is considered to be in low income according to LICO-AT. Since the LICO-AT threshold and family income are unique within each economic family  low-income status based on LICO-AT can also be reported for economic families.,,,,,,,,,,,,
,,,,,,,,,,,,
Prevalence of low income - The proportion or percentage of units whose income falls below a specified low-income line.,,,,,,,,,,,,
,,,,,,,,,,,,
34,Economic family after-tax income decile group - The economic family income decile group provides a rough ranking of the economic situation of a person based on his or her relative position in the Canadian distribution of the adjusted after-tax income of economic families for all persons in private households.,,,,,,,,,,,
,,,,,,,,,,,,
Using data from the 2021 Census of Population  the population in private households is sorted according to its adjusted after-tax family income and then divided into 10 equal groups each containing 10% of the population. The decile cut-points are the levels of adjusted after-tax family income that define the 10 groups.,,,,,,,,,,,,
,,,,,,,,,,,,
For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,
,,,,,,,,,,,,
35,The Gini coefficient  or Gini index  is a measure of inequality that indicates how equally income is distributed for a given population. It measures how much an income distribution deviates from perfect equality. Values of the Gini coefficient can range from 0 to 1. A value of 0 indicates that income is equally divided among the population  with all units receiving exactly the same amount of income. At the opposite extreme  a Gini coefficient of 1 denotes a perfectly unequal distribution  where one unit has all of the income in the economy. ,,,,,,,,,,,
,,,,,,,,,,,,
For the census  Gini coefficients are calculated for three types of adjusted household income?market income  total income and after tax income. Adjusted income is computed by dividing the household income by a factor equal to the square root of the household size (known as the equivalence scale). This adjustment for different household sizes takes into account economies of scale. It reflects the fact that the needs of a household increase  but at a decreasing rate  as the number of members increases.,,,,,,,,,,,,
 ,,,,,,,,,,,,
The P90/P10 ratio is a measure of inequality. It is the ratio of the 90th and the 10th percentile of the adjusted household after-tax income. The 90th percentile means 90% of the population has income that falls below this threshold. The 10th percentile means 10% of the population has income that falls below this threshold.,,,,,,,,,,,,
 ,,,,,,,,,,,,
44,Users should be aware that the estimates associated with this variable are more affected than most by the incomplete enumeration of certain reserves and settlements in the Census of Population.,,,,,,,,,,,
For more information on Indigenous variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Indigenous Peoples Reference Guide  Census of Population  2021 and the Indigenous Peoples Technical Report  Census of Population  2021.,,,,,,,,,,,,
,,,,,,,,,,,,
45,This category includes persons who identify as First Nations (North American Indian)  Métis and/or Inuk (Inuit) and/or those who report being Registered or Treaty Indians (that is  registered under the Indian Act of Canada)  and/or those who report having membership in a First Nation or Indian band.,,,,,,,,,,,
,,,,,,,,,,,,
46,This category includes persons who identify as only one Indigenous group  that is First Nations (North American Indian)  Métis or Inuk (Inuit).,,,,,,,,,,,
,,,,,,,,,,,,
47,This category includes persons who identify as any two or all three of the following: First Nations (North American Indian)  Métis and/or Inuk (Inuit).,,,,,,,,,,,
,,,,,,,,,,,,
48,This category includes persons who do not identify as First Nations (North American Indian)  Métis or Inuk (Inuit) but who report having Registered or Treaty Indian status and/or Membership in a First Nation or Indian band.,,,,,,,,,,,
,,,,,,,,,,,,
49,Registered or Treaty Indian status refers to whether or not a person is a Registered or Treaty Indian. Registered Indians are persons who are registered under the Indian Act of Canada. Treaty Indians are persons who belong to a First Nation or Indian band that signed a treaty with the Crown. Registered or Treaty Indians are sometimes also called Status Indians.,,,,,,,,,,,
,,,,,,,,,,,,
50,Tenure refers to whether the household owns or rents their private dwelling. The private dwelling may be situated on rented or leased land or be part of a condominium. A household is considered to own their dwelling if some member of the household owns the dwelling even if it is not fully paid for  for example if there is a mortgage or some other claim on it. A household is considered to rent their dwelling if no member of the household owns the dwelling. A household is considered to rent that dwelling even if the dwelling is provided without cash rent or at a reduced rent  or if the dwelling is part of a cooperative.,,,,,,,,,,,
For historical and statutory reasons  shelter occupancy on Indian reserves or settlements does not lend itself to the usual classification by standard tenure categories. Therefore  a special category  'dwelling provided by the local government  First Nation or Indian band ' has been created for census purposes.,,,,,,,,,,,,
,,,,,,,,,,,,
51,Condominium status refers to whether the private dwelling is part of a condominium development. A condominium is a residential complex in which dwellings are owned individually while land and common elements are held in joint ownership with others.,,,,,,,,,,,
,,,,,,,,,,,,
52,Bedrooms refers to rooms in a private dwelling that are designed mainly for sleeping purposes even if they are now used for other purposes  such as guest rooms and television rooms. Also included are rooms used as bedrooms now  even if they were not originally built as bedrooms  such as bedrooms in a finished basement. Bedrooms exclude rooms designed for another use during the day such as dining rooms and living rooms even if they may be used for sleeping purposes at night. By definition  one-room private dwellings such as bachelor or studio apartments have zero bedrooms.,,,,,,,,,,,
,,,,,,,,,,,,
53,Rooms refers to enclosed areas within a private dwelling which are finished and suitable for year round living. The number of rooms in a private dwelling includes kitchens  bedrooms and finished rooms in the attic or basement. The number of rooms in a private dwelling excludes bathrooms  halls  vestibules and rooms used solely for business purposes. Partially divided rooms are considered to be separate rooms if they are considered as such by the respondent (e.g.  L-shaped dining-room and living-room arrangements).,,,,,,,,,,,
,,,,,,,,,,,,
54,Number of persons per room - Refers to an indicator of the level of crowding in a private dwelling. It is calculated by dividing the number of persons in the household by the number of rooms in the dwelling.,,,,,,,,,,,
,,,,,,,,,,,,
55,Housing suitability refers to whether a private household is living in suitable accommodations according to the National Occupancy Standard (NOS); that is  whether the dwelling has enough bedrooms for the size and composition of the household. A household is deemed to be living in suitable accommodations if its dwelling has enough bedrooms  as calculated using the NOS.,,,,,,,,,,,
'Housing suitability' assesses the required number of bedrooms for a household based on the age  sex  and relationships among household members. An alternative variable  'persons per room ' considers all rooms in a private dwelling and the number of household members.,,,,,,,,,,,,
Housing suitability and the National Occupancy Standard (NOS) on which it is based were developed by Canada Mortgage and Housing Corporation (CMHC) through consultations with provincial housing agencies.,,,,,,,,,,,,
,,,,,,,,,,,,
56,Period of construction refers to the period in time during which the building or dwelling was originally constructed.,,,,,,,,,,,
This refers to the period in which the building was completed  not the time of any later remodeling  additions or conversions.,,,,,,,,,,,,
