especie,accepted_species,anexo,categoria,nombre_comun,accepted_name_author
Polylepis tarapacana,Polylepis tarapacana,I,VULNERABLE (VU),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua,",Phil.
Polylepis weberbaueri,Polylepis weberbaueri,I,VULNERABLE (VU),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua,",Pilg.
Cinchona calisaya,Cinchona calisaya,I,VULNERABLE (VU),Cascarilla,Wedd.
Manilkara bidentata,Manilkara bidentata,I,VULNERABLE (VU),"Árbol de la bola, quinilla roja, balata",NA
Jaltomata cajamarca,Jaltomata cajamarca,I,VULNERABLE (VU),Songorome,Mione
Jaltomata sagastegui,Jaltomata sagastegui,I,VULNERABLE (VU),Songorome,Mione
Jaltomata ventricosa,Jaltomata ventricosa,I,VULNERABLE (VU),Songorome,(Baker) Mione
Jaltomata weberbaueri,Jaltomata weberbaueri,I,VULNERABLE (VU),Cunqui,(Dammer) T. Mione & F. G. Coe
Physalis quillabambensis,Physalis quillabambensis,I,VULNERABLE (VU),NA,D. Medina
Solanum buesii,Solanum buesii,I,VULNERABLE (VU),NA,Vargas
Solanum bukasovii,Solanum bukasovii,I,VULNERABLE (VU),NA,Juz. ex Rybin
Solanum coelestispetalum,Solanum coelestispetalum,I,VULNERABLE (VU),NA,Vargas
Solanum huancabambese,Solanum huancabambense,I,VULNERABLE (VU),NA,Ochoa
Solanum hypacrarthrum,Solanum hypacrarthrum,I,VULNERABLE (VU),NA,Bitter
Solanum incahuasinum,Solanum incahuasinum,I,VULNERABLE (VU),NA,Ochoa
Solanum ingaefolium,Solanum ingaefolium,I,VULNERABLE (VU),NA,Ochoa
Solanum leptophyes,Solanum leptophyes,I,VULNERABLE (VU),NA,Bitter
Solanum lignicaule,Solanum lignicaule,I,VULNERABLE (VU),NA,Vargas
Solanum marinasense,Solanum marinasense,I,VULNERABLE (VU),NA,Vargas
Solanum megistacrolobum,Solanum megistacrolobum,I,VULNERABLE (VU),NA,Bitter
Solanum olmosense,Solanum olmosense,I,VULNERABLE (VU),NA,Ochoa
Solanum pillahuatense,Solanum pillahuatense,I,VULNERABLE (VU),NA,Vargas
Solanum plowmanii,Solanum plowmanii,I,VULNERABLE (VU),NA,S. Knapp
Solanum rachialatum,Solanum raquialatum,I,VULNERABLE (VU),NA,Ochoa
Solanum raphanifolium,Solanum raphanifolium,I,VULNERABLE (VU),NA,CÃ¡rdenas & Hawkes
Solanum simplicissimum,Solanum simplicissimum,I,VULNERABLE (VU),NA,Ochoa
Solanum sogarandinum,Solanum sogarandinum,I,VULNERABLE (VU),NA,Ochoa
Solanum sparsipilum,Solanum sparsipilum,I,VULNERABLE (VU),Atockpa papan,(Bitter) Juz. & Bukasov
Solanum taulisense,Solanum taulisense,I,VULNERABLE (VU),NA,Ochoa
Solanum urubambae,Solanum urubambae,I,VULNERABLE (VU),NA,Juz.
Solanum wittmackii,Solanum wittmackii,I,VULNERABLE (VU),NA,Bitter
Tropaeolum ferreyrae,Tropaeolum ferreyrae,I,VULNERABLE (VU),NA,Sparre
Tropaeolum fintelmannii,Tropaeolum fintelmannii,I,VULNERABLE (VU),NA,(Mansf.) Sparre
Tropaeolum seemannii,Tropaeolum seemannii,I,VULNERABLE (VU),Kita añu,Buchenau
Valeriana comosa,Valeriana comosa,I,VULNERABLE (VU),NA,B. Eriksen
Valeriana nivalis,Valeriana nivalis,I,VULNERABLE (VU),NA,Wedd.
Avicennia germinans,Avicennia germinans,I,VULNERABLE (VU),"Jelí salado, mangle, mangle prieto",(L.) L.
Junellia arequipense,Mulguraea arequipensis,I,VULNERABLE (VU),NA,(Botta) N. O'Leary & P. Peralta
Iresine weberbaueri,Iresine weberbaueri,I,CASI AMENAZADO (NT),NA,Suess.
Amaryllis condemaita,Hippeastrum condemaita,I,CASI AMENAZADO (NT),NA,(Vargas) Meerow
Stenomesson pearcei,Stenomesson pearcei,I,CASI AMENAZADO (NT),NA,Baker
Guatteria augusti,Guatteria hirsuta,I,CASI AMENAZADO (NT),NA,Ruiz & Pav.
Eremocharis triradiata,Eremocharis triradiata,I,CASI AMENAZADO (NT),Supay-ccarcco,(H. Wolff) I.M. Johnst.
Thevetia peruviana,Thevetia peruviana,I,CASI AMENAZADO (NT),"Bellaquillo, ischacapa, maichill, siàtica",(Pers.) K. Schum.
Dracontium amazonense,Dracontium amazonense,I,CASI AMENAZADO (NT),NA,G.H. Zhu & Croat
Dracontium angustispathum,Dracontium angustispathum,I,CASI AMENAZADO (NT),NA,G.H. Zhu & Croat
Dracontium asperispathum,Dracontium asperispathum,I,CASI AMENAZADO (NT),NA,G.H. Zhu & Croat
Dracontium grandispathum,Dracontium grandispathum,I,CASI AMENAZADO (NT),NA,G.H. Zhu & Croat
Dracontium peruvianum,Dracontium peruvianum,I,CASI AMENAZADO (NT),NA,G.H. Zhu & Croat
Dracontium plowmanii,Dracontium plowmanii,I,CASI AMENAZADO (NT),NA,G.H. Zhu & Croat
Dracontium spruceanum,Dracontium spruceanum,I,CASI AMENAZADO (NT),NA,(Schott) G.H. Zhu
Aiphanes deltoidea,Aiphanes deltoidea,I,CASI AMENAZADO (NT),"Aifana, chica-chica, chiqui-chiqui",Burret
Astrocaryum huicungo,Astrocaryum huicungo,I,CASI AMENAZADO (NT),Huicungo,Dammer ex Burret
Ceroxylum verriculosum,Ceroxylon vogelianum,I,CASI AMENAZADO (NT),NA,(Engel) H. Wendl.
Geonoma marggraffia,Geonoma orbignyana,I,CASI AMENAZADO (NT),NA,Mart.
Geonoma undata,Geonoma undata,I,CASI AMENAZADO (NT),NA,Klotzsch
Aristolochia killipiana,Aristolochia killipiana,I,CASI AMENAZADO (NT),NA,O.C. Schmidt
Aristolochia andahuaylensis,Aristolochia weberbaueri,I,CASI AMENAZADO (NT),NA,O.C.Schmidt
Aristolochia chachapoyensis,Aristolochia chachapoyensis,I,CASI AMENAZADO (NT),NA,Ahumada
Baccharis genistelloides,Baccharis genistelloides,I,CASI AMENAZADO (NT),"Callua callua, cuchu-cuchu, karkeja, quimsa-kuchu",(Lam.) Pers.
Chuquiraga jussieui,Chuquiraga jussieui,I,CASI AMENAZADO (NT),NA,J.F. Gmel.
Chuquiraga rotundifolia,Chuquiraga rotundifolia,I,CASI AMENAZADO (NT),NA,Wedd.
Chuquiraga spinosa,Chuquiraga spinosa,I,CASI AMENAZADO (NT),"Huamanpinta, huancaspita, jari-jaraj, laulinco, llaulli",Less.
Mikania guaco,Mikania guaco,I,CASI AMENAZADO (NT),"Guaco, huaco, huanchohuisacha",Bonpl.
Monactis macbridei,Monactis macbridei,I,CASI AMENAZADO (NT),Churguis,H. Rob.
Munnozia sagasteguii,Munnozia sagasteguii,I,CASI AMENAZADO (NT),NA,H. Rob.
Mutisia acuminata,Mutisia acuminata,I,CASI AMENAZADO (NT),"Chinchilcuma, chinchircuma",(Meyen) Cabrera
Viguiera weberbaueri,Viguiera weberbaueri,I,CASI AMENAZADO (NT),NA,S.F. Blake
Mansoa alliacea,Mansoa alliacea,I,CASI AMENAZADO (NT),"Ajosacha, ajo macho, sacha ajo",(Lam.) A.H. Gentry
Mansoa hymenaea,Mansoa hymenaea,I,CASI AMENAZADO (NT),"Ajosacha, sacha ajo, vova",(DC.) A.H. Gentry
Mansoa standleyi,Mansoa standleyi,I,CASI AMENAZADO (NT),"Ajosacha, ajo macho",(Steyerm.) A.H. Gentry
Martinella obovata,Martinella obovata,I,CASI AMENAZADO (NT),Yuquilla,(Kunth) Bureau & K. Schum.
Tecoma sambucifolia,Tecoma sambucifolia,I,CASI AMENAZADO (NT),"Huaranhua, huaruma (o), huaranhui",Kunth
Tecoma stans,Tecoma stans,I,CASI AMENAZADO (NT),Huaranhua,DC.
Ceiba pentandra,Ceiba pentandra,I,CASI AMENAZADO (NT),"Ceiba, huimba, lupina, lupuna",(L.) Gaertn.
Ceiba salmonea,Ceiba salmonea,I,CASI AMENAZADO (NT),NA,(Ulbr.) Bakh.
Chorisia integrifolia,Ceiba insignis,I,CASI AMENAZADO (NT),"Huimba colorada, lupuna",(Kunth) P.E. Gibbs & Semir
Maytenus macrocarpa,Maytenus macrocarpa,I,CASI AMENAZADO (NT),"Chuchuhuasi(a), chocha huasha",(Ruiz & Pav.) Briq.
Columellia oblonga,Columellia oblonga,I,CASI AMENAZADO (NT),"Ollus, ulux, ullux, usllus, vara",Ruiz & Pav.
Columellia obovata,Columellia obovata,I,CASI AMENAZADO (NT),"Ollus, ulux, ullux, usllus, vara",Ruiz & Pav.
Ephedra americana,Ephedra americana,I,CASI AMENAZADO (NT),"Cola de caballo, pinco pinco, suelda con suelda",Humb. & Bonpl. ex Willd.
Croton draconoides,Croton draconoides,I,CASI AMENAZADO (NT),"Sangre de drago, sangre de grado",Müll.Arg.
Croton erythrochilus,Croton erythrochilus,I,CASI AMENAZADO (NT),"Sangre de drago, sangre de grado",Müll.Arg.
Croton palanostigma,Croton palanostigma,I,CASI AMENAZADO (NT),"Sangre de drago, sangre de grado",Klotzsch
Croton perspeciosus,Croton perspeciosus,I,CASI AMENAZADO (NT),"Sangre de drago, sangre de grado",Croizat
Croton sampatik,Croton sampatik,I,CASI AMENAZADO (NT),"Sangre de drago, sangre de grado",Müll.Arg.
Acacia farnesiana,Vachellia farnesiana,I,CASI AMENAZADO (NT),"Flor de aroma, huaranga (o), pashaco",(L.) Wight & Arn.
Acacia huarango,Vachellia aroma,I,CASI AMENAZADO (NT),"Huarango, guarango",(Gillies ex Hook. & Arn.) Seigler & Ebinger
Acacia macracantha,Vachellia macracantha,I,CASI AMENAZADO (NT),"Espina(o), faique, huarango, taque, huaranjay",(Humb. & Bonpl. ex Willd.) Seigler & Ebinger
Apurimacia boliviana,Apurimacia boliviana,I,CASI AMENAZADO (NT),NA,(Britton) Lavin
Desmodium molliculum,Desmodium molliculum,I,CASI AMENAZADO (NT),Manayupa,(Kunth) DC.
Lonchocarpus nicou,Lonchocarpus nicou,I,CASI AMENAZADO (NT),"Barbasco, cube, coñapi, kumu",(Aubl.) DC.
Escallonia herrerae,Escallonia herrerae,I,CASI AMENAZADO (NT),"Pauca, fauca, pfauca",Mattf.
Eleutherine bulbosa,Eleutherine bulbosa,I,CASI AMENAZADO (NT),"Pacahuasten, yahuar piri-piri",(Mill.) Urb.
Hesperoxiphion niveum,Hesperoxiphion niveum,I,CASI AMENAZADO (NT),NA,(Ravenna) Ravenna
Hesperoxiphion pardale,Hesperoxiphion pardale,I,CASI AMENAZADO (NT),NA,(Ravenna) Ravenna
Tigridia pavonia,Tigridia pavonia,I,CASI AMENAZADO (NT),NA,(L. f.) DC.
Juglans neotropica,Juglans neotropica,I,CASI AMENAZADO (NT),"Nogal, nogal del país",Diels
Salvia dombeyi,Salvia dombeyi,I,CASI AMENAZADO (NT),"Cheuchelcoma, chinchircuma, llagas-ñujchchu",Epling
Salvia opossitiflora,Salvia oppositiflora,I,CASI AMENAZADO (NT),"Chucchu, jentipa sujunan, ñucchu, ñupchu",Ruiz & Pav.
Mentzelia fendleriana,Mentzelia fendleriana,I,CASI AMENAZADO (NT),Manca-ppaqui,Urb. & Gilg
Banisteriopsis caapi,Banisteriopsis caapi,I,CASI AMENAZADO (NT),"Añushi-ayahuasca, ayahuasca, capi, caa-pi",(Spruce ex Griseb.) Morton
Acaulimalva engleriana,Acaulimalva engleriana,I,CASI AMENAZADO (NT),Raíz de altea,(Ulbr.) Krapov.
Abuta grandifolia,Abuta grandifolia,I,CASI AMENAZADO (NT),Abuta,(Mart.) Sandwith
Clarisia biflora,Clarisia biflora,I,CASI AMENAZADO (NT),"Capinuri, chimicua, piamich, yasmich",NA
Clarisia racemosa,Clarisia racemosa,I,CASI AMENAZADO (NT),"Amarillo, atuntyo, capinuri, guariuba, mashonaste",Ruiz & Pav.
Ficus amazonica,Ficus amazonica,I,CASI AMENAZADO (NT),NA,(Miq.) Miq.
Acca lanuginosa,Acca lanuginosa,I,CASI AMENAZADO (NT),Pacra,(Ruiz & Pav. ex G. Don) McVaugh
Myrcianthes oreophila,Myrcianthes oreophila,I,CASI AMENAZADO (NT),Unka,(Diels) McVaugh
Mirabilis expansa,Mirabilis expansa,I,CASI AMENAZADO (NT),"Mauca, pega-pega, cushpe, arracacha del toro",(Ruiz & Pav.) Standl.
Oxalis pickeringii,Oxalis pickeringii,I,CASI AMENAZADO (NT),NA,A. Gray
Nageia rospigliosii,Retrophyllum rospigliosii,I,CASI AMENAZADO (NT),"Diablo fuerte, romerillo, saucesito, utcumanu, romerillo macho",(Pilg.) C.N. Page
Podocarpus glomeratus,Podocarpus glomeratus,I,CASI AMENAZADO (NT),"Diablo fuerte, huampo(u), intimpa, romerillo",D. Don
Podocarpus magnifolius,Podocarpus magnifolius,I,CASI AMENAZADO (NT),Cinquimase,J. Buchholz & N.E. Gray
Cantua buxifolia,Cantua buxifolia,I,CASI AMENAZADO (NT),"Ccantu, ccantut, ccantutay, cantu, cantuta",Juss. ex Lam.
Cantua cuzcoensis,Cantua cuzcoensis,I,CASI AMENAZADO (NT),NA,Infantes
Cantua pyrifolia,Cantua pyrifolia,I,CASI AMENAZADO (NT),Ccelmo,Juss. ex Lam.
Cantua tomentosa,Cantua tomentosa,I,CASI AMENAZADO (NT),NA,Cav.
Ziziphus weberbaueri,Ziziphus mistol,I,CASI AMENAZADO (NT),NA,Griseb.
Hesperomeles escalloniifolia,Hesperomeles escalloniifolia,I,CASI AMENAZADO (NT),Toen,(Schltdl.) C.K. Schneid.
Hesperomeles palcensis,Hesperomeles palcensis,I,CASI AMENAZADO (NT),NA,C.K. Schneid.
Polylepis pauta,Polylepis pauta,I,CASI AMENAZADO (NT),"Q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Hieron.
Solanum acaule,Solanum acaule,I,CASI AMENAZADO (NT),"Atoj-papa, atocka papan, añaspa-papan, aya papa",Bitter
Ada rolandoi,Brassia rolandoi,II,EN PELIGRO CRITICO (CR),NA,(D.E. Benn. & Christenson) M.W. Chase
Cattleya maxima,Cattleya maxima,II,EN PELIGRO CRITICO (CR),Golondrina,Lindl.
Cattleya rex,Cattleya rex,II,EN PELIGRO CRITICO (CR),Golondrina,O'Brien
Chloraea pavonii,Chloraea pavonii,II,EN PELIGRO CRITICO (CR),NA,Lindl.
Chysis bruennowiana,Chysis bruennowiana,II,EN PELIGRO CRITICO (CR),Caña caña,Rchb. f. & Warsz.
Cycnoches lehmannii,Cycnoches lehmannii,II,EN PELIGRO CRITICO (CR),NA,Rchb. f.
Masdevallia amplexa,Masdevallia amplexa,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia aurorae,Masdevallia aurorae,II,EN PELIGRO CRITICO (CR),NA,Luer & M.W. Chase
Masdevallia ayabacana,Masdevallia ayabacana,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia bennettii,Masdevallia bennettii,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia bryophila,Masdevallia bryophila,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia carpishica,Masdevallia carpishica,II,EN PELIGRO CRITICO (CR),NA,Luer & Cloes
Masdevallia civilis,Masdevallia civilis,II,EN PELIGRO CRITICO (CR),NA,Rchb. f. & Warsz.
Masdevallia collantesii,Masdevallia collantesii,II,EN PELIGRO CRITICO (CR),NA,D.E. Benn. & Christenson
Masdevallia constricta,Masdevallia constricta,II,EN PELIGRO CRITICO (CR),Copitas,Poepp. & Endl.
Masdevallia cosmia,Masdevallia cosmia,II,EN PELIGRO CRITICO (CR),NA,Königer
Masdevallia dudleyi,Masdevallia dudleyi,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia elegans,Masdevallia elegans,II,EN PELIGRO CRITICO (CR),NA,Luer & R. Escobar
Masdevallia eumeces,Masdevallia eumeces,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia jarae,Masdevallia jarae,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia juan-albertoi,Masdevallia juan-albertoi,II,EN PELIGRO CRITICO (CR),NA,Luer & M. Arias
Masdevallia karineae,Masdevallia karineae,II,EN PELIGRO CRITICO (CR),NA,Nauray ex Luer
Masdevallia leonii,Masdevallia leonii,II,EN PELIGRO CRITICO (CR),NA,D.E. Benn. & Christenson
Masdevallia lilianae,Masdevallia lilianae,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia picea,Masdevallia picea,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia prolixa,Masdevallia prolixa,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia pyknosepala,Masdevallia pyknosepala,II,EN PELIGRO CRITICO (CR),NA,Luer & Cloes
Masdevallia pyxis,Masdevallia pyxis,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia recurvata,Masdevallia recurvata,II,EN PELIGRO CRITICO (CR),NA,Luer & Dalström
Masdevallia regina,Masdevallia regina,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia rigens,Masdevallia rigens,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia rimarima-alba,Masdevallia rimarima-alba,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia schizostigma,Masdevallia schizostigma,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia uniflora,Masdevallia uniflora,II,EN PELIGRO CRITICO (CR),NA,Ruiz & Pav.
Masdevallia vomeris,Masdevallia vomeris,II,EN PELIGRO CRITICO (CR),NA,Luer
Masdevallia zebraceae,Masdevallia zebracea,II,EN PELIGRO CRITICO (CR),NA,Luer
Phragmipedium besseae,Phragmipedium besseae,II,EN PELIGRO CRITICO (CR),Zapatito,Dodson & J.Kuhn
Phragmipedium caudatum,Phragmipedium caudatum,II,EN PELIGRO CRITICO (CR),Zapatito de la reyna,(Lindl.) Rolfe
Phragmipedium hartwegii,Phragmipedium longifolium,II,EN PELIGRO CRITICO (CR),NA,(Warsz. & Rchb. f.) Rolfe
Phragmipedium wallisii,Phragmipedium wallisii,II,EN PELIGRO CRITICO (CR),Zapatito de la reyna,(Rchb. f.) Garay
Rusbyella suarezii,Rusbyella suarezii,II,EN PELIGRO CRITICO (CR),NA,D.E. Benn. & Christenson
Sobralia altissima,Sobralia altissima,II,EN PELIGRO CRITICO (CR),Flor inquil,D.E. Benn. & Christenson
Telipogon alegria,Telipogon alegriae,II,EN PELIGRO CRITICO (CR),NA,D.E. Benn. & Christenson
Telipogon suarezii,Telipogon suarezii,II,EN PELIGRO CRITICO (CR),NA,D.E. Benn. & Christenson
Telipogon tayacajaensis,Telipogon tayacajaensis,II,EN PELIGRO CRITICO (CR),NA,D.E. Benn. & Christenson
Trichoceros hajekiorum,Trichoceros hajekiorum,II,EN PELIGRO CRITICO (CR),Abejita,D.E. Benn. & Christenson
Zootrophion leonii,Zootrophion leonii,II,EN PELIGRO CRITICO (CR),NA,D.E. Benn. & Christenson
Ackermania jarae,Benzingia jarae,II,EN PELIGRO (EN),NA,(D.E. Benn. & Christenson) Dressler
Masdevallia cinnamomea,Masdevallia cinnamomea,II,EN PELIGRO (EN),NA,Rchb. f.
Masdevallia cleistogama,Masdevallia cleistogama,II,EN PELIGRO (EN),NA,Luer
Masdevallia colossus,Masdevallia colossus,II,EN PELIGRO (EN),NA,Luer
Masdevallia echo,Masdevallia echo,II,EN PELIGRO (EN),NA,Luer
Masdevallia goliath,Masdevallia goliath,II,EN PELIGRO (EN),NA,Luer & Andreetta
Masdevallia hymenantha,Masdevallia hymenantha,II,EN PELIGRO (EN),NA,Rchb. f.
Masdevallia idae,Masdevallia idae,II,EN PELIGRO (EN),NA,Luer & Arias
Masdevallia kuhniorum,Masdevallia kuhniorum,II,EN PELIGRO (EN),NA,Luer
Masdevallia phoenix,Masdevallia phoenix,II,EN PELIGRO (EN),NA,Luer
Masdevallia princeps,Masdevallia princeps,II,EN PELIGRO (EN),NA,Luer
Masdevallia richardsoniana,Masdevallia richardsoniana,II,EN PELIGRO (EN),NA,Luer
Masdevallia semiteres,Masdevallia semiteres,II,EN PELIGRO (EN),NA,Luer & R. Escobar
Masdevallia titan,Masdevallia titan,II,EN PELIGRO (EN),NA,Luer
Oncidium lanceanum,Lophiaris lanceana,II,EN PELIGRO (EN),Orejas de burro,(Lindl.) Braem
Ada ocanensis,Ada ocanensis,II,VULNERABLE (VU),NA,(Lindl.) N.H. Williams
Anguloa uniflora,Anguloa uniflora,II,VULNERABLE (VU),Tulipan,Ruiz & Pav.
Aspasia psitticina,Aspasia psittacina,II,VULNERABLE (VU),NA,(Rchb. f.) Rchb. f.
Aspidogyne mystacina,Aspidogyne mystacina,II,VULNERABLE (VU),NA,(Rchb. f.) Garay
Batemania peruviana,Batemannia colleyi,II,VULNERABLE (VU),NA,Lindl.
Bollea hirtzii,Bollea hirtzii,II,VULNERABLE (VU),Pavo blanco,Waldvogel
Brachionidium machupicchuense,Brachionidium machupicchuense,II,VULNERABLE (VU),NA,N.Salinas & Christenson
Brassia arcuigera,Brassia arcuigera,II,VULNERABLE (VU),NA,Rchb. f.
Brassia aurorae,Brassia aurorae,II,VULNERABLE (VU),NA,D.E. Benn.
Brassia caudata,Brassia caudata,II,VULNERABLE (VU),Avispa,(L.) Lindl.
Brassia forgetiana,Brassia forgetiana,II,VULNERABLE (VU),NA,Sander
Brassia lanceana,Brassia lanceana,II,VULNERABLE (VU),NA,Lindl.
Brassia neglecta,Brassia neglecta,II,VULNERABLE (VU),NA,Rchb. f.
Brassia pascoensis,Brassia pascoensis,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Brassia peruviana,Brassia peruviana,II,VULNERABLE (VU),Avispa,Poepp. & Endl.
Brassia villosa,Brassia villosa,II,VULNERABLE (VU),Avispa,Lindl.
Brassia wageneri,Brassia wageneri,II,VULNERABLE (VU),NA,Rchb. f.
Bulbophyllum machupicchuense,Bulbophyllum machupicchuense,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Catasetum adremedium,Catasetum adremedium,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Catasetum barbatum,Catasetum barbatum,II,VULNERABLE (VU),NA,(Lindl.) Lindl.
Catasetum cotylicheilum,Catasetum cotylicheilum,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Catasetum fernandezii,Catasetum fernandezii,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Catasetum macroglossum,Catasetum macroglossum,II,VULNERABLE (VU),Arañas,Rchb. f.
Catasetum monzonense,Catasetum monzonense,II,VULNERABLE (VU),NA,D.E.Benn. & Christenson
Catasetum schunkei,Catasetum schunkei,II,VULNERABLE (VU),Arañas,Dodson & D.E. Benn.
Catasetum stevensonii,Catasetum stevensonii,II,VULNERABLE (VU),NA,Dodson
Catasetum tenebrosum,Catasetum tenebrosum,II,VULNERABLE (VU),Arañas,Kraenzl.
Catasetum transversicallosum,Catasetum transversicallosum,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Catasetum trautmannii,Catasetum trautmannii,II,VULNERABLE (VU),NA,Senghas
Cattleya intermedia,Cattleya intermedia,II,VULNERABLE (VU),NA,Graham ex Hook.
Cattleya iricolor,Cattleya iricolor,II,VULNERABLE (VU),Golondrinilla,Rchb. f.
Cattleya luteola,Cattleya luteola,II,VULNERABLE (VU),Golondrinilla,Lindl.
Cattleya violacea,Cattleya violacea,II,VULNERABLE (VU),Golondrinilla,(Kunth) Rolfe
Chaubardia heteroclita,Chaubardia heteroclita,II,VULNERABLE (VU),Avispilla,(Poepp. & Endl.) Dodson & D.E. Benn.
Chaubardia klugii,Chaubardia klugii,II,VULNERABLE (VU),NA,(C. Schweinf.) Garay
Chaubardiella tigrina,Chaubardiella tigrina,II,VULNERABLE (VU),NA,(Garay & Dunst.) Garay
Chloraea reticulata,Chloraea reticulata,II,VULNERABLE (VU),NA,Schltr.
Chloraea septentrionalis,Chloraea septentrionalis,II,VULNERABLE (VU),NA,M.N. Correa
Cochleanthes amazonica,Warczewiczella amazonica,II,VULNERABLE (VU),NA,Rchb.f. & Warsz.
Cochleanthes palatina,Cochleanthes palatina,II,VULNERABLE (VU),NA,Senghas
Cochlioda noezliana,Oncidium noezlianum,II,VULNERABLE (VU),NA,(Mast.) M.W.Chase & N.H.Williams
Cochlioda vulcanica,Cochlioda vulcanica,II,VULNERABLE (VU),Inguil,(Rchb. f.) Benth. & Hook. f. ex B.D. Jacks.
Comparettia coccinea,Comparettia coccinea,II,VULNERABLE (VU),NA,Lindl.
Comparettia falcata,Comparettia falcata,II,VULNERABLE (VU),NA,Poepp. & Endl.
Comparettia peruviana,Comparettia coccinea,II,VULNERABLE (VU),NA,Lindl.
Comparettia speciosa,Comparettia speciosa,II,VULNERABLE (VU),NA,Rchb. f.
Coryanthes alborosea,Coryanthes alborosea,II,VULNERABLE (VU),Cachorros,C. Schweinf.
Coryanthes leucocorys,Coryanthes leucocorys,II,VULNERABLE (VU),Cachorros,Rolfe
Coryanthes macrantha,Coryanthes macrantha,II,VULNERABLE (VU),Cachorros,(Hook.) Hook.
Coryanthes macrocorys,Coryanthes macrocorys,II,VULNERABLE (VU),Cachorros,Rolfe
Coryanthes verrucolineata,Coryanthes verrucolineata,II,VULNERABLE (VU),NA,G. Gerlach
Cycnoches bennettii,Cycnoches bennettii,II,VULNERABLE (VU),NA,Dodson
Cycnoches christensonii,Cycnoches christensonii,II,VULNERABLE (VU),NA,D.E. Benn.
Cycnoches cooperi,Cycnoches cooperi,II,VULNERABLE (VU),Alacranes,Rolfe
Cycnoches jarae,Cycnoches jarae,II,VULNERABLE (VU),Alacranes,Dodson & D.E. Benn.
Cycnoches pentadactylon,Cycnoches pentadactylon,II,VULNERABLE (VU),Alacranes,Lindl.
Cycnoches schmidtianum,Cycnoches schmidtianum,II,VULNERABLE (VU),NA,Christenson & G.F. Carr
Cyrtidiorchis rhomboglossa,Maxillaria rhomboglossa,II,VULNERABLE (VU),NA,(F. Lehm. & Kraenzl.) Molinari
Cyrtidiorchis stumpflei,Maxillaria stumpflei,II,VULNERABLE (VU),NA,(Garay) Molinari
Cyrtopodium punctatum,Cyrtopodium punctatum,II,VULNERABLE (VU),NA,(L.) Lindl.
Dressleria bennettii,Dressleria bennettii,II,VULNERABLE (VU),NA,H.G. Hills & Christenson
Dryadella zebrina,Dryadella zebrina,II,VULNERABLE (VU),NA,(Porsch) Luer
Epidendrum birostratum,Epidendrum birostratum,II,VULNERABLE (VU),NA,C. Schweinf.
Epidendrum criniferum,Epidendrum criniferum,II,VULNERABLE (VU),NA,Rchb. f.
Epidendrum cristatum,Epidendrum cristatum,II,VULNERABLE (VU),NA,Ruiz & Pav.
Epidendrum excelsum,Epidendrum excelsum,II,VULNERABLE (VU),NA,C. Schweinf.
Epidendrum micro-cattleya,Epidendrum micro-cattleya,II,VULNERABLE (VU),NA,(Kraenzl.) Schltr.
Epidendrum scutella,Epidendrum scutella,II,VULNERABLE (VU),NA,Lindl.
Epidendrum tridens,Epidendrum tridens,II,VULNERABLE (VU),NA,Poepp. & Endl.
Epistephium duckei,Epistephium duckei,II,VULNERABLE (VU),NA,Huber
Epistephium parviflorum,Epistephium parviflorum,II,VULNERABLE (VU),NA,Lindl.
Fernandezia ionanthera,Fernandezia ionanthera,II,VULNERABLE (VU),NA,(Rchb. f. & Warsz.) Schltr.
Fernandezia subbiflora,Fernandezia subbiflora,II,VULNERABLE (VU),NA,Ruiz & Pav.
Galeandra biloba,Galeandra biloba,II,VULNERABLE (VU),NA,Garay
Gongora atropurpurea,Gongora atropurpurea,II,VULNERABLE (VU),Zancudo,Hook.
Gongora latisepala,Gongora latisepala,II,VULNERABLE (VU),NA,Rolfe
Gongora pleiochroma,Gongora pleiochroma,II,VULNERABLE (VU),NA,Rchb. f.
