LEVEL	NAME	ROLLUP	ASSIGNED	TAXID	READ_COUNT	READ_COUNT_RNR	READ_COUNT_RSNB	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	PATHOGEN	SCORE	REL_ABUNDANCE	ABUNDANCE	LINEAR_COV	NOTE	RPKM	PRI_READ_COUNT	REB_READ_COUNT	REB_READ_COUNT_RNR	TOL_RS_READ_CNT	TOL_NS_READ_CNT	TOL_RS_RNR	TOL_NS_RNR	STR	SPE	GEN	FAM	ORD	CLA	PHY	SK	ROOT	STR_rnb	SPE_rnb	GEN_rnb	FAM_rnb	ORD_rnb	CLA_rnb	PHY_rnb	SK_rnb	ROOT_rnb	STR_rnr	SPE_rnr	GEN_rnr	FAM_rnr	ORD_rnr	CLA_rnr	PHY_rnr	SK_rnr	ROOT_rnr	STR_rni	SPE_rni	GEN_rni	FAM_rni	ORD_rni	CLA_rni	PHY_rni	SK_rni	ROOT_rni	SOURCE	LOCATION	HOST	DISEASE	DIFF_MEAN	DIFF_SD	MC_ERROR	HPD_2.5	HPD_97.5	P<0	P>0	SCORE_UNIQ	SCORE_TTEST
genus	Rhodobacter	613277		1060	1361729	613277.54	604604.62	101827740	1113270	10700607	9.5161		0.9770	0.1729	613277	0.6619		10.6871	613579	1606543.680755999	653106.1603677168	1358808	2921	612690.688095235	586.85524751116	164788	1193473	547	1499	0	1085	226	111	0	162549.85	441946.94	107.84	308.27	0	206.30	44.43	15.94	0	164176.00	448405.00	109.69	314.34	0	210.75	45.37	16.40	0	163151.96	1176308.91	538.32	1470.47	0	1060.91	221.20	107.84	0												0.9769665816652634	
genus	Streptococcus	392143		1301	1448527	392143.78	388341.79	108328486	741748	15246547	7.1051		0.9736	0.1106	392143	0.1126		0.8160	392499	1711493.3545627377	417914.746928656	1447574	953	392053.3741661534	90.40549567410513	22673	1373254	51647	148	445	189	123	48	0	22519.95	359300.79	6521.06	9.28	34.88	30.74	10.17	4.37	0	22673.00	362774.00	6606.37	9.51	35.10	31.06	10.28	4.45	0	22519.95	1360107.09	50922.79	142.80	441.93	187.05	121.45	46.77	0												0.9736371645557661	
genus	Escherichia	281746		561	7045135	281746.04	91914.49	526968291	3360634	157606392	3.3436		0.9751	0.0794	281746	0.5083		0.2560	283648	1916526.2797015228	98827.6458521921	1620990	5424145	92712.00000000003	189034.0401578518	21	1556269	64700	5412659	3408	212	608	104	7154	20.61	88430.44	3463.43	186865.43	137.23	8.50	24.18	12.47	268.40	21.00	89191.00	3500.00	188579.32	138.22	8.51	24.39	12.56	271.04	20.61	1542633.47	64010.33	5363384.17	3384.53	211.68	602.92	103.32	7084.39												0.9750618358509828	
genus	Methanobrevibacter	192666		2172	192772	192666.86	191339.08	14422000	62424	1851959	7.7874		0.8987	0.0543	192666	0.9994		29.2895	192723	227820.92970079175	205356.70328010013	192690	82	192648.83333333334	18.021918767507	192612	0	78	76	3	0	3	0	0	191302.56	0	36.52	16.79	0.73	0	0.32	0	0	192612.00	0	36.83	16.96	0.74	0	0.33	0	0	191302.56	0	77.33	75.24	2.97	0	2.91	0	0												0.8986621615225011	
genus	Pseudomonas	73983		286	1114760	73983.77	72962.30	83377223	808889	54097815	1.5412		0.9792	0.0209	73983	0.4674		0.1801	74016	1315679.1701039092	78749.50422254481	1112796	1964	73876.33260434112	107.44094071350193	39	1100503	12254	710	0	268	986	0	0	38.39	72256.49	667.43	36.60	0	13.55	55.93	0	0	39.00	73161.00	676.33	37.07	0	13.65	56.71	0	0	38.39	1086842.21	12091.85	700.75	0	265.87	972.05	0	0												0.9792146023314743	
genus	Clostridium	62370		1485	63703	62370.71	61940.46	4765595	20471	3279594	1.4531		0.9595	0.0176	62370	0.1859		0.9962	62411	75210.81945641428	66473.34941750603	63613	90	62359.85	10.864689477189476	61661	0	1952	24	35	0	19	12	0	61250.67	0	689.80	2.03	4.36	0	3.29	1.11	0	61661.00	0	698.85	2.03	4.40	0	3.31	1.13	0	61250.67	0	1928.24	23.96	34.73	0	18.92	11.80	0												0.959532543102782	
genus	Shigella	29024		620	822950	29024.79	16.72	61554178	416666	20628460	2.9839		0.9598	0.0082	29024	0.4941		0.1959	27170	24.828686095368866	18.12138643851136	21	822929	17.0	29007.785036630983	15	3	3	821970	369	11	63	0	516	14.80	0.93	0.99	28697.47	12.08	0.37	2.04	0	17.92	15.00	1.00	1.00	28975.11	12.17	0.37	2.04	0	18.09	14.80	2.80	2.97	814195.00	366.35	11.00	62.80	0	511.11												0.9598089116884359	
genus	Acinetobacter	15108		469	150721	15108.93	14915.70	11276582	110972	9646991	1.1689		0.9704	0.0043	15108	0.1639		0.0723	15108	178052.4195818176	16097.348763273963	150596	125	15101.213690476194	7.712233402132783	832	133621	16143	39	0	74	12	0	0	824.84	12754.81	1336.05	2.26	0	4.75	0.66	0	0	832.00	12916.00	1353.21	2.27	0	4.77	0.67	0	0	824.84	131973.83	15951.83	38.83	0	73.64	11.84	0	0												0.9703808789336213	
genus	Bacillus	12896		1386	87945	12896.16	12725.27	6571068	63311	6025074	1.0906		0.9753	0.0036	12896	0.0342		0.0206	12896	103575.81984279497	13715.86117705769	87604	341	12867.097161752	29.0640308193174	2373	10551	74680	0	298	1	42	0	0	2357.48	3833.48	6534.31	0	10.48	0.12	17.48	0	0	2373.00	3870.00	6624.10	0	11.32	0.12	17.62	0	0	2357.48	10444.04	73649.99	0	275.89	1.00	41.69	0	0												0.9753277494618586	
genus	Propionibacterium	8045		1743	67579	8045.68	7909.42	5055151	42511	4496996	1.1241		0.9232	0.0023	8045	0.1790		0.0902	8046	79293.3648415242	8524.513373457374	67066	513	7997.0	48.682362082362054	5	67061	0	495	0	18	0	0	0	4.96	7904.46	0	46.42	0	1.71	0	0	0	5.00	7992.00	0	46.95	0	1.73	0	0	0	4.96	66322.96	0	489.61	0	17.67	0	0	0												0.9231576304576308	
genus	Deinococcus	7166		1298	7182	7166.30	7094.57	537211	3963	486177	1.1050		0.9542	0.0020	7166	0.1588		0.6596	7173	8489.046007845165	7638.857260372834	7180	2	7166.15	0.15	7165	0	15	0	0	0	0	2	0	7088.50	0	6.07	0	0	0	0	0.13	0	7160.00	0	6.15	0	0	0	0	0.15	0	7093.43	0	14.83	0	0	0	0	1.72	0												0.9541545988001946	
genus	Neisseria	4724		482	47663	4724.57	4652.06	3562660	32490	3290006	1.0829		0.9796	0.0013	4724	0.0823		0.0333	4728	56138.8415800145	5019.6240434676465	47482	181	4709.0	15.571032974593347	21	25642	21819	0	0	71	110	0	0	20.83	3025.02	1606.22	0	0	4.23	11.13	0	0	21.00	3060.00	1628.00	0	0	4.28	11.29	0	0	20.83	25337.28	21532.01	0	0	70.25	108.56	0	0												0.979647210798372	
genus	Helicobacter	4389		209	47111	4389.58	4339.48	3519907	32625	3263020	1.0787		0.9854	0.0012	4389	0.0380		0.0144	4389	55673.00813612996	4678.261811690322	47088	23	4388.7619232995485	0.8214285714285712	1	46318	769	0	23	0	0	0	0	0.99	4300.23	38.26	0	0.82	0	0	0	0	1.00	4349.00	38.76	0	0.82	0	0	0	0	0.99	45712.52	760.59	0	23.00	0	0	0	0												0.9853935277649652	
genus	Listeria	3247		1637	50154	3247.56	3216.25	3750609	25532	3597957	1.0424		0.9853	0.0009	3247	0.0329		0.0084	3251	59253.06820740506	3460.3490489756928	50116	38	3246.2159577134003	1.3444740884469233	47	46298	3771	0	26	12	0	0	0	46.64	3011.39	158.22	0	0.66	0.47	0	0	0	47.00	3039.00	160.22	0	0.84	0.51	0	0	0	46.64	45863.12	3726.09	0	20.45	11.39	0	0	0												0.9852902526215994	
genus	Bacteroides	1028		816	1039	1028.00	1018.69	77766	407	76754	1.0132		0.9103	0.0003	1028	0.0149		0.0561	1034	1223.699528986037	1093.856630410926	1035	4	1026.1666666666667	1.8333333333333333	1018	0	17	0	4	0	0	0	0	1010.56	0	8.13	0	1.83	0	0	0	0	1018.00	0	8.17	0	1.83	0	0	0	0	1010.56	0	16.91	0	3.99	0	0	0	0												0.9103429989861845	
genus	Serratia	641		613	674	641.54	630.05	50439	495	49845	1.0119		0.9802	0.0002	641	0.0095		0.0345	656	769.6892689564348	679.8155214103571	651	23	637.7472222222223	3.788121357985535	631	3	17	3	17	3	0	0	0	623.39	1.47	5.19	0.24	2.73	0.77	0	0	0	631.00	1.50	5.25	0.25	2.76	0.78	0	0	0	623.39	2.93	16.83	2.91	16.89	2.97	0	0	0												0.9802485781565422	
genus	Stenotrophomonas	505		40323	1160	505.03	485.36	86696	1387	84859	1.0216		0.9670	0.0001	505	0.0060		0.0100	521	1291.091676959181	526.675000950656	1092	68	494.0833333333332	10.944778724887085	192	900	0	64	0	4	0	0	0	189.35	296.01	0	10.33	0	0.35	0	0	0	192.00	302.08	0	10.57	0	0.37	0	0	0	189.35	882.00	0	62.47	0	3.64	0	0	0												0.9669802970259384	
genus	Lactobacillus	285		1578	302	285.39	283.12	22592	106	22405	1.0083		0.9754	0.0001	285	0.0118		0.0424	293	355.87783403362045	304.06430129216034	301	1	285.2482142857143	0.14285714285714285	280	0	21	0	0	1	0	0	0	277.89	0	5.22	0	0	0.14	0	0	0	280.00	0	5.25	0	0	0.14	0	0	0	277.89	0	20.92	0	0	1.00	0	0	0												0.9754151134588323	
genus	Enterococcus	73		1350	242	73.32	69.58	18076	98	15970	1.1319		0.9241	0.0000	73	0.0058		0.0075	104	240.0106322552324	74.7418360262915	203	39	70.11666666666669	3.204223148949316	16	186	1	0	33	6	0	0	0	15.87	53.52	0.20	0	2.58	0.55	0	0	0	16.00	53.92	0.20	0	2.63	0.57	0	0	0	15.87	184.64	1.00	0	32.39	5.81	0	0	0												0.9241371304792102	
genus	Cardiovirus	31		12103	230	31.02	12.60	17078	325	964	17.7158		0.3790	0.0000	31	0.0154		0.1395	34	108.77329146542552	13.85753080592045	92	138	12.999999999999996	18.01944444444445	0	92	0	0	0	0	0	0	138	0	12.60	0	0	0	0	0	0	17.54	0	13.00	0	0	0	0	0	0	18.02	0	89.15	0	0	0	0	0	0	134.23												0.37904840366672127	
genus	Hepacivirus	14		11102	193	14.51	5.58	13985	63	2149	6.5077		0.9798	0.0000	14	0.0083		0.0157	16	106.408654694438	6.395783448886363	90	103	6.000000000000001	8.511904761904763	0	0	90	0	18	74	0	0	11	0	0	5.58	0	1.84	4.39	0	0	2.13	0	0	6.00	0	1.87	4.50	0	0	2.15	0	0	83.76	0	17.69	73.24	0	0	10.93												0.9798349821102459	
species	Staphylococcus aureus	1037482		1280	26511590	1037482.48	977206.44	1983333819	11896011	109959691	18.0369	Pathogen	0.9822	0.2926	1037482	0.8120		2.1584	1033412	31377606.813989118	1079807.404567245	25451453	1060137	985730.99999999	51751.48112886247	15180	25436273	1056963	2323	416	185	235	15	0	14892.08	962314.36	51029.07	153.17	16.27	6.31	14.22	1.76	0	15019.00	970712.00	51557.70	154.75	16.40	6.32	14.50	1.81	0	15051.77	25221230.29	1046416.35	2297.56	412.37	184.60	229.87	14.63	0	human clinical samples	USA: New York City; Colombia; Brazil:Florianopolis; USA:DC; Brazil: Sao Paulo; USA:Michigan; China: Shenzhen; USA:North Dakota; United Kingdom; Japan; USA:Massachusetts; Netherlands: Bilthoven; Switzerland: Geneva; Germany; Nigeria: Federal Medical Center; South Africa: Stev Bieko Academic hospital; USA:Texas; Belgium; Venezuela; China: Chongqing	Homo sapiens	Bacteraemia; wound infection; endocarditis; catheter-related sepsis; UTI; toxic shock syndrome; food poisoning; eye infection; osteomyelitis								0.9821782504356024	
species	Staphylococcus epidermidis	799725		1282	1511415	799725.29	782407.65	113065092	576287	4736560	23.8707		0.9748	0.2255	799725	0.9259		44.0397	805196	1808069.277793604	863599.6691436525	1466587	44828	788360.0	11365.29328498527	110133	1356454	43904	511	328	61	22	2	0	109427.87	672979.79	11096.76	96.64	69.28	10.38	2.29	0.22	0	110133.00	678227.00	11184.93	97.46	69.87	10.49	2.32	0.22	0	109427.87	1345959.57	43547.97	506.37	325.01	60.25	21.73	1.95	0												0.974782790276116	
species	Rhodobacter sphaeroides	613277		1063	1361729	613277.54	604496.79	101827740	1113270	10700607	9.5161		0.9770	0.1729	613277	0.6619		10.6871	613579	1674520.4923575746	671044.6356026247	1358261	3468	612580.999999997	696.5433427492552	164788	1193473	547	1499	0	1085	226	111	0	162549.85	441946.94	107.84	308.27	0	206.30	44.43	15.94	0	164176.00	448405.00	109.69	314.34	0	210.75	45.37	16.40	0	163151.96	1176308.91	538.32	1470.47	0	1060.91	221.20	107.84	0												0.9769665816652634	
species	Streptococcus mutans	367685		1309	1289664	367685.53	361075.78	96455321	653128	7498738	12.8629		0.9591	0.1037	367685	0.9270		12.8052	368790	1564829.655112728	399292.7056182543	1269287	20377	364504.9999999999	3180.5303867324023	21254	1248033	19808	87	285	131	42	24	0	21110.40	339965.38	3088.75	7.39	26.30	17.97	4.55	3.49	0	21254.00	343251.00	3120.31	7.47	26.46	18.14	4.62	3.53	0	21110.40	1236079.95	19607.95	86.17	283.15	129.79	41.49	23.68	0												0.9590566416272441	
species	Escherichia coli	281087		562	7029936	281087.15	88450.10	525831816	3351695	157119920	3.3467	Pathogen	0.9751	0.0793	281087	0.5144		0.2592	283050	1918657.623631009	97725.1383682257	1556289	5473647	89211.00000000003	191876.15109831304	20	1556269	61200	5401012	3365	211	608	104	7147	19.65	88430.44	3220.27	186460.15	135.85	8.47	24.18	12.47	268.18	20.00	89191.00	3253.32	188169.76	136.83	8.48	24.39	12.56	270.81	19.65	1542633.47	60558.69	5351853.59	3341.81	210.68	602.92	103.32	7077.48	perirectal swab	USA	Homo sapiens	Gastroenteritis								0.9750618358509828	
species	Methanobrevibacter smithii	192666		2173	192772	192666.86	191302.56	14422000	62424	1851959	7.7874		0.8987	0.0543	192666	0.9994		29.2895	192723	237460.06185407456	210994.54497069513	192612	160	192612.0	54.85525210084034	192612	0	78	76	3	0	3	0	0	191302.56	0	36.52	16.79	0.73	0	0.32	0	0	192612.00	0	36.83	16.96	0.74	0	0.33	0	0	191302.56	0	77.33	75.24	2.97	0	2.91	0	0												0.8986621615225011	
species	Pseudomonas aeruginosa	73983		287	1114760	73983.77	72294.88	83377223	808889	54097815	1.5412	Pathogen	0.9792	0.0209	73983	0.4674		0.1801	74016	1356793.8207017577	80186.07714916441	1100542	14218	73199.99999999987	783.7735450547493	39	1100503	12254	710	0	268	986	0	0	38.39	72256.49	667.43	36.60	0	13.55	55.93	0	0	39.00	73161.00	676.33	37.07	0	13.65	56.71	0	0	38.39	1086842.21	12091.85	700.75	0	265.87	972.05	0	0	human clinical samples	various	Acipenser sturio; aloe vera; arachis hypogaea; bemisia tabaci; Bos taurus; Brassica rapa; Canis lupus familiaris; Capra hircus; capsicum annuum; capsicum frutescens; carica papaya; chamaesyce hirta; chromolaena odorata; cicer arietinum; citrullus lanatus; conus leopardus; conus litteratus; Culex quinquefasciatus; curcuma longa; Cyprinus carpio; diabrotica virgifera; Equus caballus; etroplus maculatus; etroplus suratensis; euonymus japonicus; eutrema wasabi; gallus gallus; glomus mosseae; glycine max; gossypium hirsutum; Helicoverpa armigera; Homo sapiens; hyriopsis cumingii; Labeo rohita; larimichthys crocea; Leptinotarsa decemlineata; ligustrum sinense; luffa aegyptiaca; malus x domestica; Mangifera indica; mimosa pudica; Moschus berezovskii; Musa acuminata; Musca domestica; Nicotiana glauca; Nicotiana tabacum; Onchorhynchus mykiss; oryctes rhinoceros; oryctolagus cuniculus; Oryza sativa; ostrinia nubilalis; Ovis aries; panax ginseng; parthenium hysterophorus; Phaseolus vulgaris; pheretima sieboldi; phlebotomus papatasi; piper nigrum; pisum sativum; poekilocerus pictus; praecitrullus fistulosus; rhynchophorus ferrugineus; sesamum indicum; siganus canaliculatus; Solanum lycopersicum; Solanum melongena; Solanum tuberosum; solenopsis invicta; spodoptera litura; suaeda maritima; Sus scrofa; Sus scrofa domesticus; triticum aestivum; vicia faba; yunnanacris yunnaneus; Zea mays; Zingiber officinale	Bacteraemia; UTI; wound infection; abscesses; septic arthritis; conjunctivitis; endocarditis; meningitis; otitis								0.9792146023314743	
species	Clostridium beijerinckii	61975		1520	62512	61975.00	61250.67	4676857	19739	3216284	1.4541		0.9595	0.0175	61975	0.5360		2.9096	62171	76018.23808477193	67545.81561604694	61661	851	61661.0	314.004102841603	61661	0	817	8	12	0	10	4	0	61250.67	0	306.71	0.68	1.52	0	2.22	0.37	0	61661.00	0	309.18	0.68	1.53	0	2.24	0.38	0	61250.67	0	810.47	7.99	11.92	0	9.93	3.93	0												0.959532543102782	
species	Streptococcus agalactiae	21295		1311	127104	21295.26	20477.22	9505382	64763	6642414	1.4310	Pathogen	0.9736	0.0060	21295	0.4540		0.4100	21514	150288.3069604132	22644.89872715204	121904	5200	20671.999999999993	623.2562804730265	1404	120500	5134	0	1	42	19	4	0	1394.65	19082.57	601.65	0	0.25	12.12	2.10	0.15	0	1404.00	19268.00	608.52	0	0.25	12.23	2.10	0.15	0	1394.65	119345.09	5069.77	0	1.00	41.60	18.91	3.89	0	human clinical samples	USA: Salinas; California; Brazil:Rio de Janeiro; China: Guangxi Province; Canada: Greater Toronto Area; Singapore; USA: Houston; USA: San Antonio	Canis lupus familiaris breed Parson Russell Terrier and Chihuahua mix	Pharyngitis; bacteraemia; pyogenic infection; necrotizing infection; septic arthritis; UTI; glomerulonephritis; meningitis								0.9736371645557661	
species	Acinetobacter baumannii	14854		470	148802	14854.33	13528.29	11133118	109000	9518076	1.1697	Pathogen	0.9704	0.0042	14854	0.1872		0.0823	14891	165695.1268521664	15003.12175730817	134401	14401	13696.000000000004	1158.3334396683472	780	133621	14289	35	0	66	11	0	0	773.48	12754.81	1137.88	2.03	0	4.22	0.60	0	0	780.00	12916.00	1151.44	2.04	0	4.24	0.61	0	0	773.48	131973.83	14129.56	34.84	0	65.68	10.85	0	0	Bodily fluid; human clinical samples	Colombia; UK; Canada; US; Malaysia; India; Australia; South Korea; China	Homo sapiens	Nosocomial infections								0.9703808789336213	
species	Shigella flexneri	12443		623	355432	12443.07	5.88	26585228	180706	9037745	2.9416		0.9515	0.0035	12443	0.4903		0.1902	11570	9.86273178635078	6.5726292745216846	8	355424	6.0	12437.069309448805	5	3	0	355087	164	4	22	0	147	4.95	0.93	0	12306.62	5.46	0.13	0.71	0	4.75	5.00	1.00	0	12425.95	5.50	0.13	0.71	0	4.79	4.95	2.80	0	351717.87	162.91	4.00	22.00	0	145.77												0.9514543023955735	
species	Bacillus cereus	10247		1396	53250	10247.93	6188.03	3980195	33825	3640404	1.0933	Pathogen	0.9753	0.0029	10247	0.0531		0.0421	11417	15929.544676429805	6835.53444550255	12921	40329	6239.999999999998	4007.9294389438646	2370	10551	40165	0	125	0	39	0	0	2354.55	3833.48	3938.25	0	4.50	0	16.95	0	0	2370.00	3870.00	3986.00	0	4.85	0	17.08	0	0	2354.55	10444.04	39665.23	0	115.76	0	38.69	0	0	Clinical sample (blood)	USA	Homo sapiens	Anthrax-like illness								0.9753277494618586	
species	Propionibacterium acnes	8045		1747	67579	8045.68	7909.42	5055151	42511	4496996	1.1241	Pathogen	0.9232	0.0023	8045	0.1790		0.0902	8046	82681.74624792518	8760.219384724986	67066	513	7997.0	48.682362082362054	5	67061	0	495	0	18	0	0	0	4.96	7904.46	0	46.42	0	1.71	0	0	0	5.00	7992.00	0	46.95	0	1.73	0	0	0	4.96	66322.96	0	489.61	0	17.67	0	0	0			Bos taurus; Canis lupus familiaris; eisenia fetida; Equus caballus; Homo sapiens; Ovis aries; Sus scrofa; Sus scrofa domesticus	Abscesses; endocarditis; bacteraemia; septic arthritis; endophthalmitis								0.9231576304576308	
species	Deinococcus radiodurans	7166		1299	7182	7166.30	7088.50	537211	3963	486177	1.1050		0.9542	0.0020	7166	0.1588		0.6596	7173	8833.309156150419	7843.337600929211	7165	17	7160.0	6.300000000000001	7165	0	15	0	0	0	0	2	0	7088.50	0	6.07	0	0	0	0	0.13	0	7160.00	0	6.15	0	0	0	0	0.15	0	7093.43	0	14.83	0	0	0	0	1.72	0												0.9541545988001946	
species	Shigella boydii	6720		621	190375	6720.93	2.99	14240012	95425	4675669	3.0456	Pathogen	0.9559	0.0019	6720	0.5118		0.2073	6367	3.698524419881543	3.2863146372608423	3	190372	3.0	6717.929466113617	3	0	1	190205	86	2	10	0	68	2.99	0	0.33	6648.80	2.78	0.06	0.32	0	2.17	3.00	0	0.33	6712.21	2.80	0.06	0.32	0	2.19	2.99	0	0.99	188425.76	85.40	2.00	9.97	0	67.39	Cases of diarrhea	NA	Homo sapiens	Dysentery								0.9559358471455726	
species	Neisseria meningitidis	4396		487	43478	4396.43	3045.85	3250222	28318	2998106	1.0841	Pathogen	0.9796	0.0012	4396	0.0963		0.0398	4558	31638.41072914001	3375.0451324668848	25663	17815	3080.9999999999995	1315.4251964409862	21	25642	17648	0	0	61	106	0	0	20.83	3025.02	1284.85	0	0	3.70	10.93	0	0	21.00	3060.00	1300.59	0	0	3.74	11.09	0	0	20.83	25337.28	17435.61	0	0	60.35	104.65	0	0	human clinical samples		Homo sapiens	meningococcal disease								0.979647210798372	
species	Helicobacter pylori	4389		210	47111	4389.58	4301.22	3519907	32625	3263020	1.0787	Pathogen	0.9854	0.0012	4389	0.0380		0.0144	4389	57103.984201497726	4765.156224028222	46319	792	4350.0	39.58335187097688	1	46318	769	0	23	0	0	0	0	0.99	4300.23	38.26	0	0.82	0	0	0	0	1.00	4349.00	38.76	0	0.82	0	0	0	0	0.99	45712.52	760.59	0	23.00	0	0	0	0	Gastric biopsy	Mexico; Australia: Perth; Taiwan: Taipei	Homo sapiens	Gastric ulcer								0.9853935277649652	
species	Listeria monocytogenes	3247		1639	50154	3247.56	3058.03	3750609	25532	3597957	1.0424	Pathogen	0.9853	0.0009	3247	0.0329		0.0084	3251	57136.038079803366	3380.5223235289864	46345	3809	3086.0	161.5604318018471	47	46298	3771	0	26	12	0	0	0	46.64	3011.39	158.22	0	0.66	0.47	0	0	0	47.00	3039.00	160.22	0	0.84	0.51	0	0	0	46.64	45863.12	3726.09	0	20.45	11.39	0	0	0	human clinical samples		apodemus agrarius; apodemus peninsulae; Bos taurus; Capra hircus; cavia porcellus; Cervus elaphus; chinchilla brevicaudata; Homo sapiens; lama pacos; microtus arvalis; myodes glareolus; myodes rufocanus; myodes rutilus; oryctolagus cuniculus; Ovis aries; rattus rattus; Sus scrofa; vulpes lagopus	listerosis								0.9852902526215994	
species	Shigella dysenteriae	2486		622	67737	2486.17	5.89	5065901	35126	1834196	2.7619		0.9598	0.0007	2486	0.4198		0.1603	2365	7.397048839763086	6.5726292745216846	6	67731	6.0	2480.1660178068455	6	0	0	67626	33	2	7	0	63	5.89	0	0	2451.76	1.06	0.07	0.23	0	2.21	6.00	0	0	2476.57	1.06	0.07	0.23	0	2.23	5.89	0	0	66967.05	32.73	2.00	6.99	0	62.33												0.9598089116884359	
species	Staphylococcus argenteus	2300		985002	41111	2300.41	46.20	3073272	23400	269671	11.3964		0.8487	0.0006	2300	0.0976		0.2346	2321	57.94354924481084	51.4855959837532	47	41064	47.0	2253.410199407475	47	0	40984	53	16	6	4	1	0	46.20	0	2221.12	2.12	0.66	0.21	0.22	0.11	0	47.00	0	2250.06	2.14	0.67	0.21	0.23	0.11	0	46.20	0	40539.55	52.64	15.75	6.00	3.85	0.97	0												0.8486679702011525	
species	Bacillus thuringiensis	1642		1428	17935	1642.64	2.93	1339213	14988	1234448	1.0849	Pathogen	0.7967	0.0005	1642	0.0187		0.0070	1033	3.698524419881543	3.2863146372608423	3	17932	3.0	1639.640442002615	3	0	17822	0	109	0	1	0	0	2.93	0	1609.64	0	3.75	0	0.17	0	0	3.00	0	1635.41	0	4.07	0	0.17	0	0	2.93	0	17551.63	0	100.77	0	1.00	0	0	soil	China: Wuhan	Invertebrate	None								0.7966713647296619	
species	Staphylococcus haemolyticus	1466		1283	4824	1466.89	303.55	359460	3652	32987	10.8970	Pathogen	0.8315	0.0004	1466	0.0123		0.1539	971	379.71517377450505	337.3949694254465	308	4516	308.0	1158.8852505257541	308	0	4357	114	38	5	2	0	0	303.55	0	1124.11	10.67	3.12	0.46	0.13	0	0	308.00	0	1144.27	10.79	3.20	0.49	0.13	0	0	303.55	0	4284.15	112.73	37.00	4.76	1.92	0	0	blood	Brazil: Sao Paulo	Homo sapiens	Bacteraemia; wound infection; endocarditis; catheter-related sepsis; UTI; toxic shock syndrome; food poisoning; eye infection; osteomyelitis								0.8314835329102812	
species	Bacteroides vulgatus	1028		821	1039	1028.00	1010.56	77766	407	76754	1.0132	Pathogen	0.9103	0.0003	1028	0.0149		0.0561	1034	1255.0326198131368	1115.156100243846	1018	21	1018.0	10.0	1018	0	17	0	4	0	0	0	0	1010.56	0	8.13	0	1.83	0	0	0	0	1018.00	0	8.17	0	1.83	0	0	0	0	1010.56	0	16.91	0	3.99	0	0	0	0	healthy mouse fecal sample	Germany	Mus musculus	commensal; sepsis; abscess or surgical infections								0.9103429989861845	
species	Staphylococcus lugdunensis	676		28035	4459	676.58	12.73	331575	3080	45410	7.3018	Pathogen	0.7617	0.0002	676	0.0086		0.0363	334	18.492622099407715	14.24069676146365	15	4444	13.0	663.5786623592713	11	4	4285	107	39	10	1	2	0	10.77	1.96	634.45	10.44	3.89	0.75	0.07	0.22	0	11.00	2.00	647.87	10.61	3.98	0.82	0.08	0.22	0	10.77	3.92	4209.45	105.33	38.12	9.41	0.97	1.95	0	Abscess	USA:DC	Homo sapiens	infection								0.7616745774739532	
species	Serratia marcescens	641		615	674	641.54	624.85	50439	495	49845	1.0119	Pathogen	0.9802	0.0002	641	0.0095		0.0345	656	781.6214940682994	692.8646693558276	634	40	632.5	9.035343580207755	631	3	17	3	17	3	0	0	0	623.39	1.47	5.19	0.24	2.73	0.77	0	0	0	631.00	1.50	5.25	0.25	2.76	0.78	0	0	0	623.39	2.93	16.83	2.91	16.89	2.97	0	0	0	Respiratory	USA:Virginia; South Korea; Mexico	Homo sapiens	Septicaemia; abscesses; burn infections; osteomyelitis								0.9802485781565422	
species	Staphylococcus warneri	517		1292	2931	517.13	3.96	217736	2229	29244	7.4455	Pathogen	0.7628	0.0001	517	0.0118		0.0586	262	4.93136589317539	4.381752849681123	4	2927	4.0	513.129336880073	4	0	2840	46	12	25	3	1	0	3.96	0	490.82	4.76	1.07	4.30	0.20	0.11	0	4.00	0	502.55	4.83	1.09	4.34	0.21	0.11	0	3.96	0	2783.73	45.32	11.81	24.75	2.88	0.97	0			Bos taurus; Culex quinquefasciatus; gallus gallus; Homo sapiens; medicago truncatula; Musca domestica; Nicotiana glauca; Phaseolus vulgaris; prunus dulcis; Sus scrofa; Zea mays	infection								0.7628065888686026	
species	Stenotrophomonas maltophilia	505		40324	1160	505.03	485.36	86696	1387	84859	1.0216	Pathogen	0.9670	0.0001	505	0.0060		0.0100	521	1346.2628888368815	541.2377634533202	1092	68	494.0833333333332	10.944778724887085	192	900	0	64	0	4	0	0	0	189.35	296.01	0	10.33	0	0.35	0	0	0	192.00	302.08	0	10.57	0	0.37	0	0	0	189.35	882.00	0	62.47	0	3.64	0	0	0	blood	USA: New York; NY	Homo sapiens	Bacteraemia; meningitis; wound infection; UTI; pneumonia								0.9669802970259384	
species	Staphylococcus pseudintermedius	387		283734	2746	387.84	1.44	205129	946	16589	12.3654		0.8905	0.0001	387	0.0064		0.0425	454	3.698524419881543	1.6431573186304211	3	2743	1.5	386.336075399929	0	3	2688	43	10	2	0	0	0	0	1.44	376.88	5.33	0.68	0.14	0	0	0	0	1.50	380.08	5.40	0.72	0.14	0	0	0	0	2.88	2665.65	42.43	9.53	1.95	0	0	0												0.8905148918292846	
