"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate3_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 12:44:32 PM"
"BatchStopTime","5/12/2022 1:46:38 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"14(1,B2)","Unknown10","57","59","73","61","55","50","48","63","64","42","62","71","72","76","57","57","38","55","64","54","44","62","101","71","61","73","69","54","68","64","1845"
"15(1,B3)","Unknown18","61","59","58","50","51","67","45","56","38","53","40","59","76","62","55","59","37","50","60","49","43","57","67","76","56","52","42","52","60","53","1643"
"16(1,B4)","Unknown26","56","64","59","57","37","50","45","43","48","45","61","60","65","57","66","67","47","57","52","49","41","56","61","51","57","65","72","44","55","55","1642"
"17(1,B5)","Unknown34","59","70","72","57","42","54","57","51","72","64","35","61","76","53","63","59","47","51","65","54","55","70","67","69","66","61","50","49","48","54","1751"
"18(1,B6)","Unknown42","56","58","72","58","59","50","47","52","46","57","48","54","55","63","77","59","45","56","74","59","54","51","67","76","72","46","49","45","52","50","1707"
"19(1,B7)","Unknown50","76","73","78","65","61","69","52","54","75","51","59","51","94","77","80","70","46","44","78","61","54","70","68","66","64","63","66","55","75","83","1978"
"20(1,B8)","Unknown58","58","80","72","57","44","64","41","56","44","52","59","65","60","69","61","59","42","62","70","55","62","65","72","66","65","53","56","52","60","59","1780"
"21(1,B9)","Unknown66","58","62","69","42","44","50","56","65","64","56","49","51","70","61","57","56","44","52","82","63","49","55","68","61","54","55","57","64","65","61","1740"
"22(1,B10)","Unknown74","64","61","79","56","48","52","57","49","58","45","43","79","81","56","71","54","49","66","54","64","49","60","75","58","63","56","47","37","40","69","1740"
"23(1,B11)","Unknown82","65","55","60","63","39","63","40","55","63","54","41","57","65","61","65","49","37","37","63","52","54","71","78","70","68","73","64","48","58","53","1721"
"24(1,B12)","Unknown90","50","64","72","68","57","58","63","58","65","51","41","64","80","64","87","62","43","62","48","63","56","51","86","61","60","72","53","51","59","62","1831"
"25(1,C1)","Unknown3","58","66","89","50","45","62","37","40","55","48","47","51","66","57","76","76","47","43","58","58","47","53","60","65","55","70","61","47","72","77","1736"
"26(1,C2)","Unknown11","54","79","69","67","41","53","60","60","52","60","44","60","62","56","63","60","32","52","58","51","54","66","71","57","73","45","51","46","64","75","1735"
"27(1,C3)","Unknown19","47","69","68","72","62","53","47","61","50","70","60","62","80","65","67","65","34","46","70","51","38","67","81","59","51","70","52","39","66","69","1791"
"28(1,C4)","Unknown27","58","73","73","50","52","58","46","53","66","43","38","64","69","69","59","59","55","56","57","67","40","59","72","53","58","63","50","33","52","61","1706"
"29(1,C5)","Unknown35","74","67","65","65","67","52","62","56","45","43","53","61","72","60","59","68","39","32","70","55","49","60","75","53","41","52","48","50","49","50","1692"
"30(1,C6)","Unknown43","60","74","61","50","45","61","36","50","67","67","54","41","64","70","64","69","49","41","63","52","46","49","66","70","64","51","60","38","67","58","1707"
"31(1,C7)","Unknown51","75","63","65","56","45","62","44","43","72","58","55","69","70","60","67","57","41","49","56","53","34","42","62","55","65","67","48","45","67","59","1704"
"32(1,C8)","Unknown59","43","63","71","63","40","66","56","51","65","54","43","68","77","67","55","55","52","39","69","52","52","51","65","64","64","49","51","51","55","73","1724"
"33(1,C9)","Unknown67","53","67","61","58","37","54","43","42","54","50","63","59","59","68","48","56","44","53","56","44","57","52","67","58","57","46","43","49","58","42","1598"
"34(1,C10)","Unknown75","55","54","59","56","36","63","42","54","48","45","42","50","65","53","69","54","41","49","54","50","54","48","69","51","59","49","39","49","47","49","1553"
"35(1,C11)","Unknown83","64","60","93","68","49","68","63","57","76","54","54","59","72","62","65","65","34","49","57","76","62","65","62","71","85","59","54","59","52","66","1880"
"36(1,C12)","Unknown91","66","58","83","70","50","43","44","48","48","59","47","65","66","59","72","72","52","65","57","62","64","55","57","85","83","54","62","40","41","55","1782"
"37(1,D1)","Unknown4","61","64","81","46","46","58","47","59","64","57","61","59","63","49","68","76","46","56","62","62","63","52","66","69","76","71","62","53","65","43","1805"
"38(1,D2)","Unknown12","65","73","80","56","67","77","66","61","88","71","60","66","73","78","66","83","44","65","80","65","63","59","81","70","75","62","59","51","54","65","2023"
"39(1,D3)","Unknown20","49","73","63","39","56","63","45","66","54","49","48","44","47","54","66","52","37","38","59","55","50","55","47","58","77","45","61","49","64","64","1627"
"40(1,D4)","Unknown28","60","60","56","59","50","55","44","59","69","50","48","60","70","54","74","65","44","39","63","55","37","45","55","75","76","57","50","53","52","57","1691"
"41(1,D5)","Unknown36","51","59","68","53","51","51","44","43","52","52","44","50","66","61","66","60","34","46","67","45","48","59","70","72","64","64","52","48","46","53","1639"
"42(1,D6)","Unknown44","59","68","80","67","44","48","44","53","68","57","58","60","60","54","85","55","46","59","48","46","44","53","72","62","69","55","66","56","63","68","1767"
"43(1,D7)","Unknown52","51","54","73","56","39","62","46","62","54","43","57","58","68","45","50","72","55","40","66","50","47","56","74","69","57","59","47","41","67","67","1685"
"44(1,D8)","Unknown60","54","64","72","53","48","50","41","65","43","53","50","54","67","50","73","56","39","57","57","62","53","55","82","62","53","66","50","59","65","73","1726"
"45(1,D9)","Unknown68","60","66","63","62","51","55","56","58","57","44","53","63","68","59","65","55","58","47","68","61","57","49","72","71","65","60","41","43","50","45","1722"
"46(1,D10)","Unknown76","79","55","73","51","46","54","49","50","54","52","39","52","56","63","66","59","47","41","53","58","46","47","75","53","68","60","56","45","53","54","1654"
"47(1,D11)","Unknown84","79","82","82","59","66","72","62","51","60","66","38","59","97","80","81","77","46","54","63","64","70","52","67","74","65","66","53","58","65","68","1976"
"48(1,D12)","Unknown92","67","62","75","60","57","73","57","55","81","63","57","68","81","59","69","65","45","68","53","62","46","70","82","63","56","66","56","78","71","70","1935"
"49(1,E1)","Unknown5","55","55","54","60","49","55","42","40","62","36","39","52","54","48","52","56","42","49","60","69","42","41","58","50","60","66","61","48","50","48","1553"
"50(1,E2)","Unknown13","49","66","64","70","63","54","63","37","69","54","47","79","85","60","75","74","37","60","66","62","62","52","65","75","66","67","53","48","71","61","1854"
"51(1,E3)","Unknown21","66","71","72","51","45","48","53","43","52","53","45","63","70","66","57","65","53","45","66","48","51","52","78","66","53","50","60","42","42","64","1690"
"52(1,E4)","Unknown29","53","58","74","52","34","44","58","55","63","56","49","61","68","53","47","65","42","50","53","51","37","39","50","50","70","57","59","57","51","51","1607"
"53(1,E5)","Unknown37","62","68","88","78","53","55","54","58","59","55","62","56","69","69","65","73","38","64","64","68","57","61","69","69","57","69","62","41","54","64","1861"
"54(1,E6)","Unknown45","45","63","79","51","51","49","47","54","56","43","44","56","52","59","64","69","37","37","54","49","31","51","73","59","61","56","50","48","48","58","1594"
"55(1,E7)","Unknown53","74","67","89","55","44","48","60","40","70","56","62","48","73","64","58","54","40","62","69","64","42","48","78","60","81","53","58","48","62","63","1790"
"56(1,E8)","Unknown61","67","66","78","65","55","44","50","47","59","53","45","47","79","48","67","68","32","56","63","55","55","53","72","64","63","52","50","60","63","64","1740"
"57(1,E9)","Unknown69","60","76","66","54","46","64","53","51","54","49","53","62","78","52","63","66","35","64","53","66","54","53","66","64","55","66","62","54","55","56","1750"
"58(1,E10)","Unknown77","53","64","60","62","58","54","64","49","63","39","48","54","80","75","73","67","46","44","49","47","59","54","69","46","65","60","48","39","57","67","1713"
"59(1,E11)","Unknown85","63","67","73","86","42","75","58","74","61","54","62","71","88","63","51","66","48","66","60","63","46","60","93","91","60","39","55","34","66","56","1891"
"60(1,E12)","Unknown93","59","56","87","56","63","44","39","64","58","64","53","70","72","71","83","72","32","61","60","48","64","61","65","76","70","58","68","47","59","59","1839"
"61(1,F1)","Unknown6","68","64","93","58","43","60","55","45","67","53","47","65","68","52","77","54","44","57","58","50","45","42","62","52","75","68","46","50","49","59","1726"
"62(1,F2)","Unknown14","59","70","68","74","55","71","50","62","75","39","51","72","76","83","68","75","33","57","76","66","54","75","86","79","64","68","61","60","66","71","1964"
"63(1,F3)","Unknown22","51","58","70","54","43","50","57","38","61","48","48","61","64","57","60","64","57","53","44","46","52","43","51","63","75","57","52","46","60","57","1640"
"64(1,F4)","Unknown30","61","57","57","44","51","61","50","45","67","59","32","63","86","53","65","55","29","49","54","57","57","38","65","57","54","70","50","51","56","66","1659"
"65(1,F5)","Unknown38","60","65","68","56","36","56","59","75","66","56","44","53","68","65","61","56","44","54","55","50","47","63","67","46","69","75","46","48","52","60","1720"
"66(1,F6)","Unknown46","47","62","71","43","57","54","46","45","50","45","41","66","69","69","66","64","40","62","55","53","47","63","72","68","64","71","59","41","47","57","1694"
"67(1,F7)","Unknown54","65","72","74","60","34","49","51","55","56","53","55","49","53","49","66","57","36","61","59","66","48","45","60","73","57","52","37","50","56","55","1653"
"68(1,F8)","Unknown62","69","88","67","69","58","62","57","60","71","57","40","55","92","62","81","71","55","54","69","56","41","72","76","73","63","59","61","54","59","54","1905"
"69(1,F9)","Unknown70","41","74","56","55","59","34","45","46","58","48","39","48","63","54","47","49","47","39","43","56","36","48","56","54","70","55","43","32","59","53","1507"
"70(1,F10)","Unknown78","61","71","72","56","42","53","58","69","66","58","37","39","80","55","52","61","40","54","61","54","60","49","76","72","73","63","65","56","55","78","1786"
"71(1,F11)","Unknown86","70","81","65","64","60","72","53","61","67","66","42","44","82","57","59","58","55","64","64","58","56","69","72","64","68","62","58","45","52","60","1848"
"72(1,F12)","Unknown94","66","61","79","66","64","65","53","52","71","61","57","66","93","61","72","73","44","53","66","70","58","57","76","65","72","77","63","54","42","67","1924"
"73(1,G1)","Unknown7","68","83","80","52","62","68","70","66","81","49","42","62","88","83","70","70","40","58","61","58","60","59","93","86","63","65","65","65","64","64","1995"
"74(1,G2)","Unknown15","78","83","80","66","47","68","51","67","70","66","62","75","75","58","70","69","58","47","71","59","60","63","71","68","79","73","62","48","60","73","1977"
"75(1,G3)","Unknown23","73","68","58","47","56","56","51","54","67","64","51","52","74","65","77","57","37","58","61","53","51","57","63","83","50","68","54","64","70","56","1795"
"76(1,G4)","Unknown31","58","65","67","54","48","63","51","58","62","50","56","50","71","48","82","74","49","54","55","69","61","58","77","59","60","68","59","60","72","61","1819"
"77(1,G5)","Unknown39","46","60","75","53","53","45","41","52","66","54","38","53","73","61","59","54","36","42","47","49","55","53","61","60","67","69","63","45","63","59","1652"
"78(1,G6)","Unknown47","48","54","70","52","50","51","46","48","55","57","44","45","70","68","66","65","46","50","57","53","68","56","68","69","71","72","45","58","55","53","1710"
"79(1,G7)","Unknown55","74","60","87","55","64","60","46","46","57","56","39","65","68","71","56","59","40","62","74","56","34","56","75","75","66","66","51","62","58","59","1797"
"80(1,G8)","Unknown63","67","67","70","56","54","61","53","59","58","55","39","46","69","57","74","67","42","55","52","55","57","46","74","60","65","69","48","68","58","56","1757"
"81(1,G9)","Unknown71","57","59","79","63","55","73","57","49","58","71","42","61","92","64","64","68","39","54","67","60","55","47","59","63","61","58","59","42","58","56","1790"
"82(1,G10)","Unknown79","85","70","81","67","68","53","52","54","66","55","67","53","68","77","60","62","51","66","62","65","58","55","73","66","66","68","62","49","66","65","1910"
"83(1,G11)","Unknown87","64","70","68","52","60","54","60","56","70","59","57","75","83","84","74","69","42","63","74","44","46","31","72","73","58","78","59","67","59","87","1908"
"84(1,G12)","Unknown95","70","58","49","54","56","70","61","37","44","47","56","52","66","64","39","57","39","53","54","50","35","46","69","52","53","67","42","47","52","51","1590"
"85(1,H1)","Unknown8","73","65","71","60","52","57","44","48","73","51","49","69","71","61","67","68","33","67","67","55","68","70","82","60","66","59","59","39","77","59","1840"
"86(1,H2)","Unknown16","45","72","60","69","44","63","36","49","65","49","42","76","64","67","74","50","35","57","54","63","38","61","60","66","59","51","55","47","60","54","1685"
"87(1,H3)","Unknown24","39","65","80","67","57","63","57","52","74","54","44","45","75","76","78","60","43","63","66","57","55","58","92","65","69","63","51","69","62","61","1860"
"88(1,H4)","Unknown32","61","62","68","47","48","58","60","48","53","62","44","65","60","71","59","56","47","47","64","66","45","58","66","84","84","64","49","42","74","52","1764"
"89(1,H5)","Unknown40","65","71","66","54","65","61","51","65","73","54","48","69","93","62","71","64","48","68","50","65","45","57","81","65","70","60","57","61","59","66","1884"
"90(1,H6)","Unknown48","75","54","79","51","50","59","72","49","68","61","58","51","85","52","71","65","40","52","54","60","57","70","79","71","76","56","65","48","57","58","1843"
"91(1,H7)","Unknown56","45","83","73","72","57","55","46","56","66","48","54","51","64","69","84","79","34","60","66","54","57","54","73","63","67","71","62","55","74","87","1879"
"92(1,H8)","Unknown64","61","73","62","55","53","58","50","69","62","55","51","62","70","71","62","67","41","61","73","69","57","55","76","84","60","65","65","55","63","79","1884"
"93(1,H9)","Unknown72","60","53","80","62","38","54","42","61","41","43","40","57","56","69","59","65","38","59","52","48","55","48","54","55","72","66","44","33","63","54","1621"
"94(1,H10)","Unknown80","77","69","70","61","47","71","49","58","75","46","57","79","75","63","72","78","44","72","49","73","50","59","75","84","88","65","67","56","69","83","1981"
"95(1,H11)","Unknown88","69","70","75","65","54","56","58","50","66","48","52","72","89","69","64","72","46","72","67","61","51","55","84","59","67","67","56","54","63","79","1910"
"96(1,H12)","Unknown96","64","76","78","78","55","48","56","50","59","49","37","73","69","74","76","65","46","47","62","60","53","67","78","66","57","72","46","53","49","67","1830"

"DataType:","Units"
"Analyte:","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron"
"BeadID:","12","15","18","19","20","21","26","27","28","29","33","34","35","36","37","38","39","42","43","44","45","46","47","48","51","56","62","63","66","67"
"Units:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"DataType:","Per Bead Count"
"Analyte:","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron"
"BeadID:","12","15","18","19","20","21","26","27","28","29","33","34","35","36","37","38","39","42","43","44","45","46","47","48","51","56","62","63","66","67"
"Per Bead:","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"

"DataType:","Acquisition Time"
"Location","Sample","Seconds","Total Events"
"1(1,A1)","B","39","1723"
"2(1,A2)","S","38","1584"
"3(1,A3)","S","38","1669"
"4(1,A4)","S","38","1843"
"5(1,A5)","S","38","1855"
"6(1,A6)","S","38","1813"
"7(1,A7)","S","38","1749"
"8(1,A8)","S","38","1700"
"9(1,A9)","S","38","1737"
"10(1,A10)","S","38","1683"
"11(1,A11)","S","38","1803"
"12(1,A12)","S","38","1730"
"13(1,B1)","Unknown2","39","1747"
"14(1,B2)","Unknown10","38","1845"
"15(1,B3)","Unknown18","39","1643"
"16(1,B4)","Unknown26","39","1642"
"17(1,B5)","Unknown34","38","1751"
"18(1,B6)","Unknown42","38","1707"
"19(1,B7)","Unknown50","38","1978"
"20(1,B8)","Unknown58","38","1780"
"21(1,B9)","Unknown66","38","1740"
"22(1,B10)","Unknown74","38","1740"
"23(1,B11)","Unknown82","38","1721"
"24(1,B12)","Unknown90","38","1831"
"25(1,C1)","Unknown3","39","1736"
"26(1,C2)","Unknown11","38","1735"
"27(1,C3)","Unknown19","38","1791"
"28(1,C4)","Unknown27","38","1706"
"29(1,C5)","Unknown35","38","1692"
"30(1,C6)","Unknown43","38","1707"
"31(1,C7)","Unknown51","38","1704"
"32(1,C8)","Unknown59","38","1724"
"33(1,C9)","Unknown67","38","1598"
"34(1,C10)","Unknown75","38","1553"
"35(1,C11)","Unknown83","38","1880"
"36(1,C12)","Unknown91","38","1782"
"37(1,D1)","Unknown4","40","1805"
"38(1,D2)","Unknown12","38","2023"
"39(1,D3)","Unknown20","38","1627"
"40(1,D4)","Unknown28","38","1691"
"41(1,D5)","Unknown36","38","1639"
"42(1,D6)","Unknown44","38","1767"
"43(1,D7)","Unknown52","38","1685"
"44(1,D8)","Unknown60","38","1726"
"45(1,D9)","Unknown68","38","1722"
"46(1,D10)","Unknown76","38","1654"
"47(1,D11)","Unknown84","39","1976"
"48(1,D12)","Unknown92","38","1935"
"49(1,E1)","Unknown5","39","1553"
"50(1,E2)","Unknown13","38","1854"
"51(1,E3)","Unknown21","38","1690"
"52(1,E4)","Unknown29","38","1607"
"53(1,E5)","Unknown37","38","1861"
"54(1,E6)","Unknown45","38","1594"
"55(1,E7)","Unknown53","38","1790"
"56(1,E8)","Unknown61","39","1740"
"57(1,E9)","Unknown69","38","1750"
"58(1,E10)","Unknown77","38","1713"
"59(1,E11)","Unknown85","38","1891"
"60(1,E12)","Unknown93","39","1839"
"61(1,F1)","Unknown6","39","1726"
"62(1,F2)","Unknown14","38","1964"
"63(1,F3)","Unknown22","38","1640"
"64(1,F4)","Unknown30","39","1659"
"65(1,F5)","Unknown38","38","1720"
"66(1,F6)","Unknown46","38","1694"
"67(1,F7)","Unknown54","38","1653"
"68(1,F8)","Unknown62","39","1905"
"69(1,F9)","Unknown70","38","1507"
"70(1,F10)","Unknown78","38","1786"
"71(1,F11)","Unknown86","38","1848"
"72(1,F12)","Unknown94","38","1924"
"73(1,G1)","Unknown7","39","1995"
"74(1,G2)","Unknown15","38","1977"
"75(1,G3)","Unknown23","38","1795"
"76(1,G4)","Unknown31","38","1819"
"77(1,G5)","Unknown39","38","1652"
"78(1,G6)","Unknown47","38","1710"
"79(1,G7)","Unknown55","38","1797"
"80(1,G8)","Unknown63","38","1757"
"81(1,G9)","Unknown71","38","1790"
"82(1,G10)","Unknown79","38","1910"
"83(1,G11)","Unknown87","39","1908"
"84(1,G12)","Unknown95","38","1590"
"85(1,H1)","Unknown8","40","1840"
"86(1,H2)","Unknown16","39","1685"
"87(1,H3)","Unknown24","38","1860"
"88(1,H4)","Unknown32","38","1764"
"89(1,H5)","Unknown40","38","1884"
"90(1,H6)","Unknown48","38","1843"
"91(1,H7)","Unknown56","39","1879"
"92(1,H8)","Unknown64","38","1884"
"93(1,H9)","Unknown72","38","1621"
"94(1,H10)","Unknown80","38","1981"
"95(1,H11)","Unknown88","38","1910"
"96(1,H12)","Unknown96","38","1830"


"DataType:","Dilution Factor"
"Location","Sample","Dilution Factor"
"1(1,A1)","B","1"
"2(1,A2)","S","1"
"3(1,A3)","S","1"
"4(1,A4)","S","1"
"5(1,A5)","S","1"
"6(1,A6)","S","1"
"7(1,A7)","S","1"
"8(1,A8)","S","1"
"9(1,A9)","S","1"
"10(1,A10)","S","1"
"11(1,A11)","S","1"
"12(1,A12)","S","1"
"13(1,B1)","Unknown2","1"
"14(1,B2)","Unknown10","1"
"15(1,B3)","Unknown18","1"
"16(1,B4)","Unknown26","1"
"17(1,B5)","Unknown34","1"
"18(1,B6)","Unknown42","1"
"19(1,B7)","Unknown50","1"
"20(1,B8)","Unknown58","1"
"21(1,B9)","Unknown66","1"
"22(1,B10)","Unknown74","1"
"23(1,B11)","Unknown82","1"
"24(1,B12)","Unknown90","1"
"25(1,C1)","Unknown3","1"
"26(1,C2)","Unknown11","1"
"27(1,C3)","Unknown19","1"
"28(1,C4)","Unknown27","1"
"29(1,C5)","Unknown35","1"
"30(1,C6)","Unknown43","1"
"31(1,C7)","Unknown51","1"
"32(1,C8)","Unknown59","1"
"33(1,C9)","Unknown67","1"
"34(1,C10)","Unknown75","1"
"35(1,C11)","Unknown83","1"
"36(1,C12)","Unknown91","1"
"37(1,D1)","Unknown4","1"
"38(1,D2)","Unknown12","1"
"39(1,D3)","Unknown20","1"
"40(1,D4)","Unknown28","1"
"41(1,D5)","Unknown36","1"
"42(1,D6)","Unknown44","1"
"43(1,D7)","Unknown52","1"
"44(1,D8)","Unknown60","1"
"45(1,D9)","Unknown68","1"
"46(1,D10)","Unknown76","1"
"47(1,D11)","Unknown84","1"
"48(1,D12)","Unknown92","1"
"49(1,E1)","Unknown5","1"
"50(1,E2)","Unknown13","1"
"51(1,E3)","Unknown21","1"
"52(1,E4)","Unknown29","1"
"53(1,E5)","Unknown37","1"
"54(1,E6)","Unknown45","1"
"55(1,E7)","Unknown53","1"
"56(1,E8)","Unknown61","1"
"57(1,E9)","Unknown69","1"
"58(1,E10)","Unknown77","1"
"59(1,E11)","Unknown85","1"
"60(1,E12)","Unknown93","1"
"61(1,F1)","Unknown6","1"
"62(1,F2)","Unknown14","1"
"63(1,F3)","Unknown22","1"
"64(1,F4)","Unknown30","1"
"65(1,F5)","Unknown38","1"
"66(1,F6)","Unknown46","1"
"67(1,F7)","Unknown54","1"
"68(1,F8)","Unknown62","1"
"69(1,F9)","Unknown70","1"
"70(1,F10)","Unknown78","1"
"71(1,F11)","Unknown86","1"
"72(1,F12)","Unknown94","1"
"73(1,G1)","Unknown7","1"
"74(1,G2)","Unknown15","1"
"75(1,G3)","Unknown23","1"
"76(1,G4)","Unknown31","1"
"77(1,G5)","Unknown39","1"
"78(1,G6)","Unknown47","1"
"79(1,G7)","Unknown55","1"
"80(1,G8)","Unknown63","1"
"81(1,G9)","Unknown71","1"
"82(1,G10)","Unknown79","1"
"83(1,G11)","Unknown87","1"
"84(1,G12)","Unknown95","1"
"85(1,H1)","Unknown8","1"
"86(1,H2)","Unknown16","1"
"87(1,H3)","Unknown24","1"
"88(1,H4)","Unknown32","1"
"89(1,H5)","Unknown40","1"
"90(1,H6)","Unknown48","1"
"91(1,H7)","Unknown56","1"
"92(1,H8)","Unknown64","1"
"93(1,H9)","Unknown72","1"
"94(1,H10)","Unknown80","1"
"95(1,H11)","Unknown88","1"
"96(1,H12)","Unknown96","1"


"DataType:","Analysis Types"
"Analyte:","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron"
"AnalysisType","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"

"DataType:","Audit Logs"
"UserId","Date","Message"

"DataType:","Warnings/Errors"
"Location","Status","Message"

-- CRC --
CRC32: 71C6BC8E
