,,,Raw Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.92_134.0605m/z,134.060461,3.918633333,0,0,0,83.5485419,100.7818618,89.59777373,95.80722044,88.41147491,93.78488018,93.82756758,98.50158801,89.85973019,120.8648474,122.0704564,114.7378007,109.0397754,113.5379775,109.7320678,111.6900055,121.9286148,124.1096312,0,0,0,0,0,0,0,0,0
4.19_327.5792m/z,327.5792414,4.189533333,0,0,0,109.4237736,114.2457134,112.8667788,79.07860561,79.39102384,75.95034422,114.549522,113.2982535,134.9233818,120.8758543,128.8152273,133.1710416,129.8459145,104.2086273,114.8131588,106.4077318,107.3078051,100.0252293,0,0,0,0,0,0,0,0,0
1.17_143.5989n,288.2007998,1.17285,0,0,0,0.500617474,1.694914414,0.477847668,0.609423271,0.758054434,0.705506206,0.925297522,0.786830484,1.313895512,2.277095981,0.88468576,2.409527599,1.062537458,0.411156698,0.315509521,1.089106336,0.544953519,0.452622979,120.885017,120.8466379,122.0795807,123.7484704,143.4047606,147.3067363,139.1542027,128.0058214,114.787782
0.71_914.8139m/z,914.8139386,0.709933333,0,0,0,125.9861566,123.166767,121.0915877,112.0582946,103.4907252,116.7322046,77.74023053,108.8441692,100.8061728,99.43974457,109.7657241,108.2223781,121.4147314,96.29645693,106.0925739,99.79248086,103.0828095,110.6295259,44.77383618,50.47819357,48.39368217,44.68909679,42.44498789,43.61502864,31.45221832,40.59422381,38.02927666
0.85_338.1394m/z,338.1394404,0.85275,0,0,0,96.22385481,92.15477577,108.2266863,133.420864,126.0634076,132.184875,91.30246589,104.6427321,101.8096356,112.0644859,96.03680091,97.60404885,119.279496,115.9999666,105.610365,101.0978057,93.3137986,100.027246,114.2425859,120.8914216,119.860322,133.172026,120.4427789,124.412633,113.1811388,120.5323389,123.1844942
0.83_396.1801m/z,396.1800961,0.831333333,0,0,0,5.612320006,8.15354114,10.56643243,5.799430355,11.98122991,11.13748307,7.896939806,6.978262075,8.131591377,10.32239195,4.939845377,14.24758336,9.774187992,8.318752101,5.719770205,8.641998765,8.57806157,7.558582945,131.4007068,134.9489496,130.7014682,133.7048408,123.4075701,125.6298318,128.1732091,118.9310608,130.6808866
0.83_259.1310n,282.1202671,0.831333333,0,0,0,37.97125537,44.02982774,51.30962374,47.4146097,49.40155984,44.5078558,43.99431168,45.27903243,55.60863128,41.48460097,33.70635759,35.15285029,42.16317809,29.30258327,31.28634015,37.86686632,27.68420843,36.99193565,135.5186298,142.2827799,132.2478049,136.3731584,128.9891626,117.3582154,112.7908405,115.7263088,129.9768794
1.32_198.0082m/z,198.008188,1.315266667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.1387133,133.5110304,125.5948459,121.1530346,127.2377336,132.6377571,133.5343724,122.3703989,121.2655604
3.34_232.0621m/z,232.0620764,3.335883333,0,0,0,64.19524236,68.14769349,74.70086547,68.31680116,75.87913825,75.18290372,67.14275015,76.45268321,81.67183221,112.6639251,108.9991373,110.6805528,130.558275,126.6388246,122.4695239,102.9666978,112.360134,100.5385101,31.91969908,51.05359637,44.20018274,52.35227127,52.52305498,64.62040756,60.87081718,63.82790072,60.23410936
2.05_355.1935m/z,355.1934523,2.054583333,0,0,0,0,2.734118596,0,4.344478904,6.647190053,1.958015956,1.472320557,1.993327517,1.098297179,62.55600005,51.4989624,48.6230432,47.7729342,46.68706878,47.31753844,55.94438183,48.19035669,48.60682678,136.7808149,127.9009071,133.4347561,131.4880944,144.9486764,114.830182,116.4973381,116.328425,121.0377514
2.48_326.5197m/z,326.5197323,2.481916667,0,0,0,1.775970459,4.507720888,1.594406128,1.218765259,2.212907891,1.874648988,0,2.609100342,3.623380882,10.8986142,8.961654238,5.126909485,4.135185353,10.5636928,4.413772583,8.430542111,3.10135509,2.928390503,128.6645309,126.2078754,130.2686787,121.4432165,122.2224691,124.3792173,132.1888055,123.5363388,129.4061924
7.82_546.4886m/z,546.4886126,7.824016667,1.89906445,0,0,0,0,0,0,0,0,0,3.429046631,0,76.71254441,70.92648251,95.06671137,137.7214285,179.3098704,147.3004203,89.63161587,99.17141994,127.047016,0,0,0,0,0,0,0,0,0
2.45_158.5574m/z,158.5574474,2.45335,0,0,0,103.4077508,112.6740254,107.0203417,120.1180597,121.6082248,119.0216277,104.0383632,91.64434922,89.90762028,89.54575281,91.61239254,88.98310712,73.16190379,75.26750495,76.16484317,90.20050815,93.77247682,89.52929797,102.8928286,106.6475729,102.5964332,103.134484,115.1181157,109.8944981,109.3607171,108.7296117,123.6432399
1.17_233.1121m/z,233.1120535,1.17285,0,0,0,6.572000858,10.33262822,8.317872835,8.844798089,6.757243308,8.298808147,6.428018215,10.77502861,6.298300322,4.34172261,7.266027305,7.56454516,8.516316556,8.786686065,11.39679239,7.56591616,7.169535001,10.08021491,136.430465,117.3649501,119.177804,148.0029749,137.9204053,116.0086002,127.5226476,120.3769413,112.5065624
2.81_425.2741m/z,425.2741439,2.8093,0,0,0,0,0.124006275,0.410300216,0,0.002162126,0.027771297,0.10562409,0.35976343,0.003057574,3.196379888,4.115576594,4.693378768,0,0.029062021,0.090068539,1.512784058,0.27861344,1.351320715,115.6795441,135.0815888,119.3566319,120.0591581,119.6621479,135.8492825,131.2577177,129.093935,120.1977661
2.65_235.6710m/z,235.6709765,2.645466667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.6340234,120.8729349,123.3591075,115.1094502,136.851533,130.0689255,121.8027363,132.7096648,129.1437121
3.27_463.1243m/z,463.1243334,3.271616667,0,0,0,43.29203384,51.01779451,55.81030685,26.21613539,18.28710938,22.64029389,43.21215128,42.0813355,43.51449585,121.4718988,127.741669,118.6855508,97.51177574,107.4455793,106.1471773,109.664143,115.2368453,108.8458506,0,0,0,0,0,0,0,0,0
0.84_435.2263m/z,435.2262738,0.838483333,0,0,0,83.66227046,86.37945768,98.68401189,91.819715,86.47577097,97.05540245,79.17396816,84.13868685,83.6124755,90.44209769,76.34525642,92.6499998,80.77025151,86.05767256,77.4058362,72.44024232,72.20001932,86.96491137,123.1226481,133.7989527,120.9538852,123.279408,139.9066076,124.047584,128.1177696,112.2716585,120.5458648
0.79_267.0317n,290.0208799,0.788483333,0,0,0,77.56736088,86.0248176,74.61991654,71.7385458,69.24324312,62.80558022,83.13581678,77.06053169,90.17581886,118.1832487,113.936198,107.7219096,113.1983989,127.3041842,105.8996603,118.3486185,104.5311511,101.3358299,31.42729336,27.82505185,25.00230672,27.77045513,25.25654051,27.12116835,24.35352501,24.43049112,26.68240694
0.71_1008.8087m/z,1008.80873,0.709933333,0,0,0,111.8671876,115.1825941,111.2077084,102.3337564,102.1827427,97.24505615,102.8810265,110.7240494,101.4740082,97.72588183,105.5174868,100.9253637,79.2392055,82.50374293,91.94839192,97.39129389,97.59406802,97.11614407,26.10324037,24.17187121,17.62280744,24.9957876,11.53564453,19.27184137,18.13085221,21.81860737,21.68480876
4.25_291.0577m/z,291.0577031,4.2532,0,0,0,65.44656396,67.33880826,62.54138184,14.74737561,22.18958605,24.49456775,60.19157717,62.40989703,50.85360712,87.56397302,76.56573587,81.89051047,164.136215,169.2405385,153.690978,85.05581747,92.35929438,95.31043994,0,0,0,0,0,0,0,0,0
1.17_566.2784m/z,566.2783919,1.17285,0,0,0,76.87815462,78.85114529,89.51318026,108.7067027,127.2028216,134.0712277,108.8962394,104.3656422,121.4821817,31.76388842,24.76645855,30.83243441,17.22332752,14.55123878,16.63482642,20.89877802,18.82740431,30.50229305,0,0,0,0,0,0,0,0,0
1.22_237.1363m/z,237.1362532,1.222433333,0,0,0,64.48659286,66.84591869,66.4535027,58.78029215,62.33467714,62.44026749,55.6949914,56.38194287,61.97064996,63.52847682,57.36181309,59.95072323,59.20840795,53.31496345,52.43267474,59.1628798,48.91813778,62.50488836,120.098715,134.9462758,111.2872427,138.1068478,127.426171,127.7506769,121.2179069,116.1069568,121.4506123
0.64_257.9271m/z,257.9271136,0.639233333,0,0,0,0,0,0,0,0,0,0,0,0,147.5210697,155.2784726,149.2438165,55.20108604,60.97152744,51.83447635,127.2004568,134.507213,124.5475623,0,0,0,0,0,0,0,0,0
4.64_542.0602m/z,542.0601554,4.637416667,0,0,0,78.44378656,82.71142301,87.79791284,55.84713745,58.01013371,54.72348022,83.01522975,79.04702759,66.01306105,130.6533802,130.257896,104.1627806,109.9188764,99.34600866,106.0009601,116.0597544,100.3067894,107.134472,0,0,0,0,0,0,0,0,0
1.21_375.2187m/z,375.2187405,1.20815,0,0,0,17.22533369,18.37382078,19.09086329,3.908112252,13.88354838,15.26013953,6.960888981,9.927708529,6.055067793,17.76272214,16.57129982,11.88878842,15.49590121,15.16879688,10.44604936,7.267022036,21.79809892,19.36260431,120.543583,127.6038087,112.763475,122.9976203,123.9696241,129.4370705,129.4951148,122.6192922,124.1358256
1.86_197.0905m/z,197.0905449,1.85605,0,0,0,125.6457345,136.5895901,129.6462252,85.40835857,89.3182683,90.53938853,95.51502192,106.0775772,94.10914117,82.86573342,79.89515741,68.46011258,72.07380407,81.55007167,73.84842718,73.92749822,78.92818961,68.54476143,0.700849216,2.048784648,1.856195029,2.453473382,2.517760184,3.106161673,1.001691664,0.893441069,1.251489236
2.85_477.2386m/z,477.238629,2.845,0,0,0,0.079903189,0.083025118,0.268705684,0.237706438,0.003612387,0.363844796,0.170654741,0.011685127,0.014957048,1.578345739,2.563975918,2.340275774,2.842776824,1.09E-05,0.986447316,0.072165969,0.676482752,0.957855004,106.7967702,114.5974992,107.7764851,123.1315459,148.6635897,126.0467556,147.0001469,129.0114585,106.2136993
2.35_273.1599m/z,273.159853,2.353816667,0,0,0,40.21416426,40.09205182,42.57309597,39.05673316,42.58990291,35.40266324,34.40565855,35.22310987,38.61139169,44.50073464,51.76507638,45.23910115,31.90235071,33.01285745,44.17953799,37.79333512,43.03868671,38.71484605,124.0757374,121.6462892,110.7960294,117.6316043,128.851618,131.0274808,125.5861921,124.9567384,123.8907402
2.88_477.1405m/z,477.14051,2.88,0,0,0,36.10921485,28.81723843,40.38199063,9.112493277,9.549469054,2.633172707,22.62622768,23.08415131,24.74108311,135.7152177,142.5547993,125.1066641,92.26015767,89.11589347,96.38469245,112.4679901,95.53733922,109.9620507,0.531874543,0.386490063,0.153101492,0.014681249,0.127000207,0.230057723,0.558130413,0.015645173,0
3.56_153.0445m/z,153.0445151,3.55585,0,0,0,21.56635563,27.71377721,30.71900233,41.51137616,43.45445931,40.74630936,51.53717001,51.05598334,54.69539062,108.4572112,110.4475609,98.70504897,125.3668917,116.6662472,131.870255,102.5637836,92.55353206,111.0502097,0,0,0,0,0,0,0,0,0
2.42_279.1859m/z,279.1859308,2.4248,0,0,0,45.27496446,28.83075179,46.87408681,36.22475166,27.78387524,33.65109362,25.81513911,29.99358853,44.8287444,33.15456546,30.25371267,21.28286108,29.65761576,23.45133691,28.37858836,31.67996398,21.70655033,31.79511736,120.4009037,138.546469,96.71378122,109.0826918,133.8285555,127.7899004,129.6438586,116.2110069,126.2934529
0.97_153.9917m/z,153.9917178,0.9736,0,0,0,0,0,0,0,0,0,0,0,0,115.5963275,125.6865271,116.0133376,92.70448211,84.5222111,88.94437339,113.8233347,126.8741122,123.2840734,0,0,0,0,0.327626514,0,0,0,0
0.73_616.8177m/z,616.8176655,0.73135,0,0,0,101.9439741,98.65486274,106.4985042,97.85482867,99.79451395,113.764033,98.49999768,111.577218,104.3599843,115.6251162,114.7139065,113.0931892,102.6811399,107.2744342,100.8286344,104.0687439,107.4992211,101.1084119,34.84745413,37.86743641,42.94115176,42.6316491,49.88497592,46.37949199,44.97476346,37.90740433,35.51018178
0.70_463.0278m/z,463.0278167,0.7028,0,0,0,0.135014759,0,0,0,0,0,0,0,0,0,8.02E-05,0,0.012504609,0,0,0,0,0,136.6347932,118.61502,115.227078,122.2451477,133.0929102,131.6537527,127.4419568,105.5307054,106.6230656
5.51_386.1866n,387.1938809,5.505516667,0,0,0,53.1095475,72.66940811,70.4779952,109.6776604,110.2996402,122.6136938,120.4290432,116.9391523,109.1054348,44.39129649,34.02585063,42.58472176,32.11784345,41.29543691,46.39103159,45.28944573,40.93662102,44.44524678,111.1034683,109.912945,110.1392548,138.6553354,121.1212639,126.1275012,119.0272487,134.7471409,115.8626405
2.94_342.2398m/z,342.2397907,2.937133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.8917612,115.7080861,113.5401137,122.4650325,131.2868249,133.1616299,127.498575,117.341357,119.669194
2.93_387.1826m/z,387.1826115,2.93,0,0,0,0,0,1.39649813,0,0,0,0,0,0,147.827469,132.5001504,143.9040568,82.18325081,74.51535119,66.04681743,117.4299774,108.1706656,103.5066617,0,1.334788037,1.109865224,0,0,1.116653442,0.180055334,3.710695355,1.615936279
1.81_227.6428m/z,227.6428308,1.80605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.4900071,121.957067,121.0100258,115.6249112,116.5883174,124.5813572,116.6414473,102.5838926,132.5626362
2.47_400.1765m/z,400.1764784,2.474783333,0,0,0,61.86414119,53.11953563,54.65883817,136.8433123,134.0138754,137.6772285,110.0723494,102.4619136,119.5248484,60.07026603,54.48391386,67.16687019,43.96650147,45.60643982,45.87964331,70.94398916,74.57967717,63.12205687,43.93869334,49.44863704,47.79173291,56.55036547,64.67785017,62.49087973,56.02510288,54.84362793,51.98908407
1.99_107.0497m/z,107.0496804,1.991016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5772662,118.580354,109.7919501,113.0770789,123.3741963,121.812538,125.9640387,122.9630303,122.0774017
0.80_499.0932m/z,499.0931787,0.795633333,0,0,0,98.86175835,103.2475893,92.77405465,73.21489142,79.9293576,79.60259866,96.91828297,93.13780361,84.98904472,114.252718,111.0296136,108.7651354,121.2056752,98.57434822,99.24742123,106.1813609,99.82958665,104.7623427,49.75376914,44.15378377,43.41671634,43.67716572,49.79163291,50.91524691,46.23108959,36.90902343,49.14669424
4.12_253.0563m/z,253.0562989,4.118116667,0,0,0,57.97195423,69.32682002,61.28179677,55.03330252,54.64637756,50.04749292,63.90346927,53.18783047,54.27464479,112.2595873,120.4905734,99.48988187,98.38899838,104.0778085,98.97275126,117.9314918,108.1163232,102.0781967,0,0,0,0,0,0,0,0,0
4.12_409.0924m/z,409.0924466,4.118116667,0,0,0,9.808029175,21.82929409,14.12373352,7.818634978,9.42237854,1.858169556,2.528655887,10.1958009,9.501678467,116.6477951,122.8231139,109.4839893,85.52870665,99.70869513,83.22246523,103.7533709,110.4518034,129.8317468,0,0,0,0,0,0,0,0,0
0.71_1110.7906m/z,1110.790594,0.709933333,0,0,0,112.9987464,107.5579331,109.4429001,98.64956368,82.68949596,92.68212089,107.4553879,100.3403036,96.58960044,89.54132734,95.86826548,80.37928487,86.88928671,71.93371552,89.98701432,98.36051515,88.06769845,94.07683865,23.63153076,24.9736142,31.61829187,27.91122487,34.05925171,25.42160732,23.24334948,32.2949829,21.26934212
1.21_338.1819m/z,338.1819316,1.20815,0,0,0,0.591662524,0.063979953,0.052611353,0,0.001525256,0,0,0,0.077942112,2.218643336,0.63348615,0,0,2.209139267,3.458531144,0.700137757,0.390716697,0,118.6907831,114.7972273,103.7766213,125.791754,121.7547367,117.7099718,109.3167553,128.0567518,121.3569875
1.94_393.2047m/z,393.2047461,1.941033333,0,0,0,1.269617391,0.843191546,4.190653103,0,1.713330792,0,0,0.747045366,0,62.22152149,65.4956962,74.31592725,43.8349309,53.19130306,52.61224341,54.7002563,66.27982801,62.31440747,118.7419188,128.3468674,114.048899,110.0587513,121.7702226,114.3888973,128.6866334,106.5262467,121.9005074
0.77_825.1367m/z,825.1366719,0.767066667,0,0,0,111.0702723,102.301047,111.2331712,120.6431821,139.865242,138.371767,62.40176623,54.27671405,64.18395087,0,0,0,0,0,3.978206471,0,0,0,18.41265152,17.70105557,13.36280286,29.12579381,19.27325038,23.26195168,15.99863706,20.736444,23.5717896
0.90_954.3743m/z,954.3742615,0.902033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5858341,118.7436396,130.4665027,118.9627976,105.7574568,130.5834074,124.1920476,110.4665826,108.9262712
1.99_166.1491m/z,166.149127,1.991016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.704025,112.6637101,110.4311435,111.62099,129.9788652,118.0964741,128.3947729,109.6613123,120.541693
4.62_165.0704m/z,165.0704154,4.623133333,0,0,0,23.27815774,26.06874264,26.56466579,13.83603845,10.58519549,22.91948663,18.56255115,26.29374555,15.72002588,115.2853253,114.9813569,116.1780908,102.5780771,106.9915654,105.9687601,99.65379383,84.3233921,101.3916187,0,0,0,0,0,0,0,0,0
0.83_590.2566n,613.2654507,0.831333333,0,0,0,77.80767795,76.76177345,85.75572378,79.05947206,77.18884343,85.07673102,97.67853874,103.0114353,82.08275905,112.0610013,97.22859811,108.4313909,116.3941873,109.988313,100.4856101,94.85115022,101.8135081,105.2368339,90.16489433,51.31422396,81.85929371,78.34388146,75.08693888,91.94776464,68.88105838,44.98753231,73.85123253
1.86_430.2272m/z,430.2272413,1.85605,0,0,0,0,0,1.785552979,0,0,0,0,0,0,0,0,0,2.0619964,0,1.478166333,0,1.982345521,0,121.7186547,119.9409355,113.5574485,112.5845442,111.9930953,112.7751083,120.8902338,110.719919,125.7843785
3.97_209.0723n,210.079548,3.968616667,0,0,0,68.00758671,76.56679641,81.1329084,81.32662388,81.55299447,81.19435143,80.85365678,87.25857932,95.3128785,113.3157436,106.4010017,109.1273289,102.4993105,108.000775,105.0679632,91.94266905,98.40336069,104.7136784,20.92962956,29.9560006,38.63051538,51.20890881,62.56726876,56.10351726,54.31336843,53.98211037,60.03960338
2.71_432.1304m/z,432.1304446,2.709033333,0,0,0,36.28858846,37.50393359,28.8247101,36.80710041,37.80990784,50.29783969,34.31236273,27.9844586,32.29402236,123.3649232,124.1870869,102.9171931,85.38402148,89.33279354,87.24193067,109.0287401,105.9678821,111.1974581,5.291919189,4.116099322,1.76827243,3.567843066,2.965728953,3.205046445,2.456445036,4.62238685,5.323904365
3.10_378.2391m/z,378.2391138,3.100933333,0,0,0,0,0,0,0,0,0,0,0,0,0.092740529,0,0,0,0.368472307,0,0,0,0,107.8872924,127.9849189,120.7547575,115.3875022,111.6326374,117.5045072,109.6088138,115.8023391,114.015083
4.62_115.0759m/z,115.0758765,4.623133333,0,0,0,62.23398077,67.15496669,65.97192289,41.85766034,41.61539827,41.89729559,55.29608462,56.03832595,50.04016891,121.0335875,120.8155965,107.0665041,104.4445865,106.3087912,100.0435806,93.7819155,90.89703845,92.22767358,0,0,0,0,0,0,0,0,0
3.82_785.1709m/z,785.1709412,3.819366667,0,0,0,56.56607,55.85039788,74.17337355,13.97180121,33.90405273,27.44599192,38.58837662,39.35235437,27.95172224,126.5410026,124.3426453,124.3823129,79.56737685,70.54267667,73.27980084,108.7715738,110.1040099,112.2192004,0,0,0,0,0,0,0,0,0
1.18_216.0203m/z,216.0203281,1.179983333,0,0,0,84.4326231,92.69345025,90.65193334,111.581044,108.5858818,113.7523572,93.98111148,86.8770253,93.52439367,19.32721758,17.05890554,14.59377465,16.57201188,10.8237433,19.6159142,21.90937495,12.00806175,16.059131,16.25641963,7.686122183,14.69758472,18.28779914,18.56589998,21.157055,12.9580447,13.87864938,27.22541572
0.67_276.1592m/z,276.1591953,0.667783333,0,0,0,10.06817022,11.18292236,6.984805106,19.34411962,22.7186465,22.2989502,8.867707555,5.924799843,10.28819275,0,0,0,0,0,0,0,0,0,106.1199063,107.31149,112.7659696,111.4575906,121.7311253,131.5719681,122.3030662,104.2150977,109.1509543
3.91_276.0731m/z,276.0731273,3.9115,0,0,0,56.48997019,56.01321711,66.94786349,53.13174319,45.69168732,51.25853147,69.13741138,66.71044497,69.04357703,101.2192565,98.46651943,96.3727111,108.7223373,106.9051002,97.88621161,104.8120428,107.4674832,101.8307338,0,0,0,0,0,0,0,0,0
2.07_215.1029m/z,215.1029011,2.068866667,0,0,0,88.11538225,85.34362018,85.48408556,78.74662379,78.54054942,84.36312884,78.17609459,83.23915076,81.51210923,89.32192304,84.02420582,78.78297412,75.42205808,77.35097516,77.74642426,77.75110638,66.5442965,80.54300958,111.0643736,114.5914086,112.3845492,113.9626034,112.8502323,103.1536534,117.1634964,113.881539,122.7831067
2.52_204.1368m/z,204.1367886,2.517633333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.98921746,104.6031113,114.7116857,111.8945294,122.4512782,115.8094071,107.4488529,121.5487083,120.522132
2.24_252.1587m/z,252.1586677,2.239566667,0,0,0,0.323902292,2.436103766,3.20417665,1.535004494,0,0,1.558465198,0,1.027865367,0.384072511,0,0.118289138,0,0,0,1.340799789,0,0.071616086,105.8983012,118.5406308,101.6899102,113.5112733,120.1044289,128.4531363,122.2394328,109.9395905,102.5224348
0.90_655.6852m/z,655.685152,0.902033333,0,0,0,93.05793352,93.92774452,98.02838808,110.4801113,93.48720896,85.99259785,112.0911151,95.18552361,88.53408552,91.06529384,93.91254021,68.99613911,90.25226757,97.55363898,67.91423591,94.92484144,89.05361076,88.54277337,56.90279736,54.22346693,46.78351515,63.53482834,54.99829078,46.95848116,53.12796352,55.77442701,33.27837378
3.72_152.0628m/z,152.0627551,3.719383333,0,0,0,10.75595758,11.94392635,12.61620107,9.989671643,3.781097139,7.35855031,5.412152542,4.27306363,4.85295517,107.9440435,104.8827214,100.0579429,97.73523228,101.1596914,96.40085675,105.9458937,95.81106088,105.9456352,0,0,0,0,0,0,0,0,0
1.17_130.5259m/z,130.5259005,1.17285,0,0,0,53.89165473,56.00726697,55.3355667,159.004349,172.1390936,162.3375815,66.72122854,65.93089374,70.13154681,0,0,0,0,0,0,0.129595255,0,0,1.009553402,0,0,0,0.419169345,0,0,0.38420105,0
2.44_509.5465m/z,509.5465433,2.439083333,0,0,0,76.51095447,93.70137575,108.8861071,25.53062212,37.39856648,34.13571999,133.6437267,154.6564174,151.9028936,73.10050303,88.17889028,81.67436218,125.0059204,139.3332019,126.3251948,85.76470564,101.7088418,90.94645368,0,0,0,0,0,0,0,0,0
0.76_703.0325m/z,703.0324668,0.759916667,0,0,0,52.81945717,51.85786424,58.58229033,39.00199159,31.55929365,35.29861982,59.07598485,67.86242913,56.70024845,104.2586724,115.5078653,94.84664439,111.7596868,107.2528202,106.9686547,96.32383237,84.13528654,91.02134604,3.679351926,0,2.140808165,4.893778621,2.649139404,4.425811768,2.029549662,4.893829346,5.323059082
1.17_509.1484m/z,509.1484132,1.17285,0,0,0,98.99158067,98.17967527,97.25465486,92.38669061,105.7350426,98.52978167,80.93008706,90.9015735,100.5689634,35.81933357,39.60747713,38.15663925,12.56054533,15.83435047,13.6822052,47.08367654,51.02315323,49.52382317,34.78877532,20.67402649,28.04702912,33.91590819,34.18011304,34.96659827,31.59754426,27.12164691,28.6117944
3.63_207.0634m/z,207.0634057,3.6344,0,0,0,0,1.479148865,1.909509464,5.590535263,9.430764622,6.513572196,3.138925963,7.567284422,4.679542482,97.35301877,101.0265034,107.1565454,84.64619151,83.12670984,89.49979176,109.0697478,114.2577661,113.9865105,0,0,0,0,0,0,0,0,0
4.45_580.1717m/z,580.1716577,4.4453,0,0,0,69.89107855,66.43822282,61.47976345,63.00106479,66.49324515,61.75994122,162.4379807,145.5013331,144.2774529,34.18040374,34.07060129,19.86398103,39.97862724,39.85402109,39.93412846,24.04177051,19.75753607,14.40132494,0,0,0,0,0,0,0,0,0
1.38_209.1284m/z,209.1283503,1.378833333,0,0,0,51.72791037,61.49724146,64.89831317,53.33632344,56.33925101,47.18681691,53.78319053,56.23028713,60.96944482,58.8891335,56.58728751,46.01928699,57.61693561,52.3648985,55.28673896,56.15678795,45.31228937,50.04152793,107.5499626,113.8889692,107.8368076,97.80886555,108.6161736,112.0271902,114.4605446,111.9784466,116.2797537
2.84_262.1017m/z,262.1017003,2.837866667,0,0,0,57.78038614,61.64713011,57.69460072,48.16577389,41.64988703,41.49872537,37.16046889,37.66464251,35.82025146,76.44506594,79.10510598,64.21255257,59.70063225,55.60850531,52.32178204,64.36781073,63.74404332,62.75757986,98.79335085,107.1904082,110.8561866,116.6419828,106.5790097,111.4045431,124.4457314,103.9512527,109.4433578
2.63_118.0416m/z,118.0416417,2.631183333,0,0,0,38.90806735,51.46780665,43.43157962,38.08098894,38.36931454,30.45959327,65.96116883,66.50934288,60.35860775,95.85236081,96.26094939,95.84835876,95.67666666,107.6402116,97.62123311,99.61101218,101.6576275,97.53618182,0,0,0,0,0,0,0,0.244322262,0
4.37_312.5918m/z,312.591838,4.3739,0,0,0,60.66185752,71.16470653,57.48026413,49.97297203,53.87615448,48.51752432,67.01640157,66.92721504,60.81671685,113.2148029,114.1240491,100.1850548,110.5218284,113.0154016,103.8838176,84.65559777,71.06043273,77.2499647,0,0,0,0,0,0,0,0,0
4.17_563.1568m/z,563.1567858,4.1681,0,0,0,61.91962982,88.80567242,81.49575051,84.67436439,75.88677173,104.6010357,111.9557171,102.1105416,118.931349,17.83319637,31.49161918,11.06723022,13.11372258,19.94776511,11.78189392,10.01429906,14.65577981,12.08723024,0,0,0,0,0,0,0,0,0
3.77_707.1970m/z,707.1969708,3.769383333,0,0,0,0,0,0,0,0,0,0,0,0,89.11285172,97.70871322,101.419084,130.0267699,125.4368533,130.9139008,64.49529285,56.08895898,84.65208015,0,0,0,0,0,0,0,0,0
2.69_657.3147m/z,657.3147046,2.688316667,0,0,0,0,0,2.81930542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.48883674,107.8367015,117.7533742,93.86791519,104.6503253,104.9935523,110.5835079,108.5865262,123.0262313
0.66_181.6161m/z,181.6161049,0.66065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.3183878,116.5799976,102.2033493,104.8930349,116.6698625,114.530248,108.2356669,94.75014585,113.9878422
0.85_829.2813m/z,829.2812558,0.845616667,0,0,0,16.19375598,14.96414185,10.63431226,9.86166358,7.889312744,7.121612549,14.46060181,14.82264799,7.813842773,12.66981175,5.664520264,16.72528076,8.136199951,7.349700928,9.906616211,4.835571349,2.7003479,6.229248047,117.4218369,112.8496126,107.9059885,110.4518809,99.77799209,102.0097671,108.6854694,101.2172256,114.0762873
0.89_759.7198m/z,759.7197903,0.8949,0,0,0,111.1401268,90.19631124,86.26448125,91.72063034,98.26247227,60.74822741,103.1236862,100.4539461,85.75459426,91.07802411,90.22701723,89.34243288,101.7731392,68.26474294,67.55344055,91.31892979,71.3163879,66.13525881,43.4235482,47.95575476,17.09765601,38.01101185,25.23364126,18.19270574,24.4955639,16.26093486,27.05984497
0.63_156.5933m/z,156.5932699,0.632083333,0,0,0,0,1.444869995,1.791108156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.7000654,112.1528702,108.7906191,113.2402658,118.0829319,110.2711322,101.5913472,97.53608825,106.1156669
1.22_190.0519m/z,190.0518724,1.222433333,0,0,0,63.67103946,69.88174496,73.52197355,66.1428889,61.3035474,65.17395295,58.36373911,73.52032495,70.02126497,100.4346236,102.7718584,94.33052087,100.5261712,94.48139906,89.06994406,105.4902986,85.47234531,99.95800189,36.46385233,34.69186688,42.72419756,40.7110559,40.63592677,42.95892063,35.47965017,34.22481913,38.18069138
0.62_273.6578m/z,273.6578267,0.62495,0,0,0,0,0,0,2.073057666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.42046939,106.9866117,107.1067666,114.3169525,102.166404,119.5112476,111.0610368,99.60784333,106.5078057
