DOID	DOTerm	p	p.adjust	geneRatio	bgRatio	cg
DOID:2282	hidradenitis	0.05079349816767098	0.37266632116006165	5/91	47/15106	7124,5663,596,23385,3553
DOID:1247	blood coagulation disease	0.05089301221560469	0.3728281092750462	13/91	372/15106	2147,4524,4846,1636,3077,1378,102,7124,3553,5328,7422,1471,3162
DOID:0060100	musculoskeletal system cancer	0.0510555590997362	0.3734504649650917	28/91	1866/15106	7422,3481,3480,2932,2041,7124,596,5468,2099,9510,4852,3479,6648,274,4524,836,3482,3162,3077,3553,5328,102,5663,7019,3952,51741,581,627
DOID:1724	duodenal ulcer	0.05132381134279029	0.3748429499132772	4/91	35/15106	4353,7124,2099,3553
DOID:10132	psychosexual disorder	0.052381122165039096	0.3819853651217169	2/91	11/15106	3952,627
DOID:0050840	cervical dystonia	0.052942319439788776	0.3831997777401894	1/91	9/15106	627
DOID:0110575	autosomal dominant nonsyndromic deafness 5	0.052942319439788776	0.3831997777401894	1/91	9/15106	836
DOID:11914	gastroparesis	0.052942319439788776	0.3831997777401894	1/91	9/15106	3162
DOID:1214	tympanosclerosis	0.052942319439788776	0.3831997777401894	1/91	9/15106	7124
DOID:1984	rectal benign neoplasm	0.0529457411587837	0.3831997777401894	1/91	10/15106	7422
DOID:2975	cystic kidney disease	0.0536063113199016	0.3873981627367664	10/91	258/15106	4846,7422,2099,5328,5336,3479,1636,3162,348,2932
DOID:214	teeth hard tissue disease	0.05417107741755293	0.39047570286499195	6/91	93/15106	3553,1636,581,1139,596,836
DOID:11201	parathyroid gland disease	0.05426015342854667	0.39047570286499195	6/91	107/15106	2932,596,4846,1636,1471,3952
DOID:2825	nose disease	0.05427555479257835	0.39047570286499195	12/91	289/15106	54209,7422,596,1471,2,7124,4524,627,1636,3162,3952,1565
DOID:0060123	connective tissue benign neoplasm	0.05530253455594399	0.397270296742923	8/91	164/15106	7124,2099,3479,945,7422,3481,1565,3553
DOID:0050743	mature T-cell and NK-cell lymphoma	0.055893299407838055	0.4000668472338682	8/91	255/15106	7124,3553,1191,7422,6648,274,596,5819
DOID:0080364	malignant adenoma	0.055971700966702266	0.4000668472338682	3/91	93/15106	7124,7422,2099
DOID:1210	optic neuritis	0.05620826275923463	0.4000668472338682	5/91	29/15106	7422,7124,3553,348,4137
DOID:14080	glucocorticoid-remediable aldosteronism	0.05620826275923463	0.4000668472338682	5/91	29/15106	7422,7124,3630,4524,348
DOID:0080546	non-alcoholic fatty liver	0.05625549833875665	0.4000668472338682	5/91	42/15106	3162,3077,1965,4852,5468
DOID:13133	HELLP syndrome	0.05627004833485183	0.4000668472338682	5/91	46/15106	7422,351,596,3952,836
DOID:4085	trophoblastic neoplasm	0.05627368700962576	0.4000668472338682	5/91	47/15106	7422,3553,348,3643,3077
DOID:4531	mucoepidermoid carcinoma	0.05689048543306178	0.4038553191582984	2/91	65/15106	4137,2932
DOID:403	mouth disease	0.05763117632096704	0.408510827147002	35/91	1730/15106	7124,3553,5468,3481,596,351,6648,5328,836,7422,2932,102,2099,1636,581,1139,3479,4524,5819,4353,1471,348,3635,9510,7018,3952,54209,4846,627,5663,3480,6517,274,7019,3162
DOID:0040088	autoimmune uveitis	0.05865088729638124	0.41032690415251066	1/91	10/15106	7124
DOID:0050698	funisitis	0.05865088729638124	0.41032690415251066	1/91	10/15106	3553
DOID:0080347	malignant pheochromocytoma	0.05865088729638124	0.41032690415251066	1/91	10/15106	7422
DOID:1062	Fanconi syndrome	0.05865088729638124	0.41032690415251066	1/91	10/15106	3482
DOID:3132	porphyria cutanea tarda	0.05865088729638124	0.41032690415251066	1/91	10/15106	3077
DOID:3329	benign epilepsy with centrotemporal spikes	0.05865088729638124	0.41032690415251066	1/91	10/15106	627
DOID:4468	clear cell adenocarcinoma	0.05865088729638124	0.41032690415251066	1/91	10/15106	7422
DOID:8683	myeloid sarcoma	0.05865088729638124	0.41032690415251066	1/91	10/15106	945
DOID:4376	milk allergy	0.05865466653998075	0.41032690415251066	1/91	11/15106	7124
DOID:4896	bile duct adenocarcinoma	0.06048147664901463	0.42249252120712255	15/91	704/15106	7124,3553,7167,7422,2099,51741,4846,4524,3480,5328,3162,5468,596,2932,3952
DOID:4960	bone marrow cancer	0.06099900607568042	0.42549016846702875	30/91	1209/15106	1471,4524,836,627,5649,3482,3480,3479,5468,7422,1965,51741,1565,945,3553,2023,6648,5328,3162,2099,341,102,596,7124,2932,4353,2147,1636,3077,3952
DOID:12206	dengue hemorrhagic fever	0.06167415852022662	0.4295770259882065	5/91	35/15106	7422,7124,3162,1636,627
DOID:2253	cervix disease	0.06332456719412823	0.44043517616378486	26/91	1488/15106	596,4353,836,7422,51741,581,627,2099,3643,10857,4524,3482,3481,3480,3479,7019,3952,1565,3553,1392,1191,6648,5328,102,7124,2932
DOID:0060184	lymphocytic colitis	0.06432542156082455	0.44613565291999413	1/91	11/15106	5697
DOID:1787	pericarditis	0.06432955394275419	0.44613565291999413	1/91	12/15106	3952
DOID:2916	hypersensitivity reaction type IV disease	0.06650765372255031	0.46057746383688436	10/91	211/15106	1636,7422,7124,581,54209,3127,1378,3553,5468,7018
DOID:1876	sexual dysfunction	0.06711667806285337	0.4630949759673225	5/91	42/15106	7422,3479,4524,4846,1636
DOID:0050697	chorioamnionitis	0.06715983653130919	0.4630949759673225	5/91	52/15106	7124,3553,1392,6648,5328
DOID:10325	silicosis	0.06715983653130919	0.4630949759673225	5/91	52/15106	7124,3162,3553,1636,2932
DOID:612	primary immunodeficiency disease	0.06739769427807023	0.4640702468674564	59/91	3027/15106	4846,1471,7124,3553,836,627,4353,5468,7422,43,4524,2099,3481,3479,348,351,2147,1636,945,54209,3952,5621,5819,2,4852,10858,5649,1191,3127,6648,3162,5336,4137,23621,3077,581,590,596,7018,2932,7167,3480,1565,1378,2023,1965,102,1139,5328,1392,51741,6653,3635,3643,8633,55676,498,3630,6517
DOID:104	bacterial infectious disease	0.06882368988362718	0.47321041419142146	32/91	1016/15106	7422,4353,1636,5468,7124,4846,1378,2147,5663,801,581,1965,3481,836,3553,3162,6648,7019,348,3479,3952,1471,3482,54209,596,7018,3480,5697,4524,2099,1565,4137
DOID:3620	central nervous system cancer	0.06892177443344825	0.47321041419142146	38/91	2006/15106	1471,4524,627,4137,5468,54209,2023,2099,341,348,351,9510,2932,801,10857,10858,836,5621,5649,5663,3481,3480,3479,2147,7422,7447,498,3952,51741,3553,6648,5328,3162,581,102,596,1808,7124
DOID:0060169	benign familial infantile epilepsy	0.06923116507307281	0.4746575462915946	2/91	14/15106	1141,1392
DOID:299	adenocarcinoma	0.06989223766876738	0.4756312845948937	36/91	2884/15106	2932,3952,5468,7422,5328,3480,596,9510,1191,2099,51741,581,7124,3553,7167,4846,4524,3162,3481,4852,3643,836,3479,1965,10857,6648,348,2041,5621,7019,1139,2023,351,2147,3630,6517
DOID:3113	papillary carcinoma	0.06995135600765882	0.4756312845948937	2/91	72/15106	836,1965
DOID:0050759	myotonic dystrophy type 2	0.06996612289490645	0.4756312845948937	1/91	12/15106	3643
DOID:2024	placental choriocarcinoma	0.06996612289490645	0.4756312845948937	1/91	12/15106	1965
DOID:4331	burning mouth syndrome	0.06996612289490645	0.4756312845948937	1/91	12/15106	7124
DOID:7941	Barrett's adenocarcinoma	0.06996612289490645	0.4756312845948937	1/91	12/15106	5468
DOID:4706	infratentorial cancer	0.0707575998334066	0.4803333258084428	11/91	348/15106	7447,4524,6648,596,2932,627,3480,5328,5468,7422,581
DOID:60004	malignant cystadenoma	0.0721246213589477	0.48892366563466944	3/91	93/15106	7124,7422,2099
DOID:450	myotonic disease	0.07247190748180998	0.49058690676505123	5/91	36/15106	7124,3952,2932,4137,3643
DOID:3118	hepatobiliary disease	0.07423128679658136	0.5017909878538569	60/91	4428/15106	3162,1191,7422,7124,1392,5468,4353,3479,2099,3077,1565,3553,7167,51741,4846,4524,3480,5328,596,2932,3952,836,348,498,1636,6648,3630,1471,5649,3482,3481,2147,6517,581,7018,1965,4852,627,54209,351,3643,341,267,274,1139,8633,43,1200,10857,5663,23385,5819,2023,2041,9510,7019,1718,102,3127,6653
DOID:4908	anal carcinoma	0.07478173458959969	0.5044851141121025	2/91	15/15106	1565,3481
DOID:345	uterine disease	0.07498944130024239	0.5044851141121025	39/91	2181/15106	2099,596,4353,836,7422,51741,581,627,3643,10857,4524,3482,3481,3480,3479,7019,3952,1565,3553,1392,1191,6648,5328,102,7124,2932,348,4846,1636,3162,5468,1965,2041,3077,9510,1718,3630,6517,590
DOID:0050751	T-cell large granular lymphocyte leukemia	0.07557319079053104	0.5044851141121025	1/91	13/15106	7124
DOID:0111785	frontometaphyseal dysplasia	0.07557319079053104	0.5044851141121025	1/91	13/15106	3162
DOID:11555	Fuchs' endothelial dystrophy	0.07557319079053104	0.5044851141121025	1/91	13/15106	1191
DOID:13812	adhesions of uterus	0.07557319079053104	0.5044851141121025	1/91	13/15106	2099
DOID:4226	endometrial stromal sarcoma	0.07557319079053104	0.5044851141121025	1/91	13/15106	2099
DOID:4852	pleomorphic xanthoastrocytoma	0.07557319079053104	0.5044851141121025	1/91	13/15106	9510
DOID:8440	ileus	0.07557319079053104	0.5044851141121025	1/91	13/15106	1392
DOID:5100	middle ear disease	0.07718452581482346	0.5145278708403676	3/91	88/15106	3553,7124,4846
DOID:3627	aortic aneurysm	0.07915098108715324	0.5269068768637186	12/91	239/15106	4846,1191,1636,7124,3162,3952,4524,5468,7018,348,596,102
DOID:820	myocarditis	0.08033905151658391	0.5335854169433941	2/91	79/15106	7124,2932
DOID:4752	multiple system atrophy	0.08055865575103682	0.5335854169433941	8/91	70/15106	7124,3553,4129,1471,4137,54209,2932,348
DOID:0080218	primary spontaneous pneumothorax	0.08114682357646275	0.5335854169433941	1/91	14/15106	3162
DOID:0081042	T-cell prolymphocytic leukemia	0.08114682357646275	0.5335854169433941	1/91	14/15106	7422
DOID:12098	trigeminal neuralgia	0.08114682357646275	0.5335854169433941	1/91	14/15106	627
DOID:5828	endometrioid ovary carcinoma	0.08114682357646275	0.5335854169433941	1/91	14/15106	581
DOID:988	mitral valve prolapse	0.08114682357646275	0.5335854169433941	1/91	14/15106	5328
DOID:0070329	mitochondrial DNA depletion syndrome	0.08115198944578528	0.5335854169433941	1/91	15/15106	7019
DOID:2860	hemoglobinopathy	0.08115198944578528	0.5335854169433941	1/91	15/15106	1965
DOID:0060083	immune system cancer	0.08146910864647719	0.5349397270334171	33/91	1796/15106	3480,596,6648,5328,7422,7018,102,7124,2099,5819,3635,2,3553,4524,627,3162,5336,581,267,4353,1191,274,5649,836,2932,945,6653,3952,2023,1965,3479,5468,51741
DOID:4990	essential tremor	0.08233240438390177	0.5389891494134466	6/91	57/15106	3162,3553,4524,4846,4137,627
DOID:10933	obsessive-compulsive disorder	0.08234816199098072	0.5389891494134466	6/91	60/15106	7124,3479,3553,2099,1565,627
DOID:0080074	neural tube defect	0.08242177726330702	0.5389891494134466	6/91	74/15106	3952,4524,6648,4846,348,4353
DOID:10762	portal hypertension	0.08325672783676952	0.5437104899299481	5/91	58/15106	3162,4524,4846,1636,1565
DOID:10629	microphthalmia	0.08389970454829566	0.5471670433481667	2/91	81/15106	596,2932
DOID:0070314	obstructive nephropathy	0.08668721842502747	0.5608226649044601	1/91	15/15106	3162
DOID:14175	von Hippel-Lindau disease	0.08668721842502747	0.5608226649044601	1/91	15/15106	1191
DOID:1540	parathyroid carcinoma	0.08668721842502747	0.5608226649044601	1/91	15/15106	2932
DOID:4839	sebaceous adenocarcinoma	0.08668721842502747	0.5608226649044601	1/91	15/15106	10857
DOID:5746	ovarian serous cystadenocarcinoma	0.08668721842502747	0.5608226649044601	1/91	15/15106	2041
DOID:12558	chronic progressive external ophthalmoplegia	0.08669272027611019	0.5608226649044601	1/91	16/15106	7019
DOID:3111	cystadenocarcinoma	0.0877567196175452	0.5669437470056982	3/91	93/15106	7124,7422,2099
DOID:13550	angle-closure glaucoma	0.08949652231524774	0.576919472286637	4/91	53/15106	4524,6648,348,4846
DOID:9065	leishmaniasis	0.08954058711783042	0.576919472286637	3/91	92/15106	3479,7124,3553
DOID:0050829	pericardium disease	0.091249351164709	0.587143218122653	2/91	20/15106	7422,3952
DOID:0050336	hypophosphatemia	0.09219457135878384	0.5885790850297614	1/91	16/15106	4846
DOID:0050709	early infantile epileptic encephalopathy	0.09219457135878384	0.5885790850297614	1/91	16/15106	51741
DOID:11111	hydronephrosis	0.09219457135878384	0.5885790850297614	1/91	16/15106	1636
DOID:2275	pharyngitis	0.09219457135878384	0.5885790850297614	1/91	16/15106	3553
DOID:8864	acute monocytic leukemia	0.09219457135878384	0.5885790850297614	1/91	16/15106	5468
DOID:4123	nail disease	0.0922062393751174	0.5885790850297614	1/91	18/15106	7124
DOID:986	alopecia areata	0.09291485191287852	0.5923167976909726	6/91	80/15106	7124,3553,3952,4524,4846,627
DOID:2174	ocular cancer	0.09416963285039079	0.5995217498795382	14/91	502/15106	7422,596,1471,1808,3480,102,1191,3553,4524,836,2023,627,3479,5468
DOID:2789	parasitic protozoa infectious disease	0.09786990033858514	0.6221887396542428	16/91	329/15106	7124,3553,3479,7422,1565,836,3162,1378,4846,627,7167,4353,1636,348,590,43
DOID:1920	hyperuricemia	0.0979885860498475	0.6221887396542428	6/91	62/15106	3480,4524,5468,7422,7018,348
DOID:0050742	nicotine dependence	0.09811890042631577	0.6221953461816307	6/91	83/15106	1141,1139,3553,4846,1636,627
DOID:3298	vaccinia	0.0982807225986655	0.6224014708781277	6/91	109/15106	351,596,7124,7422,581,1965
DOID:0050771	pheochromocytoma	0.09860210104112033	0.6236161791207782	2/91	89/15106	596,7422
DOID:16	integumentary system disease	0.0990199949047079	0.6254373168981091	46/91	2225/15106	7124,581,836,102,1139,5328,590,4852,43,3553,4524,1392,2932,627,3479,6648,1636,3162,7422,2099,3952,4846,4353,1378,2023,1191,5468,348,596,51741,1565,5663,23385,10857,3480,3630,54209,267,945,3481,2041,3077,351,3643,341,5336
DOID:0060073	lymphatic system cancer	0.10035559105335289	0.6330425422539809	33/91	1796/15106	3480,596,6648,5328,7422,7018,102,7124,2099,5819,3635,2,3553,4524,627,3162,5336,581,267,4353,1191,274,5649,836,2932,945,6653,3952,2023,1965,3479,5468,51741
DOID:5614	eye disease	0.10161588965901572	0.6401535038335637	42/91	2119/15106	596,1471,1808,3480,7422,102,7124,6648,1636,4524,1191,348,3553,54209,7018,3481,51741,2932,351,10857,2099,5328,4846,836,2023,627,3479,5468,10858,5621,581,9510,3162,2147,2,6653,3630,4353,10452,3077,1200,4137
DOID:1923	disorder of sexual development	0.10248586873674162	0.6437148076567267	7/91	142/15106	2099,3479,4524,627,7124,3630,3643
DOID:0080531	dedifferentiated liposarcoma	0.10311092986299586	0.6437148076567267	1/91	18/15106	5468
DOID:0111145	ureteropelvic junction obstruction	0.10311092986299586	0.6437148076567267	1/91	18/15106	1471
DOID:10930	borderline personality disorder	0.10311092986299586	0.6437148076567267	1/91	18/15106	627
DOID:3010	lobular neoplasia	0.10311092986299586	0.6437148076567267	1/91	18/15106	2099
DOID:11727	facioscapulohumeral muscular dystrophy	0.10311741464852198	0.6437148076567267	1/91	19/15106	7124
DOID:14717	centronuclear myopathy	0.10311741464852198	0.6437148076567267	1/91	19/15106	274
DOID:5485	synovial sarcoma	0.10325568843916344	0.6437430420436446	6/91	80/15106	2099,3480,596,3553,7422,2932
DOID:0080855	Parkinsonism	0.10342544765994122	0.6439672439680428	6/91	106/15106	5663,351,7124,5621,4137,348
DOID:10579	leukodystrophy	0.10435044245500348	0.6482837240491514	3/91	100/15106	348,5663,836
DOID:10941	intracranial aneurysm	0.10438809186330611	0.6482837240491514	5/91	79/15106	7124,836,4846,4353,1636
DOID:1474	aggressive periodontitis	0.1084017734978292	0.6705276732634265	6/91	83/15106	7124,3553,4353,6648,1636,348
DOID:0060320	inguinal hernia	0.10852032178919324	0.6705276732634265	1/91	19/15106	1636
DOID:3052	Balkan nephropathy	0.10852032178919324	0.6705276732634265	1/91	19/15106	6648
DOID:0060668	anencephaly	0.10852712600710768	0.6705276732634265	1/91	20/15106	4524
DOID:2583	agammaglobulinemia	0.11200259458315323	0.6911134458060468	3/91	105/15106	7124,596,5328
DOID:0050871	fibroma	0.11389744452513684	0.7001128997439126	1/91	20/15106	3553
DOID:12466	secondary hyperparathyroidism	0.11389744452513684	0.7001128997439126	1/91	20/15106	3952
DOID:13371	scrub typhus	0.11389744452513684	0.7001128997439126	1/91	20/15106	7124
DOID:12603	acute leukemia	0.11530542275444312	0.7078635200473657	23/91	928/15106	4353,4524,4846,3952,7422,3077,3162,7124,596,5649,3480,945,3553,836,627,3479,6648,4137,581,43,2932,1565,8301
DOID:0111147	angioimmunoblastic T-cell lymphoma	0.11924248844322094	0.7273942926200537	1/91	21/15106	596
DOID:10588	adrenoleukodystrophy	0.11924248844322094	0.7273942926200537	1/91	21/15106	348
DOID:11554	Chandler syndrome	0.11924248844322094	0.7273942926200537	1/91	21/15106	7018
DOID:8781	rubella	0.11924248844322094	0.7273942926200537	1/91	21/15106	7124
DOID:9282	ocular hypertension	0.11924248844322094	0.7273942926200537	1/91	21/15106	4846
DOID:533	thymus gland disease	0.11990736447260875	0.7298031123218481	5/91	89/15106	7124,3480,7422,2099,596
DOID:2115	B cell deficiency	0.119940632006354	0.7298031123218481	3/91	121/15106	7124,596,5328
DOID:12205	dengue disease	0.12104713366569697	0.7356058766830803	8/91	102/15106	7422,7124,3162,1636,627,3480,3553,1378
DOID:3262	phagocyte bactericidal dysfunction	0.1233018059560198	0.7474666216385735	2/91	26/15106	7124,3553
DOID:2113	coccidiosis	0.12330947383773683	0.7474666216385735	2/91	27/15106	7124,3553
DOID:8584	Burkitt lymphoma	0.12384788087240287	0.7497859756463837	2/91	101/15106	7124,581
DOID:0050647	Arts syndrome	0.12455564280528009	0.7522252869579662	1/91	22/15106	596
DOID:12678	hypercalcemia	0.12456338119790134	0.7522252869579662	1/91	23/15106	7422
DOID:17	musculoskeletal system disease	0.12580581440397964	0.7587761713362832	66/91	4604/15106	7422,3481,3480,2932,2041,7124,596,5468,2099,1636,3479,10452,1471,348,3077,3553,23621,351,7019,3952,4137,3643,274,6517,43,5621,4524,836,627,2147,1565,4846,1378,2023,1191,3127,6648,3162,590,1965,7167,581,102,1139,5328,4852,1392,4353,51741,5649,6653,3635,2,54209,7018,8633,55676,801,4129,267,5663,945,9510,5336,3482,3630
DOID:13543	hyperparathyroidism	0.12605351268303244	0.7593185939216961	4/91	52/15106	4846,1636,1471,3952
DOID:3737	verrucous carcinoma	0.12983709576899816	0.7801572308816331	1/91	23/15106	596
DOID:6203	thyroid hyalinizing trabecular adenoma	0.12983709576899816	0.7801572308816331	1/91	23/15106	7422
DOID:3277	thymus cancer	0.13005950169103286	0.7805191791009242	5/91	89/15106	7124,3480,7422,2099,596
DOID:10907	microcephaly	0.13061334258237708	0.7820041686929277	3/91	213/15106	3480,7124,348
DOID:2277	gonadal disease	0.1306319035173725	0.7820041686929277	48/91	2870/15106	7422,3952,6648,2041,581,836,3481,3480,6517,4137,5468,2099,596,7124,7019,2932,51741,5819,3643,4524,627,2023,1191,341,348,9510,43,1636,3416,10857,5621,5663,3479,4353,3077,3553,1392,5328,3162,102,1808,4846,3630,4852,2147,5697,1565,7018
DOID:3042	allergic contact dermatitis	0.13187060632948988	0.7884387928743289	15/91	380/15106	4846,4852,7124,3553,836,1392,2023,627,5328,3162,3952,5468,7422,341,1636
DOID:0080000	muscular disease	0.13204511771269278	0.7885026694183503	26/91	976/15106	7422,3481,3480,2932,2041,7124,596,5468,2099,1636,3479,10452,1471,348,3077,3553,23621,351,7019,3952,4137,3643,274,6517,43,5621
DOID:1312	focal segmental glomerulosclerosis	0.13364289169678023	0.7970548175174762	6/91	89/15106	23607,7124,1392,1636,348,5328
DOID:8432	polycythemia	0.1350953758292469	0.8037752733519548	1/91	25/15106	7422
DOID:182	calcinosis	0.13510371829248524	0.8037752733519548	1/91	26/15106	4353
DOID:48	male reproductive system disease	0.13527391277265577	0.8037942495985089	48/91	3158/15106	3162,4524,596,4846,9510,3481,1191,1636,836,3630,1471,43,7124,3553,627,3482,4353,6648,3952,2099,3077,348,7422,3480,3479,5328,5468,581,2,3643,4129,4137,267,274,1965,2023,2041,7782,351,2932,6517,7019,1718,51741,4852,102,590,7167
DOID:0050851	glomerulosclerosis	0.13583763432333906	0.8061486239189037	8/91	118/15106	23607,7124,1392,1636,348,5328,7422,341
DOID:11650	bronchopulmonary dysplasia	0.13872454874987605	0.8222675531196472	6/91	104/15106	1636,7124,3162,3553,7422,627
DOID:0050292	primary systemic mycosis	0.1389061904392771	0.8223314816534326	2/91	29/15106	2099,7018
DOID:3952	adrenal cortex disease	0.14005715009829284	0.8281266135418716	3/91	137/15106	7124,3481,3480
DOID:0090018	autosomal dominant familial periodic fever	0.14208543730078316	0.8390886008940728	7/91	102/15106	3635,6517,4353,7124,3553,7422,2023
DOID:11836	clubfoot	0.14549311141812793	0.8571093577178087	1/91	26/15106	4524
DOID:5810	adenosine deaminase deficiency	0.14549311141812793	0.8571093577178087	1/91	26/15106	7124
DOID:65	connective tissue disease	0.14569798974548573	0.8572670227934265	59/91	4156/15106	7422,3481,1565,3480,596,3479,801,1636,3952,2099,7124,4846,3553,836,627,6648,581,4524,1139,4129,2147,5468,2932,348,5649,6653,351,1471,4852,267,3162,5663,945,4353,3077,2023,3635,2,3643,54209,7018,1378,1392,1191,3127,5328,8633,102,55676,590,7167,9510,5336,3482,7019,51741,43,3630,274
DOID:193	reproductive organ cancer	0.14634829353610604	0.8600419252616343	57/91	4647/15106	7422,2932,596,5468,6648,2041,581,836,3481,3480,6517,4137,2099,7124,7019,51741,5819,3643,4524,627,2023,1191,341,348,9510,43,1636,3416,10857,5621,5663,3479,4353,3077,3952,3553,1392,5328,3162,102,1808,1965,3482,1565,1718,3630,590,1471,2,4129,267,274,7782,351,4846,4852,7167
DOID:535	sleep disorder	0.14757610075320193	0.8661997230794645	18/91	255/15106	7124,627,348,4137,5663,351,3479,4846,1191,6517,1636,3162,3553,3952,5468,7422,2099,581
DOID:0111782	otopalatodigital syndrome spectrum disorder	0.14915619903895538	0.8744077782880539	2/91	31/15106	3162,1565
DOID:962	neurofibroma	0.15065883560154503	0.8801088783678492	1/91	28/15106	7422
DOID:0060870	isolated growth hormone deficiency	0.15066805382389092	0.8801088783678492	1/91	29/15106	3479
DOID:4932	ampulla of Vater carcinoma	0.15067727317164092	0.8801088783678492	1/91	30/15106	836
DOID:10003	sensorineural hearing loss	0.15390623135539017	0.897879626076961	6/91	155/15106	2147,4846,7124,3553,4524,348
DOID:4607	biliary tract cancer	0.15522400694106592	0.9044711203478816	18/91	951/15106	596,7124,1378,836,7422,2099,3553,4524,3952,7167,51741,4846,3480,5328,3162,5468,2932,348
DOID:3480	uveal disease	0.15793210260114612	0.9191381013534659	12/91	368/15106	596,1471,1808,3480,7422,102,7124,6648,1636,4524,1191,348
DOID:635	acquired immunodeficiency syndrome	0.15897800965504683	0.9241076817267396	6/91	177/15106	3479,7124,3162,3952,2932,348
DOID:3457	invasive lobular carcinoma	0.16087048349045197	0.9339802618088604	1/91	29/15106	2099
DOID:439	neuromuscular junction disease	0.16431536588227635	0.9528311517968628	2/91	35/15106	7124,43
DOID:4467	clear cell renal cell carcinoma	0.16526812454595177	0.9572027478214993	15/91	799/15106	4524,3480,5468,7422,498,7019,7018,3952,2023,2041,581,341,351,596,7124
DOID:9975	cocaine dependence	0.16593520366040393	0.958816985302497	1/91	30/15106	627
DOID:3840	craniopharyngioma	0.16594526257157283	0.958816985302497	1/91	31/15106	3480
DOID:0050860	colorectal adenoma	0.16622728354327743	0.9592948629421993	7/91	118/15106	3480,3479,3643,7124,4524,836,7422
DOID:0050120	hemophagocytic lymphohistiocytosis	0.17099382519084666	0.9856002306401084	3/91	134/15106	3553,3481,7124
DOID:11984	hypertrophic cardiomyopathy	0.17119505356640985	0.9856002306401084	7/91	142/15106	3480,3479,4846,1636,3952,4524,2099
DOID:10314	endocarditis	0.1742458427801854	1	2/91	35/15106	2147,7124
DOID:1294	vulva carcinoma	0.17425635353008095	1	2/91	36/15106	7422,2099
DOID:0050155	sensory system disease	0.17512888790738365	1	43/91	2326/15106	7422,596,1471,1808,3480,102,1191,3553,4524,836,2023,627,3479,5468,7124,4846,5649,1636,2147,348,4353,3481,6648,54209,7018,51741,2932,351,10857,2099,5328,10858,5621,581,9510,3162,2,6653,3630,10452,3077,1200,4137
DOID:3443	mammary Paget's disease	0.17597411711381017	1	1/91	32/15106	596
DOID:5602	T-cell adult acute lymphocytic leukemia	0.17597411711381017	1	1/91	32/15106	596
DOID:12236	primary biliary cholangitis	0.17900365781626515	1	8/91	176/15106	596,4846,498,1636,7124,3952,5468,2099
DOID:1475	lymphangioma	0.1792093562510675	1	2/91	39/15106	7422,3162
DOID:627	severe combined immunodeficiency	0.18249888442887927	1	2/91	134/15106	7124,7422
DOID:2742	auditory system disease	0.18756684986508443	1	10/91	357/15106	3553,7124,4846,836,5649,1636,4524,2147,348,4353
DOID:288	endometriosis of uterus	0.1879667251243472	1	8/91	156/15106	596,4846,3162,10857,5468,7422,2099,581
DOID:0050705	adolescence-adult electroclinical syndrome	0.18897478612878016	1	2/91	40/15106	1139,2147
DOID:1686	glaucoma	0.1890869253197266	1	16/91	358/15106	836,3553,4524,4846,7124,3480,10858,5621,5468,7422,2099,348,1636,627,1191,6648
DOID:14227	azoospermia	0.19753999334080985	1	8/91	198/15106	596,4846,9510,4524,3481,1191,1636,3162
DOID:1529	penile disease	0.1986476333164009	1	2/91	43/15106	3479,4846
DOID:0080205	CAKUT	0.2005515847542847	1	1/91	37/15106	1636
DOID:9976	heroin dependence	0.2005515847542847	1	1/91	37/15106	627
DOID:0060061	primary cutaneous T-cell non-Hodgkin lymphoma	0.20059855313001748	1	6/91	213/15106	7124,3553,1191,7422,6648,274
DOID:0050861	colorectal adenocarcinoma	0.20174738751593646	1	8/91	173/15106	3481,596,4852,3643,3952,4524,836,7422
DOID:1426	ureteral disease	0.20343563789726304	1	2/91	44/15106	7422,1636
DOID:4977	lymphedema	0.20539150920003058	1	1/91	39/15106	4353
DOID:0050453	lissencephaly	0.20541580384425828	1	1/91	41/15106	5649
DOID:0080202	adenoid cystic carcinoma	0.20817557633419193	1	7/91	154/15106	3480,596,6648,5328,7422,7018,102
DOID:74	hematopoietic system disease	0.20851081832694898	1	55/91	3829/15106	1471,4524,836,627,5649,3482,3480,3479,5468,7422,1965,51741,1565,945,3553,2023,6648,5328,3162,2099,341,102,596,7124,2932,4353,2147,1636,3077,3952,351,498,4852,5697,274,1139,348,581,1378,3630,7018,4137,4846,43,8301,5819,3635,2,5336,267,1808,3643,1191,6653,1392
DOID:0050425	restless legs syndrome	0.21017830733737974	1	1/91	39/15106	4137
DOID:5408	Paget's disease of bone	0.21017830733737974	1	1/91	39/15106	7422
DOID:12326	chronic pulmonary heart disease	0.21292693670367624	1	2/91	46/15106	3952,1636
DOID:12347	osteogenesis imperfecta	0.21496121715081018	1	1/91	41/15106	3479
DOID:1508	candidiasis	0.21498648581759205	1	1/91	43/15106	7124
DOID:4535	hypotrichosis	0.21636007458718087	1	7/91	94/15106	3480,3479,3952,4524,3553,836,5468
DOID:10487	Hirschsprung's disease	0.21745612939863745	1	2/91	145/15106	3481,5649
DOID:0050339	commensal bacterial infectious disease	0.2199622625358375	1	8/91	208/15106	5663,801,7124,5468,7422,581,1965,3481
DOID:12030	panuveitis	0.22231939190332106	1	2/91	49/15106	7124,6648
DOID:0060071	pre-malignant neoplasm	0.22388828234917957	1	6/91	156/15106	596,2099,3480,5468,7422,1565
