type;name;label::English;hint::English;relevant;required;notes;appearance;calculation;default;constraint;constraint_message::English;read_only
integer;Id10154_a;(Id10154_a) [Enter how long (s)he had a cough in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10154_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months.;
integer;Id10154_b;(Id10154_b) [Enter how long (s)he had a cough in months]:;Enter 1-60 months.;${Id10154_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response was greater than 60 months, confirm the response and enter 60.;
calculate;Id10154;(Id10154) For how many days did (s)he have a cough?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10153}, 'yes');;;;if(${Id10154_units}='days', ${Id10154_a},int(${Id10154_b} * 30));;;;
select_one YES_NO_DK_REF;Id10155;(Id10155) Was the cough productive, with sputum?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10153}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10156;(Id10156) Was the cough very severe?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10153}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10157;(Id10157) Did (s)he cough up blood?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10153}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10158;(Id10158) Did (s)he make a whooping sound when coughing?;;(selected(${isChild}, '1')  and selected(${Id10153}, 'yes')) or (selected(${isNeonatal}, '1') and  not(selected(${Id10114}, 'yes')) and selected(${Id10153}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10159;(Id10159) Did (s)he have any difficulty breathing?;;;yes;;;;;;;
begin group;breathdur;Duration of breathing difficulty;;selected(${Id10159}, 'yes');;;;;;;;
integer;Id10161_0;(Id10161_0) For how many days did the difficulty breathing last?;"If less than 1 day or 24 hours, enter 0 days. Use 1 week = 7 days to determine the number of days. For don't know, enter ""99."" For refused, enter ""88.""";selected(${isNeonatal}, '1');yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less then neonatal age in days at death. ;
select_one units;id10161_unit;(id10161_unit)  For how long did the difficult breathing last?;"Enter 1 unit only: 0-30 days, 1-11 months, or 1 or more years. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1'));;;;;;;;
integer;Id10161_1;(Id10161_1) [Enter how long the difficult breathing lasted in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${id10161_unit}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in another unit.;
integer;Id10162;(Id10162) [Enter how long the difficult breathing lasted in months]:;Enter 1-60 months.;${id10161_unit}='months';yes;;;;;.>=1 and .<=11;If response was greater than 11 months, ask respondent to report time in years.;
integer;Id10163;(Id10163) [Enter how long the difficult breathing lasted in years]:;Enter number of years less than age at death.;${id10161_unit}='years';yes;;;;;.>=1 and .<=${ageInYears2};Duration entered exceeds age at death.;
calculate;Id10161;(Id10161) Calculated number of Days with illness;;;yes;;;if(selected(${isNeonatal}, '1'),${Id10161_0}, if(${id10161_unit}='days', ${Id10161_1},if(${id10161_unit}='months', ${Id10162} * 30, ${Id10163} * 365)));;;;TRUE
end group;;;;;;;;;;;;
select_one select_80;Id10165;(Id10165) Was the difficulty continuous or on and off?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10159}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10166;(Id10166) During the illness that led to death, did (s)he have fast breathing?;;;yes;;;;;;;
integer;Id10167_a;(Id10167_a) For how many days did the fast breathing last?;"If less than 1 day or 24 hours, enter 0 days. Use 1 week = 7 days to determine the number of days. For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10166}, 'yes') and selected(${isNeonatal}, '1');yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less then neonatal age in days at death. ;
select_one units_2;Id10167_units;(Id10167_units) How long did the fast breathing last?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";selected(${Id10166}, 'yes') and (selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
integer;Id10167_b;(Id10167_b) [Enter how long the fast breathing lasted in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10167_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months.;
integer;Id10167_c;(Id10167_c) [Enter how long the fast breathing lasted in months]:;Enter 1-60 months.;${Id10167_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response was greater than 60 months, confirm the response and enter 60.;
calculate;Id10167;(Id10167) How long did the fast breathing last?;;selected(${Id10166}, 'yes');;;;if(selected(${isNeonatal}, '1'), ${Id10167_a},if(${Id10167_units}='days', ${Id10167_b},${Id10167_c} * 30));;;;
select_one YES_NO_DK_REF;Id10168;(Id10168) Did (s)he have breathlessness?;;;yes;;;;;;;
integer;Id10169_a;(Id10169_a) For how many days did (s)he have breathlessness?;"If less than 1 day or 24 hours, enter 0 days. Use 1 week = 7 days to determine the number of days. For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10168}, 'yes') and selected(${isNeonatal}, '1');yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less then neonatal age in days at death. ;
select_one units_2;Id10169_units;(Id10169_units) How long did (s)he have breathlessness?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";selected(${Id10168}, 'yes') and (selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
integer;Id10169_b;(Id10169_b) [Enter how long (s)he had breathlessness in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10169_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months.;
integer;Id10169_c;(Id10169_c) [Enter how long (s)he had breathlessness in months]:;Enter 1-60 months.;${Id10169_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response was greater than 60 months, confirm the response and enter 60.;
calculate;Id10169;(Id10169) How long did (s)he have breathlessness?;;selected(${Id10168}, 'yes');;;;if(selected(${isNeonatal}, '1'), ${Id10169_a},if(${Id10169_units}='days', ${Id10169_b},${Id10169_c} * 30));;;;
select_one YES_NO_DK_REF;Id10170;(Id10170) Was (s)he unable to carry out daily routines due to breathlessness?;;selected(${isAdult}, '1') and selected(${Id10168}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10171;(Id10171) Was (s)he breathless while lying flat?;;selected(${isAdult}, '1') and selected(${Id10168}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10172;(Id10172) Did you see the lower chest wall/ribs being pulled in as the child breathed in?;Ask only for children under the age of 12 years. Show photos if available.;(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));yes;;;;;;;
select_multiple select_501;Id10173_nc;(Id10173_nc) During the illness that led to death did his/her breathing sound like any of the following:;;(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));yes;;;;;;;
note;id10173_check;"(id10173_check) It is not possible to select ""Don't know"" or ""refuse"" together with other options. Please go back and correct the selection. ";;(selected(${Id10173_nc}, 'dk') or selected(${Id10173_nc}, 'ref')) and count-selected(${Id10173_nc})>1;yes;;;;;;;
select_multiple select_502;Id10173_a;(Id10173_a) During the illness that led to death did (s)he have wheezing?;;selected(${isAdult}, '1');yes;;;;;;;
calculate;Id10173;(Id10173) During the illness that led to death did his/her breathing sound like any of the following:;;;;;;if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc});;;;
select_one YES_NO_DK_REF;Id10174;(Id10174) Did (s)he have chest pain?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10175;(Id10175) Was the chest pain severe?;;(selected(${isAdult}, '1')) and selected(${Id10174}, 'yes');;;;;;;;
integer;Id10176;(Id10176) How many days before death did (s)he have chest pain?;"Less than 1 day or 24 hours = 0 days; 1 week = 7 days. For don't know, enter ""99."" For refused, enter ""88.""";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10174}, 'yes');yes;;;;;.>=0 and .<=99;Please enter a value between 0 and 99.  If response was greater than 98 days, confirm the response and enter 98.;
begin group;paindur;Duration of the chest pain;;selected(${isAdult}, '1') and selected(${Id10174}, 'yes');;;;;;;;
select_one M_H_D_DK;Id10178_unit;(Id10178_unit) How long did the chest pain last? ;Enter 1 unit only: 0-59 minutes, 1-23 hours, or days less than response for how many days before death did (s)he have chest pain. 1 week = 7 days.;(selected(${isChild}, '1') or selected(${isAdult}, '1'));;;;;;;;
integer;Id10178;(Id10178) [Enter how long the chest pain lasted in minutes]:;Enter 0-59 minutes.;${Id10178_unit}='minutes';yes;;;;;.>=0 and .<=59;If response was greater than 59 minutes, ask respondent to report time in another unit.;
integer;Id10179;(Id10179) [Enter how long the chest pain lasted in hours]:;Enter 1-23 hours.;${Id10178_unit}='hours';yes;;;;;.>=1 and .<=23;If response was greater than 23 hours, ask respondent to report time in days.;
integer;Id10179_1;(Id10179_1) [Enter how long the chest pain lasted in days]:;Enter 0-30 days. 1 week = 7 days.;${Id10178_unit}='days';yes;;;;;.>=1 and .<=${Id10176};Response should be less than the response for ID10176.;
end group;;;;;;;;;;;;
select_one YES_NO_DK_REF;Id10181;(Id10181) Did (s)he have more frequent loose or liquid stools than usual?;"Ask the respondent about his/her understanding of what is diarrhoea (having more frequent loose or liquid stools than usual); if unclear, explain to the respondent what is diarrhoea .";;yes;;;;;;;
select_one units_2;Id10182_units;(Id10182_units) How long did (s)he have frequent loose or liquid stools?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10181}, 'yes');yes;;;;;;;
integer;Id10182_a;(Id10182_a) [Enter how long (s)he had frequent loose or liquid stools in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10182_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months.;
integer;Id10182_b;(Id10182_b) [Enter how long (s)he had frequent loose or liquid stools in months]:;Enter 1-60 months.;${Id10182_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response was greater than 60 months, confirm the response and enter 60.;
calculate;Id10182;(Id10182) For how many days did (s)he have frequent loose or liquid stools?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10181}, 'yes');;;;if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30);;;;
integer;Id10183;(Id10183) How many stools did the baby or child have on the day that loose liquid stools were most frequent?;"For don't know, enter ""99."" For refused, enter ""88.""";(selected(${isChild}, '1') or selected(${isNeonatal}, '1')) and selected(${Id10181}, 'yes');yes;;;;;(.>=0 and .<=20) or .=99 or .=88;Please enter a value between 1-20, 88, 99.  If the response is more than 20, confirm the response and enter 20.;
integer;Id10184_a;(Id10184_a) How many days before death did the frequent loose or liquid stools start?;"If less than 1 day or 24 hours, enter 0 days. Use 1 week = 7 days to determine the number of days. For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10181}, 'yes') and selected(${isNeonatal}, '1');yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less then neonatal age in days at death. ;
select_one units_2;Id10184_units;(Id10184_units) How long before death did the frequent loose or liquid stools start?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";selected(${Id10181}, 'yes') and selected(${isChild}, '1');yes;;;;;;;
integer;Id10184_b;(Id10184_b) [Enter how long before death the frequent loose or liquid stools started in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10184_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months.;
integer;Id10184_c;(Id10184_c) [Enter how long before death the frequent loose or liquid stools started in months]:;Enter 1-60 months.;${Id10184_units}='months';yes;;;;;.>=0 and .<=60;Likely response is under 60 months. If response was greater than 60 months, confirm the response and enter 60.;
select_one YES_NO_DK_REF;Id10185;(Id10185) Did the frequent loose or liquid stools continue until death?;;(selected(${isChild}, '1')) and selected(${Id10181}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10186;(Id10186) At any time during the final illness was there blood in the stools?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10187;(Id10187) Was there blood in the stool up until death?;;((selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10186}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10188;(Id10188) Did (s)he vomit?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10189;(Id10189) To clarify: Did (s)he vomit in the week preceding the death?;;;yes;;;;;;;
select_one units_2;Id10190_units;(Id10190_units) How long before death did (s)he vomit?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";selected(${Id10189}, 'yes') and selected(${isAdult}, '1');yes;;;;;;;
integer;Id10190_a;(Id10190_a) [Enter how long before death(s)he vomited in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10190_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months.;
integer;Id10190_b;(Id10190_b) [Enter how long before death(s)he vomited in months]:;Enter 1-60 months.;${Id10190_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response was greater than 60 months, confirm the response and enter 60.;
select_one YES_NO_DK_REF;Id10191;(Id10191) Was there blood in the vomit?;;(selected(${Id10188}, 'yes') or selected(${Id10189}, 'yes'))  and ${isNeonatal} !='1';yes;;;;;;;
select_one YES_NO_DK_REF;Id10192;(Id10192) Was the vomit black?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and (selected(${Id10188}, 'yes') or selected(${Id10189}, 'yes')) ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10193;(Id10193) Did (s)he have any belly (abdominal) problem?;Explain to the respondent that problems could be pain, protruding abdomen or a mass.;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10194;(Id10194) Did (s)he have belly (abdominal) pain?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10195;(Id10195) Was the belly (abdominal) pain severe?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10194}, 'yes');;;;;;;;
begin group;abdominal_pain;Belly pain;;(selected(${isChild}, '1')  or selected(${isAdult}, '1')) and selected(${Id10194}, 'yes');;;;;;;;
select_one H_D_M_DK;id10196_unit;(id10196_unit) For how long did (s)he have belly (abdominal) pain? ;Enter 1 unit only: 0-23 hours, 1-30 days, or 1-60 months. 1 week = 7 days.;;;;;;;;;
integer;Id10196;(Id10196) [Enter how long (s)he had  belly (abdominal) pain in hours]:;Enter 1-23 hours.;${id10196_unit}='hours';yes;;;;;(.>=0 and .<=23)  or .=99 or .=88;If response was greater than 23 Hours, ask respondent to report time in another unit.;
integer;Id10197_a;(Id10197_a) [Enter how long (s)he had  belly (abdominal) pain in days]:;Enter 0-30 days. 1 week = 7 days.;${id10196_unit}='days';yes;;;;;.>=1 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10198;(Id10198) [Enter how long (s)he had  belly (abdominal) pain in months]:;Enter 1-60 months.;${id10196_unit}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response is greater then 60, confirm the response and enter 60.;
calculate;Id10197;(Id10197) Calculated number of Days with belly pain;;;yes;;;if(selected(${id10196_unit}, 'days'),${Id10197_a}, if(${id10196_unit}='months', ${Id10198} * 30, ${Id10196} div 24));;;;TRUE
end group;;;;;;;;;;;;
select_one select_100;Id10199;(Id10199) Was the pain in the upper or lower belly (abdomen)?;;((selected(${isChild}, '1')and selected(${Id10195}, 'yes')) or (selected(${isAdult}, '1') and selected(${Id10194}, 'yes')));yes;;;;;;;
select_one YES_NO_DK_REF;Id10200;(Id10200) Did (s)he have a more than usually protruding belly (abdomen)?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) ;yes;;;;;;;
select_one D_M_DK_REF;Id10201_unit;(Id10201_unit) For how long before death did (s)he have a more than usually protruding belly (abdomen)? ;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10200}, 'yes');yes;;;;;;;
integer;Id10201_a;(Id10201_a) [Enter how long before death (s)he had a more than usually protruding belly (abdomen) in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10201_unit}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10202;(Id10202) [Enter how long before death (s)he had a more than usually protruding belly (abdomen) in months]:;Enter 1-60 months.;${Id10201_unit}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response is greater then 60, confirm the response and enter 60. ;
calculate;Id10201;(Id10201) Calculated number of Days with protruding belly (abdomen);;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10200}, 'yes');yes;;;if(selected(${Id10201_unit}, 'days'),${Id10201_a}, if(${Id10201_unit}='months', ${Id10202} * 30, null));;;;TRUE
select_one select_103;Id10203;(Id10203) How rapidly did (s)he develop the protruding belly (abdomen)?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10200}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10204;(Id10204) Did (s)he have any mass in the belly (abdomen)?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one D_M_DK_REF;Id10205_unit;(Id10205_unit) For how long did (s)he have a mass in the belly (abdomen)?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10204}, 'yes');yes;;;;;;;
integer;Id10205_a;(Id10205_a) [Enter how long (s)he had a mass in the belly (abdomen) in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10205_unit}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10206;(Id10206) [Enter how long (s)he had a mass in the belly (abdomen) in months]:;Enter 1-60 months.;${Id10205_unit}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response is greater then 60, confirm the response and enter 60. ;
calculate;Id10205;(Id10205) Calculated number of Days with a mass in the belly (abdomen);;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10204}, 'yes');yes;;;if(selected(${Id10205_unit}, 'days'),${Id10205_a}, if(${Id10205_unit}='months', ${Id10206} * 30, null));;;;TRUE
select_one YES_NO_DK_REF;Id10207;(Id10207) Did (s)he have a severe headache?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10208;(Id10208) Did (s)he have a stiff neck during illness that led to death?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one units_2;Id10209_units;(Id10209_units) How long before death did (s)he have stiff neck?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10208}, 'yes');yes;;;;;;;
integer;Id10209_a;(Id10209_a) [Enter how long before death did (s)he have stiff neck in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10209_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10209_b;(Id10209_b) [Enter how long before death did (s)he have stiff neck in months]:;Enter 1-60 months.;${Id10209_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response is greater then 60, confirm the response and enter 60.;
calculate;Id10209;(Id10209) For how many days before death did (s)he have stiff neck?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10208}, 'yes');;;;if(${Id10209_units}='days', ${Id10209_a},${Id10209_b} * 30);;;;
select_one YES_NO_DK_REF;Id10210;(Id10210) Did (s)he have a painful neck during the illness that led to death?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one units_2;Id10211_units;(Id10211_units) How long before death did (s)he have a painful neck?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10210}, 'yes');yes;;;;;;;
integer;Id10211_a;(Id10211_a) [Enter how long before death (s)he had a painful neck in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10211_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10211_b;(Id10211_b) [Enter how long before death (s)he had a painful neck in months]:;Enter 1-60 months.;${Id10211_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response is greater then 60, confirm the response and enter 60.;
calculate;Id10211;(Id10211) For how many days before death did (s)he have a painful neck?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10210}, 'yes');;;;if(${Id10211_units}='days', ${Id10211_a},${Id10211_b} * 30);;;;
select_one YES_NO_DK_REF;Id10212;(Id10212) Did (s)he have mental confusion?;;selected(${isAdult}, '1');yes;;;;;;;
select_one units_2;Id10213_units;(Id10213_units) How long did (s)he have mental confusion?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isAdult}, '1')) and selected(${Id10212}, 'yes');yes;;;;;;;
integer;Id10213_a;(Id10213_a) [Enter how long (s)he had mental confusion in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10213_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10213_b;(Id10213_b) [Enter how long (s)he had mental confusion in months]:;Enter 1-60 months.;${Id10213_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months. If response is greater then 60, confirm the response and enter 60.;
calculate;Id10213;(Id10213) For how many months did (s)he have mental confusion?;;(selected(${isAdult}, '1')) and selected(${Id10212}, 'yes');;;;if(${Id10213_units}='days', ${Id10213_a} div 30,${Id10213_b});;;;
select_one YES_NO_DK_REF;Id10214;(Id10214) Was (s)he unconscious during the illness that led to death?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10215;(Id10215) Was (s)he unconscious for more than 24 hours before death?;;selected(${Id10214}, 'yes');yes;;;;;;;
select_one units_3;Id10216_units;(Id10216_units) How long before death did unconsciousness start?;Enter 1 unit only: 0-23 hours or 1-99 days. 1 week = 7 days.;selected(${isChild}, '1') and (selected(${Id10215}, 'no') or selected(${Id10215}, 'dk') or selected(${Id10215}, 'ref'));yes;;;;;;;
integer;Id10216_a;(Id10216_a) [Enter how long before death unconsciousness started in hours]?;"The question needs input in hours but the respondent may not know exactly and so it may be easier to ask 'how long' and then convert the duration in hours. (Less than 1 hour = ""0""). ";${Id10216_units}='hours';yes;;;;;.>=0 and .<=23;If response was greater than 23 hours, ask respondent to report time in days.;
integer;Id10216_b;(Id10216_b) [Enter how long before death unconsciousness started in days]?;If more than 99, enter 99.;${Id10216_units}='days';yes;;;;;.>=1 and .<=99;Likely response is under 99 days. If response was greater than 99 days, confirm the response and enter 99.;
calculate;Id10216;(Id10216) How many hours before death did unconsciousness start?;;selected(${isChild}, '1') and (selected(${Id10215}, 'no') or selected(${Id10215}, 'dk') or selected(${Id10215}, 'ref'));;;;if(${Id10216_units}='days', ${Id10216_b} * 24,${Id10216_a});;;;
select_one YES_NO_DK_REF;Id10217;(Id10217) Did the unconsciousness start suddenly, quickly (at least within a single day)?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10214}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10218;(Id10218) Did the unconsciousness continue until death?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10214}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10219;(Id10219) Did (s)he have convulsions?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10220;(Id10220) Did (s)he experience any generalized convulsions or fits during the illness that led to death?;;(selected(${isChild}, '1')) and selected(${Id10219}, 'yes');yes;;;;;;;
integer;Id10221;(Id10221) For how many minutes did the convulsions last?;"The answer could be given in another unit, but for data entry use minutes. Less than 1 minute=0; 1 hour=60 minutes.  Enter ""99"" for ""don't know."" Enter ""88"" for ""refuse.""";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10219}, 'yes');yes;;;;;.>=0 and .<=99;Please enter a value between 0 and 99.  If response was greater than 98 minutes, confirm the response and enter 98.;
select_one YES_NO_DK_REF;Id10222;(Id10222) Did (s)he become unconscious immediately after the convulsion?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10219}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10223;(Id10223) Did (s)he have any urine problems?;Explain to the respondent that urine problems refer to urinating a lot or not at all, and blood in the urine.;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10225;(Id10225) Did (s)he go to urinate more often than usual?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10223}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10226;(Id10226) During the final illness did (s)he ever pass blood in the urine?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10223}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10224;(Id10224) Did (s)he stop urinating?;This means that the deceased stopped urinating.;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10223}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10227;(Id10227) Did (s)he have sores or ulcers anywhere on the body?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10228;(Id10228) Did (s)he have sores?;; selected(${isAdult}, '1');yes;;;;;;;
select_one YES_NO_DK_REF;Id10229;(Id10229) Did the sores have clear fluid or pus?;; ((selected(${isAdult}, '1') and selected(${Id10228}, 'yes')) or (selected(${isChild}, '1') and selected(${Id10227}, 'yes')));yes;;;;;;;
select_one YES_NO_DK_REF;Id10230;(Id10230) Did (s)he have an ulcer (pit) on the foot?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10231;(Id10231) Did the ulcer on the foot ooze pus?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10230}, 'yes');yes;;;;;;;
select_one units_2;Id10232_units;(Id10232_units) How long  did the ulcer on the foot ooze pus?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10231}, 'yes');yes;;;;;;;
