Well: A1 - 80,000 HCMVEC
Spectrum: Run.1 measured at 23/07/2020 5:09:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
599.48,154.90,-26.90
774.26,145.38,-23.95
1000.00,137.22,-21.47
1291.55,130.36,-19.21
1668.10,124.31,-17.13
2154.43,119.21,-15.19
2782.56,114.98,-13.39
3593.81,111.35,-11.90
4641.59,108.45,-10.45
5994.84,106.03,-9.32
7742.64,104.04,-8.42
10000.00,102.33,-7.78
12915.50,100.81,-7.27
16681.01,99.20,-6.96
21544.35,97.46,-6.72
27825.59,95.64,-6.61
35938.14,93.62,-6.51
46415.89,91.47,-6.40
59948.43,89.52,-6.00
77426.37,87.51,-5.49
100000.00,85.60,-4.90


Well: A2 - 80,000 HCMVEC
Spectrum: Run.109 measured at 25/07/2020 3:26:00 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14619.04,-76.18
1.29,11724.40,-75.62
1.67,9395.09,-75.72
2.15,7551.40,-75.12
2.78,6061.04,-74.87
3.59,4857.57,-74.30
4.64,3964.71,-74.45
5.99,3198.21,-73.97
7.74,2569.71,-73.04
10.00,2072.26,-72.35
12.92,1673.97,-71.27
16.68,1355.16,-70.07
21.54,1098.10,-68.69
27.83,892.56,-67.11
35.94,728.97,-65.16
46.42,597.87,-62.92
59.95,493.84,-60.26
77.43,411.31,-57.15
100.00,346.36,-53.66
129.15,295.45,-49.88
166.81,256.18,-45.75
215.44,225.39,-41.54
278.26,201.80,-37.40
359.38,181.52,-33.92
464.16,166.64,-30.27
599.48,154.68,-27.02
774.26,144.96,-24.07
1000.00,136.84,-21.60
1291.55,129.91,-19.27
1668.10,124.00,-17.14
2154.43,118.82,-15.26
2782.56,114.52,-13.51
3593.81,110.99,-11.92
4641.59,108.09,-10.50
5994.84,105.68,-9.31
7742.64,103.73,-8.37
10000.00,102.03,-7.70
12915.50,100.40,-7.24
16681.01,98.95,-6.89
21544.35,97.23,-6.70
27825.59,95.26,-6.61
35938.14,93.35,-6.44
46415.89,91.37,-6.39
59948.43,89.32,-5.92
77426.37,87.29,-5.47
100000.00,85.37,-4.93


Well: A2 - 80,000 HCMVEC
Spectrum: Run.113 measured at 25/07/2020 4:42:05 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14670.87,-76.33
1.29,11785.52,-75.65
1.67,9392.31,-75.78
2.15,7570.16,-75.19
2.78,6056.17,-74.91
3.59,4870.00,-74.42
4.64,3967.46,-74.50
5.99,3196.83,-74.02
7.74,2576.09,-73.09
10.00,2080.19,-72.26
12.92,1678.96,-71.27
16.68,1358.64,-70.13
21.54,1101.36,-68.75
27.83,895.25,-67.12
35.94,730.52,-65.23
46.42,599.35,-62.97
59.95,495.03,-60.35
77.43,412.21,-57.24
100.00,346.93,-53.77
129.15,296.04,-49.93
166.81,256.31,-45.88
215.44,225.58,-41.69
278.26,201.75,-37.50
359.38,181.44,-34.13
464.16,166.47,-30.44
599.48,154.37,-27.22
774.26,144.81,-24.17
1000.00,136.69,-21.65
1291.55,129.67,-19.34
1668.10,123.63,-17.28
2154.43,118.59,-15.36
2782.56,114.22,-13.58
3593.81,110.60,-11.96
4641.59,107.71,-10.57
5994.84,105.40,-9.36
7742.64,103.46,-8.43
10000.00,101.78,-7.72
12915.50,100.17,-7.22
16681.01,98.54,-6.89
21544.35,96.98,-6.65
27825.59,95.04,-6.58
35938.14,93.21,-6.48
46415.89,91.22,-6.40
59948.43,89.07,-5.92
77426.37,87.14,-5.51
100000.00,85.25,-4.96


Well: A2 - 80,000 HCMVEC
Spectrum: Run.117 measured at 25/07/2020 5:58:11 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14688.98,-76.19
1.29,11778.68,-75.56
1.67,9420.06,-75.66
2.15,7582.31,-75.12
2.78,6073.11,-74.90
3.59,4876.04,-74.30
4.64,3988.15,-74.37
5.99,3215.11,-73.90
7.74,2581.50,-73.04
10.00,2084.75,-72.25
12.92,1684.33,-71.21
16.68,1362.55,-70.08
21.54,1104.64,-68.76
27.83,897.90,-67.18
35.94,732.84,-65.31
46.42,600.91,-63.03
59.95,496.01,-60.42
77.43,412.85,-57.34
100.00,347.57,-53.90
129.15,296.32,-50.12
166.81,256.44,-46.01
215.44,225.52,-41.81
278.26,201.62,-37.60
359.38,180.99,-34.21
464.16,166.15,-30.59
599.48,154.06,-27.30
774.26,144.43,-24.36
1000.00,136.20,-21.81
1291.55,129.27,-19.43
1668.10,123.22,-17.35
2154.43,118.13,-15.40
2782.56,113.73,-13.61
3593.81,110.20,-12.01
4641.59,107.35,-10.57
5994.84,104.95,-9.34
7742.64,103.01,-8.45
10000.00,101.33,-7.68
12915.50,99.80,-7.20
16681.01,98.28,-6.86
21544.35,96.73,-6.59
27825.59,94.80,-6.51
35938.14,92.95,-6.48
46415.89,90.94,-6.30
59948.43,88.90,-5.97
77426.37,86.92,-5.46
100000.00,85.05,-4.86


Well: A2 - 80,000 HCMVEC
Spectrum: Run.121 measured at 25/07/2020 7:14:17 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14646.33,-76.23
1.29,11716.29,-75.82
1.67,9458.41,-75.33
2.15,7581.39,-75.01
2.78,6100.66,-74.59
3.59,4886.77,-74.18
4.64,3995.64,-74.27
5.99,3228.93,-73.72
7.74,2596.62,-73.10
10.00,2093.73,-72.26
12.92,1688.81,-71.25
16.68,1367.46,-70.17
21.54,1109.24,-68.75
27.83,901.05,-67.25
35.94,735.27,-65.38
46.42,602.60,-63.14
59.95,497.59,-60.54
77.43,414.10,-57.46
100.00,348.33,-54.06
129.15,296.88,-50.26
166.81,256.78,-46.18
215.44,225.71,-41.92
278.26,201.62,-37.74
359.38,181.05,-34.41
464.16,166.02,-30.72
599.48,153.96,-27.43
774.26,144.23,-24.48
1000.00,135.86,-21.83
1291.55,128.87,-19.59
1668.10,122.83,-17.46
2154.43,117.74,-15.45
2782.56,113.35,-13.68
3593.81,109.71,-12.03
4641.59,106.83,-10.57
5994.84,104.55,-9.35
7742.64,102.56,-8.40
10000.00,100.89,-7.72
12915.50,99.51,-7.19
16681.01,97.91,-6.80
21544.35,96.37,-6.53
27825.59,94.56,-6.49
35938.14,92.68,-6.37
46415.89,90.72,-6.22
59948.43,88.82,-5.97
77426.37,86.78,-5.49
100000.00,84.84,-4.96


Well: A2 - 80,000 HCMVEC
Spectrum: Run.125 measured at 25/07/2020 8:30:24 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14750.78,-76.36
1.29,11872.63,-75.68
1.67,9442.24,-75.66
2.15,7620.32,-75.11
2.78,6088.90,-74.77
3.59,4895.01,-74.27
4.64,4002.05,-74.27
5.99,3226.20,-73.73
7.74,2604.41,-72.96
10.00,2099.15,-72.21
12.92,1694.35,-71.30
16.68,1371.41,-70.22
21.54,1112.28,-68.86
27.83,903.73,-67.28
35.94,736.98,-65.43
46.42,604.36,-63.26
59.95,498.53,-60.63
77.43,414.56,-57.62
100.00,348.86,-54.20
129.15,297.02,-50.40
166.81,256.59,-46.31
215.44,225.50,-42.18
278.26,201.38,-37.99
359.38,180.74,-34.53
464.16,165.65,-30.83
599.48,153.41,-27.57
774.26,143.62,-24.64
1000.00,135.38,-22.00
1291.55,128.35,-19.69
1668.10,122.23,-17.62
2154.43,117.18,-15.51
2782.56,112.71,-13.78
3593.81,109.12,-12.08
4641.59,106.23,-10.64
5994.84,103.94,-9.36
7742.64,101.98,-8.38
10000.00,100.37,-7.66
12915.50,98.98,-7.12
16681.01,97.43,-6.72
21544.35,95.97,-6.48
27825.59,94.20,-6.40
35938.14,92.44,-6.32
46415.89,90.60,-6.25
59948.43,88.51,-5.94
77426.37,86.56,-5.47
100000.00,84.71,-4.85


Well: A2 - 80,000 HCMVEC
Spectrum: Run.129 measured at 25/07/2020 9:46:30 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14773.75,-76.42
1.29,11873.31,-75.91
1.67,9440.41,-75.55
2.15,7635.94,-75.15
2.78,6099.39,-74.68
3.59,4911.78,-74.28
4.64,4017.99,-74.21
5.99,3229.49,-73.72
7.74,2613.60,-72.87
10.00,2102.74,-72.30
12.92,1700.83,-71.29
16.68,1376.10,-70.17
21.54,1115.61,-68.87
27.83,905.79,-67.37
35.94,738.96,-65.50
46.42,605.87,-63.32
59.95,499.88,-60.75
77.43,415.60,-57.71
100.00,349.27,-54.29
129.15,297.41,-50.54
166.81,256.82,-46.46
215.44,225.65,-42.30
278.26,201.22,-38.09
359.38,180.65,-34.62
464.16,165.45,-31.05
599.48,153.19,-27.66
774.26,143.34,-24.77
1000.00,135.19,-22.07
1291.55,127.98,-19.77
1668.10,122.01,-17.66
2154.43,116.88,-15.63
2782.56,112.46,-13.80
3593.81,108.82,-12.16
4641.59,106.02,-10.66
5994.84,103.64,-9.39
7742.64,101.75,-8.41
10000.00,100.15,-7.68
12915.50,98.66,-7.10
16681.01,97.26,-6.69
21544.35,95.78,-6.48
27825.59,94.03,-6.36
35938.14,92.26,-6.36
46415.89,90.37,-6.18
59948.43,88.31,-5.85
77426.37,86.33,-5.53
100000.00,84.43,-4.99


Well: A2 - 80,000 HCMVEC
Spectrum: Run.133 measured at 25/07/2020 11:02:41 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14812.18,-76.14
1.29,11874.89,-75.54
1.67,9510.61,-75.56
2.15,7659.65,-74.94
2.78,6146.94,-74.69
3.59,4927.01,-74.18
4.64,4032.41,-74.18
5.99,3243.74,-73.81
7.74,2618.73,-73.14
10.00,2111.12,-72.28
12.92,1705.47,-71.31
16.68,1381.56,-70.19
21.54,1119.28,-68.93
27.83,909.19,-67.41
35.94,741.59,-65.57
46.42,607.42,-63.38
59.95,500.79,-60.80
77.43,416.42,-57.82
100.00,350.19,-54.38
129.15,297.66,-50.64
166.81,257.15,-46.59
215.44,225.76,-42.39
278.26,201.30,-38.20
359.38,180.50,-34.78
464.16,165.32,-31.09
599.48,153.14,-27.82
774.26,143.30,-24.78
1000.00,134.81,-22.19
1291.55,127.83,-19.89
1668.10,121.73,-17.60
2154.43,116.50,-15.73
2782.56,112.14,-13.82
3593.81,108.48,-12.18
4641.59,105.57,-10.69
5994.84,103.27,-9.44
7742.64,101.34,-8.44
10000.00,99.76,-7.63
12915.50,98.34,-7.07
16681.01,96.93,-6.69
21544.35,95.44,-6.42
27825.59,93.66,-6.32
35938.14,92.08,-6.33
46415.89,90.08,-6.19
59948.43,88.05,-5.86
77426.37,86.16,-5.52
100000.00,84.34,-4.93


Well: A2 - 80,000 HCMVEC
Spectrum: Run.137 measured at 25/07/2020 12:18:53 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14782.13,-76.33
1.29,11908.01,-75.98
1.67,9480.82,-75.21
2.15,7653.50,-75.08
2.78,6136.16,-74.40
3.59,4933.75,-74.06
4.64,4040.92,-74.13
5.99,3270.34,-73.74
7.74,2631.15,-72.94
10.00,2119.83,-72.23
12.92,1714.11,-71.23
16.68,1385.56,-70.26
21.54,1122.07,-68.99
27.83,911.67,-67.40
35.94,743.61,-65.64
46.42,608.81,-63.44
59.95,502.04,-60.88
77.43,417.27,-57.87
100.00,350.18,-54.48
129.15,298.19,-50.72
166.81,257.31,-46.65
215.44,225.69,-42.46
278.26,201.42,-38.28
359.38,180.40,-34.89
464.16,165.28,-31.18
599.48,152.95,-27.87
774.26,143.04,-24.90
1000.00,134.55,-22.32
1291.55,127.60,-19.95
1668.10,121.39,-17.72
2154.43,116.19,-15.69
2782.56,111.71,-13.93
3593.81,108.16,-12.19
4641.59,105.26,-10.72
5994.84,102.93,-9.42
7742.64,101.01,-8.37
10000.00,99.43,-7.59
12915.50,97.94,-7.05
16681.01,96.62,-6.63
21544.35,95.13,-6.40
27825.59,93.49,-6.28
35938.14,91.73,-6.23
46415.89,89.84,-6.18
59948.43,87.89,-5.81
77426.37,86.00,-5.45
100000.00,84.09,-5.02


Well: A2 - 80,000 HCMVEC
Spectrum: Run.141 measured at 25/07/2020 1:35:05 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14808.23,-76.16
1.29,11838.61,-75.68
1.67,9537.36,-75.18
2.15,7662.33,-74.91
2.78,6177.17,-74.36
3.59,4955.96,-73.92
4.64,4052.12,-74.20
5.99,3271.05,-73.89
7.74,2637.18,-73.13
10.00,2128.12,-72.23
12.92,1715.68,-71.41
16.68,1388.49,-70.37
21.54,1125.64,-69.03
27.83,914.59,-67.55
35.94,745.49,-65.66
46.42,610.50,-63.50
59.95,503.21,-61.01
77.43,418.08,-58.00
100.00,350.99,-54.64
129.15,298.39,-50.83
166.81,257.61,-46.83
215.44,225.88,-42.65
278.26,201.25,-38.48
359.38,180.17,-35.10
464.16,164.92,-31.36
599.48,152.64,-28.06
774.26,142.52,-25.14
1000.00,134.24,-22.41
1291.55,126.99,-20.13
1668.10,120.92,-17.90
2154.43,115.66,-15.84
2782.56,111.18,-14.00
3593.81,107.57,-12.27
4641.59,104.74,-10.73
5994.84,102.39,-9.39
7742.64,100.58,-8.36
10000.00,98.93,-7.57
12915.50,97.55,-7.02
16681.01,96.19,-6.60
21544.35,94.73,-6.28
27825.59,93.15,-6.22
35938.14,91.39,-6.14
46415.89,89.62,-6.13
59948.43,87.70,-5.79
77426.37,85.79,-5.40
100000.00,83.92,-4.97


Well: A2 - 80,000 HCMVEC
Spectrum: Run.145 measured at 25/07/2020 2:51:15 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14905.20,-76.24
1.29,11979.00,-75.75
1.67,9530.53,-75.41
2.15,7718.07,-75.03
2.78,6164.07,-74.55
3.59,4967.37,-74.10
4.64,4068.59,-74.11
5.99,3280.10,-73.54
7.74,2642.13,-73.02
10.00,2131.07,-72.38
12.92,1723.38,-71.37
16.68,1394.17,-70.28
21.54,1129.27,-69.04
27.83,916.58,-67.53
35.94,747.40,-65.73
46.42,611.78,-63.62
59.95,504.43,-61.08
77.43,418.88,-58.08
100.00,351.48,-54.78
129.15,298.99,-51.03
166.81,257.76,-46.99
215.44,225.95,-42.86
278.26,201.33,-38.66
359.38,180.06,-35.24
464.16,164.96,-31.47
599.48,152.40,-28.24
774.26,142.21,-25.25
1000.00,133.80,-22.54
1291.55,126.76,-20.19
1668.10,120.50,-17.98
2154.43,115.24,-16.00
2782.56,110.86,-14.11
3593.81,107.23,-12.36
4641.59,104.26,-10.81
5994.84,101.96,-9.47
7742.64,100.08,-8.45
10000.00,98.51,-7.59
12915.50,97.16,-7.02
16681.01,95.82,-6.57
21544.35,94.37,-6.30
27825.59,92.85,-6.19
35938.14,91.13,-6.11
46415.89,89.41,-6.19
59948.43,87.41,-5.84
77426.37,85.51,-5.43
100000.00,83.71,-4.96


Well: A2 - 80,000 HCMVEC
Spectrum: Run.149 measured at 25/07/2020 4:07:26 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14883.80,-76.20
1.29,11988.57,-75.90
1.67,9558.10,-75.14
2.15,7714.23,-74.97
2.78,6190.51,-74.34
3.59,4978.75,-74.02
4.64,4071.35,-74.21
5.99,3288.96,-73.57
7.74,2650.90,-72.98
10.00,2139.95,-72.30
12.92,1728.83,-71.41
16.68,1397.86,-70.37
21.54,1132.73,-69.16
27.83,919.69,-67.65
35.94,749.57,-65.84
46.42,613.62,-63.67
59.95,505.71,-61.19
77.43,419.82,-58.21
100.00,352.12,-54.83
129.15,299.32,-51.15
166.81,258.13,-47.11
215.44,225.92,-42.92
278.26,201.26,-38.73
359.38,180.17,-35.35
464.16,164.69,-31.70
599.48,152.25,-28.39
774.26,142.05,-25.37
1000.00,133.72,-22.72
1291.55,126.39,-20.32
1668.10,120.17,-18.11
2154.43,114.86,-16.10
2782.56,110.52,-14.13
3593.81,106.86,-12.40
4641.59,104.00,-10.82
5994.84,101.65,-9.45
7742.64,99.83,-8.40
10000.00,98.27,-7.58
12915.50,96.80,-6.99
16681.01,95.54,-6.57
21544.35,94.15,-6.24
27825.59,92.64,-6.18
35938.14,90.96,-6.13
46415.89,89.17,-6.08
59948.43,87.29,-5.75
77426.37,85.33,-5.42
100000.00,83.52,-5.01


Well: A2 - 80,000 HCMVEC
Spectrum: Run.153 measured at 25/07/2020 5:23:35 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14054.40,-76.41
1.29,11241.87,-76.02
1.67,9022.49,-75.42
2.15,7251.23,-75.32
2.78,5816.73,-74.77
3.59,4672.81,-74.31
4.64,3808.40,-74.58
5.99,3079.66,-73.94
7.74,2478.07,-73.25
10.00,1991.31,-72.41
12.92,1604.92,-71.39
16.68,1297.56,-70.15
21.54,1050.69,-68.67
27.83,853.04,-66.97
35.94,696.07,-64.92
46.42,571.07,-62.40
59.95,471.89,-59.48
77.43,394.17,-56.16
100.00,332.71,-52.37
129.15,285.63,-48.31
166.81,248.81,-43.93
215.44,220.66,-39.48
278.26,197.46,-35.78
359.38,180.35,-31.83
464.16,166.87,-28.19
599.48,156.22,-24.98
774.26,147.65,-22.24
1000.00,140.28,-19.88
1291.55,133.85,-17.91
1668.10,128.31,-16.06
2154.43,123.30,-14.45
2782.56,119.09,-12.90
3593.81,115.40,-11.57
4641.59,112.30,-10.36
5994.84,109.86,-9.34
7742.64,107.76,-8.57
10000.00,105.81,-8.08
12915.50,104.00,-7.69
16681.01,102.17,-7.46
21544.35,100.14,-7.32
27825.59,97.90,-7.29
35938.14,95.51,-7.22
46415.89,92.97,-6.97
59948.43,90.82,-6.61
77426.37,88.47,-5.97
100000.00,86.51,-5.31



Well: A4 - 20,000 HCMVEC
Spectrum: Run.1 measured at 23/07/2020 5:09:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,16074.90,-69.19
1.29,13116.37,-68.90
1.67,10814.21,-68.74
2.15,8830.42,-68.80
2.78,7244.73,-68.74
3.59,5914.79,-68.60
4.64,4820.63,-68.46
5.99,3984.56,-68.61
7.74,3271.96,-68.04
10.00,2679.95,-67.69
12.92,2187.11,-67.19
16.68,1793.16,-66.34
21.54,1470.82,-65.37
27.83,1207.82,-64.09
35.94,995.03,-62.66
46.42,822.09,-60.85
59.95,682.06,-58.74
77.43,569.19,-56.25
100.00,478.92,-53.32
129.15,407.34,-50.03
166.81,351.28,-46.26
215.44,307.80,-42.16
278.26,274.48,-38.01
359.38,248.87,-33.82
464.16,229.43,-30.00
599.48,213.83,-26.51
774.26,201.17,-23.48
1000.00,189.77,-20.78
1291.55,180.80,-18.42
1668.10,173.38,-16.16
2154.43,167.43,-14.12
2782.56,161.43,-12.36
3593.81,156.00,-10.53
4641.59,152.37,-8.85
5994.84,149.58,-7.29
7742.64,146.78,-6.07
10000.00,144.93,-4.77
12915.50,143.76,-3.59
16681.01,142.51,-2.55
21544.35,140.87,-1.55
27825.59,139.69,-0.59
35938.14,138.80,0.16
46415.89,139.30,0.98
59948.43,138.46,1.90
77426.37,137.40,3.04
100000.00,136.34,4.29


Well: A4 - 20,000 HCMVEC
Spectrum: Run.5 measured at 23/07/2020 6:26:33 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13377.44,-71.43
1.29,10869.63,-71.30
1.67,8884.43,-70.85
2.15,7213.12,-70.86
2.78,5884.49,-70.65
3.59,4777.03,-70.45
4.64,3937.54,-70.39
5.99,3214.12,-70.12
7.74,2618.86,-69.72
10.00,2128.88,-69.17
12.92,1734.36,-68.52
16.68,1416.11,-67.71
21.54,1156.25,-66.76
27.83,946.40,-65.47
35.94,776.42,-64.02
46.42,639.58,-62.32
59.95,529.31,-60.16
77.43,441.04,-57.70
100.00,370.50,-54.79
129.15,314.61,-51.59
166.81,270.17,-48.09
215.44,235.03,-44.38
278.26,207.76,-40.50
359.38,185.57,-36.96
464.16,168.33,-33.40
599.48,154.50,-30.07
774.26,143.40,-27.14
1000.00,134.14,-24.35
1291.55,126.14,-21.97
1668.10,119.29,-19.75
2154.43,113.31,-17.67
2782.56,108.17,-15.71
3593.81,103.82,-13.72
4641.59,100.37,-11.86
5994.84,97.57,-10.07
7742.64,95.37,-8.50
10000.00,93.87,-7.05
12915.50,92.68,-5.80
16681.01,91.78,-4.66
21544.35,91.13,-3.68
27825.59,90.51,-2.94
35938.14,90.01,-2.26
46415.89,89.87,-1.66
59948.43,89.37,-1.03
77426.37,88.79,-0.39
100000.00,88.16,0.25


Well: A4 - 20,000 HCMVEC
Spectrum: Run.9 measured at 23/07/2020 7:42:42 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13294.10,-71.98
1.29,10831.34,-71.55
1.67,8730.46,-71.71
2.15,7125.65,-71.44
2.78,5759.96,-71.36
3.59,4689.31,-71.07
4.64,3854.31,-70.97
5.99,3138.53,-70.58
7.74,2557.24,-70.10
10.00,2079.87,-69.56
12.92,1692.79,-68.84
16.68,1379.16,-68.02
21.54,1125.40,-67.03
27.83,919.42,-65.76
35.94,753.66,-64.25
46.42,620.12,-62.39
59.95,512.81,-60.26
77.43,427.16,-57.65
100.00,358.94,-54.68
129.15,304.64,-51.37
166.81,262.08,-47.70
215.44,228.30,-43.87
278.26,202.05,-40.03
359.38,181.02,-36.42
464.16,164.59,-32.78
599.48,151.50,-29.42
774.26,140.85,-26.44
1000.00,132.05,-23.73
1291.55,124.49,-21.39
1668.10,118.03,-19.20
2154.43,112.31,-17.17
2782.56,107.38,-15.25
3593.81,103.35,-13.33
4641.59,100.07,-11.53
5994.84,97.36,-9.96
7742.64,95.29,-8.43
10000.00,93.72,-7.18
12915.50,92.45,-6.07
16681.01,91.56,-5.09
21544.35,90.73,-4.26
27825.59,89.77,-3.63
35938.14,89.17,-3.07
46415.89,88.71,-2.68
59948.43,87.88,-2.21
77426.37,86.97,-1.53
100000.00,86.12,-0.91


Well: A4 - 20,000 HCMVEC
Spectrum: Run.13 measured at 23/07/2020 8:58:52 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13321.63,-72.45
1.29,10816.32,-72.31
1.67,8764.57,-71.69
2.15,7127.36,-71.87
2.78,5775.01,-71.39
3.59,4694.93,-71.30
4.64,3861.29,-71.28
5.99,3143.56,-70.82
7.74,2557.86,-70.47
10.00,2075.97,-69.91
12.92,1689.14,-69.17
16.68,1374.73,-68.30
21.54,1120.32,-67.31
27.83,914.47,-66.08
35.94,748.51,-64.58
46.42,615.33,-62.70
59.95,508.31,-60.48
77.43,423.06,-57.88
100.00,355.16,-54.92
129.15,301.46,-51.53
166.81,259.06,-47.85
215.44,225.46,-44.06
278.26,200.43,-40.26
359.38,179.80,-36.43
464.16,162.60,-32.82
599.48,149.64,-29.39
774.26,139.24,-26.40
1000.00,130.54,-23.70
1291.55,123.14,-21.32
1668.10,116.75,-19.05
2154.43,111.23,-17.04
2782.56,106.39,-15.12
3593.81,102.42,-13.31
4641.59,99.10,-11.53
5994.84,96.46,-9.90
7742.64,94.42,-8.44
10000.00,92.82,-7.20
12915.50,91.66,-6.06
16681.01,90.71,-5.11
21544.35,89.90,-4.30
27825.59,89.03,-3.73
35938.14,88.36,-3.24
46415.89,87.93,-2.81
59948.43,87.07,-2.33
77426.37,86.16,-1.77
100000.00,85.09,-1.18


Well: A4 - 20,000 HCMVEC
Spectrum: Run.17 measured at 23/07/2020 10:15:01 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13524.60,-72.70
1.29,11007.18,-72.45
1.67,8838.18,-72.10
2.15,7212.27,-72.12
2.78,5816.02,-71.84
3.59,4731.07,-71.62
4.64,3900.25,-71.44
5.99,3163.73,-71.04
7.74,2571.87,-70.75
10.00,2084.47,-70.18
12.92,1695.79,-69.48
16.68,1379.77,-68.63
21.54,1122.96,-67.64
27.83,916.32,-66.29
35.94,749.75,-64.84
46.42,615.74,-62.99
59.95,508.49,-60.78
77.43,422.67,-58.14
100.00,354.35,-55.16
129.15,300.47,-51.72
166.81,258.18,-48.01
215.44,224.70,-44.21
278.26,199.43,-40.44
359.38,179.00,-36.48
464.16,161.83,-32.90
599.48,149.01,-29.45
774.26,138.50,-26.45
1000.00,129.88,-23.81
1291.55,122.40,-21.33
1668.10,116.02,-19.13
2154.43,110.66,-17.09
2782.56,105.86,-15.18
3593.81,101.82,-13.29
4641.59,98.59,-11.57
5994.84,95.98,-9.92
7742.64,93.92,-8.45
10000.00,92.38,-7.16
12915.50,91.16,-6.04
16681.01,90.25,-5.11
21544.35,89.48,-4.28
27825.59,88.75,-3.63
35938.14,88.02,-3.16
46415.89,87.54,-2.79
59948.43,86.72,-2.31
77426.37,85.73,-1.78
100000.00,84.78,-1.08


Well: A4 - 20,000 HCMVEC
Spectrum: Run.21 measured at 23/07/2020 11:31:11 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13560.62,-72.63
1.29,10973.50,-72.37
1.67,8944.32,-72.14
2.15,7232.12,-72.02
2.78,5884.12,-71.89
3.59,4754.04,-71.63
4.64,3920.58,-71.57
5.99,3189.32,-71.28
7.74,2581.72,-70.96
10.00,2094.51,-70.23
12.92,1698.75,-69.65
16.68,1381.23,-68.77
21.54,1124.62,-67.75
27.83,916.88,-66.51
35.94,749.77,-65.01
46.42,615.25,-63.13
59.95,507.39,-60.89
77.43,421.63,-58.28
100.00,353.36,-55.24
129.15,299.65,-51.88
166.81,257.19,-48.15
215.44,223.89,-44.20
278.26,198.78,-40.45
359.38,178.15,-36.62
464.16,161.16,-32.98
599.48,148.27,-29.55
774.26,137.89,-26.45
1000.00,129.29,-23.77
1291.55,122.00,-21.32
1668.10,115.55,-19.13
2154.43,110.12,-17.11
2782.56,105.37,-15.14
3593.81,101.40,-13.27
4641.59,98.21,-11.51
5994.84,95.59,-9.83
7742.64,93.57,-8.39
10000.00,92.04,-7.11
12915.50,90.96,-6.02
16681.01,90.00,-5.04
21544.35,89.18,-4.24
27825.59,88.36,-3.68
35938.14,87.74,-3.15
46415.89,87.24,-2.72
59948.43,86.54,-2.33
77426.37,85.55,-1.79
100000.00,84.57,-1.14


Well: A4 - 20,000 HCMVEC
Spectrum: Run.25 measured at 24/07/2020 12:47:21 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13700.24,-72.80
1.29,11114.34,-72.28
1.67,8963.11,-72.59
2.15,7284.46,-72.20
2.78,5878.93,-72.22
3.59,4772.25,-71.90
4.64,3929.14,-71.77
5.99,3186.02,-71.56
7.74,2584.05,-70.95
10.00,2095.83,-70.48
12.92,1702.12,-69.80
16.68,1383.32,-68.91
21.54,1125.24,-67.88
27.83,917.01,-66.60
35.94,749.41,-65.17
46.42,614.90,-63.29
59.95,507.07,-61.05
77.43,421.14,-58.46
100.00,352.60,-55.41
129.15,298.69,-52.00
166.81,256.64,-48.26
215.44,223.17,-44.38
278.26,197.89,-40.55
359.38,177.34,-36.72
464.16,160.44,-33.01
599.48,147.67,-29.63
774.26,137.27,-26.50
1000.00,128.69,-23.81
1291.55,121.31,-21.42
1668.10,115.09,-19.15
2154.43,109.63,-17.09
2782.56,104.88,-15.22
3593.81,100.94,-13.30
4641.59,97.68,-11.49
5994.84,95.15,-9.83
7742.64,93.10,-8.38
10000.00,91.56,-7.12
12915.50,90.47,-5.99
16681.01,89.53,-5.04
21544.35,88.72,-4.21
27825.59,87.97,-3.64
35938.14,87.35,-3.17
46415.89,86.99,-2.81
59948.43,86.13,-2.32
77426.37,85.25,-1.83
100000.00,84.28,-1.21


Well: A4 - 20,000 HCMVEC
Spectrum: Run.29 measured at 24/07/2020 2:03:29 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13758.49,-73.03
1.29,11176.78,-72.69
1.67,8970.18,-72.68
