area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020
E07000117,0.633,0.621,0.605,0.590,0.569,0.538,0.509,0.481,0.455,0.429,0.405,0.378,0.348,0.317,0.284,0.237,0.192,0.167,0.143,0.116,0.080,0.040,0.018,0.000
E07000118,0.582,0.571,0.553,0.539,0.528,0.498,0.458,0.429,0.403,0.377,0.352,0.327,0.300,0.270,0.236,0.199,0.168,0.146,0.122,0.095,0.064,0.032,0.012,0.000
E07000119,0.618,0.604,0.584,0.564,0.535,0.497,0.467,0.443,0.420,0.395,0.371,0.345,0.313,0.281,0.248,0.214,0.184,0.162,0.140,0.112,0.076,0.039,0.016,0.000
E07000120,0.621,0.610,0.593,0.578,0.559,0.531,0.507,0.486,0.466,0.445,0.424,0.393,0.356,0.324,0.290,0.237,0.184,0.158,0.132,0.102,0.070,0.037,0.017,0.000
E07000121,0.638,0.626,0.607,0.589,0.564,0.531,0.505,0.483,0.461,0.437,0.414,0.388,0.355,0.323,0.290,0.242,0.194,0.168,0.144,0.114,0.076,0.036,0.013,0.000
E07000122,0.632,0.620,0.603,0.587,0.562,0.529,0.500,0.473,0.446,0.418,0.393,0.367,0.341,0.312,0.280,0.240,0.203,0.180,0.152,0.121,0.083,0.042,0.019,0.000
E07000123,0.615,0.603,0.584,0.568,0.547,0.520,0.497,0.476,0.453,0.427,0.403,0.375,0.340,0.305,0.268,0.229,0.196,0.174,0.148,0.117,0.081,0.041,0.017,0.000
E07000124,0.615,0.604,0.587,0.571,0.549,0.517,0.489,0.465,0.442,0.419,0.400,0.377,0.351,0.323,0.290,0.243,0.199,0.175,0.154,0.125,0.083,0.042,0.018,0.000
E07000125,0.614,0.601,0.582,0.566,0.545,0.515,0.489,0.465,0.440,0.415,0.391,0.363,0.331,0.301,0.268,0.216,0.163,0.136,0.113,0.088,0.062,0.033,0.014,0.000
E07000126,0.568,0.557,0.539,0.522,0.502,0.476,0.452,0.426,0.403,0.379,0.355,0.331,0.303,0.276,0.245,0.197,0.152,0.130,0.110,0.088,0.063,0.033,0.014,0.000
E07000127,0.537,0.524,0.502,0.483,0.462,0.437,0.414,0.392,0.372,0.350,0.330,0.305,0.277,0.250,0.222,0.190,0.162,0.143,0.121,0.095,0.066,0.033,0.012,0.000
E07000128,0.594,0.581,0.561,0.542,0.518,0.486,0.456,0.431,0.409,0.387,0.366,0.342,0.315,0.291,0.263,0.218,0.177,0.154,0.131,0.102,0.069,0.036,0.016,0.000
E07000129,0.556,0.544,0.527,0.510,0.489,0.465,0.445,0.425,0.405,0.382,0.360,0.334,0.295,0.249,0.205,0.163,0.132,0.113,0.093,0.071,0.047,0.024,0.011,0.000
E07000130,0.602,0.591,0.574,0.560,0.543,0.520,0.498,0.475,0.455,0.433,0.411,0.385,0.349,0.312,0.271,0.223,0.183,0.159,0.138,0.114,0.082,0.043,0.018,0.000
E07000131,0.618,0.607,0.591,0.574,0.550,0.522,0.499,0.477,0.456,0.434,0.411,0.381,0.344,0.304,0.259,0.214,0.177,0.154,0.134,0.108,0.074,0.038,0.017,0.000
E07000132,0.593,0.582,0.563,0.544,0.524,0.500,0.478,0.457,0.438,0.417,0.396,0.371,0.339,0.309,0.268,0.216,0.174,0.149,0.126,0.101,0.069,0.035,0.015,0.000
E07000133,0.603,0.592,0.572,0.552,0.532,0.507,0.486,0.467,0.446,0.424,0.402,0.374,0.339,0.298,0.252,0.206,0.170,0.149,0.129,0.103,0.070,0.036,0.015,0.000
E07000134,0.599,0.587,0.570,0.553,0.529,0.498,0.471,0.447,0.423,0.397,0.374,0.349,0.321,0.293,0.258,0.219,0.184,0.161,0.137,0.108,0.073,0.037,0.016,0.000
E07000135,0.547,0.534,0.515,0.501,0.483,0.456,0.427,0.399,0.375,0.354,0.335,0.313,0.285,0.253,0.215,0.176,0.145,0.127,0.108,0.087,0.064,0.035,0.014,0.000
E07000136,0.667,0.656,0.639,0.624,0.607,0.582,0.557,0.530,0.504,0.477,0.448,0.417,0.383,0.349,0.309,0.261,0.222,0.198,0.170,0.135,0.089,0.042,0.016,0.000
E07000137,0.654,0.643,0.624,0.605,0.579,0.548,0.523,0.499,0.478,0.455,0.432,0.401,0.357,0.309,0.264,0.220,0.185,0.161,0.137,0.109,0.072,0.035,0.014,0.000
E07000138,0.684,0.672,0.654,0.641,0.623,0.598,0.578,0.557,0.535,0.513,0.488,0.456,0.415,0.372,0.327,0.273,0.220,0.189,0.161,0.132,0.100,0.054,0.020,0.000
E07000139,0.643,0.632,0.615,0.599,0.579,0.556,0.535,0.515,0.494,0.472,0.449,0.417,0.375,0.327,0.275,0.222,0.181,0.156,0.131,0.104,0.071,0.035,0.014,0.000
E07000140,0.653,0.642,0.624,0.604,0.579,0.549,0.522,0.496,0.472,0.446,0.421,0.391,0.351,0.306,0.262,0.214,0.175,0.153,0.130,0.105,0.073,0.036,0.014,0.000
E07000141,0.647,0.636,0.618,0.601,0.579,0.551,0.527,0.505,0.483,0.459,0.436,0.405,0.364,0.322,0.277,0.227,0.188,0.162,0.136,0.107,0.072,0.037,0.016,0.000
E07000142,0.620,0.609,0.592,0.575,0.556,0.533,0.510,0.488,0.467,0.446,0.423,0.390,0.350,0.310,0.267,0.219,0.180,0.155,0.130,0.103,0.068,0.033,0.015,0.000
E07000143,0.647,0.635,0.617,0.601,0.582,0.560,0.541,0.523,0.504,0.483,0.461,0.431,0.395,0.358,0.314,0.250,0.193,0.163,0.137,0.108,0.074,0.037,0.015,0.000
E07000144,0.526,0.512,0.490,0.470,0.444,0.413,0.388,0.366,0.346,0.322,0.298,0.274,0.247,0.219,0.189,0.158,0.130,0.109,0.087,0.063,0.039,0.018,0.007,0.000
E07000145,0.629,0.616,0.598,0.582,0.564,0.540,0.516,0.493,0.468,0.442,0.417,0.386,0.347,0.302,0.254,0.205,0.165,0.142,0.118,0.088,0.056,0.026,0.010,0.000
E07000146,0.648,0.637,0.619,0.600,0.574,0.543,0.517,0.495,0.473,0.451,0.428,0.400,0.367,0.325,0.274,0.221,0.180,0.157,0.134,0.105,0.068,0.033,0.013,0.000
E07000147,0.623,0.611,0.591,0.571,0.551,0.529,0.508,0.489,0.470,0.449,0.427,0.397,0.360,0.324,0.282,0.223,0.170,0.142,0.120,0.094,0.063,0.032,0.013,0.000
E07000148,0.692,0.680,0.663,0.651,0.635,0.613,0.594,0.574,0.553,0.530,0.508,0.480,0.445,0.411,0.371,0.302,0.235,0.201,0.172,0.140,0.103,0.058,0.025,0.000
E07000149,0.610,0.599,0.581,0.562,0.541,0.517,0.498,0.481,0.462,0.440,0.416,0.387,0.353,0.315,0.265,0.209,0.168,0.144,0.122,0.094,0.059,0.026,0.009,0.000
E07000150,0.656,0.644,0.628,0.615,0.596,0.571,0.547,0.525,0.502,0.476,0.450,0.422,0.388,0.351,0.311,0.268,0.230,0.205,0.175,0.139,0.094,0.046,0.020,0.000
E07000151,0.641,0.630,0.611,0.592,0.567,0.536,0.510,0.483,0.456,0.429,0.406,0.383,0.350,0.309,0.262,0.217,0.182,0.159,0.137,0.106,0.067,0.034,0.016,0.000
E07000152,0.653,0.642,0.623,0.605,0.581,0.551,0.522,0.493,0.465,0.434,0.403,0.374,0.342,0.307,0.266,0.223,0.188,0.164,0.139,0.109,0.072,0.036,0.016,0.000
E07000153,0.667,0.655,0.637,0.622,0.604,0.578,0.553,0.526,0.496,0.461,0.428,0.395,0.362,0.327,0.285,0.239,0.200,0.175,0.150,0.118,0.080,0.041,0.018,0.000
E07000154,0.678,0.666,0.649,0.635,0.617,0.592,0.571,0.549,0.526,0.501,0.476,0.442,0.393,0.344,0.303,0.260,0.221,0.195,0.165,0.130,0.090,0.047,0.021,0.000
E07000155,0.624,0.613,0.596,0.576,0.551,0.525,0.503,0.482,0.459,0.438,0.422,0.399,0.358,0.306,0.254,0.206,0.170,0.149,0.127,0.099,0.064,0.032,0.014,0.000
E07000156,0.619,0.606,0.588,0.572,0.551,0.523,0.498,0.471,0.443,0.414,0.388,0.361,0.325,0.289,0.254,0.214,0.179,0.156,0.130,0.101,0.066,0.033,0.015,0.000
E07000163,0.617,0.605,0.586,0.568,0.547,0.521,0.497,0.475,0.454,0.432,0.411,0.386,0.355,0.326,0.289,0.234,0.183,0.156,0.134,0.108,0.074,0.038,0.016,0.000
E07000164,0.599,0.588,0.571,0.553,0.530,0.502,0.477,0.455,0.433,0.410,0.386,0.359,0.321,0.280,0.241,0.202,0.170,0.149,0.130,0.107,0.075,0.040,0.019,0.000
E07000165,0.633,0.621,0.602,0.584,0.564,0.538,0.516,0.495,0.473,0.448,0.426,0.398,0.364,0.330,0.292,0.239,0.190,0.162,0.140,0.112,0.077,0.040,0.017,0.000
E07000166,0.647,0.639,0.621,0.600,0.575,0.547,0.527,0.512,0.499,0.484,0.467,0.439,0.391,0.334,0.280,0.231,0.195,0.171,0.147,0.116,0.078,0.039,0.017,0.000
E07000167,0.611,0.600,0.580,0.559,0.538,0.513,0.492,0.474,0.454,0.422,0.388,0.358,0.330,0.301,0.265,0.213,0.166,0.139,0.117,0.092,0.061,0.030,0.014,0.000
E07000168,0.640,0.628,0.608,0.588,0.565,0.540,0.519,0.501,0.479,0.455,0.430,0.400,0.364,0.330,0.292,0.238,0.188,0.161,0.136,0.103,0.065,0.031,0.012,0.000
E07000169,0.630,0.619,0.601,0.585,0.564,0.538,0.517,0.498,0.479,0.458,0.438,0.411,0.376,0.334,0.284,0.232,0.192,0.168,0.145,0.115,0.074,0.036,0.016,0.000
E07000170,0.591,0.580,0.564,0.549,0.529,0.503,0.482,0.463,0.444,0.425,0.406,0.380,0.344,0.301,0.254,0.206,0.168,0.145,0.121,0.095,0.067,0.036,0.016,0.000
E07000171,0.597,0.585,0.567,0.551,0.536,0.513,0.492,0.470,0.447,0.424,0.401,0.374,0.340,0.307,0.273,0.233,0.196,0.172,0.146,0.118,0.081,0.039,0.016,0.000
E07000172,0.567,0.555,0.538,0.522,0.499,0.472,0.450,0.430,0.409,0.386,0.365,0.338,0.297,0.250,0.207,0.169,0.139,0.121,0.101,0.080,0.055,0.027,0.011,0.000
E07000173,0.579,0.567,0.551,0.537,0.514,0.484,0.458,0.433,0.407,0.376,0.345,0.316,0.284,0.244,0.204,0.164,0.132,0.113,0.096,0.075,0.051,0.026,0.011,0.000
E07000174,0.603,0.591,0.573,0.558,0.537,0.511,0.487,0.464,0.442,0.421,0.401,0.375,0.342,0.303,0.259,0.215,0.178,0.155,0.130,0.103,0.069,0.033,0.015,0.000
E07000175,0.613,0.602,0.584,0.565,0.545,0.521,0.500,0.480,0.458,0.436,0.414,0.386,0.352,0.319,0.282,0.227,0.177,0.150,0.126,0.101,0.072,0.037,0.014,0.000
E07000176,0.588,0.575,0.557,0.541,0.522,0.497,0.474,0.452,0.430,0.406,0.384,0.359,0.329,0.300,0.267,0.218,0.170,0.143,0.122,0.097,0.065,0.034,0.015,0.000
E07000177,0.636,0.628,0.612,0.595,0.573,0.545,0.521,0.500,0.478,0.455,0.433,0.405,0.370,0.335,0.290,0.236,0.193,0.167,0.141,0.112,0.076,0.039,0.016,0.000
E07000178,0.683,0.677,0.665,0.653,0.636,0.613,0.592,0.569,0.546,0.519,0.491,0.457,0.417,0.373,0.328,0.274,0.226,0.196,0.168,0.137,0.098,0.050,0.019,0.000
E07000179,0.619,0.609,0.592,0.578,0.559,0.535,0.513,0.492,0.469,0.445,0.420,0.390,0.353,0.319,0.285,0.231,0.176,0.147,0.124,0.101,0.071,0.039,0.019,0.000
E07000180,0.609,0.598,0.582,0.569,0.552,0.530,0.509,0.489,0.464,0.436,0.411,0.383,0.350,0.317,0.280,0.229,0.182,0.155,0.133,0.108,0.075,0.041,0.020,0.000
E07000181,0.629,0.623,0.608,0.591,0.572,0.546,0.522,0.499,0.475,0.450,0.426,0.400,0.367,0.332,0.292,0.238,0.189,0.162,0.139,0.112,0.077,0.040,0.019,0.000
E07000187,0.640,0.629,0.608,0.586,0.562,0.535,0.513,0.493,0.472,0.448,0.424,0.397,0.364,0.324,0.274,0.219,0.174,0.149,0.125,0.096,0.060,0.028,0.011,0.000
E07000188,0.631,0.619,0.599,0.581,0.562,0.537,0.514,0.492,0.470,0.445,0.420,0.389,0.351,0.308,0.258,0.207,0.167,0.143,0.119,0.092,0.059,0.029,0.014,0.000
E07000189,0.636,0.624,0.605,0.588,0.568,0.545,0.524,0.503,0.480,0.455,0.431,0.401,0.363,0.318,0.266,0.212,0.171,0.149,0.126,0.099,0.068,0.034,0.013,0.000
E07000192,0.584,0.572,0.553,0.535,0.512,0.483,0.461,0.441,0.420,0.395,0.372,0.346,0.314,0.277,0.236,0.194,0.161,0.143,0.122,0.097,0.068,0.035,0.015,0.000
E07000193,0.612,0.601,0.583,0.566,0.545,0.517,0.492,0.465,0.437,0.406,0.376,0.346,0.315,0.281,0.243,0.200,0.161,0.135,0.113,0.091,0.064,0.031,0.011,0.000
E07000194,0.576,0.565,0.548,0.532,0.512,0.487,0.464,0.442,0.421,0.397,0.375,0.349,0.319,0.283,0.240,0.197,0.162,0.142,0.121,0.094,0.061,0.030,0.013,0.000
E07000195,0.560,0.554,0.541,0.527,0.510,0.487,0.467,0.448,0.430,0.411,0.391,0.365,0.329,0.283,0.234,0.188,0.152,0.133,0.113,0.090,0.060,0.029,0.011,0.000
E07000196,0.532,0.522,0.506,0.490,0.468,0.440,0.417,0.396,0.375,0.352,0.331,0.308,0.283,0.255,0.221,0.178,0.139,0.119,0.100,0.079,0.058,0.032,0.012,0.000
E07000197,0.570,0.563,0.547,0.534,0.525,0.501,0.468,0.442,0.419,0.397,0.376,0.351,0.322,0.289,0.250,0.209,0.177,0.155,0.133,0.106,0.073,0.037,0.015,0.000
E07000198,0.534,0.526,0.510,0.492,0.471,0.444,0.418,0.396,0.376,0.355,0.336,0.314,0.287,0.253,0.212,0.175,0.145,0.129,0.112,0.089,0.059,0.028,0.012,0.000
E07000199,0.591,0.578,0.560,0.545,0.523,0.496,0.473,0.450,0.427,0.403,0.381,0.354,0.323,0.284,0.238,0.194,0.161,0.143,0.124,0.102,0.072,0.037,0.016,0.000
E07000200,0.585,0.574,0.557,0.541,0.520,0.495,0.472,0.450,0.429,0.406,0.384,0.358,0.326,0.282,0.232,0.186,0.152,0.132,0.114,0.091,0.061,0.030,0.012,0.000
E07000202,0.652,0.641,0.624,0.611,0.592,0.565,0.541,0.519,0.497,0.473,0.449,0.419,0.384,0.344,0.303,0.255,0.211,0.185,0.157,0.124,0.083,0.041,0.016,0.000
E07000203,0.620,0.609,0.592,0.575,0.554,0.526,0.501,0.476,0.452,0.427,0.403,0.375,0.343,0.312,0.275,0.223,0.178,0.153,0.132,0.105,0.069,0.033,0.013,0.000
E07000207,0.638,0.626,0.608,0.592,0.574,0.548,0.523,0.498,0.472,0.445,0.420,0.391,0.354,0.312,0.266,0.220,0.178,0.152,0.129,0.101,0.071,0.042,0.022,0.000
E07000208,0.608,0.595,0.577,0.561,0.537,0.507,0.481,0.456,0.432,0.404,0.378,0.350,0.318,0.286,0.248,0.198,0.155,0.131,0.110,0.087,0.059,0.030,0.012,0.000
E07000209,0.624,0.613,0.597,0.583,0.562,0.535,0.510,0.485,0.460,0.436,0.415,0.391,0.361,0.323,0.278,0.229,0.187,0.163,0.142,0.116,0.084,0.046,0.019,0.000
E07000210,0.608,0.595,0.576,0.560,0.538,0.509,0.484,0.460,0.435,0.408,0.382,0.354,0.319,0.286,0.252,0.208,0.167,0.143,0.122,0.095,0.063,0.031,0.013,0.000
E07000211,0.648,0.637,0.621,0.606,0.584,0.554,0.523,0.494,0.462,0.423,0.386,0.349,0.310,0.272,0.235,0.197,0.164,0.142,0.121,0.094,0.062,0.030,0.012,0.000
E07000212,0.629,0.618,0.600,0.586,0.568,0.542,0.519,0.496,0.470,0.444,0.420,0.393,0.357,0.315,0.268,0.218,0.176,0.152,0.129,0.101,0.067,0.032,0.013,0.000
E07000213,0.592,0.579,0.561,0.546,0.528,0.504,0.481,0.459,0.436,0.412,0.389,0.362,0.326,0.287,0.248,0.210,0.178,0.156,0.129,0.096,0.062,0.029,0.011,0.000
E07000214,0.587,0.574,0.556,0.541,0.520,0.494,0.472,0.449,0.425,0.399,0.372,0.339,0.302,0.270,0.244,0.205,0.162,0.138,0.116,0.092,0.065,0.035,0.015,0.000
E07000215,0.620,0.608,0.590,0.574,0.553,0.527,0.508,0.492,0.472,0.447,0.422,0.388,0.345,0.300,0.251,0.197,0.151,0.125,0.103,0.077,0.048,0.023,0.010,0.000
E07000216,0.617,0.604,0.584,0.568,0.547,0.519,0.496,0.473,0.450,0.424,0.399,0.372,0.338,0.296,0.248,0.199,0.158,0.135,0.115,0.092,0.061,0.030,0.013,0.000
E07000217,0.639,0.627,0.611,0.596,0.577,0.552,0.530,0.505,0.475,0.439,0.406,0.373,0.336,0.299,0.260,0.215,0.175,0.150,0.126,0.101,0.071,0.036,0.016,0.000
E07000218,0.562,0.550,0.533,0.519,0.499,0.473,0.452,0.433,0.415,0.395,0.376,0.352,0.323,0.292,0.257,0.209,0.164,0.141,0.120,0.093,0.059,0.028,0.011,0.000
E07000219,0.583,0.571,0.554,0.538,0.518,0.493,0.472,0.452,0.432,0.410,0.389,0.360,0.327,0.299,0.270,0.224,0.176,0.151,0.125,0.095,0.061,0.029,0.011,0.000
E07000220,0.643,0.633,0.617,0.601,0.580,0.553,0.530,0.508,0.485,0.460,0.437,0.409,0.369,0.324,0.279,0.230,0.188,0.162,0.139,0.110,0.073,0.035,0.014,0.000
E07000221,0.619,0.609,0.592,0.575,0.554,0.528,0.503,0.480,0.458,0.435,0.413,0.386,0.354,0.313,0.264,0.215,0.177,0.154,0.134,0.108,0.074,0.040,0.019,0.000
E07000222,0.636,0.625,0.609,0.593,0.570,0.543,0.519,0.498,0.476,0.454,0.431,0.405,0.363,0.316,0.271,0.222,0.181,0.157,0.137,0.109,0.072,0.035,0.013,0.000
E07000223,0.598,0.583,0.560,0.543,0.523,0.497,0.472,0.448,0.423,0.396,0.371,0.342,0.306,0.267,0.227,0.187,0.152,0.131,0.110,0.086,0.059,0.030,0.013,0.000
E07000224,0.661,0.648,0.630,0.613,0.588,0.556,0.529,0.502,0.474,0.447,0.423,0.392,0.356,0.317,0.269,0.213,0.170,0.146,0.122,0.094,0.062,0.031,0.013,0.000
E07000225,0.640,0.630,0.613,0.598,0.581,0.558,0.536,0.514,0.492,0.469,0.446,0.415,0.376,0.325,0.267,0.216,0.178,0.155,0.134,0.105,0.069,0.035,0.014,0.000
E07000226,0.601,0.589,0.570,0.555,0.539,0.518,0.497,0.476,0.460,0.441,0.418,0.384,0.343,0.308,0.271,0.226,0.182,0.153,0.125,0.099,0.073,0.042,0.020,0.000
E07000227,0.614,0.601,0.582,0.564,0.542,0.514,0.491,0.471,0.454,0.435,0.415,0.388,0.354,0.324,0.293,0.245,0.198,0.170,0.144,0.114,0.076,0.038,0.016,0.000
E07000228,0.622,0.610,0.592,0.577,0.559,0.534,0.513,0.492,0.471,0.449,0.426,0.394,0.354,0.315,0.272,0.212,0.158,0.129,0.107,0.081,0.050,0.024,0.011,0.000
E07000229,0.671,0.657,0.636,0.614,0.589,0.561,0.536,0.512,0.489,0.462,0.437,0.406,0.365,0.318,0.272,0.228,0.191,0.167,0.143,0.111,0.072,0.036,0.015,0.000
E07000234,0.572,0.561,0.544,0.528,0.506,0.479,0.453,0.429,0.405,0.381,0.360,0.336,0.308,0.277,0.235,0.186,0.150,0.128,0.111,0.086,0.053,0.026,0.011,0.000
E07000235,0.588,0.577,0.557,0.539,0.520,0.498,0.478,0.459,0.439,0.418,0.397,0.371,0.339,0.306,0.259,0.204,0.163,0.140,0.120,0.094,0.059,0.029,0.013,0.000
E07000236,0.608,0.595,0.577,0.560,0.538,0.511,0.490,0.469,0.445,0.419,0.396,0.369,0.338,0.307,0.264,0.210,0.167,0.143,0.122,0.099,0.067,0.033,0.014,0.000
E07000237,0.645,0.632,0.614,0.600,0.583,0.558,0.532,0.507,0.480,0.450,0.421,0.392,0.361,0.327,0.288,0.241,0.199,0.172,0.146,0.116,0.080,0.042,0.018,0.000
E07000238,0.614,0.604,0.584,0.564,0.539,0.511,0.487,0.466,0.445,0.423,0.404,0.381,0.353,0.321,0.273,0.217,0.174,0.147,0.124,0.096,0.058,0.026,0.011,0.000
E07000239,0.587,0.575,0.557,0.541,0.524,0.500,0.479,0.459,0.439,0.418,0.399,0.374,0.344,0.304,0.257,0.209,0.171,0.150,0.129,0.103,0.068,0.035,0.016,0.000
E07000240,0.620,0.608,0.593,0.580,0.565,0.543,0.521,0.498,0.474,0.449,0.427,0.400,0.365,0.330,0.280,0.215,0.166,0.140,0.118,0.094,0.065,0.036,0.018,0.000
E07000241,0.628,0.615,0.597,0.582,0.565,0.542,0.518,0.493,0.466,0.436,0.408,0.376,0.342,0.313,0.281,0.243,0.207,0.183,0.155,0.124,0.090,0.049,0.021,0.000
E07000242,0.639,0.628,0.611,0.597,0.578,0.554,0.533,0.513,0.491,0.465,0.441,0.410,0.371,0.322,0.265,0.212,0.170,0.145,0.123,0.097,0.065,0.034,0.017,0.000
E07000243,0.593,0.580,0.561,0.545,0.527,0.505,0.486,0.466,0.442,0.414,0.387,0.358,0.325,0.292,0.256,0.213,0.176,0.154,0.127,0.099,0.065,0.028,0.009,0.000
E07000244,0.595,0.583,0.564,0.547,0.528,0.503,0.479,0.455,0.430,0.407,0.385,0.357,0.323,0.291,0.258,0.208,0.160,0.135,0.110,0.084,0.057,0.031,0.015,0.000
E07000245,0.649,0.638,0.622,0.608,0.587,0.560,0.537,0.515,0.493,0.468,0.442,0.411,0.374,0.339,0.299,0.243,0.192,0.166,0.143,0.114,0.079,0.041,0.018,0.000
E07000246,0.643,0.630,0.611,0.594,0.573,0.547,0.523,0.501,0.477,0.452,0.428,0.398,0.356,0.310,0.265,0.220,0.184,0.161,0.135,0.103,0.064,0.030,0.012,0.000
E08000001,0.592,0.580,0.562,0.547,0.525,0.496,0.470,0.446,0.420,0.392,0.365,0.336,0.304,0.274,0.241,0.203,0.170,0.149,0.124,0.095,0.066,0.034,0.013,0.000
E08000002,0.595,0.584,0.565,0.548,0.528,0.504,0.482,0.462,0.441,0.419,0.398,0.372,0.339,0.310,0.280,0.228,0.175,0.148,0.122,0.096,0.065,0.033,0.014,0.000
E08000003,0.730,0.720,0.706,0.691,0.672,0.649,0.629,0.609,0.587,0.563,0.538,0.503,0.460,0.417,0.371,0.317,0.266,0.233,0.200,0.160,0.111,0.059,0.026,0.000
E08000004,0.606,0.594,0.576,0.560,0.537,0.506,0.479,0.455,0.431,0.406,0.382,0.354,0.322,0.291,0.260,0.214,0.172,0.148,0.122,0.096,0.068,0.035,0.014,0.000
E08000005,0.613,0.601,0.582,0.564,0.539,0.506,0.479,0.455,0.431,0.405,0.381,0.355,0.327,0.299,0.266,0.227,0.192,0.169,0.139,0.105,0.071,0.036,0.014,0.000
E08000006,0.665,0.656,0.641,0.627,0.613,0.596,0.578,0.561,0.535,0.505,0.482,0.455,0.419,0.374,0.322,0.267,0.221,0.194,0.167,0.133,0.091,0.050,0.023,0.000
E08000007,0.562,0.548,0.527,0.511,0.490,0.461,0.437,0.414,0.391,0.363,0.336,0.309,0.279,0.253,0.225,0.191,0.160,0.140,0.119,0.093,0.065,0.034,0.015,0.000
E08000008,0.587,0.574,0.555,0.540,0.518,0.488,0.462,0.439,0.415,0.388,0.362,0.334,0.302,0.272,0.240,0.202,0.168,0.147,0.124,0.097,0.068,0.034,0.013,0.000
E08000009,0.584,0.572,0.555,0.541,0.520,0.492,0.470,0.451,0.431,0.409,0.388,0.362,0.327,0.295,0.263,0.216,0.171,0.145,0.122,0.095,0.065,0.033,0.013,0.000
E08000010,0.564,0.553,0.532,0.516,0.496,0.471,0.449,0.430,0.412,0.392,0.371,0.344,0.310,0.278,0.243,0.194,0.150,0.128,0.108,0.085,0.061,0.032,0.012,0.000
E08000011,0.509,0.497,0.480,0.465,0.443,0.414,0.388,0.365,0.343,0.322,0.301,0.278,0.254,0.227,0.195,0.163,0.135,0.116,0.094,0.070,0.046,0.023,0.010,0.000
E08000012,0.610,0.603,0.593,0.583,0.560,0.528,0.500,0.477,0.454,0.432,0.410,0.383,0.351,0.318,0.282,0.237,0.197,0.172,0.148,0.117,0.079,0.040,0.017,0.000
E08000013,0.523,0.512,0.495,0.480,0.458,0.429,0.403,0.379,0.356,0.333,0.312,0.287,0.260,0.232,0.202,0.170,0.142,0.125,0.105,0.081,0.057,0.029,0.012,0.000
E08000014,0.550,0.539,0.521,0.506,0.486,0.460,0.435,0.412,0.392,0.371,0.349,0.321,0.290,0.257,0.221,0.187,0.158,0.139,0.118,0.090,0.058,0.028,0.010,0.000
E08000015,0.564,0.550,0.529,0.512,0.491,0.465,0.442,0.421,0.398,0.371,0.345,0.318,0.288,0.253,0.215,0.180,0.151,0.131,0.109,0.082,0.054,0.026,0.009,0.000
E08000016,0.601,0.591,0.576,0.562,0.539,0.509,0.484,0.461,0.436,0.409,0.384,0.356,0.326,0.290,0.247,0.192,0.144,0.119,0.097,0.075,0.051,0.026,0.011,0.000
E08000017,0.586,0.574,0.556,0.541,0.515,0.482,0.457,0.435,0.414,0.393,0.372,0.347,0.318,0.284,0.244,0.206,0.176,0.157,0.133,0.107,0.075,0.038,0.015,0.000
E08000018,0.576,0.564,0.547,0.529,0.508,0.483,0.460,0.438,0.417,0.397,0.377,0.354,0.327,0.296,0.252,0.203,0.166,0.143,0.119,0.093,0.063,0.031,0.012,0.000
E08000019,0.633,0.621,0.603,0.586,0.565,0.538,0.516,0.496,0.476,0.455,0.434,0.404,0.360,0.313,0.268,0.220,0.179,0.156,0.133,0.105,0.073,0.037,0.014,0.000
E08000021,0.644,0.633,0.615,0.600,0.581,0.556,0.535,0.517,0.498,0.478,0.459,0.430,0.382,0.329,0.284,0.239,0.200,0.176,0.152,0.124,0.091,0.051,0.022,0.000
E08000022,0.617,0.604,0.585,0.570,0.552,0.528,0.504,0.483,0.462,0.437,0.412,0.380,0.329,0.273,0.225,0.181,0.147,0.127,0.107,0.084,0.056,0.028,0.012,0.000
E08000023,0.554,0.540,0.521,0.504,0.481,0.454,0.435,0.418,0.400,0.381,0.363,0.336,0.293,0.250,0.216,0.179,0.148,0.128,0.105,0.081,0.059,0.032,0.013,0.000
E08000024,0.591,0.580,0.564,0.547,0.523,0.491,0.465,0.441,0.421,0.401,0.381,0.353,0.312,0.267,0.228,0.186,0.149,0.130,0.110,0.088,0.062,0.032,0.013,0.000
E08000025,0.625,0.612,0.592,0.573,0.551,0.522,0.498,0.474,0.449,0.423,0.397,0.367,0.333,0.300,0.266,0.229,0.196,0.172,0.144,0.112,0.075,0.037,0.013,0.000
E08000026,0.610,0.598,0.582,0.568,0.549,0.525,0.505,0.487,0.467,0.444,0.421,0.392,0.356,0.315,0.271,0.228,0.194,0.172,0.146,0.118,0.085,0.044,0.017,0.000
E08000027,0.541,0.529,0.512,0.497,0.480,0.457,0.436,0.417,0.398,0.378,0.360,0.339,0.311,0.267,0.216,0.172,0.138,0.119,0.100,0.077,0.052,0.026,0.010,0.000
E08000028,0.600,0.588,0.572,0.558,0.540,0.516,0.493,0.472,0.449,0.426,0.404,0.376,0.343,0.305,0.258,0.208,0.169,0.146,0.122,0.093,0.063,0.032,0.013,0.000
E08000029,0.585,0.573,0.556,0.540,0.519,0.492,0.468,0.445,0.423,0.400,0.379,0.353,0.316,0.275,0.235,0.191,0.154,0.134,0.115,0.090,0.061,0.031,0.014,0.000
