"id","species","geographic.origin","sex","status","birth","death","dam","dam.type","sire","sire.type","from.center","departure"
"78NU9","JAPANESE MACAQUE","Japan","f","Shipped",1990-05-02,,"AF65J","Observed",,,"Yes",1991-11-01
"L5ZZX","JAPANESE MACAQUE","Japan","m","Dead",1990-05-07,1992-02-02,"1JZU5","Observed",,,"Yes",
"NXERG","JAPANESE MACAQUE","Japan","f","Dead",1990-08-30,1990-12-14,"KRIR5","Observed",,,"Yes",
"SCCTJ","JAPANESE MACAQUE","Japan","f","Shipped",1990-05-26,,"MDR9Y","Observed",,,"Yes",1991-11-06
"GRZEB","JAPANESE MACAQUE","Japan","f","Dead",1990-06-13,1990-11-15,"8A2XM","Observed",,,"Yes",
"VEF1J","JAPANESE MACAQUE","Japan","m","Shipped",1990-06-02,,,,,,"Yes",1998-03-09
"55YVL","JAPANESE MACAQUE","Japan","m","Dead",1990-08-06,1991-10-25,,,,,"Yes",
"MG017","JAPANESE MACAQUE","Japan","f","Shipped",1990-06-27,,,,,,"Yes",1991-10-29
"NU23X","JAPANESE MACAQUE","Japan","f","Shipped",1990-05-08,,,,,,"Yes",1991-09-25
"RPSW0","JAPANESE MACAQUE","Japan","m","Shipped",1990-06-17,,,,,,"Yes",1993-10-07
"GBYW3","JAPANESE MACAQUE","Japan","m","Shipped",1990-06-16,,,,,,"Yes",1993-11-02
"LZHIV","JAPANESE MACAQUE","Japan","f","Shipped",1990-06-26,,,,,,"Yes",1991-09-14
"EZLNX","JAPANESE MACAQUE","Japan","f","Shipped",1990-05-07,,,,,,"Yes",1991-09-30
"HT63S","JAPANESE MACAQUE","Japan","u","Dead",1990-05-27,1990-09-08,,,,,"Yes",
"9BBYL","JAPANESE MACAQUE","Japan","f","Shipped",1990-06-03,,"43DH0","Observed",,,"Yes",1991-09-30
"NRST0","JAPANESE MACAQUE","Japan","f","Dead",1991-04-17,1991-03-30,,,,,"Yes",
"DW1V1","JAPANESE MACAQUE","Japan","f","Dead",1991-04-07,1991-04-02,,,,,"Yes",
"PPNBV","JAPANESE MACAQUE","Japan","m","Dead",1991-05-04,1991-05-12,,,,,"Yes",
"Y0VDP","JAPANESE MACAQUE","Japan","f","Dead",1991-05-18,1991-05-27,,,,,"Yes",
"MR1UJ","JAPANESE MACAQUE","Japan","f","Dead",1991-06-17,1991-06-08,,,,,"Yes",
"3VV24","JAPANESE MACAQUE","Japan","f","Dead",1991-06-24,1991-07-14,,,,,"Yes",
"H0PKZ","JAPANESE MACAQUE","Japan","f","Dead",1991-06-13,1991-07-18,,,,,"Yes",
"VLIGE","JAPANESE MACAQUE","Japan","f","Dead",1991-09-10,2016-08-06,"RUSGQ","Observed",,,"Yes",
"3Z37M","JAPANESE MACAQUE","Japan","f","Dead",1991-06-20,1992-02-14,"KRIR5","Observed",,,"Yes",
"53UUF","JAPANESE MACAQUE","Japan","m","Dead",1991-06-12,2000-10-08,"4XKHI","Genetic",,,"Yes",
"EBLRK","JAPANESE MACAQUE","Japan","m","Dead",1991-06-28,2010-05-21,"S0SLE","Genetic",,,"Yes",
"1WDY4","JAPANESE MACAQUE","Japan","m","Dead",1991-09-26,1999-11-14,"691A0","Observed",,,"Yes",
"5XL1M","JAPANESE MACAQUE","Japan","f","Dead",1991-07-13,1998-10-05,"HT9X6","Observed",,,"Yes",
"1WGPU","JAPANESE MACAQUE","Japan","m","Dead",1991-06-29,2017-06-16,"GHTM5","Observed",,,"Yes",
"FYX1A","JAPANESE MACAQUE","Japan","m","Shipped",1991-06-03,,"8A2XM","Observed",,,"Yes",1993-09-23
"BZ23F","JAPANESE MACAQUE","Japan","f","Dead",1991-07-04,2001-07-19,"N6QS9","Genetic",,,"Yes",
"WXQ0V","JAPANESE MACAQUE","Japan","m","Dead",1991-06-05,2000-11-09,"43DH0","Observed",,,"Yes",
"GAQE7","JAPANESE MACAQUE","Japan","f","Dead",1991-07-12,1999-02-13,"V360X","Observed",,,"Yes",
"7LG4H","JAPANESE MACAQUE","Japan","m","Dead",1991-10-05,2000-11-02,"4ERBJ","Observed",,,"Yes",
"KAYPN","JAPANESE MACAQUE","Japan","m","Dead",1991-07-07,1992-12-01,"TVC26","Observed",,,"Yes",
"ERL6A","JAPANESE MACAQUE","Japan","m","Dead",1991-09-12,2017-04-19,"C4R83","Observed",,"Genetic","Yes",
"JJVVZ","JAPANESE MACAQUE","Japan","m","Dead",1991-07-14,2005-06-11,"AWP22","Observed",,,"Yes",
"H7FPX","JAPANESE MACAQUE","Japan","f","Dead",1991-06-06,2010-11-18,"N5JJZ","Observed",,,"Yes",
"03984","JAPANESE MACAQUE","Japan","m","Dead",1991-07-11,1994-03-20,"FZHEH","Observed",,,"Yes",
"QY1M7","JAPANESE MACAQUE","Japan","m","Dead",1991-07-06,2017-01-29,"XMNQG","Observed",,,"Yes",
"20Q8K","JAPANESE MACAQUE","Japan","f","Dead",1991-06-21,2016-12-10,"RND4U","Observed",,,"Yes",
"00W8V","JAPANESE MACAQUE","Japan","m","Dead",1991-06-29,1997-02-07,"LSK5F","Observed",,,"Yes",
"6K0I7","JAPANESE MACAQUE","Japan","m","Shipped",1991-07-06,,"Z0GYH","Observed",,,"Yes",1992-08-30
"3AY3X","JAPANESE MACAQUE","Japan","m","Dead",1991-07-03,1999-11-30,"JB2EC","Genetic",,,"Yes",
"KVS2A","JAPANESE MACAQUE","Japan","f","Dead",1991-07-06,1995-03-23,"5W3KN","Observed",,,"Yes",
"GP0IF","JAPANESE MACAQUE","Japan","m","Dead",1991-06-24,2014-01-15,"1M66M","Genetic",,,"Yes",
"S4FEM","JAPANESE MACAQUE","Japan","m","Dead",1991-06-07,2001-05-12,"AZYPL","Observed",,"Genetic","Yes",
"D67F4","JAPANESE MACAQUE","Japan","f","Dead",1991-06-17,1992-11-15,,,,,"Yes",
"S8JT7","JAPANESE MACAQUE","Japan","f","Dead",1991-06-12,1992-12-09,"JAJUX","Observed",,,"Yes",
"II831","JAPANESE MACAQUE","Japan","m","Dead",1991-06-08,1995-10-25,"6GVCL","Genetic",,,"Yes",
"W6N2L","JAPANESE MACAQUE","Japan","f","Dead",1991-04-24,2000-05-04,"FHEQH","Genetic",,,"Yes",
"LKILX","JAPANESE MACAQUE","Japan","m","Shipped",1991-04-09,,,,,,"Yes",1998-03-13
"5YCX7","JAPANESE MACAQUE","Japan","m","Shipped",1991-06-07,,,,,,"Yes",1998-03-22
"EWZKA","JAPANESE MACAQUE","Japan","f","Dead",1991-05-31,1999-03-06,,,,,"Yes",
"H3T6B","JAPANESE MACAQUE","Japan","f","Dead",1991-06-02,1999-11-10,,,,,"Yes",
"FRL84","JAPANESE MACAQUE","Japan","m","Shipped",1991-08-17,,"0W6FX","Observed",,,"Yes",1991-11-07
"9SEFW","JAPANESE MACAQUE","Japan","m","Shipped",1991-07-02,,,,,,"Yes",1992-07-15
"AW4LN","JAPANESE MACAQUE","Japan","m","Dead",1991-04-20,1995-05-20,,,,,"Yes",
"B5B3E","JAPANESE MACAQUE","Japan","u","Dead",1992-06-12,1992-06-25,,,,,"Yes",
"T2YZN","JAPANESE MACAQUE","Japan","m","Dead",1992-03-11,1992-08-12,,,,,"Yes",
"0DZYA","JAPANESE MACAQUE","Japan","f","Dead",,1997-08-04,,,,,"No",
"CALUN","JAPANESE MACAQUE","Japan","f","Dead",,1969-06-24,,,,,"No",
"37FU7","JAPANESE MACAQUE","Japan","m","Dead",,1981-09-16,,,,,"No",
"5F3AK","JAPANESE MACAQUE","Japan","f","Shipped",,,,,,,"No",1982-04-29
"IC1JR","JAPANESE MACAQUE","Japan","f","Dead",,1972-01-01,,,,,"No",
"G4U1V","JAPANESE MACAQUE","Japan","m","Dead",,1980-04-13,,,,,"No",
"VFQ7J","JAPANESE MACAQUE","Japan","f","Shipped",,,,,,,"No",1982-05-21
"HQIBW","JAPANESE MACAQUE","Japan","m","Dead",,1987-03-05,,,,,"No",
"E9Y8D","JAPANESE MACAQUE","Japan","f","Dead",,1974-05-01,,,,,"No",
"NZDFP","JAPANESE MACAQUE","Japan","m","Dead",,1983-09-19,,,,,"No",
"72YRW","JAPANESE MACAQUE","Japan","f","Shipped",,,,,,,"No",1982-04-17
"WGFNY","JAPANESE MACAQUE","Japan","m","Shipped",1992-04-01,,,,,,"Yes",1994-08-06
"0IDTA","JAPANESE MACAQUE","Japan","f","Dead",1992-05-23,2005-10-25,"S0SLE","Genetic",,,"Yes",
"BL9CZ","JAPANESE MACAQUE","Japan","f","Dead",1992-05-02,1993-02-05,"ECS0S","Observed",,,"Yes",
"RIJ2A","JAPANESE MACAQUE","Japan","f","Dead",1992-04-02,1992-11-14,"1JZU5","Observed",,,"Yes",
"CHMMS","JAPANESE MACAQUE","Japan","f","Dead",1992-04-27,2020-03-17,"YR5HD","Genetic",,,"Yes",
"QE23N","JAPANESE MACAQUE","Japan","f","Dead",1992-04-28,1992-11-06,,,,,"Yes",
"S8X4E","JAPANESE MACAQUE","Japan","f","Dead",1992-05-20,2003-06-13,"6PTFG","Observed",,,"Yes",
"B8NPV","JAPANESE MACAQUE","Japan","f","Dead",1992-04-21,2001-06-11,"NY64P","Genetic",,,"Yes",
"WAUKQ","JAPANESE MACAQUE","Japan","m","Shipped",1992-05-14,,"EPHIK","Observed",,,"Yes",1995-09-26
"QMHD3","JAPANESE MACAQUE","Japan","m","Dead",,1977-08-04,,,,,"No",
"GVKND","JAPANESE MACAQUE","Japan","m","Shipped",1992-04-02,,"4XKHI","Observed",,,"Yes",1995-09-12
"RCB89","JAPANESE MACAQUE","Japan","m","Dead",1992-04-03,1992-12-06,"IKYQL","Observed",,,"Yes",
"0V510","JAPANESE MACAQUE","Japan","f","Dead",1992-05-21,2008-11-19,"TVC26","Observed",,"Genetic","Yes",
"WJSLC","JAPANESE MACAQUE","Japan","m","Shipped",1992-04-12,,"2RCSW","Observed",,,"Yes",1995-09-10
"R9XBE","JAPANESE MACAQUE","Japan","f","Dead",1992-04-02,2000-12-01,"AZYPL","Provisional Genetic",,,"Yes",
"0IL7Q","JAPANESE MACAQUE","Japan","f","Dead",1992-05-28,2006-02-06,"I86LQ","Observed",,,"Yes",
"P64AQ","JAPANESE MACAQUE","Japan","f","Dead",1992-05-06,1993-08-12,"1M66M","Observed",,,"Yes",
"3XWKH","JAPANESE MACAQUE","Japan","f","Dead",1992-04-04,2015-07-29,"TM1VD","Genetic",,,"Yes",
"BNUGE","JAPANESE MACAQUE","Japan","m","Shipped",1992-06-08,,"QYRPK","Observed",,,"Yes",1994-07-24
"2JH5G","JAPANESE MACAQUE","Japan","f","Dead",1992-04-10,2003-12-24,"V8F2J","Observed",,,"Yes",
"FVWKU","JAPANESE MACAQUE","Japan","f","Shipped",,,,,,,"No",1982-05-11
"1CZ0U","JAPANESE MACAQUE","Japan","f","Dead",1992-05-11,2010-12-17,"HT9X6","Observed",,,"Yes",
"J6V01","JAPANESE MACAQUE","Japan","f","Dead",1992-04-15,2018-12-18,,,,"Genetic","Yes",
"MSN9L","JAPANESE MACAQUE","Japan","m","Dead",1992-06-04,1995-04-30,,,,,"Yes",
"N3KPV","JAPANESE MACAQUE","Japan","m","Shipped",1992-05-05,,,,,,"Yes",1995-10-02
"YKHBQ","JAPANESE MACAQUE","Japan","f","Dead",1992-05-30,2002-06-26,,,,,"Yes",
"34JCS","JAPANESE MACAQUE","Japan","m","Dead",1992-04-17,1995-06-23,,,,,"Yes",
"WMEXU","JAPANESE MACAQUE","Japan","f","Dead",1992-05-07,2004-08-17,"6GVCL","Genetic",,,"Yes",
"GPCHV","JAPANESE MACAQUE","Japan","f","Dead",1992-05-12,2016-11-18,"0W9BR","Genetic",,"Genetic","Yes",
"FECKQ","JAPANESE MACAQUE","Japan","f","Dead",,1966-03-10,,,,,"No",
"IDVKJ","JAPANESE MACAQUE","Japan","m","Dead",,1985-01-29,,,,,"No",
"H2TFQ","JAPANESE MACAQUE","Japan","m","Dead",,1966-11-07,,,,,"No",
"2UP8A","JAPANESE MACAQUE","Japan","m","Dead",,1968-10-24,,,,,"No",
"QY7BI","JAPANESE MACAQUE","Japan","f","Dead",,1966-04-23,,,,,"No",
"PGD7U","JAPANESE MACAQUE","Japan","m","Dead",,1969-05-16,,,,,"No",
"FWXQI","JAPANESE MACAQUE","Japan","m","Dead",,1980-12-24,,,,,"No",
"BMMW7","JAPANESE MACAQUE","Japan","m","Dead",,1977-06-25,,,,,"No",
"1MMFM","JAPANESE MACAQUE","Japan","m","Dead",,1989-05-03,,,,,"No",
"P0MNZ","JAPANESE MACAQUE","Japan","m","Shipped",,,,,,,"No",1982-04-03
"1AJW9","JAPANESE MACAQUE","Japan","m","Dead",,1969-07-06,,,,,"No",
"43KX8","JAPANESE MACAQUE","Japan","m","Dead",,1968-08-08,,,,,"No",
"MJ6DF","JAPANESE MACAQUE","Japan","f","Dead",,1981-03-16,,,,,"No",
"FFX8B","JAPANESE MACAQUE","Japan","f","Dead",,1992-02-20,,,,,"No",
"2S5CJ","JAPANESE MACAQUE","Japan","m","Shipped",,,,,,,"No",1982-04-11
"PYEDG","JAPANESE MACAQUE","Japan","m","Dead",,1967-11-22,,,,,"No",
"3965N","JAPANESE MACAQUE","Japan","f","Dead",,1986-12-21,,,,,"No",
"HFNED","JAPANESE MACAQUE","Japan","f","Dead",,1974-10-14,,,,,"No",
"8XZS8","JAPANESE MACAQUE","Japan","f","Dead",,1965-05-24,,,,,"No",
"ZSK61","JAPANESE MACAQUE","Japan","f","Dead",,1975-01-22,,,,,"No",
"D7XZQ","JAPANESE MACAQUE","Japan","f","Dead",1993-03-29,1993-03-28,,,,,"Yes",
"FVYG1","JAPANESE MACAQUE","Japan","f","Dead",,1979-11-14,,,,,"No",
"I7TYM","JAPANESE MACAQUE","Japan","f","Dead",,1978-10-31,,,,,"No",
"QZZ5B","JAPANESE MACAQUE","Japan","m","Dead",,1980-09-19,,,,,"No",
"JUB6J","JAPANESE MACAQUE","Japan","f","Dead",,1987-09-21,,,,,"No",
"5EI7P","JAPANESE MACAQUE","Japan","m","Shipped",,,,,,,"No",1982-04-12
"2DDY8","JAPANESE MACAQUE","Japan","f","Shipped",,,,,,,"No",1982-05-11
"KG2KE","JAPANESE MACAQUE","Japan","m","Dead",,1975-11-28,,,,,"No",
"BAILQ","JAPANESE MACAQUE","Japan","m","Dead",,1975-02-10,,,,,"No",
"AITZH","JAPANESE MACAQUE","Japan","f","Dead",,1967-11-23,,,,,"No",
"X15NU","JAPANESE MACAQUE","Japan","m","Dead",,1988-02-21,,,,,"No",
"LVJ11","JAPANESE MACAQUE","Japan","m","Dead",,1967-11-19,,,,,"No",
"Z41XM","JAPANESE MACAQUE","Japan","f","Dead",,1983-01-13,,,,,"No",
"FJNS8","JAPANESE MACAQUE","Japan","f","Dead",,1987-10-11,,,,,"No",
"9MM5L","JAPANESE MACAQUE","Japan","m","Dead",,1971-07-27,,,,,"No",
"2Q6UQ","JAPANESE MACAQUE","Japan","f","Dead",,1978-12-08,,,,,"No",
"5J8D7","JAPANESE MACAQUE","Japan","u","Dead",1993-04-25,1993-06-21,,,,,"Yes",
"G040F","JAPANESE MACAQUE","Japan","m","Shipped",,,,,,,"No",1976-11-15
"656MM","JAPANESE MACAQUE","Japan","f","Dead",,1990-11-28,,,,,"No",
"37XT2","JAPANESE MACAQUE","Japan","f","Dead",1993-06-24,1993-07-18,,,,,"Yes",
"DMME6","JAPANESE MACAQUE","Japan","m","Dead",,1982-07-21,,,,,"No",
"M2V8J","JAPANESE MACAQUE","Japan","m","Dead",,1966-10-29,,,,,"No",
"B9KXQ","JAPANESE MACAQUE","Japan","m","Dead",,1977-01-26,,,,,"No",
"JK8JX","JAPANESE MACAQUE","Japan","f","Dead",,1968-07-10,,,,,"No",
"B73AR","JAPANESE MACAQUE","Japan","m","Dead",,1973-07-01,,,,,"No",
"9CQ10","JAPANESE MACAQUE","Japan","m","Dead",1993-07-20,1993-08-31,,,,,"Yes",
"LI49M","JAPANESE MACAQUE","Japan","m","Dead",1993-05-22,1995-06-23,,,,,"Yes",
"L1FKD","JAPANESE MACAQUE","Japan","m","Dead",1993-08-29,1995-09-23,,,,,"Yes",
"8UY0R","JAPANESE MACAQUE","Japan","f","Dead",1993-06-22,2013-02-23,,,,"Genetic","Yes",
"ZEZ5H","JAPANESE MACAQUE","Japan","m","Dead",1993-05-03,2001-06-06,"0W9BR","Genetic",,,"Yes",
"TVKEI","JAPANESE MACAQUE","Japan","f","Dead",1993-06-05,2014-12-02,"VXV14","Genetic",,,"Yes",
"Q24C5","JAPANESE MACAQUE","Japan","f","Dead",1993-05-15,2015-04-17,,,,,"Yes",
"AW6AA","JAPANESE MACAQUE","Japan","f","Dead",1993-05-27,2017-09-21,"FHEQH","Genetic",,"Genetic","Yes",
"NF2NU","JAPANESE MACAQUE","Japan","f","Dead",1993-06-14,2004-08-09,,,,,"Yes",
"S9X71","JAPANESE MACAQUE","Japan","f","Dead",1993-05-05,2015-05-19,"0W9BR","Genetic",,"Genetic","Yes",
"Z26X0","JAPANESE MACAQUE","Japan","m","Dead",1993-09-06,1995-05-17,,,,,"Yes",
"ME12J","JAPANESE MACAQUE","Japan","m","Shipped",1993-04-10,,,,,,"Yes",1995-04-29
"ZMZN9","JAPANESE MACAQUE","Japan","m","Shipped",1993-05-13,,,,,,"Yes",1995-04-30
"QB01E","JAPANESE MACAQUE","Japan","f","Dead",1993-09-30,2010-01-22,"MIP2K","Genetic",,,"Yes",
"S00EN","JAPANESE MACAQUE","Japan","m","Dead",1993-05-08,1995-07-16,,,,,"Yes",
"FHUMV","JAPANESE MACAQUE","Japan","m","Dead",1993-09-26,2018-10-09,"XZ3JH","Genetic",,"Genetic","Yes",
"X8LHZ","JAPANESE MACAQUE","Japan","f","Dead",1993-06-17,2014-10-11,"Z0GYH","Observed",,,"Yes",
"ZGP3A","JAPANESE MACAQUE","Japan","f","Dead",1993-05-08,2012-09-07,"691A0","Observed",,,"Yes",
"31AQ0","JAPANESE MACAQUE","Japan","m","Shipped",1993-06-24,,"QSBRQ","Observed",,,"Yes",1995-10-24
"PVK54","JAPANESE MACAQUE","Japan","m","Dead",1993-05-26,2016-04-15,"6GVCL","Genetic",,,"Yes",
"L1M67","JAPANESE MACAQUE","Japan","f","Dead",1993-06-24,2011-02-10,"RUSGQ","Observed",,"Genetic","Yes",
"BJP8J","JAPANESE MACAQUE","Japan","m","Dead",1993-09-10,2012-07-07,"EPHIK","Observed",,"Genetic","Yes",
"JMNY5","JAPANESE MACAQUE","Japan","m","Shipped",1993-04-20,,"GHTM5","Observed",,,"Yes",1995-11-18
"S2NP1","JAPANESE MACAQUE","Japan","f","Dead",1993-06-12,2000-07-07,"S0SLE","Genetic",,,"Yes",
"TQUB0","JAPANESE MACAQUE","Japan","f","Dead",1993-06-11,1996-07-16,"N5JJZ","Observed",,,"Yes",
"DYZMS","JAPANESE MACAQUE","Japan","f","Dead",1993-08-21,2016-06-09,"1JZU5","Observed",,"Genetic","Yes",
"IXTC0","JAPANESE MACAQUE","Japan","f","Dead",1994-04-06,1994-03-19,,,,,"Yes",
"H4S5M","JAPANESE MACAQUE","Japan","f","Dead",1994-05-17,1994-07-03,,,,,"Yes",
"HIM1Q","JAPANESE MACAQUE","Japan","m","Dead",1994-06-12,1994-07-27,,,,,"Yes",
"6QQM4","JAPANESE MACAQUE","Japan","u","Dead",1994-05-11,1994-05-16,,,,,"Yes",
"KZTU2","JAPANESE MACAQUE","Japan","f","Dead",1994-06-07,1994-06-12,"ECS0S","Observed",,,"Yes",
"LSR86","JAPANESE MACAQUE","Japan","m","Dead",1994-05-12,1994-07-11,,,,,"Yes",
"9U8VG","JAPANESE MACAQUE","Japan","m","Dead",1993-10-15,1994-09-01,,,,,"Yes",
"KPXA6","JAPANESE MACAQUE","Japan","f","Dead",1994-07-05,1994-08-16,,,,,"Yes",
"QAI0N","JAPANESE MACAQUE","Japan","m","Shipped",1994-04-24,,,,,,"Yes",1995-11-06
"YILCZ","JAPANESE MACAQUE","Japan","m","Dead",1994-06-05,1996-02-03,,,,,"Yes",
"73FAR","JAPANESE MACAQUE","Japan","m","Dead",1994-05-03,1996-05-20,,,,,"Yes",
"ZC1EP","JAPANESE MACAQUE","Japan","m","Dead",1994-06-09,2002-12-05,"YR5HD","Genetic",,,"Yes",
"E3DPR","JAPANESE MACAQUE","Japan","m","Dead",1994-04-26,1997-03-28,,,,,"Yes",
"RL1BY","JAPANESE MACAQUE","Japan","f","Dead",1994-05-26,2009-09-24,,,,,"Yes",
"DUC0T","JAPANESE MACAQUE","Japan","m","Dead",1994-04-16,2000-10-29,"AZYPL","Genetic",,"Genetic","Yes",
"15VWP","JAPANESE MACAQUE","Japan","f","Dead",1994-05-27,2010-01-23,,,,,"Yes",
"AKHK6","JAPANESE MACAQUE","Japan","m","Dead",1994-08-05,1997-02-23,,,,,"Yes",
"GCGQH","JAPANESE MACAQUE","Japan","m","Dead",1994-06-25,1994-12-05,,,,,"Yes",
"5YLC8","JAPANESE MACAQUE","Japan","m","Dead",1994-06-06,1996-06-23,,,,,"Yes",
"F65FN","JAPANESE MACAQUE","Japan","m","Dead",1994-05-20,2000-10-08,,,,,"Yes",
"36CV0","JAPANESE MACAQUE","Japan","f","Dead",1994-04-27,2009-05-04,,,,,"Yes",
"IBT44","JAPANESE MACAQUE","Japan","f","Dead",1994-05-08,1995-05-24,,,,,"Yes",
"62334","JAPANESE MACAQUE","Japan","m","Dead",1994-06-04,1998-07-07,"V360X","Observed",,,"Yes",
"KQPZ2","JAPANESE MACAQUE","Japan","m","Dead",1994-05-13,1996-06-15,"4XKHI","Observed",,,"Yes",
"ZVF95","JAPANESE MACAQUE","Japan","f","Dead",1994-04-16,2017-02-17,"XJSRS","Observed",,,"Yes",
"CQBQS","JAPANESE MACAQUE","Japan","m","Dead",1994-05-02,1995-10-20,"QYRPK","Observed",,,"Yes",
"1ZXWK","JAPANESE MACAQUE","Japan","m","Dead",1994-05-17,2000-09-15,"TM1VD","Genetic",,,"Yes",
"HHDC7","JAPANESE MACAQUE","Japan","f","Dead",1994-04-15,2010-12-17,"LSK5F","Genetic",,,"Yes",
"09RVT","JAPANESE MACAQUE","Japan","m","Dead",1994-06-02,1995-06-24,"N7GS1","Observed",,,"Yes",
"6CGYZ","JAPANESE MACAQUE","Japan","m","Dead",1994-05-04,1997-03-28,"4ERBJ","Observed",,,"Yes",
"91Y90","JAPANESE MACAQUE","Japan","m","Dead",1994-09-08,1997-04-04,"AWP22","Observed",,,"Yes",
"BRF6G","JAPANESE MACAQUE","Japan","f","Dead",1994-08-15,1994-11-11,"1M66M","Observed",,,"Yes",
"JDUB6","JAPANESE MACAQUE","Japan","m","Dead",1994-05-24,2006-07-19,"7SL88","Genetic",,,"Yes",
"BXBMD","JAPANESE MACAQUE","Japan","m","Dead",1994-06-14,1996-05-21,"8A2XM","Observed",,,"Yes",
"K8AYQ","JAPANESE MACAQUE","Japan","f","Dead",1994-09-01,2018-05-24,"NY64P","Genetic",,,"Yes",
"8N7WC","JAPANESE MACAQUE","Japan","f","Dead",1994-05-18,1994-09-12,"Z0GYH","Observed",,,"Yes",
"F2BQF","JAPANESE MACAQUE","Japan","m","Dead",1994-05-21,2001-06-07,"IVJ4A","Observed",,,"Yes",
"YEL1W","JAPANESE MACAQUE","Japan","f","Dead",1994-05-18,2005-01-02,"7XL7F","Genetic",,,"Yes",
"0RM2T","JAPANESE MACAQUE","Japan","m","Dead",1994-04-26,2009-03-15,"GHTM5","Observed",,,"Yes",
"MHWZJ","JAPANESE MACAQUE","Japan","m","Dead",1994-05-05,1996-06-23,"6VCF3","Observed",,,"Yes",
"VTNIL","JAPANESE MACAQUE","Japan","f","Alive",1994-06-10,,"TVC26","Observed",,,"Yes",
"G9TQJ","JAPANESE MACAQUE","Japan","f","Shipped",1965-06-20,,"FECKQ","Observed",,,"Yes",1982-04-08
"9ZNPJ","JAPANESE MACAQUE","Japan","f","Dead",1995-03-28,1995-05-16,"KVS2A","Observed",,,"Yes",
"XF7NN","JAPANESE MACAQUE","Japan","m","Dead",1995-04-24,1995-05-15,,,,,"Yes",
"RDSEN","JAPANESE MACAQUE","Japan","m","Dead",1995-06-04,1995-07-07,,,,,"Yes",
"GYTV8","JAPANESE MACAQUE","Japan","f","Dead",1995-06-10,1995-05-24,,,,,"Yes",
"Z00NR","JAPANESE MACAQUE","Japan","m","Dead",1995-06-02,1995-06-13,,,,,"Yes",
"KPZ1A","JAPANESE MACAQUE","Japan","m","Dead",1995-06-05,1995-06-24,,,,,"Yes",
"ZBXI9","JAPANESE MACAQUE","Japan","m","Dead",1995-06-05,1995-06-03,,,,,"Yes",
"RFL48","JAPANESE MACAQUE","Japan","f","Dead",1995-06-28,1995-06-20,,,,,"Yes",
"AX1TA","JAPANESE MACAQUE","Japan","m","Dead",1995-06-23,1995-12-20,"AC9GI","Observed",,,"Yes",
"GP0AB","JAPANESE MACAQUE","Japan","u","Dead",1995-06-29,1995-07-10,,,,,"Yes",
"PWVA2","JAPANESE MACAQUE","Japan","f","Dead",1995-08-26,1995-09-12,,,,,"Yes",
"CJMYY","JAPANESE MACAQUE","Japan","f","Dead",1995-06-01,1995-08-04,,,,,"Yes",
"1ASDF","JAPANESE MACAQUE","Japan","m","Dead",1995-06-23,1995-10-29,,,,,"Yes",
"QLWEH","JAPANESE MACAQUE","Japan","f","Dead",1995-07-14,1996-02-04,,,,,"Yes",
"2P4JI","JAPANESE MACAQUE","Japan","f","Dead",1995-06-21,2012-05-29,"BZ23F","Genetic",,,"Yes",
"DP3EE","JAPANESE MACAQUE","Japan","m","Dead",1995-05-25,2013-06-07,"RUSGQ","Observed",,,"Yes",
"EMU4V","JAPANESE MACAQUE","Japan","f","Dead",1995-05-02,1999-10-24,"EPHIK","Observed",,,"Yes",
"18M5G","JAPANESE MACAQUE","Japan","f","Dead",1995-05-31,2000-12-17,"QSBRQ","Provisional Genetic",,"Genetic","Yes",
"LJQSB","JAPANESE MACAQUE","Japan","f","Dead",1995-07-20,1996-02-18,"LSK5F","Observed",,,"Yes",
"AG9QA","JAPANESE MACAQUE","Japan","f","Dead",1995-07-06,2014-11-17,"EWZKA","Observed",,,"Yes",
"LI523","JAPANESE MACAQUE","Japan","m","Dead",1995-04-23,2013-12-01,"6PN1M","Genetic",,"Genetic","Yes",
"K262I","JAPANESE MACAQUE","Japan","f","Dead",1995-06-04,2000-10-28,"JB2EC","Genetic",,,"Yes",
"9FT4Z","JAPANESE MACAQUE","Japan","m","Dead",1995-07-06,2011-10-24,"C8FMU","Genetic",,,"Yes",
"KWHB0","JAPANESE MACAQUE","Japan","f","Dead",1995-06-02,1999-07-20,"N5JJZ","Observed",,,"Yes",
"KQ93V","JAPANESE MACAQUE","Japan","m","Dead",1995-06-06,2007-05-27,"YM7K6","Genetic",,,"Yes",
"0QKEX","JAPANESE MACAQUE","Japan","m","Dead",1995-07-30,1995-10-13,"5XL1M","Observed",,,"Yes",
"TDPA6","JAPANESE MACAQUE","Japan","m","Dead",1995-05-18,1995-11-16,"TVC26","Observed",,,"Yes",
"KV1U3","JAPANESE MACAQUE","Japan","m","Dead",1995-09-14,1996-02-24,"1M66M","Observed",,,"Yes",
"IBN39","JAPANESE MACAQUE","Japan","m","Dead",1995-08-30,2001-07-06,,,,,"Yes",
"D6681","JAPANESE MACAQUE","Japan","f","Dead",1995-04-06,2000-11-24,"V8F2J","Genetic",,,"Yes",
"S7JD0","JAPANESE MACAQUE","Japan","m","Dead",1995-05-12,2010-08-05,,,,,"Yes",
"G6H2I","JAPANESE MACAQUE","Japan","f","Dead",1995-06-03,2009-09-27,"4XKHI","Genetic",,,"Yes",
