"STRM.ID"	"jday"	"lon"	"lat"	"sed"	"elev"	"slope"	"area"	"sed.log"	"temp"	"temp.avg"	"elev.ut"	"sp"
"99033REM"	258	-122.7649	43.82109	1.818182	3.107888	0.3324385	3.339783	0.449969	NA	NA	1281.99992566254	2.00233
"99034CSR"	221	-123.5846	43.74854	47.27273	2.793092	0.02938378	2.30555	1.683702	15	15.52857	621.000571709907	1.18215878
"99035CSR"	231	-122.463	43.46533	3.636364	3.582858	0.7659168	2.229756	0.6661775	NA	NA	3826.99592688304	1.8807948
"99035REM"	271	-121.5907	45.39689	10	3.560026	0.677607	3.292669	1.041393	NA	NA	3630.99791891795	2.3239415
"99037CSR"	236	-122.1031	44.7821	0	3.543323	1.529063	1.562003	0	NA	NA	3494.00079931876	2.3100645
"99038CSR"	237	-123.4548	45.24281	12.72727	3.133539	0.6693169	3.216106	1.137584	NA	NA	1360.00028694013	2.2773699
"99039CSR"	235	-123.3837	45.7947	NA	3.069668	NA	2.405549	NA	NA	NA	1173.99973802522	NA
"99040CSR"	236	-123.5069	45.93208	21.81818	2.686636	-0.4881166	3.79575	1.358281	19.4	18.57143	485.999698680413	1.4097584
"99041CSR"	237	-123.824	45.28521	18.18182	2.100371	NA	3.872684	1.28289	15.2	17.65714	126.000131973164	NA
"99042CSR"	238	-123.7861	45.09406	12.72727	2.620136	-0.1674911	3.565133	1.137584	13.2	15.24286	416.999947215412	1.6150754
"99043CSR"	236	-124.0912	42.05009	3.636364	2.40654	0.8438554	3.524112	0.6661775	NA	NA	254.999894056566	2.6059114
"99044CSR"	237	-123.9802	42.04534	3.636364	3.101403	0.3117539	3.649229	0.6661775	NA	NA	1262.99898052768	2.1363684
"99045CSR"	238	-124.035	42.57303	5.454545	2.232996	0.04532298	3.944548	0.8098657	NA	NA	170.999956533972	2.01759698
"99046CSR"	231	-123.513	43.6808	41.81818	2.029384	-0.1191864	3.736463	1.631628	NA	NA	107.000054773177	1.7490451
"99049CSR"	242	-123.9298	44.58077	61.81818	1.80618	0.1479853	2.195492	1.798085	NA	NA	64.0000038338762	1.2457313
"99050CSR"	243	-123.8533	44.53929	60	2.748188	-0.1135093	2.306483	1.78533	NA	NA	559.999965176919	1.0397322
"99051CSR"	242	-123.8833	45.91184	9.090909	1.977724	0.07554696	4.091216	1.00393	NA	NA	95.0000863413607	2.12115496
"99052CSR"	243	-123.9041	45.76123	45.45455	2.964731	0.5068431	1.788745	1.667028	12.3	14.11429	922.000167601854	1.4012156
"99053CSR"	244	-123.8383	45.74799	23.63636	1.60206	0.2291697	2.677246	1.391577	10.5	14.87143	40.0000007987242	1.5677927
"99054CSR"	244	-122.2528	44.43737	18.18182	3.286007	0.6812412	3.23707	1.28289	NA	NA	1931.99945691801	2.2997762
"99055CSR"	257	-124.3061	42.80419	3.636364	2.222716	-0.07831352	4.227405	0.6661775	NA	NA	166.999818828912	2.03538898
"99057CSR"	257	-124.371	43.0272	21.81818	2.491362	0.4337698	2.206548	1.358281	11.8	12.02857	310.000218541595	1.5370438
"99058CSR"	258	-124.3252	43.27683	83.63636	1.579784	0.1538149	1.826173	1.927557	NA	NA	38.0000352953329	1.0669014
"99059CSR"	259	-124.1882	42.97443	32.72727	2.454845	0.3112239	2.303184	1.527981	NA	NA	285.000091867575	1.4628159
"99061CSR"	264	-123.4852	44.356	NA	2.959041	-0.05060999	3.181658	NA	NA	NA	909.999177949413	1.54021901
"99062CSR"	265	-123.9892	44.50017	29.09091	2.060698	0.1931246	2.938115	1.478435	10.3	12.08571	115.000042273938	1.6621821
"99063CSR"	265	-123.9123	42.17385	0	3.311754	0.5921768	3.419458	0	NA	NA	2050.00065585855	2.3019058
"99065CSR"	271	-123.2858	45.73653	27.27273	2.933487	-0.3655227	3.544463	1.451368	8.2	16.57143	857.999431321102	1.4067088
"99068CSR"	251	-123.8804	43.25559	10.90909	2.758155	0.2265999	2.629292	1.075879	13.9	14.52857	573.000498769358	1.5412459
"99069CSR"	230	-124.0298	42.76824	12	3.364551	1.456689	1.506111	1.113943	11.1	12.72857	2315.00002476558	2.2097445
"99070CSR"	250	-123.9351	43.57391	10	2.985875	0.4116197	3.193524	1.041393	NA	NA	967.999203594802	2.0083817
"99071CSR"	250	-123.4638	43.77416	38.18182	2.850033	-0.08618615	3.34113	1.593085	14.1	16.64286	707.999579906469	1.58437885
"99072CSR"	252	-123.7556	43.19466	32.72727	3.286681	0.3222193	2.842805	1.527981	11.5	12.57143	1935.00013653918	1.7436218
"99073CSR"	251	-122.5891	43.51624	1.818182	3.322633	0.2030329	3.471705	0.449969	NA	NA	2102.00139541987	1.9388854
"99074CSR"	252	-122.7247	43.49055	NA	3.335458	0.5705429	3.052438	NA	NA	NA	2165.00049507308	2.0967619
"00008WSE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"00009WSE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"01110CSR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
