"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate5_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 6:17:40 PM"
"BatchStopTime","5/12/2022 7:19:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"Unknown54","88.5","609.5","4137","1092.5","693","1324","8980","355","181","1215","224.5","273.5","751","5197.5","204","151","1063.5","16754","223","144","658","5499","236","281","2726.5","205.5","236","231","191","254"
"Unknown62","16241","341","1740","554","849","353","362","224","3140","1437","4505","7488","491","739","12565","14935","185.5","9908","2828.5","14707","1660","6119","4404","12931","2155","3392","4660.5","2679","9380","5037"
"Unknown70","17405","218","2777","411","1086","402.5","485.5","1316","4795","1176","5868","9953","652","1751","13942","17883","588","15982","813","15829","2491","2195","5737","13096","980.5","4764","6182","1659.5","12004.5","7403"
"Unknown78","21532","683","1952.5","3000","2217","833","2061","213","7631","4565","9283","12320","1689","756.5","18284","21001","2000.5","24070.5","799","21852","3984","5080","7456","17424","226","6789.5","8440","6590","11732","6835"
"Unknown86","26429.5","2558","2101","2027","1795","745.5","435.5","2009","9622.5","1073","11415","14913.5","598","1518.5","22161","24223.5","940","19570","19418.5","21662","3579","2109","9031.5","19968","8184","7459.5","10444","5541","18164","11107"
"Unknown94","18345","232","641","265","729","357","480.5","109","3691","1131","6204.5","8545","325","1706.5","15645","16315","770","1042.5","182","15135.5","3362.5","898","4877","12762","1552.5","3023.5","5077","2524","9171","4068.5"
"Unknown7","27862","683","2098","897","697","525","1080","140.5","11960","2153","12966","16157","399","684","23705","25648","1178.5","14081","5261","24907.5","1783.5","1910","11048.5","23444","888","11473","14334","5058.5","19872","14564"
"Unknown15","27699","562","2184","2271.5","1444.5","516","910.5","142","9813","2111","12216","15392","552","2481","23042","25625","159","6536","1752","24273","1836","1048","9527","20549.5","419","8496","10528","4938.5","16604.5","11254"
"Unknown23","27153.5","582","1795","290","948","431","412","182","10846","1025.5","12260","14874","852.5","2527","22219","24959","1078","13450.5","1451","23713","4303","3856.5","10501.5","21341.5","6240","11946","13027","4248","18691","15092.5"
"Unknown31","28303","831","7729","3270","1118","1719","425","257.5","10182","521","11947","15140","381","1423","22699","25625.5","944","10125","291","24656","2286.5","1663","10063","22243","3666","10461","12360","6057","17120","14243"
"Unknown39","18966","666","507","369","404","482","1127","110","4139.5","2548","5256","9264.5","526","1483.5","15276","20176.5","1405.5","5453","189","18322","665","1735","5089","15714","4291","3279","5056.5","6105","9369","3600"
"Unknown47","19860","742","1860","1557","822","565","665","830","5288","1288","6455.5","10814","821","4482","14409.5","20610","485","9368","796","20425","1360.5","6789.5","6607.5","15429.5","6590","6502","7284","5649","13088","10349"
"Unknown55","435.5","360.5","3865","482","1138","887","793","167","183.5","1493","246","203.5","976","2362","999","1854","368","16585","6561","2299","419.5","6568","209","1483","1392","208.5","203","816","5399","934.5"
"Unknown63","24016","425","2033","194","562","209","257.5","351.5","7887","410","9301","12382","1414","2112.5","20474","23195","296.5","6967","797","23218","694","971.5","7213.5","19436","1900","5974","8476","6625","11942.5","6117"
"Unknown71","753","312","379.5","313","422","490","803","138","214","1619.5","524.5","567.5","616","1729","2016","2162","125","21486.5","5391","2287","1129","5385","306","1980","723","357","368","602","9386.5","2304"
"Unknown79","21176","1797.5","1208.5","722.5","1732","700","1592","191","6597.5","3815","7073","10323","734","2330","18556","18511","310","18060.5","13145","16431","1712.5","1429","6180","17712","4694","6364.5","8356","2183","12305","6759.5"
"Unknown87","28466","4047.5","3050","1357","3846","673","673","488","9794.5","1244","11917","16306","871","4589","24963.5","27594.5","841.5","25170","25019.5","27377","1235","2449","10186","23952","3815.5","9227","11122","9696","17051","10747"
"Unknown95","16011","1220.5","785","561","1079","482","835","228","2827","1781","4206.5","7393","410","1258","12199","14747.5","349","6718.5","14868.5","11153","815.5","3865","4174","11444","3598","2762","4170","2107","8288.5","3106"
"Unknown8","25100","501","2356","3322","1346.5","789.5","1218","115","3616.5","2895","11124.5","14526.5","485","1240","20367","21437","538","18000","316","14074.5","1477.5","4332","8172.5","9333","4276.5","4204","5037","2877","6660","5531.5"
"Unknown16","10248","353","4575.5","1998","390.5","583.5","656","287","1626","1687","1956","4333.5","322.5","878","7955","12932.5","393","10316.5","923","9077.5","2718","7534","2226","9893.5","258","1653.5","2326","2561","4452","1269"
"Unknown24","27089","333","1333","381","1780","226","277","193","10123","227","12121","15866","1299.5","1578","22040","24017","1371","4954","603.5","21930.5","2644","1688","9589.5","21123","1147","9095","12486","2178.5","19188","13242"
"Unknown32","13245","299","1222","637","966","428","814","85","2828","1815","3792.5","7769","904.5","1446","9297","14842","510","13834","177","12981","2264.5","7654.5","4366.5","9272","4781","3124","3941","1190","7404","5989"
"Unknown40","21935","407","2106","248","661.5","860.5","971","217","7020","2145.5","8547","12456.5","724","2365","17905.5","21652","785","12433.5","234","21848","3098.5","2487","7371","17534","2538","7255","8787","7303.5","13070","8267.5"
"Unknown48","20000.5","289","1239","453.5","381","522","1438","92","5002","2076","5880.5","9681","446","2125","13549","17700","570","8301","188","16474","1165","3067","5223","11400","889","4159","4801","3045","6612","6221"
"Unknown56","8883.5","595","4600.5","1948","2105","1008.5","1437","128","1966.5","2157","2373","5053","409.5","2128","6237","13002","656","10634.5","135.5","13442.5","2697","4049.5","2339","7632.5","5143","2300.5","2207","1689","3110","5161"
"Unknown64","23628","346","4970","887.5","2620","510","736","2711","5091.5","669.5","7752.5","13066.5","1674","4071.5","18466","21985","1205","13656.5","1340","19996","4171","1600","7193","16845","1238","5053.5","6298","4901","9935","6551"
"Unknown72","23516.5","397","1691","712","907","577","792","1607","7975","1781","8857","13436","684.5","4039.5","17717","22582","908","15391","1316","21900.5","1717","5214","8065","17342","2441.5","7819","9132","5135","15562","11199"
"Unknown80","4025.5","310","910","775","850","404","604","219","435","882","558","1510.5","1117","3411","2570","4920","1979.5","14076","1663.5","4882","2434","3998","726","4383","4997","377.5","481","1288.5","1509","452"
"Unknown88","16988","223","701","382.5","3567","324","543","90.5","4830.5","1202","5747","8953.5","428","1405","13902","16514","402.5","7121","193.5","15360.5","1234.5","985","4719","13099.5","4309.5","3254","5474","3372.5","8504","3666"
"Unknown96","9198.5","744","1147","753","1092.5","609","1295","340","1724","2563","1971","3314","445","1336","8403.5","7498","437.5","10225.5","5587","7605","963","1188.5","1694","7578","1643","1462","1876","1039","2828.5","1266"

"DataType:","Mean"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","25.13","32.29","31.28","27.51","45.19","29.18","35.38","46.95","23.63","28.14","16.11","35.9","33.47","44.66","30.57","35.7","26.33","28.36","35.88","34.42","45.11","38.11","30.91","33.24","22.25","26.39","23.02","29.84","34.76","41.11","1692"
"2(1,A2)","S","13681.42","1352.75","5182.16","4740.9","4082.74","2713.74","1862.47","744.7","1897.42","4029.05","2549.74","6628.41","1475.7","5010.36","9320.84","12313.74","1349.58","19058.26","17586.65","13125.72","4113.09","5484.21","2142.22","9618.82","6820.75","1107.74","1576.25","3366.41","2787.12","1272.48","1588"
"3(1,A3)","S","8130.88","619.95","2505.9","2795.92","1978.82","1415.52","1113.16","350.29","889.6","2533.47","1229.86","3645.79","712.65","2166.77","5320.37","7362.9","726.27","12474.7","11673.35","7313.2","2289.02","2548.02","1072.84","5395.91","3209.53","427","843.82","1809.65","1463.46","588.21","1747"
"4(1,A4)","S","5877.38","434.96","1686.7","1371.02","1295.55","931.85","902.59","229.6","550.16","2045.33","748.87","2368.87","442.92","1513.72","3515","5465.93","474.37","10035.38","8732.76","5393","1506.74","1719.4","645.24","4023.62","2074.48","288.87","458.22","1277.38","950.59","354.35","1585"
"5(1,A5)","S","3460.26","226.37","918.39","742.5","688.22","534.98","578.49","120.7","250.56","1389.46","375.62","1363.12","250.57","801.96","1938.63","3101.75","223.76","6789.44","5412.47","2839.74","897.09","935.46","290.25","2219.04","1071.63","166.98","235.07","682.64","500.33","252.8","1432"
"6(1,A6)","S","1941.34","131.51","519.25","461.65","376.06","309.89","357","83.67","137.74","820.88","188.78","742.93","140.87","403.08","1135.08","1787.62","136.73","4003.83","2962.97","1605.67","526.24","503.25","188.95","1327.32","547.31","83.78","115.9","327.9","272.67","118.98","1893"
"7(1,A7)","S","1209.5","87.43","277.56","239.31","229.05","204.72","227.29","64.11","88.85","540.86","109.81","388.52","91.98","251.11","690.09","1091.51","92.35","2304.36","1795.19","971.61","322.33","298.79","113.92","799.31","312.7","60.46","70.04","213.94","181.91","83.35","1540"
"8(1,A8)","S","708.61","66.02","166.38","144.52","134.67","121.72","139.82","53.9","51.95","332.07","62.69","221.56","63.37","159.29","391.56","617.23","59.17","1380.4","1038.45","564.77","207.46","181.4","66.67","474.62","183.16","44.85","48.03","119.24","105.57","62.33","1795"
"9(1,A9)","S","373.25","50.62","112.74","89.95","95.37","78.17","91.66","50.49","40.75","185.81","37.61","128.13","51.61","109.28","214.23","335.34","44.44","748.03","530.36","301.93","133.93","114.2","48.36","266.46","102.59","36.54","35.8","80.64","72.28","50.76","1916"
"10(1,A10)","S","212.7","44.4","80.65","61.89","79.26","59.59","72.75","48.2","35.34","117.36","30.54","84.13","45.89","81.16","136.32","203.34","36.13","455.3","298.9","192.52","101.05","86.9","41.39","186.37","75.9","38.77","31.56","62.4","62.93","46.11","1518"
"11(1,A11)","S","156.09","52.63","65.59","67.05","76.23","61.68","73.96","59.26","43.3","103.87","38.93","83.34","53.97","86.82","106.83","148.48","44.98","343.36","224.17","140.6","85.84","81.95","47.37","205.35","66.99","46.16","39.27","59.23","61.88","55.16","1726"
"12(1,A12)","S","43.07","32.88","34.13","30.18","47.69","33.26","39.1","46.51","25.82","38.94","16.1","39.23","34.73","47","48.76","54.01","26.63","77.06","59.23","50.17","51.92","44.03","29.05","49.41","28.17","29.07","24","33.7","45.35","41.87","1861"
"13(1,B1)","Unknown2","20490.83","464.1","364.5","1193.37","1669.24","613.03","1177.73","401.52","5675.4","2709.1","7478.77","11649.73","798.32","373.75","17191.48","19794.82","356.49","18526.18","260.55","16969.15","5426.32","2036.37","6908.31","15212.99","2128.14","5136.05","6614.53","3969.87","10196","7119.16","1534"
"14(1,B2)","Unknown10","24998.49","389.47","2429.89","1032.94","2119.24","629.59","338.06","179.09","7293.6","408.18","9750.21","13023.21","480.68","2265.59","17481.34","21740.97","1008.93","11111.76","182.6","19026.84","1330.57","3477.57","7565.01","15416.47","9281.81","5862.7","8059.35","3166.52","12326.62","8578.36","1759"
"15(1,B3)","Unknown18","24856.18","493.56","3970.03","474.49","2533.14","509.02","1158.63","367.38","8134.99","1312.75","9947.69","13521.06","502.03","3977.66","21147.73","23477.45","1433.91","15664.57","590.77","23276.17","2504.49","7034.64","8655.3","19444","3299.84","7484.95","8904.13","5795.13","14636.07","9359.97","1980"
"16(1,B4)","Unknown26","25862.61","702.45","1958.54","291.79","335.33","353.24","491.82","595.04","9459.75","836.13","11009.64","14187.56","1491.03","3124.62","22668.38","25969.28","278.47","13612.77","717.26","23541.12","1374.53","2734","8875.9","21962.49","6510.47","9635.68","11468.22","6204.96","17171.06","10461.25","1604"
"17(1,B5)","Unknown34","12363.25","235.05","1331.84","563.1","239.14","380.87","558.63","144.35","2451.52","1584.6","2954.43","5936.51","346.69","1198.9","9740.34","12220.79","123.62","6943.69","284.57","9826.81","1079.14","1260.27","3160","8597.16","788.2","1220.89","1491.38","2033.79","3159.9","1616.76","1804"
"18(1,B6)","Unknown42","12600.08","515.91","864.96","1085.02","536.6","536","1448.3","921.78","2498.02","689.02","3691.59","6438.69","2117.31","9150.12","10091.06","13023.27","756.96","5896.88","2172.96","11425.06","2210.64","475.27","3123.77","8756.71","5325.29","2083.52","2914.81","2318.79","4261.82","2160.72","1759"
"19(1,B7)","Unknown50","23570.88","409.82","1741.47","426.34","509","382.06","551.11","198.22","8166.77","227.74","9438.66","12713.54","535.46","1029.42","20910.08","22438.07","181.6","11469.43","681.43","22224.46","2114.8","5303.43","7671.73","19112.93","1283.4","7022.74","9095.21","5722.59","13813.3","8330.23","1583"
"20(1,B8)","Unknown58","13130.53","509.91","2162.67","1149.31","2260.92","395.67","428.21","165.27","3588.67","1303.69","3987.38","7211.4","668.03","2319.52","9987.66","15624.28","1175.12","15561.82","392.92","15930.02","3739.31","1666.26","4194.77","11698.41","2426.16","3997.6","4775.85","2558.43","8218.36","6016.86","1642"
"21(1,B9)","Unknown66","18937.95","316.8","1295.38","620.3","444.24","445.65","591.05","196.18","4844.43","1699.93","5888.72","10799.1","582.36","3235.13","13857.04","18741","430.64","4717.26","191.88","16289.85","2264.27","424.3","5899.4","14064.7","2898.69","5181.17","5816.1","1975.53","9321.64","6977.77","1381"
"22(1,B10)","Unknown74","26704.37","650.33","2622.42","791.87","1017.94","758.5","1915.73","274.06","12187.8","2456.45","13251.71","15768.6","686.06","4318.78","23837.27","25260.62","233.9","4663.56","621.14","24541.83","3186.11","677.24","9942.34","22616.34","1414.99","11147.78","14907.57","5233.73","18463.45","12478.82","1356"
"23(1,B11)","Unknown82","2135.86","310.05","5331.75","440.51","854.71","307.78","370.71","689.88","248.34","368.38","603.22","325.24","637.83","7758.59","2047.78","9444.45","131.62","23969.79","2060.14","11835.31","3516.03","9837.67","195.49","6776.1","1905.65","243.77","303.6","2406.38","9732.48","2043.72","1623"
"24(1,B12)","Unknown90","23885.6","428.53","4639.33","640.48","1655.43","1377.88","1522.23","683.35","9100.25","2370.3","10273.97","13548.58","617.02","703.17","21201.55","23092.45","258.51","12870.82","2196.71","22134.37","1951.56","2455.02","8490.65","20740.39","1138.54","8741.34","11133.44","3240.97","17384.64","11118.69","1263"
"25(1,C1)","Unknown3","22688.92","497.37","1363.05","1280.79","532.59","305.62","438.17","150.93","7202.18","190.77","8131.53","12496.98","509.2","2726.17","20372.11","21453.55","356.57","12535.13","738.72","20529.94","1561.78","695.2","6810.96","18662.73","2313.29","5492.86","6787.8","5570.7","13489.47","7048.93","1523"
"26(1,C2)","Unknown11","6590.27","680.94","1851.68","597.91","851.84","794.23","1507.16","369.88","2771.81","3982.34","3778.18","2713.68","620.58","1080.13","11978.8","6759.22","190.82","13961.59","8030.48","6852.18","910.67","2286.81","941.53","7555.49","3123.6","856.08","1109.79","1948.71","2920.85","1089.13","1389"
"27(1,C3)","Unknown19","25839.05","705.98","942.37","2893.67","699","631.02","1060.07","193.89","9416.71","1991.4","11095.18","14906.52","1242.56","2273.02","21621.13","23833.56","270.56","6838.67","2233.01","22450.92","636.05","2275.79","9023","21429.65","1238.83","9240.74","11372.25","3001.75","18775","12242.47","1629"
"28(1,C4)","Unknown27","26085.69","905.47","2042.46","477.33","557.67","624.41","670.64","229.04","11264.78","1991.9","12729.65","16041.67","660.36","2253.34","23471.44","27046.63","962.19","5591.88","2199.02","25498.75","2294.33","1258.27","10874.12","24008.71","1307.31","10838.92","13834.82","7830.74","17875.51","12138.33","1617"
"29(1,C5)","Unknown35","17062.07","275.7","1140.67","961.1","1026.29","204","580.42","169.14","5014.1","692.96","6637.14","9700.54","529.43","1995.28","14570.44","17378.02","638.17","7258.45","171.62","16861.95","1753.3","1095.39","5955.51","14339.46","1355.48","5265.37","6728.57","3003.27","12281.64","7444.85","1430"
"30(1,C6)","Unknown43","27550.65","1513.52","2297.71","765.52","1487.17","779.95","691.72","222.97","12316.41","1331.91","13458.35","16542.62","495.98","4174.67","25761.07","27563.7","708.63","4402.95","6150.09","28156.57","3388.95","1250.11","10600.5","24365.09","5798.04","10455.45","11920.7","9040.52","17204.73","12970.06","1572"
"31(1,C7)","Unknown51","7239.25","222.63","1560.69","231.41","1324.76","475.71","853.41","89.76","1621.52","2128.47","1734.81","4863.93","384.5","2136.59","3598.75","9025.94","420.97","17415.73","238.43","9079.35","688.16","1777.2","2350.42","5745.83","1059.81","2301.94","2444.71","1255.79","4398.89","3534.6","1444"
"32(1,C8)","Unknown59","8466.49","522.95","942.54","1673.8","894.1","619.93","1095.65","129.53","2004.78","2392.86","2286.79","4479.34","448.07","5587.69","6354.72","11861.14","208.21","5189.13","196.15","12573.67","1962.65","957.5","2420.67","8193.92","2491.59","2204.04","2549.18","2579.25","3808.86","3689.22","1855"
"33(1,C9)","Unknown67","25361.99","686.1","1593.25","1809.4","5728.63","558.2","767.86","221.1","8709.28","1882.09","9873.73","13782.68","656.27","5123.75","21852.48","24388.12","2049.24","13762.22","1289.87","24138.65","3856.73","7800.22","8074.08","21019.69","2518.09","7617.95","9835.05","6484.68","14357.3","9103.12","1731"
"34(1,C10)","Unknown75","24709.05","312.94","2034.9","449.62","987.47","393.09","723.84","144.65","9151.63","1878.32","10134.23","13770.47","510.1","106","20465.99","23588.91","77.09","6815.54","150.39","23524.39","1834.2","1277.5","7657.82","18686.63","819.56","7831.98","9645.9","3087.88","13342.83","11130.57","1796"
"35(1,C11)","Unknown83","78.17","292.99","761.24","404.93","207.84","410.46","647.98","212.32","129.89","1352.09","133.11","146.08","383.19","630.03","125.84","509.91","188.35","13579.31","163.97","132.78","707.93","5007.02","161.85","398.41","949.02","214.68","138.76","159.94","129.71","186.38","1793"
"36(1,C12)","Unknown91","22248.79","844.3","1329.82","1732.74","1152.03","740.02","1017.23","1386.47","7517.08","2583.9","8867.08","12156.56","524.56","1697.48","18970","21389.92","984.4","11993.55","6416.29","20470.98","1494.41","1130.42","7652.53","17630.26","758.62","6638.7","8203.2","4722.21","12979.51","9112.94","1492"
"37(1,D1)","Unknown4","22811.18","272.55","1171.68","670.29","785.31","399.05","183.76","258.87","5951.31","883.26","7211","10690.6","1472.84","3243.72","16480.47","20678.46","128.73","17989.94","279.29","19331.79","1792.38","4582.2","6268.46","15750.94","384.74","6138.28","6862.39","2822.46","9491.8","6957.25","1732"
"38(1,D2)","Unknown12","12947.42","859.06","744.56","1179.66","1235.67","269.87","148.2","135.73","1805.52","407.22","2195.37","5773.93","263.92","976.65","8764.95","13498.93","290.94","11308.36","13714.33","14372.61","1267.18","466.18","2855.59","10766.06","370.08","2727.89","3273","3890.52","7413.44","2751.89","1841"
"39(1,D3)","Unknown20","945.52","307.06","770.13","1394.27","1583.52","408.77","2170.23","240.1","210.44","367.61","327.03","221.86","363.63","5401.89","1361.64","1909.22","227.52","13950.33","1490.62","2251.43","1093.68","2267.49","201.92","1776.78","924.93","171.72","224.43","1030.41","5914.5","912.48","1988"
"40(1,D4)","Unknown28","26629.42","2754.5","1176.82","1261.59","483.86","284.92","864.17","495.15","9323.55","329.31","11775.94","15924.03","1106.85","3705.58","24543.89","27440.57","780.17","14546.98","23043.33","25054.06","1630.81","1413.26","9935.75","21959.43","1015.32","8886.96","10753.66","6328.64","18258.4","11253.55","1564"
"41(1,D5)","Unknown36","23652.55","672.79","608.67","754.82","1165.1","651.8","755.6","167.27","8610.61","1736.15","9891.07","13634.14","1118.39","964.42","20078.93","22579.69","192.89","18212.21","1595.69","20045","791.3","6286.94","8326.74","20195.78","1232.76","8441.88","10329.24","1005.14","17735.78","10315.12","1676"
"42(1,D6)","Unknown44","14197","469.2","1939.42","925.14","1966.65","864.08","2035.75","428.73","4619.48","4421.79","5934.13","8116.67","1188.14","1860.25","11928.46","13076.26","2561.48","10955.97","1456.34","12431.18","3369.2","2313.74","5577.23","11789.41","9743.63","4614.49","6209.11","3103.12","6506.57","2114.69","1686"
"43(1,D7)","Unknown52","20397.78","212.6","1563.96","168.82","212.64","144.73","150.67","121.5","5347.47","296.42","7329.26","12592.98","318.92","4616.2","15532.85","21486.14","657.67","3150.17","140.87","18080.4","3014.39","2386.94","7148.16","12421.66","396.83","5697.35","6109.78","2989.1","10085.78","8247.36","1455"
"44(1,D8)","Unknown60","24171.69","683.71","2588.07","645.51","1850.67","943.47","1353.61","186.93","7955.71","2705.76","8134.3","14877.08","483.58","1830.16","17768.5","23042.89","488.6","12802.56","843.76","20734.49","2066.94","5185.56","8499.59","18419.03","1357.63","8231.66","9768.94","2600.32","17629.66","13433.67","1698"
"45(1,D9)","Unknown68","15880.07","605.85","1311.8","5092.41","2137.16","2013.56","507.94","177.58","3232.3","1504.98","4171.28","7831.63","295.97","921.85","12669.49","15001.47","428.11","2378.02","1446.19","13830.43","1782.65","714.82","4460.18","12496.19","1926.49","3390.3","4114.04","2579.53","7848.83","4504.48","1574"
"46(1,D10)","Unknown76","26339.98","851.58","2290.12","501.76","1233.62","947.33","1442.94","452","12656.2","2470.96","14240.62","15953.83","1021.76","2869.56","23131.99","24956.35","606","19609.56","4591.83","24176.85","183.88","3010.62","11364.06","23080.05","4845.64","12669.3","14190.49","5681.08","21490.96","16439.64","1768"
"47(1,D11)","Unknown84","910.44","915.69","2312.35","1053.14","1228","1570.4","1279.6","1018.98","673.07","2252.11","900.72","893.07","1400.64","555.35","1399.97","3467.38","816.78","17243.49","3916.65","4066.82","1292.65","13254.14","670.14","2741.06","1222.61","660.18","689.36","1423.81","6786.33","1938.15","1415"
"48(1,D12)","Unknown92","16202.77","259.36","892.77","413.13","1324.54","251.15","991.83","2233.29","4867.37","594.68","5161.94","8525.08","204.3","4336.88","12179.02","17854.36","5078.91","8840.35","349.5","18245.45","3111","3399.1","4768.79","13161.48","3793.45","4215.44","5320.94","3807.98","8762.61","6292.27","1528"
"49(1,E1)","Unknown5","21750.27","588.63","2394.19","424.1","1193.6","578.74","582.1","496.52","4175.53","1088.03","7209.45","12007.39","1241.44","1109.78","17190.43","19411.36","644.92","16109.18","3859.26","15439.57","2904.67","2008.44","6342.41","13633.12","3719.81","3216.56","4320.44","3121.98","11019.42","6005.72","1727"
"50(1,E2)","Unknown13","23684.69","924.97","2955.78","1005.8","1000.22","1186.49","1669.49","342.21","6958.28","3106.47","8098.02","12677.81","858.2","1543.23","20632.04","25032.11","887.08","15829.55","569.58","22585.67","2109.05","5205.49","8274","20504.97","1128.9","6032.2","8444.38","6835.28","13631.82","7063.97","1543"
"51(1,E3)","Unknown21","18209.86","594.13","1054.61","442.33","1562.08","647.4","1035.21","314.53","5103.17","1980.55","5952.33","9557.34","462.88","2315.04","15271.5","18852.53","113.21","10517.55","517.95","19321.93","2867.36","2679.02","5086.73","15357.45","794.01","5090.95","6306.64","4517.79","10001.76","5138.66","1796"
"52(1,E4)","Unknown29","27993.06","1236.77","2755.18","1411.04","2922.06","614.78","427.09","220.24","13210.71","1056.1","14407.12","16308.25","591","2220.98","24413.63","26979.95","1316.77","13583.05","6749.97","26655.93","3469.25","3136.51","11259.57","24163.08","1998.3","13813.72","14082.35","8612.41","20791.52","15134.25","1535"
"53(1,E5)","Unknown37","12453.47","978.12","768.47","2486.91","3497.91","1780.23","1242.52","1134.64","2895.79","1300.04","4099.46","7212.35","1077.26","2408.02","8897.55","12875.89","1431.78","2978.94","807.39","12155.35","2428.56","2646.05","4170.97","9236.87","3672.56","3545.16","3976.52","2392.38","7107.53","6158.65","1630"
"54(1,E6)","Unknown45","19859.33","778.1","5438.53","2519.64","1415.67","571.79","1033.27","125.49","4457.59","2343.29","4790.07","8927.33","741.88","1633.83","14347.69","19308.98","244.9","8672.78","1116.98","20824.02","4021.4","1923.54","5356.27","14293.17","9405.48","4242.92","5652.2","5816.71","7725.54","5133.12","1510"
"55(1,E7)","Unknown53","9271.58","1517.82","2427.38","921.88","1111.9","995.76","2599","280.53","1738.5","3237.02","1874.49","3423.76","1193.91","2922.71","13596.9","11494.3","2081.85","6534.33","15735.39","11936.47","4399.92","2236.69","1611.98","10590.53","2057.35","1528.3","2299.1","1133.6","7607.47","1855.32","1546"
"56(1,E8)","Unknown61","19532.74","389","1964.79","394","907.31","607.51","1232.37","153.29","5310.7","2717.1","6786.37","10932.59","921.7","2263.42","15948.88","20219.77","3011.5","9711.06","652.81","19091.65","4155.74","3232.11","6795.33","14330.4","5200.23","5439.89","6594.43","2709.44","11155.08","6909.06","1363"
"57(1,E9)","Unknown69","22127.9","739.33","2609.9","443.09","480.14","438.66","778.86","140.92","9027.48","1686.55","9817.51","13102.09","649.6","2842.77","19159.02","23849.97","151.66","5832.66","607.52","24203.36","2006.46","5204.63","7976.41","19941.7","641.78","8607.05","9932.81","7180.85","13000.8","9989.73","1788"
"58(1,E10)","Unknown77","22266.1","587.79","1457.44","1104.22","2300.83","680.16","1235.73","1348.7","7611.73","2373.79","8526.4","11797.58","356.01","730.29","17925.81","21333.56","270.93","19066","2169.9","19873.73","1643.72","7128.26","7664.31","17113.54","1882.44","6896.14","8657.91","4022.56","12721","8799.56","1800"
"59(1,E11)","Unknown85","12568.84","1238.73","7709.87","1152.07","2077.36","1266.51","1439.79","756.18","3177.22","2385.26","4015.83","6613.36","1933.78","2588.23","10181.77","12664.93","1058.2","6489.51","5869.36","10946.77","2774.72","1289.18","3913.09","11149.38","2981.53","2730.92","3819.86","2897.13","7023.46","3486.22","1448"
"60(1,E12)","Unknown93","19482.89","507.84","2928.78","533.77","1591.56","371.83","177.84","173.04","5475.34","303.06","6317.43","10016.53","554.11","1502.24","17284.26","18461.35","934.88","9327.9","3240.68","17375.59","2665.44","1206.18","5940.85","15290.2","2646.62","4587.64","5603.29","2797.29","10301.63","5545.37","1714"
"61(1,F1)","Unknown6","23567.25","384.27","3435.31","952.06","929.6","378.11","316.95","110.73","8678.07","763.14","10322.45","14057.8","1100.71","3883.52","19323.15","23089.99","330.24","7777.04","743.31","21473.22","878.15","823.87","8886.55","19159.05","1300.02","9361.89","11356.43","3422.82","17402.7","13346.96","1507"
"62(1,F2)","Unknown14","24682.71","1252.83","3682.65","1935.89","3208.77","1461.56","3109.68","2355.16","8121.15","2584.49","9988.05","13401.74","1118.93","3305.77","21589.44","23685.84","2254.66","7051.45","2347.67","24009.67","1674.98","2101.49","9154.49","21535.88","1883.79","8568.6","10051.8","7802.67","14741.36","11124.53","1739"
