"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","12/20/2021","10:50 AM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOise0_amiens_plate2_20211220"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_28plex"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","12/20/2021 11:44:15 AM"
"BatchStopTime","12/20/2021 12:15:53 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","28"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/20/2021 10:56:41"
"Last VER Verification","Passed 12/20/2021 10:57:43"
"Last Fluidics Test","Passed 12/20/2021 10:59:02"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B81409","05/21/2022","12/20/2021 10:56:41 AM","26.3","26.3","26.3","26.3","167","207","313","313","0.00709","0.00709","0.00395","0.11616","Pass","MAGPX16145704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"27(1,C3)","Unknown19","73","66","75","67","76","64","59","65","77","69","77","49","63","77","71","51","35","64","62","71","55","66","78","65","69","64","62","67","1837"
"28(1,C4)","Unknown27","68","61","71","78","70","56","60","64","78","75","75","58","70","63","53","62","54","63","75","62","57","71","75","64","56","69","71","51","1830"
"29(1,C5)","Unknown35","63","48","86","68","66","70","73","69","73","63","46","56","56","64","60","46","48","58","71","57","46","62","60","74","62","73","52","41","1711"
"30(1,C6)","Unknown43","76","60","71","63","72","63","62","55","66","71","61","55","66","68","65","54","52","62","82","69","57","74","66","56","76","65","60","72","1819"
"37(1,D1)","Unknown4","62","64","70","58","68","60","56","61","58","49","64","71","79","79","51","47","39","56","76","50","52","67","62","44","52","77","54","63","1689"
"38(1,D2)","Unknown12","59","55","75","65","65","66","78","62","71","80","69","84","74","69","58","70","51","57","86","64","67","85","54","77","69","82","71","61","1924"
"39(1,D3)","Unknown20","50","56","71","69","69","46","65","48","51","80","59","60","66","54","59","65","35","78","69","55","58","70","60","47","67","59","59","59","1684"
"40(1,D4)","Unknown28","63","58","53","66","69","56","67","68","73","61","77","61","78","65","72","47","48","52","63","52","64","75","65","69","69","78","59","54","1782"
"41(1,D5)","Unknown36","63","64","69","65","60","60","71","55","77","69","56","71","62","80","63","53","36","62","81","70","67","70","67","70","71","71","62","70","1835"
"49(1,E1)","Unknown5","65","51","58","49","51","53","64","58","52","67","64","68","53","54","58","56","47","59","51","54","58","51","54","48","49","54","44","57","1547"
"50(1,E2)","Unknown13","50","48","74","50","61","51","62","64","57","58","61","79","66","60","53","53","67","52","56","49","62","63","55","59","62","70","46","49","1637"
"51(1,E3)","Unknown21","64","44","66","70","43","58","71","57","56","59","57","60","53","66","60","44","47","47","57","52","52","52","56","61","45","51","60","52","1560"
"52(1,E4)","Unknown29","53","41","64","60","42","46","54","57","50","57","55","48","63","54","50","49","30","41","70","56","35","50","61","48","54","60","36","45","1429"
"53(1,E5)","Unknown37","57","47","84","63","81","52","60","54","63","68","55","59","60","68","54","56","48","57","90","66","64","58","76","61","71","73","54","57","1756"
"61(1,F1)","Unknown6","46","45","61","49","59","60","61","51","62","67","59","64","67","60","64","42","45","57","64","59","50","65","62","56","60","62","59","48","1604"
"62(1,F2)","Unknown14","62","67","76","75","76","69","63","60","77","65","65","60","70","82","72","61","42","65","83","84","48","72","67","81","69","64","67","71","1913"
"63(1,F3)","Unknown22","59","49","57","55","52","47","53","43","43","60","41","59","58","51","80","38","46","56","56","35","38","56","53","59","53","55","51","54","1457"
"64(1,F4)","SP","65","58","69","66","66","59","67","45","53","64","60","62","68","69","47","63","48","57","69","56","52","86","80","82","57","51","63","48","1730"
"65(1,F5)","Unknown38","59","45","76","52","59","54","65","52","64","68","59","74","49","61","58","50","46","54","70","40","49","57","53","57","70","57","62","62","1622"
"73(1,G1)","Unknown7","66","53","74","62","70","62","70","60","53","74","63","53","62","69","66","47","44","56","59","67","48","68","74","58","48","56","52","44","1678"
"74(1,G2)","Unknown15","52","50","69","59","63","51","54","62","56","66","55","68","72","61","66","62","51","48","60","67","59","70","70","45","59","63","60","56","1674"
"75(1,G3)","Unknown23","64","60","64","64","52","60","53","53","49","64","63","65","50","58","52","50","38","55","82","60","56","55","52","67","51","48","49","48","1582"
"76(1,G4)","FD","52","43","66","62","64","59","59","63","47","75","76","55","56","65","73","52","28","44","72","68","54","66","63","69","52","60","60","45","1648"
"77(1,G5)","Unknown39","47","54","84","64","63","50","69","71","59","73","65","53","55","73","55","71","58","59","68","51","55","61","81","66","58","67","57","59","1746"
"85(1,H1)","Unknown8","60","53","62","62","53","58","51","55","42","64","49","63","59","61","53","51","61","58","54","56","49","56","68","53","61","61","42","54","1569"
"86(1,H2)","Unknown16","70","58","75","70","65","57","57","87","58","65","54","78","65","61","74","48","65","70","64","51","54","76","56","52","72","82","52","53","1789"
"87(1,H3)","Unknown24","62","47","84","65","53","46","63","48","53","80","50","64","63","61","59","47","46","46","59","60","52","49","53","60","65","60","64","57","1616"
"88(1,H4)","LG","80","53","72","50","48","48","66","55","48","59","59","68","62","52","84","65","35","86","57","56","58","71","66","73","66","58","49","62","1706"
"89(1,H5)","Unknown40","72","40","66","78","68","61","53","62","52","67","59","69","58","79","60","54","51","56","61","62","55","60","68","73","50","62","62","56","1714"

"DataType:","Avg Net MFI"
"Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA"
"B","19","22","25","21.5","24","22","21","31","22","30","26","29","26","21.5","20","29","20","20","21","29.5","26","29","21","46.5","24","25.5","21","35.5"
"S","12722.5","1839","6680","6251","13244.5","3606","1858.5","1446.5","6129","3182","4876.5","8723","1917","4881","11108","13583","1333.5","17576","13721.5","13249","4305","5791.5","1883","12289","6180.5","1101","2546","2684"
"S","9163.5","1219","4096.5","3423","9488.5","2087","1367","763.5","3565","2438","2919","6179.5","1110","2637","7673","9403.5","812","13597","13325","9153.5","2452.5","3366.5","1167","8531","3676","721","1595","1703"
"S","6735","806","2419","2554","7020","1497","1075","462","2422","2021","2148","4889","666","1752","5610.5","7763","540","11582","11045.5","7302","2071.5","2434","794","7014.5","2313","516.5","1109.5","1258"
"S","3510","388.5","1200","1064","3425","704","648","193","1277.5","1247","1012","2207","317","790","2425","3442","291.5","6340.5","5667.5","3061","802","1129","397","3267","1068","259","529","624.5"
"S","2277","239","769","801","2224","480.5","458","138","821.5","938","667","1625","202","515","1655.5","2361","170","4317","4244","2138","607","763.5","245.5","2482","668.5","165","329","383"
"S","1158","126.5","401","356.5","1252","249","248","85","392","485.5","314","691","114.5","259.5","745","1187","113","2062","1815","1151","387","385.5","128.5","1301","337","96","172","213"
"S","624.5","80","205","191","653.5","134","146","57","230","276","149","354","69","137","403.5","662","63.5","1195.5","928.5","524","192","218","75","779","180","58","92","122"
"S","346.5","53","118.5","112","372","82.5","86","48.5","125","157","94.5","184.5","47","77.5","221","354","41","631.5","517","306","120","122.5","51","414","106","45","58","77"
"S","206","37","75","67","205","54","56","39.5","75","101","59.5","121","39","49","126","209.5","31","355","276.5","177","70","77.5","37","249","66","34","41","59"
"S","111","36","55","50","125","42.5","43","38","58","73","48","86","36","41.5","85","124","31","199","169","114.5","52","61","35","163","51","35","35","55"
"S","45.5","25","32","25","50","24.5","25","32","30","41.5","28","41","26","24","36","54","22","72.5","58","50","29.5","35","21","71","30","25","24","39"
"Unknown2","4658.5","365.5","1286","666.5","6262","351","471","144","1710","658","1213","2846.5","807.5","1969","2235.5","3463.5","358","7374.5","1783","2968.5","1444","1484.5","655","4031","4394.5","288.5","946","532.5"
"Unknown10","209.5","814","1516","2030","4461","779.5","485","175","114","733","143","175","641","2700","40","70","169","14038","140","139","794","1504","151","205","4316","182","169.5","140"
"Unknown18","4180","993","1614","909.5","5615.5","1052.5","962","388","1716","1724","1599.5","2772","689","2183","2902.5","4958","503","7666","8500","3864.5","1214","4922","797","3886.5","3588","634","1121","872"
"Unknown26","287.5","572","2162","3830","5475","1877.5","597","175.5","174","1991","248","328","1481","4918.5","44","66","368","13773","206","59.5","2858","6345","250","139","3594","281","272","165"
"Unknown34","784","602","1847","4252","3112.5","952","1337.5","313","299","2699","275","307","1374.5","1495","122","676","777","17497.5","331","798","2169.5","7655","272","956.5","4763","310","309.5","242"
"Unknown42","209","257","4369.5","1623.5","7421.5","491","325","675","124","779","168","218.5","1520.5","2773","68","102.5","1359","18837.5","122","114","1748","8632.5","239","178.5","1493","199.5","189.5","179"
"Unknown3","4503","931.5","2613.5","1755.5","5049","796.5","1166","731","1596","957","1483","2520","796","5647","3560","3898.5","854.5","11524","6184","3789.5","2263","3635","673","4714","2770.5","426","1130","670"
"Unknown11","114","205","754","343","1101","377.5","853","304","99.5","1850","102","132","984.5","653","42","62","95","6770","243","63","650","1712.5","118","102","904","193","105.5","99"
"Unknown19","144","372.5","1398","697","2516","709.5","1076","75","77","2203","71","112","309","358","44","105","58","5967.5","142.5","109","269","1092.5","89.5","137","2483","94","90.5","202"
"Unknown27","1992.5","327","1011","414.5","6053.5","266","488.5","123","508","903","2074","1795.5","297","1617","5239","2446","465","11289","1517","1474.5","2381","1963","249","1407.5","2009","203","196","1596"
"Unknown35","156","168.5","1130.5","762","2432.5","371.5","604","135","106","1432","131.5","147","636","2494.5","46.5","104","267","3960","90","128","1817","438","132","150","2233","128","142","124"
"Unknown43","239.5","371.5","3098","3241","5547.5","1778","454","153","147.5","1141","202","217","1444.5","3928.5","54","78.5","376.5","15825","665.5","85","1112","2533.5","231.5","218.5","6686.5","251","207.5","169.5"
"Unknown4","325.5","478.5","6118","3261","5651.5","3115.5","1294.5","402","160.5","2422","217","272","1500","1280","68","126","401","17099.5","1017","74","2574","4976","228","146","2058.5","253","231","228"
"Unknown12","1908","1129","3029","1675","6486","726","799","650","626","1623","620","1001","909","1978","867.5","1408.5","618","4633","11756.5","1472.5","2363","1497","431","1661","2533","420.5","478","583"
"Unknown20","186.5","311.5","2365","905","2099","2390","762","343","225","1349","238","307.5","1026.5","1793.5","126","196","302","6170.5","222","184","782.5","2500.5","328.5","333","4206","605","231","293"
"Unknown28","985","430.5","1114","3351.5","6399","510.5","396","209","311","521","213","231","1059.5","2633","164","958","196.5","16488","171","1222","1305.5","4983","203","1414","1600","237","201","227"
"Unknown36","1598","384","6225","846","6600","2490.5","204","443","569","526","478.5","1111","1070","2560.5","1507","1524","216.5","5180.5","895","1352.5","1147","2993.5","281","2655.5","1227","208","292.5","440"
"Unknown5","147","183","1280.5","855","1085","649","695","91.5","75.5","760","103","118.5","1116","1830","41.5","60","96","12405","94","65","1001.5","1902","111","90.5","199","125","112.5","163"
"Unknown13","123","186","606","727.5","2046","292","376.5","1959","120","484.5","140","184","144","1550.5","36","55","3096","7533.5","170.5","52","2482.5","2855","114","80","4047.5","168.5","165.5","129"
"Unknown21","100","210.5","883.5","962","3034","519.5","1169","153","84","2394","101","106.5","279","921.5","36.5","45.5","296","8717","77","43","3132","3404.5","103","72","576","121","100.5","143.5"
"Unknown29","98","193","872","861","2658","298","911","161","109.5","878","137","138","475","1310","39.5","57","399","14784","118.5","59.5","1347","2300.5","144","101.5","3148.5","179","132.5","116"
"Unknown37","206","282","5028","1099","6705","1008","992.5","121","113","2064.5","137","156","575","1221","49","125","140.5","15296","138","183","839","5804","158","282","1457","158","166.5","160"
"Unknown6","162.5","223","419","1296","1416","726.5","969","1106","82.5","2247","106","134","534","1449","49","47.5","475","10404","274","52","1309.5","1392","101","115.5","755.5","109","110","101.5"
"Unknown14","5944","1046","9702","5175","8640.5","1580","331","378","1816","515","1164","1857.5","976.5","1889","2371","5710","935","10647","2776","7066.5","3599","2151","655","6624","3154","492","995","983"
"Unknown22","14414","1706","831","538","2629","680","1093","904","7967","1755","6454","9805","204.5","435","13341","14956","542","7209.5","13810","16124","388","1742","2820","14124","188","1135","5248","1473.5"
"SP","6626","233","2246","642","3929","502","1020","128","2095","1474.5","1135","1903.5","343.5","1467","3055","7407","201.5","8655","409","8683.5","491","3112","490","7796","1209","238","915","756"
"Unknown38","10465","1216","4793","434.5","13724","725","1331","360.5","3935.5","2521","2410","4592","1447","1900","7077.5","12449.5","851","2859","12878.5","14278.5","739","1712","895","11755","3086.5","716","1220","3405.5"
"Unknown7","117.5","444","1351.5","1455","1489","3454.5","935","117","126","1535","147","159","458","2527","58","61","821.5","7924","102","70","2082","1589","167.5","128","2051.5","203","145","152"
"Unknown15","362.5","508.5","2130","3979","4018","3256","1993.5","691.5","192","1343.5","254","283","1022","5008","52","71.5","641","16886","139.5","93","2582","6544","252","172","2837","288","267","200.5"
"Unknown23","6187.5","841.5","7935","1864","10179","5482.5","351","2553","1851","472","1582","2762","1396.5","1655.5","4153.5","5190","550","16979","7257.5","5016.5","2042","5442","715.5","4922","3726","479","803","1870.5"
"FD","14657.5","402","799.5","460.5","1919.5","432","914","144","7523","1750","5571.5","8368","273.5","1745","12854","17343.5","613.5","13151","319","17042.5","1965.5","3527.5","2729","15384","2956.5","1073.5","4792","3439"
"Unknown39","92","130","980","407.5","2408","581.5","876","438","84","1895","107","155","648","2961","37","49","184.5","4643","640","52","1981","3156","107","76.5","4008","129","110","86"
"Unknown8","199.5","226","1107","1778","3932","360.5","230","88","103.5","429.5","143","299","1223","6107","33","64","371","2700.5","178.5","77","2406","948","152","145","3706","160","138.5","108"
"Unknown16","159","354.5","1343","1294","3200","476","1082","89","97","1904","139","150","1143","2025","35","48.5","257","8736","94.5","45","1676","8238.5","133.5","71","1752","153","132.5","131"
"Unknown24","5140.5","973","1958.5","1589","6055","681.5","692","2733","2696","1692.5","1926","4004.5","1293","1524","2699","5041","377","15243.5","8535","4762","1391.5","2640","692","5258.5","555","470","2105","906"
"LG","19919","376","2226.5","539","5633","370","475.5","229","13058.5","710","11143","13939.5","787.5","2158","19161","21322","224","10834","153","21174","1272.5","1492","5238","18853","1927","2317.5","9128","2513"
"Unknown40","1754","475","4262","2678","5145.5","1555","666","160","567.5","684","226","256","1800.5","8088","369.5","1809","645","19808","128","2308","1247","4757","272.5","2471","3253","309","259.5","352.5"

"DataType:","Mean"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","19.71","22.93","27.36","23.02","25.1","22.24","22.16","30.8","24.53","30.69","25.4","31.13","27.65","21.56","19.9","30.54","20.08","21.07","22.56","30.42","26.13","28.45","21.79","55.24","33.56","26.13","21.04","39.87","1817"
"2(1,A2)","S","13307.87","1968.67","6763.01","6302.27","13364.28","3693.07","1871.81","1294.29","6102.59","3314.69","4776.5","8589.4","1948.8","4903.53","10959.29","13667.69","1354.18","17557.35","13486.79","13289.07","4086.56","5850.41","1914.66","12201.38","6329.74","1104.1","2693.81","2865.32","1772"
"3(1,A3)","S","9478","1294.67","4001.99","3627.71","9267.51","2114.55","1355.42","757.81","3643.18","2447.18","3065.8","5995.44","1117.65","2743.74","7545.73","9292.46","835.91","13257.69","13035.65","9185.58","2426.61","3359.7","1328.18","8766.73","3578.39","719.71","1608.14","1775.94","1797"
"4(1,A4)","S","6977.97","863.04","2434.86","2659.29","6988.3","1529.64","1088.06","483.97","2484.58","1967.36","2108.54","4829.57","669.56","1755.2","5472.78","7716.71","536.62","11436.8","11264","7230.35","1894.93","2479.54","949.05","6975.01","2403.31","502.93","1110.95","1255.74","1800"
"5(1,A5)","S","3734.96","418.79","1184.7","1138.26","3552.29","719.04","651.76","216.93","1277.13","1237.6","1048.27","2281.02","338.71","821.14","2443.68","3557.88","292.83","6405.31","5602.91","3163.32","902.86","1159.91","408.76","3527.62","1068.11","277","514.97","641.12","1766"
"6(1,A6)","S","2416.39","250.69","771.08","793.42","2339.62","489.36","459.03","155.78","839.85","915.16","642.66","1563.21","206.8","525.58","1585.18","2330.66","179.03","4392.17","4109.84","2078.29","590.98","810.36","255.4","2519.19","667.19","179.82","340.85","418.7","1794"
"7(1,A7)","S","1201.42","136.22","397.32","375.09","1252.09","262.88","254.13","85.83","397.57","496.28","331.32","708.5","117.13","270.02","797.97","1198.53","115","2234.77","1841.58","1127.15","356.75","397.76","129.43","1358.93","339.69","100.12","176.49","215.18","1957"
"8(1,A8)","S","641.69","78.65","208.54","194.36","675.43","136.78","148.92","59.15","234.08","272.05","161.14","359.97","73.8","145.86","415.41","643.74","64.03","1207.66","931.01","550","188.29","215.65","76.25","771.51","189.33","61.36","94.78","126.25","1848"
"9(1,A9)","S","355.96","54.73","120.59","112.88","373.85","85.28","87.7","51.64","122.69","154.22","97.15","186.26","49.11","78.11","227.41","352.29","44.37","631.36","523.49","303.38","116.6","125.09","57.67","421.45","108.35","45.79","57.03","84.66","1766"
"10(1,A10)","S","211.8","38.34","75.81","70.24","201.74","56.03","56.24","42.37","79.65","101.58","61.75","117.96","40.65","50.19","128.02","206.15","32.38","352.89","282.64","175.9","70.31","80.87","38.63","252.22","73.42","35.41","41.24","63.39","1717"
"11(1,A11)","S","116.31","35.89","56.15","51.9","126.12","44.93","42.83","38.57","61.2","71.18","48.44","83.7","35.22","42.48","83.25","124.77","31.21","203.32","171.55","113.58","53.7","61.82","35.59","165.06","57.47","35.15","34.44","58.42","1821"
"12(1,A12)","S","45.82","25.34","35.62","26.59","50.62","25.94","27.75","32.52","30.28","41.15","28.75","41.16","27.61","25.32","37.35","54.71","21.98","72.87","60.24","50.44","30.5","35.45","22.17","73.79","34.34","26.29","25.84","38.61","1805"
"13(1,B1)","Unknown2","4724.45","482.07","1293.52","678.54","6266.89","382.16","499.22","150.72","1708.36","672.6","1279.39","2841.38","835.42","1952.02","2457.91","3920.39","386.76","7335.12","1913.8","3239.96","1339.03","1521.56","697.75","3959.17","4259.61","292.45","1004.37","531.72","1853"
"14(1,B2)","Unknown10","207.34","795.88","1502.16","2078","4325.33","813.08","485.24","177.77","130.41","731.9","165.34","172.89","644.99","2699.73","42.61","70.15","170.9","14177.03","168.89","141.07","1112.19","1549.75","160.58","250.3","4268.46","188.62","174.64","152.49","1694"
"15(1,B3)","Unknown18","4115.07","1009.2","1643.55","896.22","5627.2","1080.68","965.19","409.05","1862.31","1710.64","1613","2862.03","722.96","2245.9","2928.31","4849.93","532.12","7759.35","8190.74","3867.75","1195.96","4909.03","815.83","3831.84","3609.69","670.82","1110.76","901.19","1789"
"16(1,B4)","Unknown26","406.91","569.9","2117.62","3850.52","5336.21","1892.84","605.99","196.6","216.43","2041.95","268.24","345.49","1486.63","4964.71","91.64","73.38","398.58","13777.81","382.61","67.85","3066.89","6390.2","271.57","147.88","3652.34","284.24","279.86","229.65","1890"
"17(1,B5)","Unknown34","760.24","641.94","1797.55","4180.59","3211.2","969.5","1343.27","331.18","311.2","2727.17","309.36","323.75","1376.97","1565.2","146.34","677.07","786.98","17893","328.58","795.14","1987.28","7556.59","279.96","969.96","4805","310.14","316.04","249.15","1739"
"18(1,B6)","Unknown42","206.52","267.22","4884.95","1675.19","7427.39","520.39","330.9","686.71","127.56","794.97","477.63","257.09","1555.78","2918.36","72.98","114.63","1339.17","18446.65","125.6","160.07","2782.67","8480.19","276.29","196.49","1486.3","201.22","191.42","192.05","1818"
"25(1,C1)","Unknown3","4515.17","997","2659.14","1905.09","5043.78","803.17","1187.07","712.4","1693.45","969.49","1494.43","2554.44","809.48","5583.27","3624.42","4028.75","880.65","11162.96","6254.84","3695.88","2026.05","3724.61","692.41","4561","2871.82","454.23","1132.7","689.73","1779"
"26(1,C2)","Unknown11","122.76","213.59","749.22","352.2","1112.61","398.3","839.83","299.26","109.45","1835.01","110.44","136.01","982.73","730.32","66.42","63.75","97.67","6566.55","263.01","67.94","738.96","1699.17","119.04","113.05","911.66","180.32","123.55","100.02","1841"
"27(1,C3)","Unknown19","143.04","379.38","1405.97","711","2589.7","710.05","1033.97","81.17","81.39","2191.75","77.75","114.76","319.75","365.79","51.04","107.39","61.54","6046.98","144.37","110.59","255.15","1092.23","93.9","146.05","2513.42","99.81","95.69","214.09","1837"
"28(1,C4)","Unknown27","2242.71","338.05","1045.2","467.42","6102.1","274.09","488.43","127.03","516.99","913.8","2012.63","1845.95","300.74","1584.65","5051.55","2440.18","449.46","11084.32","1535.6","1519.02","3897.23","2024.18","259.79","1426.75","2078.3","210.46","213.83","1610.65","1830"
"29(1,C5)","Unknown35","179.65","189.02","1137.45","808.26","2422.7","365.19","601.82","134.35","126.77","1436.7","139.3","155.34","630.61","2546.61","108.02","107.15","272.13","3779.72","92.96","130.25","1922.2","450.24","133.58","153.49","2243.18","140.14","144.77","169.1","1711"
"30(1,C6)","Unknown43","239.14","378.27","3198.69","3438.87","5594.94","1795","459.65","160.44","161.24","1118.66","224.69","219.13","1433.77","3849.99","64.74","83.85","371.94","15828.71","666.49","86.81","986.95","2541.07","241.27","229.63","6584.55","252.37","208.02","185.63","1819"
"37(1,D1)","Unknown4","294.11","474.3","6060.11","3452","5771.12","3202.87","1302.59","404.18","168.88","2430.31","243.33","284","1483.53","1318.75","69.84","135.77","394.95","16130.89","1051","76.12","2460.92","4866.36","269.69","150","2114.6","275.96","238.54","417.25","1689"
"38(1,D2)","Unknown12","1901.81","1221.15","3054.17","1718.11","6327.69","754.8","826.06","592.94","638.41","1661.06","638.3","1056.05","924.32","1991.61","862.64","1397.27","617.51","4417.11","11427.91","1483.55","2931.34","1517.99","467.02","1646.73","2513.23","425.06","494.68","668.11","1924"
"39(1,D3)","Unknown20","194.54","320.07","2403.04","928.65","2192.62","2324.28","897.02","352.6","275.25","1357.89","246.41","322.58","1030.47","1890.61","136.53","209.31","303.26","6144.64","225.41","204.62","781.29","2454.04","341.47","353.7","4189.99","570.27","232.07","305.83","1684"
"40(1,D4)","Unknown28","980.67","416.12","1114.53","3566.59","6316.9","536.48","421.97","214.01","317.01","518.31","237.73","237.52","1067.74","2677.63","172.47","966.89","207.15","15686.83","175.25","1223.69","1208.05","5064.29","204.69","1421.62","1595.36","236.86","214.59","229.57","1782"
"41(1,D5)","Unknown36","1705.57","388.06","6199.81","866.55","6407.78","2546.68","215.52","436.27","582.51","536.58","492.3","1098.8","1070.29","2633","1515.78","1527.89","218.42","4918.61","925.8","1357.06","1223","3044.49","309.78","2763.67","1302.2","208.04","308.15","475.07","1835"
"49(1,E1)","Unknown5","149.06","207.76","1315.22","852.04","1073.9","661.53","674.64","96.21","90.52","760.78","109.91","138.74","1124.4","1813.61","43.03","57.73","99.62","12271.59","100.31","82.8","901.12","1889.88","113.46","96.73","209.47","128.67","116.52","162.88","1547"
"50(1,E2)","Unknown13","120.72","193.94","603.19","736.2","2039.54","304.37","377.06","1907.81","146.07","486.69","153.03","190.49","148.88","1537.23","110.42","58.98","3101.42","7232.15","171.55","54.16","2699.06","2815.6","123.44","163.42","4052.61","195.59","169.39","131.22","1637"
"51(1,E3)","Unknown21","101.31","211.86","871.32","965.71","3079.67","520.88","1152.82","180.95","91.07","2321.37","112.79","107.88","278.3","926.12","42.1","44.95","299.64","8658.06","80.32","42.33","2668.85","3411.79","106.27","79.23","583.76","140.84","115.28","136.96","1560"
"52(1,E4)","Unknown29","105.23","198.44","894.53","892.28","2567.02","304.02","933.15","160.35","117.82","833.61","145.02","149.46","485.21","1317.24","39.28","63.06","402.27","14305.63","126.24","72.25","1206.17","2285.1","147.18","104.79","3280.06","195.22","134.03","151.62","1429"
"53(1,E5)","Unknown37","212.07","301.53","4927.75","1132.32","6533.21","1035.4","994.63","129.5","120.9","2067.37","138.38","162.12","573.98","1249.1","51.59","130.66","145.48","15049.67","153.06","186.65","759.55","5578.14","156.57","291.31","1503.18","162.67","170.17","161.25","1756"
"61(1,F1)","Unknown6","161.41","228.93","505.36","1286.37","1461.83","724.38","1001.95","1036.73","87.76","2188.51","119.17","143.5","540.27","1476.12","48.84","50.64","472.36","10766.68","274.45","51.49","1178.04","1398.32","104.65","120.23","777.65","113.29","139.76","100.19","1604"
"62(1,F2)","Unknown14","6101.45","1048.12","9733.58","5162","8718.7","1623","340.33","393.2","1869.36","531.72","1334.17","1901.1","989.74","1896.09","2415.49","5837.77","904.4","10512.72","2885.61","6984.48","3175.6","2186.03","685.7","6593.15","3283.3","528.95","969.22","978.23","1913"
"63(1,F3)","Unknown22","14757.29","1750.9","859.81","551.4","2886.56","731.6","1107.3","938.7","7762.44","1775.67","6383.49","8977.29","604.88","774","12996.6","14565.37","568.02","7480.04","13293.71","15450.51","786.21","1859.3","3038.7","13886.34","213.3","1219.29","5169.04","1583.87","1457"
"64(1,F4)","SP","6815.88","364.43","2154.45","701.65","3769.2","625.66","990.67","129.56","2168.32","1490.27","1133.13","1975.9","345.18","1442.1","3320.15","7400.33","204","8438.75","412.43","8225.57","528.69","3056.19","484.81","7877.28","1201.63","242.35","890.86","785.94","1730"
"65(1,F5)","Unknown38","10958.64","1268.56","4829.24","438.12","13088.97","721.87","1340.02","544.92","3928.77","2572.63","2454.76","4424.42","1430.08","2090.03","7247.78","12286.4","851.63","2862.35","13106.96","14276.68","984.63","1737.79","905.98","11663.77","3253.23","708.07","1218.71","3419.81","1622"
"73(1,G1)","Unknown7","140","444.09","1398.66","1506.27","1488.64","3592.74","894.89","125.8","153.02","1539.85","164.92","179.45","461.16","2539.39","60.05","66.47","829.2","7944.46","297.9","74.34","2055.58","1639.19","184.73","138.57","2112.77","206.07","171.77","241.18","1678"
"74(1,G2)","Unknown15","368.35","538.48","2154.52","3787.15","3988.05","3491.41","2036.37","708.97","202.39","1358.05","269.2","296.65","1029.1","5007.97","66.17","94.27","636.63","16903.81","144.23","100.55","2376.86","6492","258.89","182.67","2889.34","302.67","271.1","213.68","1674"
