"STATION","STATION_NAME","STATE","LONGITUDE","LATITUDE","ELEVATION","YRS","maxobs","yr50","HUC","TD","FFP","MCMT","MWMT","PPTWT","RH","MAT"
"USC00423418","GREEN RIVER AVIATION","UT",-110.152,38.995,1241,32,1.245,1.532,"14060008",30.3999996185303,162,-4.30000019073486,26.2000007629395,27,45,11.5
"USC00484065","GREEN RIVER","WY",-109.47,41.531,1857,33,1.915,1.293,"14040103",27.2999992370605,102,-7.09999990463257,20.2000007629395,26,46,6.09999990463257
"USC00423486","GROUSE CREEK","UT",-113.883,41.714,1622,38,2.059,2.298,"16020308",25.7999992370605,107,-4.80000019073486,21,74,48,7.30000019073486
"USC00423506","GUNLOCK PH","UT",-113.728,37.283,1253,22,1.005,1.436,"15010008",23.2999992370605,201,3.09999990463257,26.3999996185303,97,56,14.1999998092651
"USS0013M06S","GUTZ PEAK","UT",-113.94,37.5,2061,13,5.41,8.044,"15010010",22.3999996185303,150,-1.39999997615814,20.8999996185303,240,59,8.80000019073486
"USS0010G24S","HAMS FORK","WY",-110.68,42.15,2390,31,4.692,4.932,"14040107",22.8999996185303,57,-7.90000009536743,15,144,51,2.40000009536743
"USW00023170","HANKSVILLE","UT",-110.715,38.371,1313,32,1.245,1.341,"14070003",29.6000003814697,170,-2.90000009536743,26.7000007629395,23,47,12.1000003814697
"USC00423624","HANNA","UT",-110.767,40.4,2056,15,4.596,4.261,"14060003",25.5,84,-7.40000009536743,18.1000003814697,96,47,5
"USC00423600","HANS FLAT RANGER STATION","UT",-110.18,38.25,2012,36,1.58,1.341,"14070004",27.1000003814697,179,-2.59999990463257,24.5,44,62,10.6000003814697
"USS0011J37S","HARDSCRABBLE","UT",-111.72,40.87,2210,24,8.044,8.283,"16020102",23.2000007629395,109,-5.30000019073486,17.7999992370605,321,58,5.30000019073486
"USC00423671","HARDWARE RANCH","UT",-111.567,41.6,1695,17,2.155,3.16,"16010203",25.6000003814697,81,-7.09999990463257,18.5,133,46,5.30000019073486
"USS0012M05S","HARRIS FLAT","UT",-112.58,37.49,2377,38,6.081,6.847,"16030001",21.7000007629395,91,-4.80000019073486,16.8999996185303,146,51,5.30000019073486
"USC00423776","HATCH","UT",-112.433,37.65,2103,22,2.969,2.346,"16030001",22.6000003814697,87,-4.19999980926514,18.3999996185303,71,45,6.59999990463257
"USS0010J44S","HAYDEN FORK","UT",-110.88,40.8,2808,39,7.709,7.23,"16010101",21.7000007629395,35,-8.69999980926514,13,230,44,1.10000002384186
"USC00423809","HEBER","UT",-111.417,40.5,1716,44,3.016,3.352,"16020203",25.7000007629395,106,-5.5,20.2000007629395,126,46,7.19999980926514
"USC00423836","HELPER CARBON PLANT","UT",-110.866,39.73,1859,22,1.293,1.389,"14060007",26.6000003814697,122,-5.59999990463257,21.1000003814697,72,49,7.5
"USS0010J04S","HEWINTA","UT",-110.48,40.95,2901,32,4.549,4.549,"14040107",22,31,-9.5,12.5,170,43,0.5
"USC00423896","HIAWATHA","UT",-111.017,39.483,2204,14,1.963,2.155,"14060007",25.1000003814697,110,-6,19.1000003814697,89,53,6.09999990463257
"USS0009J08S","HICKERSON PARK","UT",-109.96,40.91,2787,32,3.83,3.399,"14040106",23.2000007629395,39,-9.60000038146973,13.6000003814697,99,44,1.10000002384186
"USC00423980","HITE RANGER STATION","UT",-110.384,37.875,1219,17,0.479,0.67,"14070001",27.7000007629395,198,0,27.7999992370605,44,57,14
"USS0015J15S","HOLE IN MOUNTAIN","NV",-115.1,40.94,2408,35,19.583,15.8,"16060007",21.7000007629395,85,-5.30000019073486,16.3999996185303,281,56,4.40000009536743
"USS0010J01S","HOLE IN ROCK","UT",-110.19,40.92,2789,32,2.969,3.016,"14040106",22.7999992370605,35,-9.60000038146973,13.1999998092651,103,45,0.699999988079071
"USS0011H21S","HORSE RIDGE","UT",-111.45,41.31,2487,39,10.007,10.773,"16020102",23,86,-6.69999980926514,16.2999992370605,335,57,3.79999995231628
"USC00424100","HOVENWEEP NATIONAL MONUMENT","UT",-109.077,37.386,1597,39,1.245,1.149,"14080202",27.6000003814697,154,-2.70000004768372,24.7999992370605,73,47,11
"USS0013G01S","HOWELL CANYON","ID",-113.62,42.32,2432,37,12.209,13.263,"17040209",23.1000003814697,79,-7.19999980926514,15.8000001907349,385,62,3.09999990463257
"USC00424135","HUNTSVILLE MONASTERY","UT",-111.715,41.237,1567,30,3.878,4.309,"16020102",26.6000003814697,126,-5.40000009536743,21.2000007629395,185,50,7.59999990463257
"USC00424174","IBAPAH","UT",-113.988,40.038,1609,41,1.341,1.389,"16020306",25.6000003814697,115,-3.40000009536743,22.1000003814697,46,43,8.60000038146973
"USS0010K01S","INDIAN CANYON","UT",-110.75,39.89,2797,39,11.3,7.038,"14060004",24.5,80,-7.30000019073486,17.2000007629395,166,52,4.09999990463257
"USS0010G22S","INDIAN CREEK","WY",-110.68,42.3,2873,36,11.108,12.305,"14040107",23,55,-9.10000038146973,14,290,59,1.10000002384186
"USC00264016","JACKPOT","NV",-114.674,41.986,1612,22,0.814,1.005,"17040213",24.1000003814697,99,-4,20.1000003814697,46,47,7.19999980926514
"USC00424321","JARVIE RANCH","UT",-109.179,40.899,1680,12,0.575,0.766,"14040106",27.6000003814697,129,-5.5,22.1000003814697,31,48,8.10000038146973
"USC00424342","JENSEN","UT",-109.345,40.364,1448,35,1.389,1.819,"14060010",32.9000015258789,135,-9.39999961853027,23.5,39,44,8.19999980926514
"USC00424362","JOHNSON PASS","UT",-112.6,40.333,1716,40,2.729,2.155,"16020305",25.3999996185303,147,-3.5,22,119,58,8.30000019073486
"USC00424467","KAMAS 3 NW","UT",-111.283,40.65,1974,38,2.969,2.681,"16020101",24.2000007629395,80,-5.90000009536743,18.2999992370605,112,45,5.69999980926514
"USC00424508","KANAB","UT",-112.533,37.045,1506,45,1.389,1.053,"15010003",23.7000007629395,155,0.300000011920929,23.8999996185303,104,46,11.6999998092651
"USC00424527","KANOSH","UT",-112.433,38.8,1522,37,1.676,1.772,"16030005",26.7999992370605,145,-2.79999995231628,23.8999996185303,98,48,10.1000003814697
"USS0010G12S","KELLEY RANGER STATION","WY",-110.81,42.27,2493,37,7.661,7.326,"16010102",23.5,56,-8.39999961853027,15.1000003814697,218,54,2.09999990463257
"USC00485105","KEMMERER 2 N","WY",-110.533,41.817,2116,27,2.442,2.681,"14040107",25.2999992370605,67,-8.10000038146973,17.1000003814697,54,46,3.79999995231628
"USS0012L06S","KIMBERLY MINE","UT",-112.39,38.48,2783,37,8.092,6.895,"16030003",21.6000003814697,67,-6.80000019073486,14.8000001907349,257,54,2.90000009536743
"USS0009J01S","KING S CABIN","UT",-109.54,40.72,2659,39,5.123,5.171,"14060010",23.7999992370605,49,-9.69999980926514,14.1999998092651,130,47,1.29999995231628
"USC00424755","KODACHROME BASIN PARK","UT",-111.985,37.517,1770,20,1.819,1.676,"14070007",24.2999992370605,130,-2.29999995231628,22,64,46,9.5
"USS0013M05S","KOLOB","UT",-113.05,37.53,2806,38,13.789,13.598,"15010008",20.2000007629395,81,-5.5,14.6999998092651,258,57,3.5
"USC00424764","KOOSHAREM","UT",-111.884,38.511,2113,37,1.628,1.915,"16030002",23.5,78,-4.80000019073486,18.7000007629395,48,42,6.19999980926514
"USC00485252","LA BARGE","WY",-110.2,42.267,2012,26,1.628,1.676,"14040101",28,55,-10.8999996185303,17.1000003814697,24,39,3
"USC00424947","LA SAL 1 SW","UT",-109.234,38.301,2068,25,1.867,1.484,"14030002",26.3999996185303,139,-5,21.3999996185303,57,53,8
"USC00424968","LA VERKIN","UT",-113.268,37.202,981,31,0.335,0.335,"15010008",24.7999992370605,203,3.59999990463257,28.3999996185303,86,51,15.6000003814697
"USC00264341","LAGES","NV",-114.616,40.057,1817,25,1.676,1.197,"16060008",25,111,-3.5,21.5,41,46,8
"USC00264384","LAKE VALLEY STEWARD","NV",-114.65,38.317,1936,16,2.107,2.538,"16060009",23.6000003814697,131,-2.09999990463257,21.5,95,52,8.60000038146973
"USS0010J25S","LAKEFORK BASIN","UT",-110.62,40.74,3342,26,11.635,10.342,"14060003",20.7000007629395,30,-10.1000003814697,10.6000003814697,262,47,-1.10000002384186
"USS0010J10S","LAKEFORK NUMBER 1","UT",-110.43,40.6,3174,39,6.416,6.703,"14060003",22.1000003814697,32,-10.5,11.6000003814697,166,45,-0.5
"USC00424856","LAKETOWN","UT",-111.321,41.825,1823,44,2.298,2.442,"16010201",26.3999996185303,76,-8.10000038146973,18.2999992370605,72,46,4.69999980926514
"USS0009L03S","LASAL MOUNTAIN","UT",-109.27,38.48,2914,37,6.607,5.985,"14030005",21,86,-6.19999980926514,14.8000001907349,247,58,3.5
"USC00024849","LEES FERRY","AZ",-111.602,36.864,978,16,0.239,0.287,"14070007",27.8999996185303,202,1.20000004768372,29.1000003814697,33,54,15.1000003814697
"USC00425065","LEVAN","UT",-111.867,39.554,1615,30,1.436,1.772,"16030005",26.5,131,-4.09999990463257,22.3999996185303,96,48,8.89999961853027
"USC00105275","LIFTON PUMPING STATION","ID",-111.314,42.123,1806,48,2.538,2.394,"16010201",26.7999992370605,90,-8.19999980926514,18.6000003814697,58,48,4.90000009536743
"USS0011H59S","LIGHTNING RIDGE","UT",-111.49,41.36,2504,13,9.001,10.151,"16020102",23,87,-6.69999980926514,16.2999992370605,297,57,3.79999995231628
"USS0010J35S","LILY LAKE","UT",-110.8,40.86,2791,37,6.895,5.889,"16010101",21.5,34,-8.89999961853027,12.6999998092651,231,46,0.699999988079071
"USS0011H25S","LITTLE BEAR","UT",-111.83,41.41,1995,39,6.368,6.751,"16010203",23.7999992370605,107,-5.40000009536743,18.3999996185303,325,56,5.69999980926514
"USS0013M04S","LITTLE GRASSY","UT",-113.85,37.49,1859,32,5.554,4.213,"16030006",22.8999996185303,155,-0.800000011920929,22.1000003814697,214,57,9.80000019073486
"USC00055048","LITTLE HILLS","CO",-108.2,40,1871,18,1.628,1.867,"14050006",26.2999992370605,108,-6.09999990463257,20.2000007629395,56,46,6.80000019073486
"USC00425138","LITTLE SAHARA DUNES","UT",-112.307,39.729,1596,26,1.58,1.436,"16030005",27.2999992370605,137,-3.90000009536743,23.5,59,49,9.10000038146973
"USS0007M29S","LIZARD HEAD PASS","CO",-107.92,37.8,3109,37,6.607,6.895,"14030002",19.2000007629395,41,-7.40000009536743,11.8000001907349,207,45,1.5
"USC00425148","LOA","UT",-111.65,38.4,2155,26,1.628,1.341,"14070003",23.7000007629395,82,-5.09999990463257,18.6000003814697,29,43,6.19999980926514
"USC00425194","LOGAN 5 SW EXPERIMENTAL FARM","UT",-111.891,41.667,1369,44,1.915,2.202,"16010203",27.7000007629395,142,-5.30000019073486,22.2999992370605,118,53,8.30000019073486
"USC00425182","LOGAN RADIO KVNU","UT",-111.839,41.735,1371,35,2.25,1.867,"16010203",27.6000003814697,142,-5.30000019073486,22.2000007629395,109,53,8.30000019073486
"USC00425186","LOGAN UT STATE UNIVERSITY","UT",-111.803,41.75,1460,44,1.628,1.676,"16010203",27.2000007629395,139,-5.30000019073486,21.8999996185303,114,53,8
"USS0008M07S","LONE CONE","CO",-108.2,37.89,2926,37,7.23,6.943,"14030003",20.1000003814697,50,-7.40000009536743,12.6999998092651,241,47,2
"USS0013M02S","LONG FLAT","UT",-113.4,37.51,2438,36,6.033,5.554,"16030006",20.8999996185303,104,-3.5,17.3999996185303,150,55,5.90000009536743
"USS0012M06S","LONG VALLEY JCT","UT",-112.51,37.49,2275,31,6.081,4.932,"16030001",21.7999992370605,93,-4.30000019073486,17.6000003814697,145,49,6
"USS0011J64S","LOOKOUT PEAK","UT",-111.71,40.84,2499,29,13.789,12.353,"16020204",23,108,-5.30000019073486,17.7000007629395,348,58,5.30000019073486
"USS0011J69S","LOUIS MEADOW","UT",-111.76,40.83,2042,18,7.804,7.948,"16020204",23.7999992370605,118,-4.90000009536743,18.8999996185303,244,56,6.19999980926514
"USC00025129","LUKACHUKAI","AZ",-109.229,36.418,1987,12,1.005,1.532,"14080204",24.7000007629395,149,-2.40000009536743,22.2999992370605,49,52,9.80000019073486
"USC00264745","LUND","NV",-115.009,38.862,1695,33,0.958,0.862,"15010011",23.6000003814697,120,-2,21.5,59,45,9.10000038146973
"USC00425268","MAESER 9 NW","UT",-109.664,40.56,1963,25,2.873,2.777,"14060010",27.5,123,-7.30000019073486,20.2999992370605,58,50,6.40000009536743
"610","MAGIC MOUNTAIN","ID",-114.287,42.181,2097,37,9.097,8.235,"17040212",23.5,99,-5.80000019073486,17.7000007629395,284,60,4.90000009536743
"USW00024151","MALAD CITY","ID",-112.283,42.167,1363,27,1.772,2.442,"16010204",27.5,129,-5.69999980926514,21.7999992370605,88,51,7.90000009536743
"USC00105563","MALTA 4 ESE","ID",-113.304,42.3,1399,24,1.293,1.245,"17040210",25,118,-3.70000004768372,21.2000007629395,50,50,8.30000019073486
"USC00105567","MALTA","ID",-113.334,42.301,1384,14,1.341,1.724,"17040210",24.7999992370605,117,-3.59999990463257,21.2000007629395,48,49,8.30000019073486
"USS0011K03S","MAMMOTH COTTONWOOD","UT",-111.32,39.68,2660,38,9.097,9.911,"16030004",22.6000003814697,64,-7.40000009536743,15.1999998092651,203,51,3.09999990463257
"USC00055327","MANCOS 1 SW","CO",-108.316,37.335,2102,29,1.484,1.724,"14080107",24.1000003814697,118,-4.09999990463257,19.8999996185303,100,47,7.90000009536743
"US1COMZ0013","MANCOS 38 WNW","CO",-108.352,37.376,2149,12,2.202,2.586,"14080107",24.1000003814697,118,-4.19999980926514,19.8999996185303,99,47,7.90000009536743
"USS0008M02S","MANCOS","CO",-108.17,37.43,3048,23,6.99,7.469,"14080107",20.3999996185303,69,-6.59999990463257,13.8000001907349,236,51,3.09999990463257
"USC00425377","MANILA","UT",-109.726,40.99,1964,24,1.245,1.149,"14040106",25.7000007629395,112,-5.69999980926514,20,25,49,6.59999990463257
"USC00425402","MANTI","UT",-111.631,39.258,1750,46,1.389,1.341,"16030004",25.2999992370605,120,-4.59999990463257,20.7000007629395,87,48,7.80000019073486
"USC00425477","MARYSVALE","UT",-112.229,38.45,1801,33,2.059,1.101,"16030003",24.7999992370605,115,-3.09999990463257,21.7000007629395,42,43,8.69999980926514
"USC00055422","MASSADONA 3 E","CO",-108.602,40.284,1885,22,1.915,2.442,"14050007",28.2000007629395,130,-6.59999990463257,21.6000003814697,55,50,7.40000009536743
"USC00055446","MAYBELL","CO",-108.095,40.516,1801,38,2.059,2.059,"14050002",27.3999996185303,87,-7.90000009536743,19.5,64,41,5.90000009536743
"USC00264950","MCGILL","NV",-114.774,39.401,1920,38,1.293,1.197,"16060008",24.2999992370605,112,-3.09999990463257,21.1000003814697,36,46,8.10000038146973
"USC00055484","MEEKER","CO",-107.906,40.036,1899,24,2.107,1.915,"14050005",NA,NA,NA,NA,NA,NA,NA
"USC00055487","MEEKER NUMBER 2","CO",-107.917,40.033,1935,20,2.155,2.011,"14050005",25.7000007629395,96,-6.30000019073486,19.3999996185303,63,43,6.40000009536743
"USS0012L12S","MERCHANT VALLEY","UT",-112.44,38.3,2653,37,6.224,6.129,"16030007",21.3999996185303,66,-6,15.3999996185303,215,49,3.70000004768372
"USS0008K04S","MESA LAKES","CO",-108.06,39.06,3048,31,8.283,8.187,"14010005",21.7000007629395,60,-8.30000019073486,13.3999996185303,232,52,1.39999997615814
"USC00055531","MESA VERDE NATIONAL PARK","CO",-108.489,37.2,2177,47,2.729,3.256,"14080107",24.2999992370605,150,-2.70000004768372,21.6000003814697,116,54,9.19999980926514
"USC00265092","METROPOLIS","NV",-115.017,41.283,1768,19,2.969,2.921,"16040101",24.7999992370605,100,-4.59999990463257,20.2999992370605,86,48,7.09999990463257
"USC00425582","MEXICAN HAT","UT",-109.868,37.15,1258,25,0.527,0.431,"14080205",28.7000007629395,181,-0.899999976158142,27.7999992370605,38,51,13.5
"USS0012M23S","MIDWAY VALLEY","UT",-112.84,37.57,2987,37,17.524,13.885,"16030001",20.1000003814697,70,-6.90000009536743,13.1999998092651,244,58,2.20000004768372
"USC00425654","MILFORD","UT",-113.017,38.4,1532,39,1.436,1.676,"16030007",27.1000003814697,136,-3.29999995231628,23.7000007629395,49,45,9.80000019073486
"USS0011J65S","MILL D NORTH","UT",-111.64,40.66,2733,29,11.012,11.395,"16020204",22.5,88,-6.5,16,360,60,3.5
"USC00105980","MINIDOKA DAM","ID",-113.5,42.677,1269,27,1.676,1.436,"17040209",25.7999992370605,130,-4,21.7999992370605,68,52,8.5
"USS0012J07S","MINING FORK","UT",-112.61,40.49,2506,29,9.097,9.193,"16020304",23.2999992370605,129,-4.90000009536743,18.3999996185303,209,64,5.69999980926514
"USC00425733","MOAB","UT",-109.546,38.574,1234,35,0.527,0.814,"14030005",29.6000003814697,178,-2.59999990463257,27,42,50,12.5
"USW00023177","MODENA","UT",-113.926,37.8,1664,23,1.436,1.245,"16030006",24.6000003814697,128,-2,22.7000007629395,60,46,9.69999980926514
"USS0011H57S","MONTE CRISTO","UT",-111.5,41.47,2731,39,12.353,13.502,"16010203",22.8999996185303,78,-7.69999980926514,15.1999998092651,317,60,2.70000004768372
"USC00265352","MONTELLO 2 SE","NV",-114.174,41.25,1490,25,1.436,1.676,"16020307",27.1000003814697,114,-4.59999990463257,22.5,46,45,8.30000019073486
"USC00425805","MONTICELLO 2 E","UT",-109.307,37.87,2079,41,4.405,3.926,"14080203",25.6000003814697,130,-4.80000019073486,20.7000007629395,98,52,7.80000019073486
"USC00106053","MONTPELIER R S","ID",-111.3,42.317,1817,22,2.25,3.016,"16010201",26.6000003814697,86,-8.39999961853027,18.2999992370605,91,48,4.59999990463257
"US1COMT0009","MONTROSE 40 NW","CO",-107.922,38.525,1746,13,0.91,0.814,"14020006",26.7999992370605,148,-4.30000019073486,22.5,39,49,9.30000019073486
"USC00025665","MONUMENT VALLEY","AZ",-110.114,36.983,1696,12,0.575,0.862,"14080205",27.7000007629395,183,-1.70000004768372,26,23,57,12.3000001907349
"USC00425812","MONUMENT VLY MISSION","UT",-110.217,37.017,1615,15,0.527,0.766,"14080205",27.7999992370605,186,-1.39999997615814,26.3999996185303,34,58,12.6000003814697
"USC00425826","MORGAN POWER AND LIGHT","UT",-111.683,41.043,1551,33,1.963,1.915,"16020102",26.2999992370605,134,-4.5,21.7999992370605,143,51,8.19999980926514
"USC00425837","MORONI","UT",-111.585,39.53,1695,24,1.389,1.58,"16030004",26.2000007629395,112,-5,21.2000007629395,66,45,8
"USS0009J05S","MOSBY MTN","UT",-109.89,40.61,2899,37,7.565,7.374,"14060010",22.7000007629395,45,-9.60000038146973,13.1000003814697,154,47,0.699999988079071
"USC00425892","MOUNTAIN DELL DAM","UT",-111.722,40.75,1652,39,2.777,2.921,"16020204",24.7999992370605,130,-4.30000019073486,20.5,168,55,7.40000009536743
"USC00486555","MOUNTAIN VIEW","WY",-110.339,41.267,2073,41,1.676,1.58,"14040107",24.6000003814697,89,-6.5,18.1000003814697,34,50,5.09999990463257
"USC00425969","MYTON","UT",-110.062,40.195,1549,21,1.389,1.293,"14060003",32,132,-9.30000019073486,22.7000007629395,25,45,7.69999980926514
"USC00426053","NATURAL BRIDGES NM","UT",-109.977,37.609,1982,39,1.772,1.819,"14070001",25.6000003814697,152,-2.90000009536743,22.7000007629395,62,53,9.80000019073486
"USC00426123","NEOLA","UT",-110.05,40.417,1814,35,2.059,2.107,"14060003",29.7000007629395,127,-8.39999961853027,21.2000007629395,38,49,7
"USC00426135","NEPHI","UT",-111.833,39.708,1564,41,1.628,1.532,"16020201",26.7000007629395,138,-3.59999990463257,23.1000003814697,96,48,9.39999961853027
"USC00426181","NEW HARMONY","UT",-113.3,37.483,1605,36,2.298,2.346,"15010008",23.3999996185303,157,-0.200000002980232,23.2000007629395,126,52,10.8000001907349
"USC00055970","NORTHDALE","CO",-109.033,37.817,2036,24,1.772,1.867,"14080203",26,114,-5.40000009536743,20.6000003814697,57,47,7.5
"USC00056012","NORWOOD","CO",-108.285,38.133,2140,19,0.958,1.341,"14030003",24.7000007629395,114,-5.30000019073486,19.3999996185303,70,47,7
"USC00426340","NUTTERS RANCH","UT",-110.25,39.8,1765,13,1.628,2.394,"14060005",27.6000003814697,133,-6,21.6000003814697,43,53,7.69999980926514
"USC00426357","OAK CITY","UT",-112.334,39.379,1549,34,1.532,1.389,"16030005",27.5,146,-3.40000009536743,24.1000003814697,71,49,9.89999961853027
"USC00106542","OAKLEY","ID",-113.892,42.234,1390,38,1.005,0.91,"17040211",24.3999996185303,127,-3.20000004768372,21.2000007629395,58,52,8.39999961853027
"USC00265722","OASIS","NV",-114.472,41.033,1777,17,2.107,1.676,"16060008",25.1000003814697,98,-4.69999980926514,20.5,52,46,7.09999990463257
"USC00426404","OGDEN PIONEER P H","UT",-111.947,41.244,1326,32,1.676,1.915,"16020102",27.7999992370605,162,-3.79999995231628,24,137,56,9.80000019073486
"USC00426414","OGDEN SUGAR FACTORY","UT",-112.031,41.233,1305,18,1.005,0.958,"16020102",27.8999996185303,166,-3.40000009536743,24.3999996185303,117,56,10.1000003814697
"USC00426455","OLMSTEAD P H","UT",-111.654,40.317,1469,21,1.772,1.963,"16020203",26.2999992370605,156,-3.40000009536743,22.8999996185303,142,56,9.39999961853027
"USC00426534","ORDERVILLE","UT",-112.633,37.268,1664,25,2.298,1.963,"15010008",23,143,-0.699999988079071,22.2999992370605,114,48,10.1999998092651
"USC00426538","OREM TREATMENT PLANT","UT",-111.737,40.278,1375,26,1.341,1.436,"16020201",26.7999992370605,162,-2.70000004768372,24,89,54,10.3999996185303
"USC00426568","OURAY 4 NE","UT",-109.644,40.135,1424,39,1.484,1.389,"14060010",33.7999992370605,140,-10,23.7999992370605,28,44,8.30000019073486
"USS0012G18S","OXFORD SPRING","ID",-112.13,42.26,2054,37,5.315,5.698,"16010204",25.2999992370605,133,-5.5,19.7999992370605,225,63,6.09999990463257
"USC00026180","PAGE","AZ",-111.448,36.921,1301,21,0.575,0.766,"14070006",27.6000003814697,198,0.5,28.1000003814697,34,56,14.1999998092651
"USC00265880","PAHRANAGAT WILDLIFE REFUGE","NV",-115.12,37.269,1036,26,0.239,0.335,"15010011",23.5,182,3.5,27,39,45,14.6000003814697
"USC00056266","PALISADE","CO",-108.35,39.115,1465,33,0.814,0.862,"14010005",28,167,-3.70000004768372,24.2999992370605,54,54,10.5
"USC00426601","PANGUITCH","UT",-112.439,37.817,2026,25,1.436,1.389,"16030001",23.2000007629395,87,-4.19999980926514,19,42,42,6.90000009536743
"USC00056318","PARADOX 1 W","CO",-108.983,38.383,1686,17,1.724,1.484,"14030002",27,149,-3.79999995231628,23.2000007629395,73,49,9.89999961853027
"USC00056320","PARADOX 2 N","CO",-108.949,38.39,1658,12,1.532,1.772,"14030002",26.8999996185303,149,-3.70000004768372,23.2000007629395,70,48,10
"USC00426658","PARK VALLEY","UT",-113.333,41.8,1684,14,1.532,1.58,"16020308",26.7999992370605,133,-4.59999990463257,22.2000007629395,66,54,8
"USS0011J52S","PARLEY S SUMMIT","UT",-111.63,40.76,2286,39,8.427,7.182,"16020204",23.2999992370605,108,-5.19999980926514,18.1000003814697,267,57,5.5
"USC00426686","PAROWAN POWER PLANT","UT",-112.832,37.85,1829,32,1.484,1.436,"16030006",23.7999992370605,137,-2.20000004768372,21.6000003814697,74,50,9.19999980926514
"USS0011J68S","PARRISH CREEK","UT",-111.81,40.93,2359,18,11.012,11.204,"16020102",23.2999992370605,118,-5.19999980926514,18.1000003814697,342,60,5.59999990463257
"USC00426708","PARTOUN","UT",-113.885,39.631,1457,36,0.862,0.814,"16020301",27.1000003814697,137,-3,24.1000003814697,28,45,10
"USC00426726","PAYSON 1 SE","UT",-111.717,40.033,1464,14,1.867,1.915,"16020202",26.7000007629395,152,-3.29999995231628,23.3999996185303,117,52,9.69999980926514
"USS0011K52S","PAYSON RANGER STATION","UT",-111.63,39.93,2459,36,10.246,8.762,"16020202",24,102,-6,18,190,54,5.5
"USC00266148","PEQUOP","NV",-114.533,41.067,1839,13,1.389,1.58,"16060008",24.2999992370605,110,-4,20.2999992370605,85,51,7
"USC00026471","PHANTOM RANCH","AZ",-112.096,36.107,771,27,0.479,0.527,"15010001",24.3999996185303,230,5,29.3999996185303,64,54,17
"USS0011K39S","PICKLE KEG","UT",-111.58,39.01,2926,39,10.39,7.709,"16030003",22.5,89,-5.80000019073486,16.7000007629395,213,53,4.59999990463257
"USS0012L15S","PINE CREEK","UT",-112.25,38.88,2679,33,9.289,8.618,"16030005",22.6000003814697,90,-5.80000019073486,16.7999992370605,218,57,4.19999980926514
"USC00426869","PINE VIEW DAM","UT",-111.838,41.258,1506,44,5.267,4.884,"16020102",25.5,126,-4.90000009536743,20.6000003814697,248,54,7.30000019073486
"USC00266252","PIOCHE","NV",-114.45,37.933,1881,20,1.436,2.011,"15010013",23.2999992370605,148,-0.699999988079071,22.6000003814697,100,53,10.1000003814697
"USC00026616","PIPE SPRINGS NATIONAL MONUMENT","AZ",-112.733,36.867,1500,35,1.197,1.149,"15010003",23.7000007629395,163,0.899999976158142,24.7000007629395,69,47,12.3999996185303
"USC00056520","PLACERVILLE","CO",-108.051,38.018,2250,39,3.304,3.256,"14030003",22.3999996185303,92,-5.30000019073486,17.1000003814697,115,46,5.59999990463257
"USC00426919","PLEASANT GROVE","UT",-111.733,40.367,1437,46,1.149,1.101,"16020201",26.7999992370605,162,-2.90000009536743,23.8999996185303,117,55,10.1999998092651
"USC00426938","PLYMOUTH","UT",-112.149,41.872,1362,14,1.436,1.484,"16010204",27.8999996185303,144,-5.30000019073486,22.6000003814697,96,54,8.39999961853027
"USS0015H14S","POLE CREEK RANGER STATION","NV",-115.25,41.87,2539,37,9.768,8.906,"17050102",21.2000007629395,75,-6.90000009536743,14.3000001907349,180,62,2.40000009536743
"USC00107346","PRESTON","ID",-111.867,42.093,1463,20,2.059,2.729,"16010202",27.5,132,-5.90000009536743,21.6000003814697,100,52,7.69999980926514
"USC00427026","PRICE BLM","UT",-110.809,39.608,1711,27,1.436,1.628,"14060007",28,135,-5.30000019073486,22.7000007629395,52,47,8.89999961853027
"USC00427064","PROVO BYU","UT",-111.651,40.246,1393,36,1.963,1.532,"16020201",26.7000007629395,161,-2.79999995231628,23.7999992370605,122,54,10.3000001907349
"USC00427165","RANDOLPH","UT",-111.185,41.665,1911,29,2.155,2.202,"16010101",26.5,61,-8.89999961853027,17.6000003814697,63,44,4
"USC00056832","RANGELY 1 E","CO",-108.773,40.089,1608,38,1.819,1.819,"14050007",31.2000007629395,134,-8.10000038146973,23.1000003814697,37,46,8.10000038146973
"USS0011K28S","RED PINE RIDGE","UT",-111.27,39.45,2746,39,8.427,8.187,"14060009",21.7999992370605,59,-7.40000009536743,14.5,255,52,2.70000004768372
"USC00427260","RICHFIELD RADIO KSVC","UT",-112.078,38.762,1615,39,1.389,1.053,"16030003",25.7999992370605,126,-3.20000004768372,22.6000003814697,42,44,9.39999961853027
"USC00427271","RICHMOND","UT",-111.813,41.903,1426,47,2.155,2.107,"16010202",27.3999996185303,136,-5.40000009536743,21.8999996185303,118,52,8
"USC00057017","RICO","CO",-108.033,37.683,2682,29,8.81,11.491,"14030002",20,47,-6.5,13.5,179,42,3
"USC00427318","RIVERDALE","UT",-112,41.15,1341,13,1.005,1.101,"16020102",27.6000003814697,167,-3.59999990463257,24,137,58,9.80000019073486
"USS0010J18S","ROCK CREEK","UT",-110.69,40.55,2405,36,4.453,4.309,"14060003",23.3999996185303,49,-8.5,14.8999996185303,175,46,2.29999995231628
"USC00487847","ROCK SPRINGS FIRE DEPARTMENT","WY",-109.239,41.578,1911,12,1.341,1.149,"14040105",27.1000003814697,108,-6.80000019073486,20.2999992370605,34,49,6.30000019073486
