"","V1","r","gw","ensembl_gene"
"379","Fibroblasts","Angptl2","5.63740873079198","ENSMUSG00000004105"
"380","Fibroblasts","C2","5.616540342359","ENSMUSG00000024371"
"381","Fibroblasts","Pknox2","5.60128152483843","ENSMUSG00000035934"
"382","Fibroblasts","Scara5","5.59268544652409","ENSMUSG00000022032"
"383","Fibroblasts","Sfrp1","5.56765318304602","ENSMUSG00000031548"
"384","Fibroblasts","Egfr","5.55042755476888","ENSMUSG00000020122"
"385","Fibroblasts","Npas2","5.54376442822138","ENSMUSG00000026077"
"386","Fibroblasts","Thbs4","5.53747541737049","ENSMUSG00000021702"
"387","Fibroblasts","Boc","5.52839742815857","ENSMUSG00000022687"
"388","Fibroblasts","Timp1","5.52005490450532","ENSMUSG00000001131"
"389","Fibroblasts","Gpx8","5.51774359107314","ENSMUSG00000021760"
"390","Fibroblasts","Ptx3","5.51524018735289","ENSMUSG00000027832"
"391","Fibroblasts","Cxcl1","5.50311695178563","ENSMUSG00000029380"
"392","Fibroblasts","Dpysl3","5.50029234817011","ENSMUSG00000024501"
"393","Fibroblasts","Mfap4","5.48878040470135","ENSMUSG00000042436"
"394","Fibroblasts","Rcn3","5.48848159438561","ENSMUSG00000019539"
"395","Fibroblasts","Naalad2","5.48678760780728","ENSMUSG00000043943"
"396","Fibroblasts","Aldh1a1","5.47797549521313","ENSMUSG00000053279"
"397","Fibroblasts","Pi16","5.47212686240973","ENSMUSG00000024011"
"398","Fibroblasts","Matn2","5.47087117199298","ENSMUSG00000022324"
"399","Fibroblasts","Gas1","5.45932380586495","ENSMUSG00000052957"
"400","Fibroblasts","Sparc","5.42433592752056","ENSMUSG00000018593"
"401","Fibroblasts","Cxcl14","5.41209276777182","ENSMUSG00000021508"
"402","Fibroblasts","Itgbl1","5.41015375195943","ENSMUSG00000032925"
"403","Fibroblasts","Cryab","5.40864556718563","ENSMUSG00000032060"
"404","Fibroblasts","Epdr1","5.4032655114624","ENSMUSG00000002808"
"405","Fibroblasts","Clec11a","5.39725439459282","ENSMUSG00000004473"
"406","Fibroblasts","Gstt1","5.39541476999354","ENSMUSG00000001663"
"407","Fibroblasts","Grb10","5.39384336944669","ENSMUSG00000020176"
"408","Fibroblasts","Copz2","5.38703890234788","ENSMUSG00000018672"
"409","Fibroblasts","Lrrn4cl","5.37217284123885","ENSMUSG00000071656"
"410","Fibroblasts","Arhgap42","5.35206414376391","ENSMUSG00000050730"
"411","Fibroblasts","Pdzrn3","5.34864466888","ENSMUSG00000035357"
"412","Fibroblasts","Clec3b","5.34831154337999","ENSMUSG00000025784"
"413","Fibroblasts","Atp1a2","5.34585655195667","ENSMUSG00000007097"
"414","Fibroblasts","Bmp5","5.34407404708243","ENSMUSG00000032179"
"415","Fibroblasts","Snai2","5.34231047230892","ENSMUSG00000022676"
"416","Fibroblasts","Meox2","5.33547514899278","ENSMUSG00000036144"
"417","Fibroblasts","Enpp2","5.33399809393383","ENSMUSG00000022425"
"418","Fibroblasts","Kirrel","5.31633558847822","ENSMUSG00000041734"
"419","Fibroblasts","Vegfa","5.2989892778193","ENSMUSG00000023951"
"420","Fibroblasts","Pcdh18","5.29062716410295","ENSMUSG00000037892"
"421","Fibroblasts","Podn","5.290562029671","ENSMUSG00000028600"
"422","Fibroblasts","Tmem45a","5.26770952199937","ENSMUSG00000022754"
"423","Fibroblasts","Ghr","5.26716135186328","ENSMUSG00000055737"
"424","Fibroblasts","Ifitm1","5.25550126849732","ENSMUSG00000025491"
"425","Fibroblasts","Gstm1","5.25286406654641","ENSMUSG00000058135"
"426","Fibroblasts","Sema3c","5.24591994755001","ENSMUSG00000028780"
"427","Fibroblasts","Lix1l","5.23517336266411","ENSMUSG00000049288"
"428","Fibroblasts","Csmd1","5.23243465780836","ENSMUSG00000060924"
"429","Fibroblasts","Bmp1","5.22766162401667","ENSMUSG00000022098"
"430","Fibroblasts","Gucy1a2","5.22070496873134","ENSMUSG00000041624"
"431","Fibroblasts","Clmp","5.21822515048506","ENSMUSG00000032024"
"432","Fibroblasts","Cpz","5.21422660493088","ENSMUSG00000036596"
"433","Fibroblasts","Serpina3n","5.20740379636904","ENSMUSG00000021091"
"434","Fibroblasts","Gstm5","5.19393631343617","ENSMUSG00000004032"
"435","Fibroblasts","Gpm6b","5.18162629807775","ENSMUSG00000031342"
"436","Fibroblasts","Vcan","5.16963866019381","ENSMUSG00000021614"
"437","Fibroblasts","Fkbp7","5.16858719435473","ENSMUSG00000002732"
"438","Fibroblasts","Prr16","5.15581415238862","ENSMUSG00000073565"
"439","Fibroblasts","Reck","5.15352403759593","ENSMUSG00000028476"
"440","Fibroblasts","Il6","5.15017101592735","ENSMUSG00000025746"
"441","Fibroblasts","Gucy1a3","5.14457679795482",NA
"442","Fibroblasts","Ebf3","5.13711098376447","ENSMUSG00000010476"
"443","Fibroblasts","Glt8d2","5.11243722332663","ENSMUSG00000020251"
"444","Fibroblasts","Wnt5a","5.10936328194928","ENSMUSG00000021994"
"445","Fibroblasts","Olfml3","5.09697809919914","ENSMUSG00000027848"
"446","Fibroblasts","Osmr","5.09296438814678","ENSMUSG00000022146"
"447","Fibroblasts","Cntfr","5.08829573151615","ENSMUSG00000028444"
"448","Fibroblasts","Sostdc1","5.08159132667971","ENSMUSG00000036169"
"449","Fibroblasts","Htra3","5.07010440881885","ENSMUSG00000029096"
"450","Fibroblasts","Phlda1","5.05509658430619","ENSMUSG00000020205"
"451","Fibroblasts","Tagln","5.05433154184439","ENSMUSG00000032085"
"452","Fibroblasts","Runx1t1","5.05289845882454","ENSMUSG00000006586"
"453","Fibroblasts","Adamtsl3","5.05123270065884","ENSMUSG00000070469"
"454","Fibroblasts","Lhfp","5.04784686259726","ENSMUSG00000048332"
"455","Fibroblasts","Colec12","5.03231053853445","ENSMUSG00000036103"
"456","Fibroblasts","Fbln2","5.03038439180942","ENSMUSG00000064080"
"457","Fibroblasts","Slit2","5.02725071049599","ENSMUSG00000031558"
"458","Fibroblasts","Hhip","5.01036306488477","ENSMUSG00000064325"
"459","Fibroblasts","Crispld2","5.00972971091605","ENSMUSG00000031825"
"460","Fibroblasts","Fkbp14","5.00839610677563","ENSMUSG00000038074"
"461","Fibroblasts","Tgfb3","5.0006943303857","ENSMUSG00000021253"
"462","Macrophages","Vsig4","9.96416993123561","ENSMUSG00000044206"
"463","Macrophages","Atp6v0d2","9.09485846855731","ENSMUSG00000028238"
"464","Macrophages","Ear1","8.79016018438745","ENSMUSG00000072601"
"465","Macrophages","Cd209f","8.65429525667464","ENSMUSG00000051906"
"466","Macrophages","Cd5l","8.53283695784043","ENSMUSG00000015854"
"467","Macrophages","C1qc","8.36629875421984","ENSMUSG00000036896"
"468","Macrophages","C3ar1","8.31658775111107","ENSMUSG00000040552"
"469","Macrophages","Adamdec1","8.07955402064875","ENSMUSG00000022057"
"470","Macrophages","Alox15","8.06624778070563","ENSMUSG00000018924"
"471","Macrophages","Prg4","8.03040130575119","ENSMUSG00000006014"
"472","Macrophages","Clec4n","7.81569815973395","ENSMUSG00000023349"
"473","Macrophages","C1qa","7.65749933912236","ENSMUSG00000036887"
"474","Macrophages","Fcgr4","7.64649219852429","ENSMUSG00000059089"
"475","Macrophages","Pf4","7.63414736315608","ENSMUSG00000029373"
"476","Macrophages","Saa3","7.58498208666219","ENSMUSG00000040026"
"477","Macrophages","C6","7.57133359336124","ENSMUSG00000022181"
"478","Macrophages","Mmp13","7.46997545812441","ENSMUSG00000050578"
"479","Macrophages","Fabp7","7.45502801863751","ENSMUSG00000019874"
"480","Macrophages","F5","7.39599643829045","ENSMUSG00000026579"
"481","Macrophages","C1qb","7.30329252501868","ENSMUSG00000036905"
"482","Macrophages","Slc40a1","7.21397603608982","ENSMUSG00000025993"
"483","Macrophages","Cd300ld2","7.1492100924959","ENSMUSG00000089753"
"484","Macrophages","Gbp2b","7.146371695002","ENSMUSG00000040264"
"485","Macrophages","Ms4a4a","7.14104601115648","ENSMUSG00000101389"
"486","Macrophages","C5ar1","7.07150336058613","ENSMUSG00000049130"
"487","Macrophages","Mertk","7.05894278663487","ENSMUSG00000014361"
"488","Macrophages","Ms4a7","6.93189458595825","ENSMUSG00000024672"
"489","Macrophages","Ms4a14","6.88985773415171","ENSMUSG00000099398"
"490","Macrophages","Klra2","6.82972953677247","ENSMUSG00000030187"
"491","Macrophages","Fpr1","6.78631976908686","ENSMUSG00000045551"
"492","Macrophages","Alb","6.75579632726312","ENSMUSG00000029368"
"493","Macrophages","Folr2","6.67787336508469","ENSMUSG00000032725"
"494","Macrophages","Naip1","6.63186633955877","ENSMUSG00000021640"
"495","Macrophages","Cbr2","6.52783065542103","ENSMUSG00000025150"
"496","Macrophages","Mrc1","6.49258583518325","ENSMUSG00000026712"
"497","Macrophages","Clec1b","6.46735415985332","ENSMUSG00000030159"
"498","Macrophages","Adgre1","6.44689344313007","ENSMUSG00000004730"
"499","Macrophages","Tfec","6.43208720453209","ENSMUSG00000029553"
"500","Macrophages","Ccl12","6.42382533365667","ENSMUSG00000035352"
"501","Macrophages","Tlr8","6.35250112328601","ENSMUSG00000040522"
"502","Macrophages","Ccl8","6.33508310023378","ENSMUSG00000009185"
"503","Macrophages","Clec4d","6.27533381342112","ENSMUSG00000030144"
"504","Macrophages","Olr1","6.24810593838088","ENSMUSG00000030162"
"505","Macrophages","Igha","6.24709899510022","ENSMUSG00000095079"
"506","Macrophages","Mafb","6.17861585035801","ENSMUSG00000074622"
"507","Macrophages","Hal","6.11728488593208","ENSMUSG00000020017"
"508","Macrophages","Cd163","6.11264262320369","ENSMUSG00000008845"
"509","Macrophages","Hacd4","6.06991422539917","ENSMUSG00000028497"
"510","Macrophages","Chil3","6.02793445161707","ENSMUSG00000040809"
"511","Macrophages","Slc11a1","6.02309486109024","ENSMUSG00000026177"
"512","Macrophages","Lilra5","5.98854552963376","ENSMUSG00000070873"
"513","Macrophages","Pla2g7","5.93708479390681","ENSMUSG00000023913"
"514","Macrophages","Ighv8-5","5.86346943101937",NA
"515","Macrophages","Msr1","5.86215075776601","ENSMUSG00000025044"
"516","Macrophages","Ccl24","5.86071137421743","ENSMUSG00000004814"
"517","Macrophages","Pla2g2d","5.86050121042733","ENSMUSG00000041202"
"518","Macrophages","Fcgr1","5.85192945114622","ENSMUSG00000015947"
"519","Macrophages","Cd300ld","5.84649052391138","ENSMUSG00000034641"
"520","Macrophages","Abcc3","5.82190954487021","ENSMUSG00000020865"
"521","Macrophages","Ms4a6d","5.82025604809794","ENSMUSG00000024679"
"522","Macrophages","Slc7a8","5.8067074014917","ENSMUSG00000022180"
"523","Macrophages","Clec4a3","5.80371635457912","ENSMUSG00000043832"
"524","Macrophages","Fcna","5.78376523740202","ENSMUSG00000026938"
"525","Macrophages","Csf1r","5.77023234870549","ENSMUSG00000024621"
"526","Macrophages","Ccr1","5.75614602028249","ENSMUSG00000025804"
"527","Macrophages","Fpr2","5.73698140366248","ENSMUSG00000052270"
"528","Macrophages","Ccr3","5.73469361361178","ENSMUSG00000035448"
"529","Macrophages","Ms4a8a","5.7195704957812","ENSMUSG00000024730"
"530","Macrophages","Serpinb10","5.70208794980124","ENSMUSG00000092572"
"531","Macrophages","Gpnmb","5.65079893465813","ENSMUSG00000029816"
"532","Macrophages","Wfdc17","5.63258632280901","ENSMUSG00000069792"
"533","Macrophages","Abcd2","5.62445617681902","ENSMUSG00000055782"
"534","Macrophages","Defa24","5.62245401063925","ENSMUSG00000064213"
"535","Macrophages","Prss34","5.61672294701154","ENSMUSG00000056399"
"536","Macrophages","Cd209g","5.61310458612039","ENSMUSG00000079168"
"537","Macrophages","Padi4","5.59053328143307","ENSMUSG00000025330"
"538","Macrophages","Clec7a","5.5648805010917","ENSMUSG00000079293"
"539","Macrophages","Ptgs1","5.54814628710751","ENSMUSG00000047250"
"540","Macrophages","Fgd4","5.50693089139896","ENSMUSG00000022788"
"541","Macrophages","Pilrb1","5.50302814128879","ENSMUSG00000066684"
"542","Macrophages","Slc7a2","5.49266263097594","ENSMUSG00000031596"
"543","Macrophages","Ccl6","5.47993131144727","ENSMUSG00000018927"
"544","Macrophages","Clec4f","5.46620428315612","ENSMUSG00000014542"
"545","Macrophages","Fcgr3","5.46057439736123","ENSMUSG00000059498"
"546","Macrophages","Fabp1","5.45919155895433","ENSMUSG00000054422"
"547","Macrophages","Krt19","5.4486591832833","ENSMUSG00000020911"
"548","Macrophages","Pilra","5.44709555598667","ENSMUSG00000046245"
"549","Macrophages","Ednrb","5.42199312897244","ENSMUSG00000022122"
"550","Macrophages","Plet1","5.39652625208101","ENSMUSG00000032068"
"551","Macrophages","Cd209b","5.38954055934416","ENSMUSG00000065987"
"552","Macrophages","Siglec1","5.38527318003979","ENSMUSG00000027322"
"553","Macrophages","Reg3g","5.35952619981116","ENSMUSG00000030017"
"554","Macrophages","Tbxas1","5.31275888189055","ENSMUSG00000029925"
"555","Macrophages","F10","5.29904795539284","ENSMUSG00000031444"
"556","Macrophages","Spp1","5.29253294064918","ENSMUSG00000029304"
"557","Macrophages","Car4","5.27214176278867","ENSMUSG00000000805"
"558","Macrophages","Clec4a1","5.25667791249041","ENSMUSG00000049037"
"559","Macrophages","Hpgds","5.23654853717439","ENSMUSG00000029919"
"560","Macrophages","Hmox1","5.21955472434743","ENSMUSG00000005413"
"561","Macrophages","Adgb","5.21952986012158","ENSMUSG00000050994"
"562","Macrophages","F13a1","5.21149402638935","ENSMUSG00000039109"
"563","Macrophages","Gm5150","5.19305071091199","ENSMUSG00000078780"
"564","Macrophages","Mcpt8","5.16970952006047","ENSMUSG00000022157"
"565","Macrophages","Igsf6","5.10647216801262","ENSMUSG00000035004"
"566","Macrophages","Gda","5.04690993470532","ENSMUSG00000058624"
"567","Macrophages","Dmxl2","5.04345900768261","ENSMUSG00000041268"
"568","Macrophages","Pilrb2","5.01859241200365","ENSMUSG00000066682"
"569","Macrophages","Npl","5.0172932637255","ENSMUSG00000042684"
"570","Macrophages","Car1","5.0169251237874","ENSMUSG00000027556"
"571","Macrophages","Arg1","5.01068046258372","ENSMUSG00000019987"
"572","Macrophages","Lyz2","5.00454156364781","ENSMUSG00000069516"
"573","NK cells","Klra8","11.5705398710672","ENSMUSG00000089727"
"574","NK cells","Klra7","9.91143803138927","ENSMUSG00000067599"
"575","NK cells","Ncr1","9.68401567921117","ENSMUSG00000062524"
"576","NK cells","Klra13-ps","8.1856939719492","ENSMUSG00000030178"
"577","NK cells","NA.94","8.07714315875953",NA
"578","NK cells","Klri2","8.07354551603101","ENSMUSG00000043932"
"579","NK cells","Klrb1a","7.88708213517973","ENSMUSG00000030361"
"580","NK cells","Klre1","7.45149789149371","ENSMUSG00000050241"
"581","NK cells","Klra6","7.20701103939563","ENSMUSG00000061769"
"582","NK cells","Klrb1c","7.09459935027504","ENSMUSG00000030325"
"583","NK cells","Klrc3","6.81905763096307","ENSMUSG00000033027"
"584","NK cells","Klra4","6.45128870463271","ENSMUSG00000079852"
"585","NK cells","Khdc1a","6.28929669459459","ENSMUSG00000067750"
"586","NK cells","Adamts14","6.1873183242007","ENSMUSG00000059901"
"587","NK cells","Cma1","6.00909659365407","ENSMUSG00000022225"
"588","NK cells","Itga2","5.987577914827","ENSMUSG00000015533"
"589","NK cells","Styk1","5.75812074655013","ENSMUSG00000032899"
"590","NK cells","Klra1","5.68887523712239","ENSMUSG00000079853"
"591","NK cells","Samd3","5.64689573528743","ENSMUSG00000051354"
"592","NK cells","Gzma","5.61361214984878","ENSMUSG00000023132"
"593","NK cells","Klrc2","5.59585097099546","ENSMUSG00000052736"
"594","NK cells","Klra3","5.57105736658423","ENSMUSG00000067591"
"595","NK cells","Prf1","5.4496497206314","ENSMUSG00000037202"
"596","NK cells","Eomes","5.18346353725207","ENSMUSG00000032446"
"597","NK cells","Klra10","5.043707057947","ENSMUSG00000072718"
"598","T cells","Trac","8.47182629151487",NA
"599","T cells","Themis","8.37977355725663","ENSMUSG00000049109"
"600","T cells","Cd3g","7.60303517375928","ENSMUSG00000002033"
"601","T cells","Traj49","7.5332439200352","ENSMUSG00000076882"
"602","T cells","Trav14d-3-dv8","7.18593718139237","ENSMUSG00000094619"
"603","T cells","Dapl1","7.14027984029969","ENSMUSG00000026989"
"604","T cells","Cd3e","6.98052684401395","ENSMUSG00000032093"
"605","T cells","Cd3d","6.718258425215","ENSMUSG00000032094"
"606","T cells","Trav7-5","6.55001855873487","ENSMUSG00000106620"
"607","T cells","Trav15-1-dv6-1","6.17395327159402","ENSMUSG00000094016"
"608","T cells","Traj41","6.01729617105063","ENSMUSG00000076889"
"609","T cells","Trav14-1","6.0081594462597","ENSMUSG00000076840"
"610","T cells","Cd5","5.99570198899398","ENSMUSG00000024669"
"611","T cells","Trat1","5.88545200375131","ENSMUSG00000030775"
"612","T cells","Cd6","5.85853697672885","ENSMUSG00000024670"
"613","T cells","Lat","5.7472120257072","ENSMUSG00000030742"
"614","T cells","Traj44","5.36299883309923","ENSMUSG00000076886"
"615","T cells","Aqp11","5.25165976094992","ENSMUSG00000042797"
"616","T cells","Cd28","5.18039439368703","ENSMUSG00000026012"
"617","T cells","Trbv29","5.16544820122752","ENSMUSG00000076480"
