"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"faSelfAlcIntentionRAA_planning";"faSelfAlcIntentionRAA_willGo";"faSelfAlcIntentionRAA_want";"faSelfAlcAttGeneral_good";"faSelfAlcAttGeneral_pleasant";"faSelfAlcAttGeneral_smart";"faSelfAlcAttGeneral_healthy";"faSelfAlcAttGeneral_exciting";"faSelfAlcNormGeneral_in1";"faSelfAlcNormGeneral_in2";"faSelfAlcNormGeneral_dn1";"faSelfAlcNormGeneral_dn2";"faSelfAlcPBCgeneral_ifwanted";"faSelfAlcPBCgeneral_easy";"faSelfAlcPBCgeneral_control";"faSelfAlcPBCgeneral_externalFactors";"faSelfAlcPBCgeneral_notOnlyMe";"faSelfAlcOpenWhyNot";"faSelfAlcOpenWhy";"faSelfAlcAttExpect1_anonimity";"faSelfAlcAttExpect1_parents";"faSelfAlcAttExpect1_ruinsEvening";"faSelfAlcAttExpect2_security";"faSelfAlcAttExpect2_police";"faSelfAlcAttExpect2_solvesItself";"faSelfAlcAttExpect2_accessToParty";"faSelfAlcAttExpect2_approachSecurity";"faSelfAlcNormInjunct_partner";"faSelfAlcNormInjunct_bestFriends";"faSelfAlcNormInjunct_otherFriends";"faSelfAlcNormInjunct_partyPeople";"faSelfAlcNormInjunct_parents";"faSelfAlcNormInjunct_siblings";"faSelfAlcNormMTC_partner";"faSelfAlcNormMTC_bestFriends";"faSelfAlcNormMTC_otherFriends";"faSelfAlcNormMTC_partyPeople";"faSelfAlcNormMTC_parents";"faSelfAlcNormMTC_siblings";"faSelfAlcNormDescr_partner";"faSelfAlcNormDescr_bestFriends";"faSelfAlcNormDescr_otherFriends";"faSelfAlcNormDescr_partyPeople";"faSelfAlcNormDescr_parents";"faSelfAlcNormDescr_siblings";"faSelfAlcContrBeliefs_knowsLocation";"faSelfAlcContrBeliefs_faCanHelp";"faSelfAlcnormProduct_bestFriends";"faSelfAlcnormProduct_otherFriends";"faSelfAlcnormProduct_parents";"faSelfAlcnormProduct_partner";"faSelfAlcnormProduct_partyPeople";"faSelfAlcnormProduct_siblings";"faSelfAlc_intention";"faSelfAlc_attitude";"faSelfAlc_perceivedNorm";"faSelfAlc_pbc"
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";4;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe WO (universiteit)";NA;7;7;5;7;5;7;7;7;7;7;7;7;7;4;5;4;5;"Omdat ze klachten onderschatten en denken dat t wel goed komt";NA;3;2;3;1;1;4;4;5;7;7;7;7;7;7;3;2;2;-2;1;1;6;6;6;4;1;5;5;7;14;14;7;21;-14;7;6.33333333333333;6.6;7;5
"Male";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";31;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe MBO (ROC)";NA;6;6;6;6;5;6;6;4;7;7;7;7;7;7;7;7;7;"schaamte";"zekerheid";6;1;3;6;1;5;4;6;7;7;7;7;7;7;2;2;-3;-3;-3;-3;7;7;4;4;7;7;7;4;14;-21;-21;14;-21;-21;6;5.4;7;7
"Male";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";5;5;5;5;3;5;5;4;5;5;5;5;5;5;4;5;3;"Onderschatten van het probleem.";"Serieuzer nemen van het probleem.";3;2;5;3;1;5;5;3;NA;5;4;4;5;5;NA;1;0;0;1;0;NA;5;4;4;4;4;3;4;5;0;5;NA;0;0;5;4.4;5;4.4
"Male";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";16;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";2;2;2;4;4;4;4;6;1;1;1;1;4;4;4;4;4;"Ook bij de vragen hierboven hangt het heel erg af van (de mate van) de klachten. Het gros van de klachten is te verhelpen met water drinken en rust nemen, misschien een keer kotsen als het moet. ";"Als de klachten ernstiger zijn, en je maakt je zorgen, dan is het wel slim om naar de EHBO te gaan. ";7;1;5;1;1;7;4;1;4;4;4;4;4;4;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;2;3;-12;-12;-12;-12;-12;-12;2;4.4;1;4
"Male";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";26;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;1;1;1;4;2;5;6;3;1;6;2;2;2;2;4;5;2;"als mensen teveel gedronken hebben zien ze niet in dat ze eventueel hulp zouden moeten krijgen, zoveel hulp is er ook niet te geven in die directe setting van de EHBO op een festival. De meeste mensen die nog iets inzien dansen/slapen/waggelen hun slechte moment uit en schakelen tijdelijk over op water.";"paniekaanval wellicht";3;2;5;2;2;6;4;3;NA;4;4;4;6;5;NA;-1;-1;-2;0;0;NA;1;1;1;6;2;2;2;-4;-4;0;NA;-8;0;1;4;2.75;3
"Female";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";7;7;7;7;7;7;7;5;7;7;7;7;5;3;5;6;4;"Ze zijn te slap om naar de EHBO toe te kunnen gaan, kunnen niet meer nadenken, liggen ergens laveloos op de grond, of zijn out gegaan. Mensen hebben dan echt hulp nodig om naar de ehbo gebracht te worden.";NA;7;1;3;1;1;4;7;6;NA;7;7;4;7;4;NA;3;3;0;3;0;NA;6;5;4;5;5;5;7;21;21;21;NA;0;0;7;6.6;7;4.6
"Male";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe HBO (hogeschool)";NA;6;6;7;7;7;7;7;4;7;7;7;7;7;7;7;4;5;"Geen zin om hun avond te laten verpesten of om naar de EHBO te lopen.";"Om het zekere voor het onzekere  te nemen of omdat ze het vaker fout hebben zien gaan (iemand ging out, niet naar de EHBO gegaan/iemand in coma door alcohol).";7;1;1;1;1;3;7;7;NA;7;6;6;7;NA;NA;-1;-2;-3;-3;NA;NA;6;5;4;7;NA;7;7;-7;-12;-21;NA;-18;NA;6.33333333333333;6.4;7;6
"Male";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";18;"Ja, ik doe WO (universiteit)";NA;5;4;7;5;3;7;7;4;7;7;7;3;5;5;2;4;5;"Niet in staat zijn omdat je dronken bent";"Als je nog nuchter genoeg bent en verantwoordelijkheidsgevoel hebt";5;3;7;6;2;4;3;3;NA;6;2;3;NA;NA;NA;2;0;-3;NA;NA;NA;5;1;3;NA;NA;2;6;12;0;NA;NA;-9;NA;5.33333333333333;5.2;6;4.2
"Male";21;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;2;1;1;4;5;5;6;5;5;5;5;5;5;5;5;2;5;NA;NA;6;1;5;1;1;5;5;3;7;5;3;4;7;7;3;3;3;3;3;3;5;5;4;3;7;6;5;4;15;9;21;21;12;21;1.33333333333333;5;5;4.4
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";2;"Ja, ik doe WO (universiteit)";NA;6;6;6;7;5;7;7;7;7;7;7;6;7;6;6;4;4;NA;NA;7;1;5;1;1;3;4;5;NA;6;6;6;6;6;NA;-2;-2;-2;-2;-2;NA;6;5;5;5;6;7;7;-12;-12;-12;NA;-12;-12;6;6.6;6.75;5.4
"Female";25;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";35;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";7;7;7;7;4;7;7;4;7;7;7;7;7;7;7;1;7;"ik heb eigenlijk geen idee hoe verstandig ik zelf ben als ik zo veel alcohol op heb dat ik erdoor in de problemen kom. en ook niet waarom ik zo veel alcohol zou willen drinken.";"omdat ze dronken zijn.";7;1;4;4;4;4;4;7;7;7;7;7;NA;NA;-3;-3;-3;-3;NA;NA;7;7;7;7;NA;NA;4;7;-21;-21;NA;-21;-21;NA;7;5.8;7;5.8
"Female";46;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";25;"Nee, ik volg op dit moment geen studie";"VMBO (vroeger MAVO)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";21;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;6;5;5;7;5;7;7;4;4;4;5;4;6;4;6;3;6;"De gedachte is dat een alcoholgerelateerde klacht vanzelf overgaat. Dit kost alleen tijd. ";NA;5;1;3;5;1;6;2;2;NA;4;4;5;6;5;NA;2;0;1;-1;1;NA;3;3;3;5;5;5;3;8;0;-6;NA;5;5;5.33333333333333;6;4.25;5
"Male";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";12;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";18;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe MBO (ROC)";NA;3;3;3;5;3;5;5;4;3;4;4;3;5;3;3;5;3;NA;NA;1;5;5;2;2;5;5;3;NA;6;6;6;6;6;NA;-1;-1;-1;1;-1;NA;5;5;3;5;3;3;5;-6;-6;6;NA;-6;-6;3;4.4;3.5;3.8
"Female";20;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";19;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;6;5;6;7;4;7;7;7;6;5;5;5;6;5;5;5;6;NA;NA;6;2;6;3;3;3;5;5;NA;5;4;4;4;4;NA;1;0;0;1;1;NA;5;4;4;5;5;2;6;5;0;4;NA;0;4;5.66666666666667;6.4;5.25;5.4
"Male";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"HAVO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";35;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";6;6;6;7;2;7;7;4;6;6;6;6;5;4;3;3;5;"Te ver heen om te bedenken dat dat misschien slim is.";"Geen idee.";3;1;7;4;1;4;3;4;6;6;6;6;7;6;-2;-2;-3;-3;-3;-3;5;6;6;5;7;6;3;7;-12;-18;-21;-12;-18;-18;6;5.4;6;4
"Male";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";9;"Ja, ik doe MBO (ROC)";NA;1;3;1;6;2;7;7;2;2;2;2;1;7;2;2;7;2;"Ik heb het vertrouwen dat mijn vrienden dan goed genoeg voor me zorgen. Ik denk dan dat ik dat niet nodig heb";NA;7;4;5;3;1;4;5;6;NA;3;3;4;7;7;NA;3;3;-2;-1;1;NA;3;3;4;1;2;3;7;9;9;-7;NA;-8;7;1.66666666666667;4.8;1.75;4
"Female";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";5;5;6;5;4;6;6;5;5;4;4;4;5;5;4;5;4;NA;NA;5;3;4;4;3;4;4;5;4;4;4;4;6;6;-2;-2;-2;-2;2;2;4;5;4;4;6;6;7;5;-8;-8;12;-8;-8;12;5.33333333333333;5.2;4.25;4.6
"Male";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";60;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";25;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";4;2;4;6;2;7;4;2;3;5;3;3;7;3;5;4;3;"Je weet waardoor het komt. Het is je eigen schuld en je weet ook vaak wat je moet doen. Naar huis gaan en geen alcohol drinken, goed hydrateren.";"Als het een nieuw onbetrouwbaar gevoel is. 
";7;1;7;1;1;6;7;7;7;6;6;4;7;6;3;3;2;-3;1;3;4;4;4;4;4;4;7;7;18;12;7;21;-12;18;3.33333333333333;4.2;3.5;4.4
"Female";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";42;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";2;2;3;3;2;5;5;2;2;5;2;1;5;4;4;6;3;NA;NA;5;1;4;3;1;6;3;2;NA;5;3;3;5;4;NA;0;-1;-2;1;1;NA;3;3;2;4;4;5;5;0;-3;5;NA;-6;4;2.33333333333333;3.4;2.5;4.4
"Male";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";6;6;6;6;2;6;5;4;6;6;6;5;7;6;6;2;6;"Staan er onder invloed niet bij stil. Mensen denken dat alcohol
Ongevaarlijk is";"Ligt aan de ernst van de klacht ";1;2;6;4;1;6;3;2;6;6;5;4;6;6;0;-2;-3;-3;2;2;2;3;3;2;4;4;5;6;-12;-15;12;0;-12;12;6;4.6;5.75;5.4
"Female";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";16;"Ja, ik doe WO (universiteit)";NA;3;3;3;4;6;6;6;3;2;6;4;3;6;5;5;6;4;"Omdat de meesten wel regelmatig alcohol drinken en dus wel weten wat ze zelf nodig hebben als ze zich een keer ziek voelen";NA;6;1;5;2;1;4;1;7;7;7;7;7;7;7;1;0;-1;-3;-3;-3;6;6;6;5;1;1;5;7;0;-7;-21;7;-21;-21;3;5;3.75;5.2
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe MBO (ROC)";NA;7;7;7;6;6;6;6;5;5;5;5;5;5;5;5;5;4;NA;NA;5;5;5;5;5;5;5;5;6;5;6;5;5;5;1;1;1;1;1;1;6;6;5;6;5;5;6;6;5;6;5;6;5;5;7;5.8;5;4.8
"Female";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";2;"Ja, ik doe HBO (hogeschool)";NA;5;3;1;3;3;4;5;7;3;3;3;3;7;2;6;2;3;"Omdat het niet zo serieus hoeft te zijn en je misschien gewoon lekker op bed moet gaan liggen.";"Meer kennis of slechte ervaring.";3;3;7;7;1;6;1;7;NA;5;5;6;7;5;NA;-1;-1;-1;3;-1;NA;3;3;6;7;4;1;5;-5;-5;21;NA;-6;-5;3;4.4;3;4
"Female";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Nee, ik volg op dit moment geen studie";"HAVO";3;3;3;6;3;5;5;4;6;6;6;6;6;5;6;2;6;"Meestal kan ik het wel zelf oplossen door ervaring, watertje drinken.";"Omdat ze niet weten wat ze moeten doen";1;4;5;6;3;6;2;6;NA;3;3;3;3;3;NA;-2;-2;-2;-2;-2;NA;1;1;3;5;5;4;2;-6;-6;-6;NA;-6;-6;3;4.6;6;5
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";9;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"HAVO";3;3;3;5;4;6;5;5;4;4;5;4;6;5;4;5;5;"Ik heb niet echt heel veel ernstige alcohol gerelateerde problemen meegemaakt. Duizeligheid etc. gaat meestal vanzelf wel weer over. Veel water drinken :)";"Ook omdat ze denken dat het vanzelf wel weer over gaat. ";6;1;5;2;2;6;3;6;6;6;6;6;6;6;0;0;0;0;0;0;4;5;5;3;5;5;6;5;0;0;0;0;0;0;3;5;4.25;5
"Male";24;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";20;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;5;5;5;5;5;5;5;5;4;4;4;4;7;6;6;4;6;NA;NA;5;4;3;1;1;5;5;5;5;5;5;3;5;5;1;1;0;-2;-1;-1;4;3;3;3;5;3;4;5;5;0;-5;5;-6;-5;5;5;4;5.8
"Female";28;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;"Idee dat het wel over gaat.";"Zorgen maken";5;2;4;2;2;4;5;6;6;6;6;6;6;6;1;1;1;1;1;1;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";5;"Ja, ik doe HBO (hogeschool)";NA;7;7;7;7;7;7;7;4;7;7;7;7;7;6;7;1;7;"Ze denken dat ze misschien gestraft worden omdat ze zoveel hebben gedronken
Willen geen last zijn voor vrienden";"Omdat ze slim zijn en goed naar zichzelf luisteren";7;4;5;3;1;4;2;7;NA;7;7;7;7;7;NA;-3;-3;-3;-3;-3;NA;7;7;4;7;7;7;7;-21;-21;-21;NA;-21;-21;7;6.4;7;5.6
"Female";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";15;"Ja, ik doe HBO (hogeschool)";NA;5;5;5;6;6;6;6;6;6;6;6;6;5;5;6;4;7;"Als ik naar mezelf kijk zou ik het zelf nooit zo ver laten komen, wanneer het toch gebeurd en het loopt verkeerd zou ik naar de EHBO gaan omdat die mij kunnen helpen wanneer het echt helemaal mis loopt. Ik denk dat andere mensen misschien niet zo snel naar de EHBO gaan met alcoholgerelateerde klachten omdat ze zich schamen, zich niet willen laten kennen of het allemaal niet zo als erg zien (vooral omdat ze zo dronken zijn). ";NA;4;6;4;2;2;4;4;4;5;5;5;5;5;5;3;3;3;0;3;3;6;6;6;6;6;6;3;6;15;15;15;15;0;15;5;6;6;5.4
"Female";23;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";22;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;2;2;2;2;2;3;5;2;2;5;2;2;6;3;2;7;3;NA;NA;2;2;5;6;1;5;2;6;NA;5;5;5;7;6;NA;2;2;-1;-2;-2;NA;2;2;2;5;3;6;6;10;10;-14;NA;-5;-12;2;2.8;2.75;4.2
"Female";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";6;5;6;7;5;7;7;7;6;7;6;6;5;4;3;6;4;"Niet door hebben hoe ernstig het is";"ondersteuning of aansporing van een vriend/persoon is denk ik wel belangrijk. Voor de bewustwording dat het echt niet goed met je gaat.";5;6;6;1;2;4;4;5;7;7;7;5;7;7;3;2;0;-3;2;2;4;6;4;4;6;6;5;6;14;0;14;21;-15;14;5.66666666666667;6.6;6.25;4.4
