"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"epGeneralBeliefs_loudnessPreference";"epGeneralBeliefs_loudnessGenre";"epGeneralBeliefs_loudnessTooMuch";"epGeneralBeliefs_priceFoam";"epGeneralBeliefs_priceSilicon";"epGeneralBeliefs_priceCustom";"epw_Intention_plan";"epw_Intention_will";"epw_Intention_want";"epw_AttDirect_good";"epw_AttDirect_pleas";"epw_AttDirect_smart";"epw_AttDirect_healt";"epw_AttDirect_excit";"epw_NrmDirect_in1";"epw_NrmDirect_in2";"epw_NrmDirect_dn1";"epw_NrmDirect_dn2";"epw_PBCDirect_ifwanted";"epw_PBCDirect_easy";"epw_PBCDirect_control";"epw_PBCDirect_externalFactors";"epw_PBCDirect_notOnlyMe";"epw_AttExpect_hearingDamage";"epw_AttExpect_highTone";"epw_AttExpect_musicVolume";"epw_AttExpect_musicFidelity";"epw_AttExpect_loudConversation";"epw_AttExpect_musicFocus";"epw_AttExpect_musicEnjoy";"epw_AttValue_losing";"epw_AttValue_hearingDamage";"epw_AttValue_highTone";"epw_AttValue_musicVolume";"epw_AttValue_musicFidelity";"epw_AttValue_loudConversation";"epw_AttValue_musicFocus";"epw_AttValue_highTmusicEnjoyone";"epw_AttValue_comfortableFit";"epw_AttValue_priceQuality";"epw_attProduct_hearingDamage";"epw_attProduct_highTone";"epw_attProduct_loudConversation";"epw_attProduct_musicFidelity";"epw_attProduct_musicFocus";"epw_attProduct_musicVolume";"epw_NrmInjunct_partner";"epw_NrmInjunct_bestFriends";"epw_NrmInjunct_otherFriends";"epw_NrmInjunct_partyPeople";"epw_NrmInjunct_parents";"epw_NrmInjunct_siblings";"epw_NrmMTC_partner";"epw_NrmMTC_bestFriends";"epw_NrmMTC_otherFriends";"epw_NrmMTC_partyPeople";"epw_NrmMTC_parents";"epw_NrmMTC_siblings";"epw_nrmProduct_bestFriends";"epw_nrmProduct_otherFriends";"epw_nrmProduct_parents";"epw_nrmProduct_partner";"epw_nrmProduct_partyPeople";"epw_nrmProduct_siblings";"epw_PBCBeliefs_recognize";"epw_PBCBeliefs_remember";"epw_PBCBeliefs_fit";"epw_PBCBeliefs_fallOut";"epw_PBCBeliefs_intoxicated";"epw_Habit_automatic";"epw_Habit_withoutThinking";"epw_Habit_beforeRealising";"epw_Habit_withoutRemembering";"epw_Behavior_houseparty";"epw_Behavior_cafe";"epw_Behavior_disco";"epw_Behavior_band";"epw_Behavior_smallPartyInside";"epw_Behavior_bigPartyInside";"epw_Behavior_smallPartyOutside";"epw_Behavior_bigPartyOutside";"epPossession";"epw_behavior";"epw_intention";"epw_attitude";"epw_perceivedNorm";"epw_pbc";"epw_habit"
"Male";25;"Ik wil deze vraag niet beantwoorden";NA;"Ja, ik doe WO (universiteit)";NA;6;6;4;1;5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;7;4;1;5;4;3;2;4;4;2;3;6;6;7;5;12;20;3;8;30;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;5;4;5;NA;NA;NA;1;3.6;NA;NA;NA;NA;NA
"Female";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";35;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;6;5;2;3;5;7;7;7;7;7;7;7;4;7;7;4;5;7;7;7;1;7;2;2;4;1;1;4;5;1;1;1;5;1;1;5;7;7;7;2;2;1;1;20;20;NA;6;6;4;7;6;NA;2;2;1;2;2;12;12;14;NA;4;12;6;7;6;1;4;7;6;3;4;1;7;7;NA;NA;7;NA;NA;1;5.5;7;6.4;5.75;5.8;5
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";50;"Ja, ik doe WO (universiteit)";NA;6;6;4;5;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;5;5;3;4;3;2;2;1;3;3;4;6;6;7;7;6;3;12;15;24;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;2;3;3;NA;1;1.71428571428571;NA;NA;NA;NA;NA
"Female";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";24;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;7;5;2;3;6;7;5;6;7;2;7;7;4;7;7;5;4;5;6;7;1;7;7;7;2;5;1;3;3;3;1;2;3;3;4;7;7;6;5;7;14;4;15;21;6;7;7;7;7;7;7;4;4;4;4;4;4;28;28;28;28;28;28;6;6;3;4;3;1;1;1;1;1;1;2;3;3;NA;NA;NA;1;2;6;5.4;5.75;5.2;1
"Male";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";28;"Ja, ik doe HBO (hogeschool)";NA;4;7;4;1;4;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;4;1;3;3;1;1;3;4;1;4;7;7;6;7;2;6;4;4;21;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;5;2;NA;NA;6;6;1;3.5;NA;NA;NA;NA;NA
"Female";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";5;7;4;3;3;7;7;7;7;7;6;7;7;4;7;7;6;5;7;7;7;2;7;3;3;5;3;2;4;5;1;1;1;4;2;3;5;6;6;6;3;3;6;6;20;20;5;7;6;4;7;6;3;4;3;2;6;4;28;18;42;15;8;24;5;4;4;4;3;5;2;3;5;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;7;6.2;6.25;6;3.75
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";16;"Ja, ik doe WO (universiteit)";NA;3;4;5;2;2;7;7;6;7;6;4;7;7;4;4;4;3;2;6;5;6;3;7;3;3;4;5;3;6;4;1;1;2;4;3;3;5;5;6;7;3;6;9;15;30;16;7;6;6;6;7;5;2;5;5;1;4;1;30;30;28;14;6;5;4;5;4;4;4;5;3;4;3;4;4;4;4;4;4;NA;4;1;4;6.66666666666667;5.6;3.25;5.4;3.75
"Male";29;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;6;7;1;3;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;4;2;6;7;1;1;2;7;3;2;4;6;7;4;2;4;4;12;24;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;4;6;7;6;7;1;4.25;NA;NA;NA;NA;NA
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe WO (universiteit)";NA;4;5;7;2;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;5;3;4;3;4;1;1;5;2;1;6;7;7;7;3;2;3;10;24;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe WO (universiteit)";NA;5;7;6;1;3;7;7;7;7;5;7;7;7;4;1;5;3;4;7;7;7;1;7;2;2;3;5;6;2;3;1;1;3;3;2;3;7;7;7;7;2;6;18;10;14;9;NA;7;7;7;7;7;NA;7;5;1;4;6;49;35;28;NA;7;42;3;3;5;5;1;5;6;5;7;1;3;6;6;NA;NA;6;6;1;4.66666666666667;7;6;3.25;5.8;5.75
"Female";35;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";34;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;4;5;1;3;7;7;7;7;7;5;7;7;2;4;6;4;4;6;7;7;2;6;2;2;4;3;1;5;4;1;1;4;5;2;3;4;7;7;7;2;8;3;6;20;20;7;5;5;4;6;5;7;5;5;4;5;5;25;25;30;49;16;25;5;6;5;1;4;4;4;4;4;1;1;6;4;7;NA;7;NA;1;4.33333333333333;7;5.6;4.5;5.6;4
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";16;"Ja, ik doe WO (universiteit)";NA;5;6;3;1;3;7;6;4;6;7;4;5;7;2;6;6;5;6;6;6;5;5;4;1;1;4;6;4;5;3;1;1;1;2;1;4;4;7;7;7;1;1;16;6;20;8;7;7;7;6;NA;6;6;5;4;3;NA;2;35;28;NA;42;18;12;2;2;3;1;1;5;6;5;4;1;1;6;5;2;NA;2;7;1;3.42857142857143;5.33333333333333;5;5.75;5.2;5
"Male";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";35;"Ja, ik doe HBO (hogeschool)";NA;5;6;5;3;4;7;7;6;7;7;7;7;7;3;7;7;5;4;7;5;6;4;6;5;5;4;3;2;5;4;1;1;1;5;1;2;5;5;7;7;5;5;4;3;25;20;NA;7;7;7;7;7;NA;3;2;1;3;2;21;14;21;NA;7;14;6;7;4;5;4;7;6;5;6;3;4;6;6;7;7;6;6;1;5.625;6.66666666666667;6.2;5.75;5.6;6
"Male";40;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";4;6;5;3;3;6;7;7;7;7;7;7;7;4;7;7;2;2;7;7;7;1;7;5;1;4;3;2;4;5;1;1;1;4;2;3;6;6;7;7;5;1;6;6;24;16;NA;7;7;4;7;7;NA;1;1;1;1;1;7;7;7;NA;4;7;7;7;6;1;4;7;7;7;7;1;1;NA;NA;6;6;NA;NA;1;3.5;7;6.4;4.5;5.8;7
"Male";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";15;"Ja, ik doe HBO (hogeschool)";NA;5;7;5;5;5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;4;3;5;5;2;1;1;4;2;4;5;7;7;6;3;3;12;8;25;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;6;4;4;4;4;1;3.125;NA;NA;NA;NA;NA
"Male";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe HBO (hogeschool)";NA;5;6;6;1;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;7;3;2;3;2;1;1;4;1;1;7;7;7;7;4;4;3;7;14;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";6;6;4;2;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;4;2;2;6;5;1;1;3;5;1;1;5;5;7;7;2;3;2;2;30;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;5;NA;NA;NA;NA;1;2.33333333333333;NA;NA;NA;NA;NA
"Male";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";5;"Ja, ik doe WO (universiteit)";NA;4;5;6;3;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;5;5;2;6;5;2;2;2;5;4;3;5;6;6;7;6;6;6;20;30;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;3;3;NA;3;3;1;2.28571428571429;NA;NA;NA;NA;NA
"Male";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";6;"Ja, ik doe MBO (ROC)";NA;5;6;4;2;4;7;5;4;2;7;2;6;6;1;4;6;5;5;7;7;7;6;6;3;3;4;3;1;4;4;3;1;4;3;1;5;6;6;6;6;3;12;5;3;24;12;6;6;6;6;7;6;5;5;5;5;5;5;30;30;35;30;30;30;4;5;4;2;1;5;5;5;5;1;1;1;NA;NA;NA;3;3;1;1.8;3.66666666666667;4.4;5;6.6;5
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";3;5;6;3;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;5;3;2;4;6;1;1;1;6;3;4;4;6;7;7;2;4;8;9;16;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;7;7;7;7;7;7;1;6.25;NA;NA;NA;NA;NA
"Male";50;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";5;2;4;1;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;5;3;3;4;4;3;4;3;3;4;5;5;4;5;6;8;12;15;15;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;1;1;NA;1;1;NA;NA;NA;NA;NA
"Male";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";10;"Ja, ik doe HBO (hogeschool)";NA;5;7;2;2;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;4;3;4;2;4;1;3;1;1;4;5;7;7;4;3;9;12;4;20;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";71;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"HAVO";5;5;7;4;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;7;3;3;2;3;2;2;1;1;6;3;2;5;6;7;7;1;7;4;9;15;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";24;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";3;6;7;2;4;6;7;6;6;7;7;7;7;2;3;6;3;6;7;7;7;1;7;4;4;2;5;2;4;5;1;1;1;2;2;3;6;7;7;7;4;4;6;10;24;4;NA;NA;3;2;7;6;NA;NA;4;4;4;4;NA;12;28;NA;8;24;6;7;3;2;4;7;7;7;7;3;4;7;6;6;NA;NA;NA;1;5.2;6.33333333333333;6;4.5;5.8;7
"Male";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";6;6;4;1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;4;3;4;7;6;1;1;1;4;1;1;7;7;7;7;2;1;4;3;49;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;4;7;7;7;7;7;7;1;6.625;NA;NA;NA;NA;NA
"Female";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;6;5;3;5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;1;4;5;4;2;2;2;3;3;2;5;6;6;6;4;4;8;3;25;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";4;"Ja, ik doe HBO (hogeschool)";NA;5;3;4;1;2;4;7;7;7;7;7;7;7;4;6;5;2;1;7;7;7;1;7;2;1;4;2;5;6;7;1;1;1;5;2;4;7;7;7;7;2;1;20;4;42;20;3;3;2;2;7;4;1;1;1;1;1;1;3;2;7;3;2;4;7;7;6;1;4;1;1;1;1;1;1;7;NA;7;7;NA;7;1;5;7;6.4;3.5;5.8;1
"Other (e.g. genderqueer, nonbinary)";22;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;5;6;4;1;3;5;7;7;7;7;6;7;7;4;6;7;5;4;7;7;7;1;7;1;1;5;4;1;4;5;1;1;3;3;2;3;5;6;5;5;1;3;3;8;20;15;7;7;7;7;7;7;6;6;5;4;5;4;42;35;35;42;28;28;6;7;3;2;5;3;2;3;3;1;2;7;NA;7;NA;4;NA;1;4.2;7;6.2;5.5;5.8;2.75
"Male";22;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;5;7;6;3;5;6;7;7;7;7;7;7;7;4;7;7;7;7;7;7;7;1;7;3;2;5;2;1;7;5;1;1;1;6;2;3;7;7;7;7;3;2;3;4;49;30;7;7;7;7;7;7;7;7;7;1;7;7;49;49;49;49;7;49;3;3;5;5;4;6;7;5;6;1;2;6;7;NA;NA;7;NA;1;4.6;7;6.4;7;5.8;6
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";24;"Ja, ik doe HBO (hogeschool)";NA;5;7;6;6;6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;4;4;4;4;2;1;3;4;2;3;7;7;6;7;2;6;12;8;28;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";55;"Nee, ik volg op dit moment geen studie";"VMBO (vroeger MAVO)";6;7;4;4;4;6;7;6;4;7;6;6;6;1;5;5;3;4;6;6;6;4;6;2;1;4;2;2;4;4;1;2;2;3;1;4;6;6;6;6;4;2;8;2;24;12;6;4;4;3;7;6;1;1;1;1;1;1;4;4;7;6;3;6;5;5;6;1;1;2;2;2;2;1;1;1;NA;2;2;1;1;1;1.28571428571429;5.66666666666667;5.2;4.25;5.6;2
"Male";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";50;"Ja, ik doe MBO (ROC)";NA;5;6;2;4;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;5;3;3;5;3;2;1;2;2;1;2;7;7;7;6;2;4;6;3;35;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";19;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;7;5;3;5;3;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;4;4;4;3;1;1;2;3;2;3;4;7;7;7;2;4;12;8;16;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";4;5;5;4;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;4;3;3;5;5;3;1;3;4;4;3;5;6;6;6;2;9;9;12;25;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";9;"Ja, ik doe MBO (ROC)";NA;5;6;4;3;2;7;7;7;7;7;7;7;7;4;5;4;4;5;7;7;7;6;7;2;4;4;4;3;5;3;1;1;1;2;2;4;5;7;7;7;2;4;12;8;25;8;7;7;7;7;7;7;6;6;5;4;5;6;42;35;35;42;28;42;6;7;6;1;6;7;7;6;7;1;1;5;NA;7;7;7;7;1;5;7;6.4;4.5;6.8;6.75
"Female";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";2;"Ja, ik doe MBO (ROC)";NA;5;5;6;2;4;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;4;4;4;4;4;1;4;2;3;2;1;2;7;7;7;4;4;4;8;8;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";39;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Ja, ik doe MBO (ROC)";NA;7;7;3;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;7;3;3;3;3;3;1;1;1;1;1;1;4;7;7;7;7;7;3;3;12;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Male";26;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"HAVO";6;5;3;4;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;5;6;2;3;2;3;4;2;2;2;3;6;6;7;9;12;12;10;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;1;1;1;1;1;NA;NA;NA;NA;NA
"Female";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe HBO (hogeschool)";NA;5;5;4;3;5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;3;1;3;2;6;1;3;2;1;2;6;7;6;7;1;3;2;3;18;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";31;"Ik wil deze vraag niet beantwoorden";NA;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";6;7;2;5;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;5;2;1;5;4;1;1;1;3;2;1;6;6;6;6;1;1;1;4;30;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA
"Female";32;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";28;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;6;5;2;3;6;7;7;7;7;7;7;7;5;7;7;7;5;7;7;2;2;7;2;1;4;2;5;5;6;1;1;1;5;1;2;6;6;7;6;2;1;10;2;30;20;7;7;7;5;7;7;2;2;1;1;2;2;14;7;14;14;5;14;7;7;5;7;4;1;1;1;1;1;3;7;7;7;7;NA;7;1;5.57142857142857;7;6.6;6.5;5;1
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";4;7;5;5;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;4;4;4;4;4;1;1;1;3;3;3;5;5;7;7;1;1;12;12;20;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;5;2;NA;5;NA;1;3;NA;NA;NA;NA;NA
"Male";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";18;"Ja, ik doe HBO (hogeschool)";NA;5;5;4;4;3;4;7;7;6;6;5;7;7;4;6;6;6;7;7;7;7;3;7;2;1;4;4;3;4;4;1;1;3;4;2;3;6;7;7;7;2;3;9;8;24;16;NA;5;5;4;NA;7;NA;5;4;2;NA;5;25;20;NA;NA;8;35;4;3;5;5;4;5;5;5;5;1;1;1;NA;NA;3;3;3;1;2;6.66666666666667;5.8;6.25;6.2;5
"Male";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";38;"Nee, ik volg op dit moment geen studie";"VMBO (vroeger MAVO)";5;6;4;4;2;6;7;7;7;7;7;7;4;1;7;7;7;4;7;7;7;2;7;4;3;5;3;1;5;7;1;1;3;2;3;1;6;7;5;4;4;9;1;9;30;10;NA;7;7;3;7;7;NA;1;1;1;1;1;7;7;7;NA;3;7;5;7;7;1;4;7;7;4;7;NA;NA;7;NA;7;NA;NA;NA;1;7;7;5.2;6.25;6;6.25
"Female";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";6;"Ja, ik doe HBO (hogeschool)";NA;3;6;5;2;3;4;7;7;7;7;7;7;7;4;5;7;6;7;7;7;7;1;7;1;1;3;4;1;7;7;1;1;1;7;4;1;7;7;7;7;1;1;1;16;49;21;7;7;6;6;7;7;1;1;1;1;1;1;7;6;7;7;6;7;7;7;6;1;4;7;7;7;7;3;7;NA;7;NA;NA;7;7;1;6.2;7;6.4;6.25;5.8;7
