"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"siba_CIBERlite_intention";"siba_CIBERlite_attInstrumental";"siba_CIBERlite_attExperiential";"siba_CIBERlite_pnInjunctive";"siba_CIBERlite_pnDescriptive";"siba_CIBERlite_pbcCapacity";"siba_CIBERlite_pbcControl";"siba_AttExpect_takenSeriously";"siba_AttExpect_rattlesPerson";"siba_AttExpect_angryReaction";"siba_AttExpect_nosy";"siba_AttExpect_atmosphere";"siba_AttExpect_ruinFunnySituation";"siba_AttExpect_prude";"siba_AttExpect_respectFriend";"siba_AttExpect_respectOther";"siba_AttExpect_responseEfficacy";"siba_AttExpect_positiveReaction";"siba_AttExpect_lastingChange";"siba_AttValue_takenSeriously";"siba_AttValue_rattlesPerson";"siba_AttValue_angryReaction";"siba_AttValue_nosy";"siba_AttValue_atmosphere";"siba_AttValue_ruinFunnySituation";"siba_AttValue_prude";"siba_AttValue_respectFriend";"siba_AttValue_respectOther";"siba_AttValue_responseEfficacy";"siba_AttValue_positiveReaction";"siba_AttValue_lastingChange";"siba_NrmInjunct_partner";"siba_NrmInjunct_bestFriends";"siba_NrmInjunct_otherFriends";"siba_NrmInjunct_partyPeople";"siba_NrmInjunct_parents";"siba_NrmInjunct_siblings";"siba_NrmMTC_partner";"siba_NrmMTC_bestFriends";"siba_NrmMTC_otherFriends";"siba_NrmMTC_partyPeople";"siba_NrmMTC_parents";"siba_NrmMTC_siblings";"siba_NrmDescr_partner";"siba_NrmDescr_bestFriends";"siba_NrmDescr_otherFriends";"siba_NrmDescr_partyPeople";"siba_NrmDescr_parents";"siba_NrmDescr_siblings";"siba_PBCBeliefs_knowWhatToSay";"siba_PBCBeliefs_dealWithAnger";"siba_PBCBeliefs_recognize";"siba_MoralNorm_guilt";"siba_MoralNorm_responsibility";"siba_MoralNorm_moralDuty";"siba_MoralNorm_protectFromSelf";"siba_attProduct_angryReaction";"siba_attProduct_atmosphere";"siba_attProduct_lastingChange";"siba_attProduct_nosy";"siba_attProduct_positiveReaction";"siba_attProduct_prude";"siba_attProduct_rattlesPerson";"siba_attProduct_respectFriend";"siba_attProduct_respectOther";"siba_attProduct_responseEfficacy";"siba_attProduct_ruinFunnySituation";"siba_attProduct_takenSeriously";"siba_nrmProduct_bestFriends";"siba_nrmProduct_otherFriends";"siba_nrmProduct_parents";"siba_nrmProduct_partner";"siba_nrmProduct_partyPeople";"siba_nrmProduct_siblings";"siba_intention";"siba_attitude";"siba_perceivedNorm";"siba_pbc"
"Female";26;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";34;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"VMBO (vroeger MAVO)";5;5;5;5;3;5;5;7;6;1;1;4;1;1;7;7;7;4;4;-3;1;3;0;0;2;2;0;0;3;3;3;7;7;7;7;7;7;7;7;5;1;7;7;3;6;4;1;7;7;7;7;5;6;6;6;7;3;0;12;0;12;2;6;0;0;21;2;-21;49;35;49;49;7;49;5;5;4;5
"Female";16;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";3;"Ja, ik doe VWO";NA;3;4;2;4;3;2;3;2;4;3;5;3;4;5;5;6;3;3;1;-1;-1;-2;0;-2;-1;-1;-2;-2;2;2;2;NA;5;4;2;6;4;NA;5;4;5;3;1;NA;5;2;2;1;4;2;2;1;6;6;5;5;-6;-6;2;0;6;-5;-4;-10;-12;6;-4;-2;25;16;18;NA;10;4;3;3;3.5;2.5
"Female";16;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";1;"Ja, ik doe VWO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";5;5;5;5;2;5;5;5;6;3;2;4;4;1;7;7;7;5;7;-1;1;-3;0;0;0;0;0;-3;0;3;3;4;7;4;2;7;4;4;4;4;1;4;4;5;6;4;1;6;5;7;7;7;4;6;7;4;-9;0;21;0;15;0;6;0;-21;0;0;-5;28;16;28;16;2;16;5;5;3.5;5
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe HBO (hogeschool)";NA;4;4;3;4;3;4;5;6;6;3;2;4;3;4;6;7;6;5;5;3;0;-2;-2;-2;1;2;-1;-2;3;3;3;7;7;7;6;7;7;4;5;4;2;4;3;6;6;5;4;6;6;5;5;5;3;5;6;6;-6;-8;15;-4;15;8;0;-6;-14;18;3;18;35;28;28;28;12;21;4;3.5;3.5;4.5
"Male";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";12;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";15;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";25;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";4;4;2;4;3;4;4;6;6;3;5;4;3;3;5;5;6;4;5;-3;-3;-3;-1;-1;0;2;-1;-1;3;3;3;7;7;5;5;7;7;7;7;5;1;7;7;7;5;4;2;6;6;2;2;2;5;3;3;5;-9;-4;15;-5;12;6;-18;-5;-5;18;0;-18;49;25;49;49;5;49;4;3;3.5;4
"Female";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";5;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";24;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;4;3;4;2;4;5;3;5;5;3;2;5;5;3;5;5;3;4;-1;0;-1;0;0;0;0;0;-2;3;3;3;7;6;5;4;7;7;7;6;5;2;7;7;7;6;5;3;7;7;7;6;4;6;6;7;6;-5;0;12;0;9;0;0;0;-10;15;0;-3;36;25;49;49;8;49;4;3.5;3;4.5
"Male";25;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;4;5;2;3;2;4;5;6;6;3;7;4;1;2;6;6;6;2;3;-3;2;-1;-2;-3;0;-1;-3;-3;3;3;2;NA;7;6;5;7;7;NA;7;5;1;6;6;NA;7;5;3;7;6;2;3;1;6;6;7;5;-3;-12;6;-14;6;-2;12;-18;-18;18;0;-18;49;30;42;NA;5;42;4;3.5;2.5;4.5
"Other (e.g. genderqueer, nonbinary)";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe WO (universiteit)";NA;3;3;3;3;1;3;2;4;5;6;5;1;1;6;5;7;5;4;3;-2;0;-3;-1;-2;-1;0;0;0;3;3;3;NA;7;4;4;5;5;NA;7;4;4;5;4;NA;5;5;5;4;4;3;5;5;5;6;6;5;-18;-2;9;-5;12;0;0;0;0;15;-1;-8;49;16;25;NA;16;20;3;3;2;2.5
"Male";NA;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";30;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;3;2;4;2;4;4;6;6;4;5;3;5;3;5;5;5;5;4;-1;-1;-2;0;-1;-1;-2;-1;-1;1;2;2;6;6;5;5;NA;4;5;4;3;2;NA;2;7;5;6;3;NA;4;3;3;2;6;6;6;6;-8;-3;8;0;10;-6;-6;-5;-5;5;-5;-6;24;15;NA;30;10;8;4;2.5;3;4
"Female";30;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";25;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";5;5;3;5;3;5;4;5;5;4;2;3;1;3;5;7;5;5;5;-3;-1;-2;-1;0;0;0;-1;-1;3;3;3;NA;7;6;6;7;7;NA;7;6;4;7;7;NA;7;6;5;7;7;7;7;3;7;7;7;5;-8;0;15;-2;15;0;-5;-5;-7;15;0;-15;49;36;49;NA;24;49;5;4;4;4.5
"Female";NA;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe WO (universiteit)";NA;4;3;2;4;5;5;5;4;4;3;3;3;5;1;3;6;5;3;3;-1;-1;-2;0;-2;-1;0;0;0;2;2;2;7;7;4;4;4;4;6;6;4;5;1;1;4;6;2;3;2;2;6;2;4;3;5;5;4;-6;-6;6;0;6;0;-4;0;0;10;-5;-4;42;16;4;42;20;4;4;2.5;4.5;5
"Female";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";4;4;3;5;4;4;5;5;7;2;1;6;1;1;6;6;6;6;3;-2;1;-3;1;-1;1;2;3;3;3;3;3;7;7;7;3;7;6;7;7;6;2;7;7;3;6;5;2;6;4;7;6;5;5;4;6;5;-6;-6;9;1;18;2;7;18;18;18;1;-10;49;42;49;49;6;42;4;3.5;4.5;4.5
"Female";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";28;"Ja, ik doe WO (universiteit)";NA;4;5;2;4;3;4;5;6;5;5;4;2;2;2;4;6;6;5;5;-3;-1;-2;0;-1;0;0;-1;-1;3;2;2;NA;5;5;3;6;4;NA;5;5;5;5;5;NA;5;4;3;5;3;6;3;5;3;2;2;2;-10;-2;10;0;10;0;-5;-4;-6;18;0;-18;25;25;30;NA;15;20;4;3.5;3.5;4.5
"Female";27;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";34;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";5;5;2;4;2;4;5;6;7;4;2;1;1;5;5;7;7;6;5;-3;0;-3;-2;0;0;0;0;-1;3;3;2;NA;6;5;3;4;7;NA;7;5;3;7;7;NA;6;5;2;6;6;6;6;4;6;6;7;6;-12;0;10;-4;18;0;0;0;-7;21;0;-18;42;25;28;NA;9;49;5;3.5;3;4.5
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe HAVO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;5;2;4;2;3;5;4;5;4;6;4;1;2;5;4;5;4;4;-2;0;-1;0;-1;-1;0;0;-1;3;3;3;7;7;7;7;7;7;7;7;6;4;7;7;6;5;4;3;6;5;5;3;3;6;5;6;4;-4;-4;12;0;12;0;0;0;-4;15;-1;-8;49;42;49;49;28;49;4;3.5;3;4
"Male";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";43;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";4;5;3;5;3;5;5;5;3;1;4;4;4;5;6;7;4;5;2;-2;0;-1;0;-1;-1;-1;-1;-2;2;2;2;NA;5;5;5;NA;7;NA;6;4;3;NA;4;NA;5;4;3;NA;7;7;4;4;3;3;5;5;-1;-4;4;0;10;-5;0;-6;-14;8;-4;-10;30;20;NA;NA;15;28;4;4;4;5
"Female";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";5;5;5;5;4;5;5;7;7;7;4;2;7;5;1;7;7;2;5;-3;-2;-3;2;-3;-3;1;-3;-3;3;3;3;7;6;4;4;7;7;7;7;4;4;7;7;7;7;6;4;6;6;7;6;5;7;7;7;7;-21;-6;15;8;6;5;-14;-3;-21;21;-21;-21;42;16;49;49;16;49;5;5;4.5;5
"Female";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";50;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";22;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";65;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";4;4;3;5;2;3;5;4;4;4;4;4;2;2;7;7;6;4;2;-1;2;0;0;-1;0;0;-2;-2;3;3;3;7;7;6;6;7;7;7;7;4;1;4;5;6;6;4;2;7;4;7;7;5;7;7;7;7;0;-4;6;0;12;0;8;-14;-14;18;0;-4;49;24;28;49;6;35;4;3.5;3.5;4
"Female";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";4;4;2;5;3;4;5;5;6;4;4;3;2;2;5;6;5;6;4;-1;0;-1;0;0;2;0;-2;-2;0;3;3;7;5;5;5;7;7;4;4;4;4;4;4;7;6;5;5;7;6;5;5;3;6;6;6;6;-4;0;12;0;18;0;0;-10;-12;0;4;-5;20;20;28;28;20;28;4;3;4;4.5
"Male";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Ik wil deze vraag niet beantwoorden";"HAVO";4;4;3;3;3;4;4;5;5;3;3;4;4;1;5;6;5;4;3;-1;0;0;0;0;0;0;0;0;2;2;2;NA;5;3;4;NA;4;NA;2;1;1;NA;1;NA;4;3;4;NA;3;5;3;4;4;5;5;1;0;0;6;0;8;0;0;0;0;10;0;-5;10;3;NA;NA;4;4;4;3.5;3;4
"Female";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";28;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";16;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";16;"Ja, ik doe VWO";NA;4;5;5;5;2;5;5;7;5;1;2;2;3;2;6;7;5;4;4;3;-1;-3;0;-1;-1;0;-3;-3;3;3;3;5;4;3;2;7;5;1;1;1;1;1;1;3;3;3;3;1;1;7;5;5;4;4;4;4;-3;-2;12;0;12;0;-5;-18;-21;15;-3;21;4;3;7;5;2;5;4;5;3.5;5
"Male";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";3;3;2;3;3;4;4;5;5;3;5;4;2;3;3;5;5;2;5;-1;-1;-1;0;-2;1;0;0;-1;1;1;1;6;3;4;6;6;5;6;5;2;2;5;5;4;4;4;4;4;4;5;6;6;3;5;5;5;-3;-8;5;0;2;0;-5;0;-5;5;2;-5;15;8;30;36;12;25;3;2.5;3;4
"Male";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";16;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";27;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";34;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";4;3;2;4;4;4;4;2;6;5;3;4;3;3;7;5;4;2;2;-2;1;-2;0;-2;-1;1;-2;-1;2;3;3;7;7;5;3;7;7;6;6;5;1;7;7;6;6;5;2;7;6;6;3;5;6;6;7;6;-10;-8;6;0;6;3;6;-14;-5;8;-3;-4;42;25;49;42;3;49;4;2.5;4;4
"Male";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";16;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";6;"Ja, ik doe HBO (hogeschool)";NA;5;4;2;5;4;4;4;5;6;3;6;4;2;5;7;7;6;3;4;-2;-1;-3;0;0;1;0;-3;-3;3;3;3;7;6;6;7;7;4;5;7;6;3;3;3;7;6;5;3;1;1;6;4;2;6;3;6;5;-9;0;12;0;9;0;-6;-21;-21;18;2;-10;42;36;21;35;21;12;5;3;4.5;4
"Female";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Nee, ik volg op dit moment geen studie";"HAVO";5;5;1;4;3;4;4;6;7;5;2;4;1;1;6;7;7;4;6;-3;-2;-3;-2;-2;0;0;-2;-2;3;3;3;NA;7;7;4;7;7;NA;6;6;4;6;6;NA;6;5;2;6;6;7;1;2;6;4;6;1;-15;-8;18;-4;12;0;-14;-12;-14;21;0;-18;42;42;42;NA;16;42;5;3;3.5;4
"Female";16;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";25;"Ja, ik doe HAVO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";15;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Ja, ik doe HBO (hogeschool)";NA;5;5;3;5;3;5;5;7;7;1;1;4;4;2;6;6;4;7;7;-3;1;-3;-3;-3;0;-3;-3;-3;3;3;3;7;7;3;5;7;7;7;7;3;1;7;7;7;7;4;4;7;5;7;7;5;6;6;6;7;-3;-12;21;-3;21;-6;7;-18;-18;12;0;-21;49;9;49;49;5;49;5;4;4;5
"Female";21;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";17;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe MBO (ROC)";NA;4;2;2;1;2;2;5;4;6;6;6;2;5;6;4;4;5;2;6;-1;-1;-3;-2;-2;-2;-2;-2;0;-2;2;0;7;6;4;3;6;6;7;7;5;3;6;6;5;5;4;3;5;5;3;2;2;6;4;3;4;-18;-4;0;-12;4;-12;-6;-8;0;-10;-10;-4;42;20;36;49;9;36;4;2;1.5;3.5
