"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"xtcUseDoseHigh";"xtcUseDosePref";"xtcUsePillHigh";"xtcUsePillPref";"weight_other";"highDose_IntentionRAA_intention";"highDose_IntentionRAA_want";"highDose_IntentionRAA_expectation";"highDose_IntentionFrq_freq.0";"highDose_IntentionFrq_freq.1";"highDose_AttGeneral_good";"highDose_AttGeneral_prettig";"highDose_AttGeneral_slim";"highDose_AttGeneral_gezond";"highDose_AttGeneral_spannend";"highDose_NormGeneral_in1";"highDose_NormGeneral_in2";"highDose_NormGeneral_dn1";"highDose_NormGeneral_dn2";"highDose_PBCgeneral_ifwanted";"highDose_PBCgeneral_easy";"highDose_PBCgeneral_control";"highDose_PBCgeneral_externalFactors";"highDose_PBCgeneral_notOnlyMe";"highDose_OpenWhy";"highDose_OpenWhyNot";"highDose_AttBeliefs_long";"highDose_AttBeliefs_intensity";"highDose_AttBeliefs_intoxicated";"highDose_AttBeliefs_energy";"highDose_AttBeliefs_euphoria";"highDose_AttBeliefs_insight";"highDose_AttBeliefs_connection";"highDose_AttBeliefs_contact";"highDose_AttBeliefs_sex";"highDose_AttBeliefs_coping";"highDose_AttBeliefs_isolated";"highDose_AttBeliefs_boundaries";"highDose_AttBeliefs_music";"highDose_AttBeliefs_hallucinate";"highDose_AttBeliefs_timeAwareness";"highDose_AttBeliefs_memory";"highDose_AttBeliefs_health";"highDose_AttBeliefs_better";"highDose_AttBeliefs_physicalSideEffects";"highDose_AttBeliefs_psychicSideEffects";"highDose_AttBeliefs_regret";"highDose_AttDesirable_long";"highDose_AttDesirable_intens";"highDose_AttDesirable_intoxicated";"highDose_AttDesirable_energy";"highDose_AttDesirable_euphoria";"highDose_AttDesirable_insight";"highDose_AttDesirable_connection";"highDose_AttDesirable_contact";"highDose_AttDesirable_sex";"highDose_AttDesirable_coping";"highDose_AttDesirable_isolated";"highDose_AttDesirable_boundaries";"highDose_AttDesirable_purity";"highDose_AttDesirable_music";"highDose_AttDesirable_hallucinate";"highDose_AttDesirable_timeAwareness";"highDose_AttDesirable_memory";"highDose_NormBeliefs_partner";"highDose_NormBeliefs_bestFriends";"highDose_NormBeliefs_xtcFriends";"highDose_NormBeliefs_otherFriends";"highDose_NormBeliefs_partyPeople";"highDose_NormBeliefs_parents";"highDose_NormBeliefs_siblings";"highDose_NormMTC_partner";"highDose_NormMTC_bestFriends";"highDose_NormMTC_xtcFriends";"highDose_NormMTC_otherFriends";"highDose_NormMTC_partyPeople";"highDose_NormMTC_parents";"highDose_NormMTC_siblings";"highDose_DescrNorm_partner";"highDose_DescrNorm_bestFriends";"highDose_DescrNorm_xtcFriends";"highDose_DescrNorm_otherFriends";"highDose_DescrNorm_partyPeople";"highDose_DescrNorm_parents";"highDose_DescrNorm_siblings";"highDose_ContrBeliefs_sayNo";"highDose_ContrBeliefs_highDoseEasy";"highDose_ContrBeliefs_normalDoseEasy";"highDose_ContrBeliefs_easyHighDoseWhenHigh";"highDose_ContrBeliefs_easyNormalDoWhenHigh";"highDose_Tolerance_tolerance";"highDose_attProduct_boundaries";"highDose_attProduct_connection";"highDose_attProduct_contact";"highDose_attProduct_coping";"highDose_attProduct_energy";"highDose_attProduct_euphoria";"highDose_attProduct_hallucinate";"highDose_attProduct_insight";"highDose_attProduct_intoxicated";"highDose_attProduct_isolated";"highDose_attProduct_long";"highDose_attProduct_memory";"highDose_attProduct_music";"highDose_attProduct_sex";"highDose_attProduct_timeAwareness";"highDose_normProduct_bestFriends";"highDose_normProduct_otherFriends";"highDose_normProduct_parents";"highDose_normProduct_partner";"highDose_normProduct_partyPeople";"highDose_normProduct_siblings";"highDose_normProduct_xtcFriends";"highDose_intention";"highDose_attitude";"highDose_perceivedNorm";"highDose_pbc"
"Male";32;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";55;"Nee, ik volg op dit moment geen studie";"HAVO";NA;NA;2;1;80;7;7;7;"5";1;6;6;4;4;4;4;4;4;4;7;7;7;1;7;NA;NA;2;2;2;2;2;0;0;2;0;0;0;0;0;2;2;-1;0;0;0;0;0;2;2;2;2;2;0;0;2;0;0;0;0;3;3;0;0;3;NA;7;7;4;7;1;1;NA;0;0;0;0;0;0;NA;5;5;1;6;1;1;7;7;7;7;7;1;0;0;4;0;4;4;0;0;4;0;4;-3;0;0;0;0;0;0;NA;0;0;0;7;4.8;4;5.8
"Male";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";35;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;1;0.5;60;1;1;1;"0";1;3;3;2;2;5;1;2;4;2;5;2;7;2;7;"hetzelfde als wat ik eerder zei: doseren is gewoon lastig. Ik kan me voorstellen dat het of min of meer per ongeluk gaat omdat men niet weet wat de dosis is, of er is sprake van resistentie door veelvuldig gebruik.";"Zoals jullie al zeiden: het is gevaarlijk.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;3;2;4;1;2;NA;1;1;-3;-3;1;1;NA;4;4;4;4;1;1;7;7;7;7;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-6;1;NA;-12;2;3;1;3;2.25;4.6
"Male";30;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";23;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;250;200;NA;NA;65;7;5;6;"3";1;5;6;4;2;5;1;4;4;5;7;7;7;2;7;"Bijnemen. Langer doorgaan. Heel zelden MDMA gebruiken, maar wel veel over een langere avond voor de ervaring.";"Minder dip de dag er na. Minder je lichaam naar de knoppen helpen. Vaker kunnen gebruiken, een kwartje kunnen doen om je trip op andere shit leuker te maken.";2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;1;3;3;-1;1;-3;-1;3;3;-1;-3;3;NA;5;6;5;6;1;5;NA;2;2;2;-3;1;-2;NA;5;6;5;6;1;5;7;7;7;7;7;5;-1;3;3;1;6;6;-1;1;6;-3;6;3;3;-1;-3;10;10;1;NA;-18;-10;12;6;4.4;3.5;6
"Female";40;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";36;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;2;1;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";13;"Ja, ik doe WO (universiteit)";NA;120;100;NA;NA;73;1;1;1;"0";1;4;5;3;3;7;1;7;1;1;7;7;7;4;4;"Euforie.";"Gezondheid.";1;3;3;0;3;1;0;0;3;1;3;1;1;0;0;0;-2;-1;1;2;1;-3;2;2;0;2;3;0;0;-1;0;0;2;3;0;-1;-1;0;6;4;NA;5;6;NA;NA;3;3;NA;1;-1;NA;NA;6;1;NA;5;6;NA;NA;7;7;7;7;6;1;2;0;0;0;0;6;0;3;6;0;-3;0;0;-3;0;12;5;NA;18;-6;NA;NA;1;4.4;2.5;5.8
"Female";27;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;90;90;NA;NA;68;6;6;7;"1";1;4;3;4;4;4;1;7;6;6;7;7;7;4;7;"Beschikbaarheid, denken dat een hoge dosis gelijk staat aan een 'betere' ervaring, gewenning.";"Een mildere trip willen ervaren, preciezer kunnen doseren.";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;0;2;1;-1;0;1;0;1;0;0;0;0;-1;3;3;2;-2;3;NA;6;6;3;6;2;2;NA;-3;-3;-3;-3;-3;-3;NA;6;6;2;6;1;1;7;7;7;4;7;5;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;-18;-9;-6;NA;-18;-6;-18;6.33333333333333;3.8;5;6.4
"Female";23;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";0;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;2;1;88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";250;150;NA;NA;65;2;2;2;"0";1;2;1;1;1;5;1;1;1;1;7;5;7;1;7;"Omdat ze heel hard willen gaan en meer energie willen. Of ze willen dat hun trip langer duurt en blijven bijnemen ondanks dat ze weten dat de love-feeling na een paar uur niet meer terug komt.";"Om een fijner love-feeling te krijgen, niet te hard te gaan en meer controle te krijgen/houder over de trip. Ook beperken van de kater / voorzichtiger zijn met jezelf.";0;3;3;2;0;0;0;0;-2;0;0;1;0;3;3;-2;-3;-2;3;2;2;3;1;0;1;3;3;1;1;1;0;-1;-2;1;1;0;-2;1;2;2;3;1;3;1;1;2;2;2;1;0;1;1;1;2;2;1;5;1;1;7;3;7;3;7;1;-2;0;0;0;2;0;0;0;0;0;0;-2;0;-2;-6;4;1;1;4;0;1;6;2;2;1;5.4
"Female";36;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";24;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";200;150;NA;NA;55;1;1;1;"1";1;3;4;3;3;4;1;2;1;1;7;7;7;1;7;"waarschijnlijk om 'harder' te gaan, meer van de wereld zijn";"genoeg controle willen houden";1;1;3;1;1;0;0;-1;-1;3;0;1;0;2;3;-3;-3;1;2;2;2;2;2;1;1;2;0;1;1;2;0;0;1;1;1;1;0;2;5;5;6;4;5;5;5;1;1;1;-1;-3;-1;-1;1;3;3;1;5;1;4;7;7;7;5;4;5;1;0;-1;0;1;2;2;0;3;0;2;-6;0;-2;0;5;-4;-5;5;-15;-5;6;1;3.4;1.25;5.8
"Female";33;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";32;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;3;1.5;65;4;4;1;"0";1;5;5;4;4;5;2;2;5;5;5;5;3;5;3;"omdat deze het meest te koop aangeboden worden in de scene";"gevaar voor overdosis";1;1;2;1;1;0;0;0;0;0;1;0;0;1;1;-1;0;1;0;1;0;1;-1;-1;2;3;2;3;2;1;1;-1;1;3;1;0;-1;1;7;7;7;4;5;1;2;3;3;1;1;-2;-1;-1;6;6;6;4;5;1;1;3;6;5;6;3;5;0;0;0;0;2;3;0;0;-2;-1;1;-1;0;0;-1;21;4;-1;21;-10;-2;7;3;4.6;3.5;4.2
"Female";26;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;1;0.75;61;5;5;5;"2";1;5;5;3;4;5;3;1;5;2;6;5;6;2;6;"Je hebt een intesere trip. Heftiger. ";"Omdat je nooit weet hoe je lichaam op dat moment reageert";2;3;2;2;2;1;2;2;-1;0;-1;1;1;2;-2;1;-1;0;0;0;0;2;3;1;2;2;1;2;2;-1;0;-1;-1;2;2;1;-3;2;NA;1;7;2;6;1;1;NA;-1;1;-2;-2;-3;-3;NA;1;5;2;6;1;1;5;5;5;5;5;5;-1;4;4;0;4;4;2;1;2;1;4;2;2;1;6;-1;-4;-3;NA;-12;-3;7;5;4.4;2.75;5
"Male";26;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";50;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;3;2;87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";24;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"HBO (hogeschool)";NA;NA;1.5;1;65;4;3;3;"4";1;4;4;4;2;4;2;1;3;3;6;6;7;2;6;NA;"Gevaarlijk";0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;-2;-3;0;1;1;0;1;1;0;1;1;1;1;1;-2;0;-1;-2;1;1;-3;1;1;7;7;7;3;4;1;1;3;2;2;1;-1;-2;-2;6;3;5;1;6;1;1;7;6;6;6;3;5;0;0;0;0;0;0;0;0;0;0;0;-2;0;6;0;14;3;-2;21;-4;-2;14;3.33333333333333;3.6;2.25;5.4
"Female";23;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe WO (universiteit)";NA;105;105;NA;NA;83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";23;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;400;250;NA;NA;65;4;4;4;"1";1;3;6;3;3;5;4;2;4;5;5;5;7;6;6;"Ik denk om het effect goed te laten beginnen en lang te laten aanhouden. Hoe langer ik op een feestje sta, hoe meer ik gebruik.";"Iedereen weet dat het slecht is. Een kater is een goed iets want dat helpt je herinneren dat als je teveel neemt dat je even niet meer moet gebruiken. Als je bovendien echt teveel neemt kan je aan het eind van de avond niet meer normaal functioneren en nadenken.";2;2;3;3;1;0;-2;-2;0;0;1;0;2;2;-1;-1;-3;-1;2;0;0;3;3;-1;2;2;0;2;3;2;-3;-2;-2;0;2;-3;-1;1;NA;4;3;4;4;1;1;NA;-1;1;0;1;-2;-3;NA;6;5;5;5;1;1;7;6;6;4;7;5;0;-4;-6;0;6;2;-6;0;-3;-2;6;-1;4;0;1;-4;0;-2;NA;4;-3;3;4;4;3.75;5.8
"Female";20;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";12;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;2.5;2.25;95;6;6;7;"2";1;5;5;3;1;6;6;6;6;6;7;6;6;5;4;"om plezier te hebben";"omdat je de vorige keer al erg hard ging";3;3;3;3;3;3;3;3;1;2;3;2;2;2;2;0;-3;2;0;-1;1;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;0;2;NA;7;7;3;6;1;2;NA;2;2;-1;1;-2;-2;NA;6;6;2;2;1;1;4;4;4;4;4;3;2;6;6;2;6;6;4;6;6;6;6;0;4;1;0;14;-3;-2;NA;6;-4;14;6.33333333333333;4;6;5.6
"Female";29;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";NA;NA;2;1;65;4;4;4;"0";1;4;3;4;3;4;3;3;1;6;6;6;3;5;4;"Een hoge dosis neem ik, omdat ik er behoefte aan heb mezelf helemaal kwijt te raken en op te gaan in het moment. Omdat ik al vrij vaak XTC heb gebruikt is het niet snel genoeg. Eenmaal begonnen, wil ik meestal meer. Ik probeer momenteel daar anders mee om te gaan, omdat het natuurlijk niet goed voor me is. Mijn vrienden lijken qua persoonlijkheid op mij (enerzijds moeite hebben met het controleren van impulsen, anderzijds een sterke behoefte aan zelfvergetelheid) en wij beinvloeden elkaar daarin als we samen XTC gebruiken. ";"Beter voor mijn fysieke en psychische gesteldheid. ";2;3;2;2;1;0;1;1;-2;3;0;0;3;1;3;-3;-3;2;3;3;3;3;3;-1;1;3;2;3;1;0;3;-2;0;3;3;-2;0;0;6;6;6;4;6;2;6;1;1;1;-2;-3;-2;-2;7;6;7;3;5;1;6;2;7;1;7;1;6;0;3;1;9;2;3;-2;0;-2;0;6;0;9;0;0;6;-8;-4;6;-18;-12;6;4;3.6;3.25;4.8
"Other (e.g. genderqueer, nonbinary)";21;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";23;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;100;100;NA;NA;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";8;"Ja, ik doe WO (universiteit)";NA;NA;NA;2;1.5;75;6;6;6;"1";1;2;6;3;3;6;3;6;6;6;6;5;6;2;6;NA;NA;2;2;2;2;3;2;2;3;-2;2;-2;2;2;2;2;0;-3;2;1;1;-1;2;2;2;2;3;1;3;2;3;-3;-3;2;3;3;2;-2;2;NA;3;6;5;6;1;4;NA;-2;2;0;-3;-2;-3;NA;3;7;1;6;1;1;6;6;5;3;3;1;4;6;6;-6;4;9;4;2;4;6;4;0;6;-6;-4;-6;0;-2;NA;-18;-12;12;6;4;5.25;5
"Male";43;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";40;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";140;180;NA;NA;65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";31;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";45;"Nee, ik volg op dit moment geen studie";"WO (universiteit)";200;200;2;15;74;4;4;4;"2";1;6;6;3;3;4;4;5;5;4;5;5;5;3;5;"Niet zo relevant. Voorlichting is relevant en of er niet teveel troep in XTC zit. Ik doe wel voorzichtig. ";"Minder kans op negatieve bijwerkingen. ";1;0;2;1;0;0;0;0;0;0;-1;1;1;-1;1;0;-1;0;0;1;0;2;2;1;1;2;2;1;2;0;0;-1;1;3;2;0;1;0;5;5;5;2;5;4;6;1;1;1;1;1;0;1;5;5;5;2;6;4;6;6;5;3;4;4;5;1;0;0;0;1;0;0;0;2;1;2;0;2;0;1;5;2;0;5;5;6;5;4;4.4;4.5;4.6
"Male";26;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;200;170;NA;NA;75;4;3;5;"1";1;4;6;4;4;5;3;2;3;5;7;5;6;4;4;NA;NA;2;2;2;1;2;-1;3;3;0;3;0;0;3;1;3;-2;0;2;2;1;0;2;2;0;3;3;1;3;2;-2;2;-2;0;3;3;1;1;3;5;5;5;4;6;4;4;2;0;1;-3;1;-3;-3;4;5;6;4;5;1;1;3;7;4;6;2;6;0;9;6;6;3;6;1;-1;0;0;4;-6;9;0;3;0;-12;-12;10;6;-12;5;4;4.6;3.25;5.2
"Male";19;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;400;300;NA;NA;74;4;4;4;"0";1;5;6;4;3;4;1;6;1;4;7;5;7;2;6;"De meeste mensen die ik ken die hoge dosisen xtc nemen daarbij ook speed daar ben ik vanwege bijkomende neurotoxicitijd erg tegen. Ik neem nooit meer dan 400 miligram op een avond omdat ik het te ongezond vind en omdat ik dan verwacht dat de dip te groot word. de belangrijkste reden om hoge dosis te nemen is volgens mij om langer hard te kunnen gaan.";"het is minder slecht voor je en de dip word kleiner. ook herinner je je meer van de avond/dag.";2;3;3;1;2;0;1;-1;-1;0;3;0;2;0;0;-3;-2;-1;1;0;0;3;1;0;0;3;0;3;2;-1;1;-2;-1;3;3;2;0;3;NA;6;7;3;5;3;4;NA;0;0;-2;-2;0;0;NA;2;3;3;4;1;7;6;7;7;4;7;1;0;3;-2;0;0;6;0;0;0;-6;6;-9;6;1;0;0;-6;0;NA;-10;0;0;4;4.4;3;5.4
"Male";27;"Ik wil deze vraag niet beantwoorden";NA;"Ik wil deze vraag niet beantwoorden";"Ik wil deze vraag niet beantwoorden";200;175;NA;NA;80;5;5;6;"3";1;2;4;2;2;5;1;1;1;1;3;3;5;4;6;"Onwetendheid over hoeveelheid MDMA in de pillen tegenwoordig.";"Gezondheidsredenen. ";1;2;2;-2;-1;-2;-2;-2;-2;2;2;-2;1;2;2;-3;-3;0;2;2;0;2;0;0;2;2;2;3;3;0;1;-3;0;3;3;0;-2;3;NA;2;3;5;5;NA;4;NA;1;2;1;-3;NA;1;NA;1;3;5;6;NA;4;7;3;6;3;3;2;0;-6;-6;2;-4;-2;0;-4;0;-6;2;-9;3;0;-4;2;5;NA;NA;-15;4;6;5.33333333333333;3;1;4.2
"Female";23;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;NA;NA;2;1;67;2;2;2;"0";1;2;1;2;3;4;1;7;5;7;5;4;7;4;6;"Gebruikers willen een intensere trip en willen harder gaan. Bovendien is het makkelijk om aan een hoge dosis te komen middels hooggedoseerde pillen, waardoor mensen eerder geneigd zijn een hogere dosis te nemen. Ik vind het niet prettig om een hoge dosis te nemen, omdat ik snel last krijg van misselijkheid en overgeven.";"Ik ervaar minder bijwerkingen als ik een lagere dosis gebruik en vind het prima om een mildere trip te hebben. Ik heb het veel meer naar mijn zin als ik niet extreem hard ga.";2;3;3;-1;0;0;1;1;0;1;-1;0;1;3;0;-2;-3;-3;3;2;0;2;2;-3;3;3;0;0;3;0;1;-2;-3;3;3;-3;0;3;NA;5;6;4;4;2;1;NA;1;1;-1;-1;1;0;NA;5;7;4;6;2;1;7;3;6;2;7;1;0;0;3;1;-3;0;-9;0;-9;2;4;-6;3;0;0;5;-4;2;NA;-4;0;6;2;2.4;5;5.2
"Male";18;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
