ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
"R House, R Senate",12/7/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.28,1456
"R House, D Senate",12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,203
"D House, D Senate",12/8/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.31,1091
"D House, R Senate",12/8/2019 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,624
"R House, R Senate",12/8/2019 12:00:00 AM,$0.28,$0.28,$0.26,$0.26,339
"R House, D Senate",12/8/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,14
"D House, D Senate",12/9/2019 12:00:00 AM,$0.31,$0.32,$0.31,$0.31,288
"D House, R Senate",12/9/2019 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,133
"R House, R Senate",12/9/2019 12:00:00 AM,$0.26,$0.27,$0.26,$0.27,177
"R House, D Senate",12/9/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,1398
"D House, D Senate",12/10/2019 12:00:00 AM,$0.31,$0.31,$0.29,$0.30,1378
"D House, R Senate",12/10/2019 12:00:00 AM,$0.49,$0.50,$0.49,$0.49,1361
"R House, R Senate",12/10/2019 12:00:00 AM,$0.27,$0.27,$0.26,$0.27,726
"R House, D Senate",12/10/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,455
"D House, D Senate",12/11/2019 12:00:00 AM,$0.30,$0.30,$0.28,$0.28,468
"D House, R Senate",12/11/2019 12:00:00 AM,$0.49,$0.50,$0.48,$0.48,876
"R House, R Senate",12/11/2019 12:00:00 AM,$0.27,$0.27,$0.26,$0.27,723
"R House, D Senate",12/11/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,8
"D House, D Senate",12/12/2019 12:00:00 AM,$0.28,$0.28,$0.24,$0.27,716
"D House, R Senate",12/12/2019 12:00:00 AM,$0.48,$0.50,$0.48,$0.50,873
"R House, R Senate",12/12/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.28,2775
"R House, D Senate",12/12/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,101
"D House, D Senate",12/13/2019 12:00:00 AM,$0.27,$0.28,$0.25,$0.27,1884
"D House, R Senate",12/13/2019 12:00:00 AM,$0.50,$0.50,$0.48,$0.50,541
"R House, R Senate",12/13/2019 12:00:00 AM,$0.28,$0.29,$0.27,$0.29,1092
"R House, D Senate",12/13/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,321
"D House, D Senate",12/14/2019 12:00:00 AM,$0.27,$0.27,$0.26,$0.27,150
"D House, R Senate",12/14/2019 12:00:00 AM,$0.50,$0.50,$0.49,$0.49,579
"R House, R Senate",12/14/2019 12:00:00 AM,$0.29,$0.29,$0.28,$0.28,1399
"R House, D Senate",12/14/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,105
"D House, D Senate",12/15/2019 12:00:00 AM,$0.27,$0.27,$0.25,$0.25,546
"D House, R Senate",12/15/2019 12:00:00 AM,$0.49,$0.51,$0.49,$0.51,1721
"R House, R Senate",12/15/2019 12:00:00 AM,$0.28,$0.29,$0.28,$0.29,198
"R House, D Senate",12/15/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,726
"D House, D Senate",12/16/2019 12:00:00 AM,$0.25,$0.26,$0.22,$0.24,1516
"D House, R Senate",12/16/2019 12:00:00 AM,$0.51,$0.51,$0.49,$0.50,703
"R House, R Senate",12/16/2019 12:00:00 AM,$0.29,$0.39,$0.28,$0.31,3407
"R House, D Senate",12/16/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,76
"D House, D Senate",12/17/2019 12:00:00 AM,$0.24,$0.25,$0.23,$0.25,189
"D House, R Senate",12/17/2019 12:00:00 AM,$0.50,$0.51,$0.50,$0.50,119
"R House, R Senate",12/17/2019 12:00:00 AM,$0.31,$0.32,$0.30,$0.31,747
"R House, D Senate",12/17/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,85
"D House, D Senate",12/18/2019 12:00:00 AM,$0.25,$0.26,$0.23,$0.26,588
"D House, R Senate",12/18/2019 12:00:00 AM,$0.50,$0.51,$0.49,$0.51,1276
"R House, R Senate",12/18/2019 12:00:00 AM,$0.31,$0.33,$0.30,$0.30,2366
"R House, D Senate",12/18/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,294
"D House, D Senate",12/19/2019 12:00:00 AM,$0.26,$0.26,$0.24,$0.25,1846
"D House, R Senate",12/19/2019 12:00:00 AM,$0.51,$0.53,$0.50,$0.52,1660
"R House, R Senate",12/19/2019 12:00:00 AM,$0.30,$0.32,$0.28,$0.28,2986
"R House, D Senate",12/19/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,466
"D House, D Senate",12/20/2019 12:00:00 AM,$0.25,$0.26,$0.25,$0.25,1150
"D House, R Senate",12/20/2019 12:00:00 AM,$0.52,$0.55,$0.52,$0.55,1792
"R House, R Senate",12/20/2019 12:00:00 AM,$0.28,$0.30,$0.28,$0.28,1107
"R House, D Senate",12/20/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,122
"D House, D Senate",12/21/2019 12:00:00 AM,$0.25,$0.26,$0.24,$0.24,1548
"D House, R Senate",12/21/2019 12:00:00 AM,$0.55,$0.56,$0.54,$0.55,2049
"R House, R Senate",12/21/2019 12:00:00 AM,$0.28,$0.30,$0.27,$0.27,1646
"R House, D Senate",12/21/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,519
"D House, D Senate",12/22/2019 12:00:00 AM,$0.24,$0.28,$0.23,$0.25,4071
"D House, R Senate",12/22/2019 12:00:00 AM,$0.55,$0.58,$0.54,$0.57,2152
"R House, R Senate",12/22/2019 12:00:00 AM,$0.27,$0.28,$0.26,$0.26,1905
"R House, D Senate",12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,859
"D House, D Senate",12/23/2019 12:00:00 AM,$0.25,$0.25,$0.24,$0.25,337
"D House, R Senate",12/23/2019 12:00:00 AM,$0.57,$0.57,$0.54,$0.55,852
"R House, R Senate",12/23/2019 12:00:00 AM,$0.26,$0.27,$0.25,$0.27,1241
"R House, D Senate",12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
