"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","3/23/2024","5:36 AM"

"SN","MAGPX15265701"
"Batch","Chul.(SET1)_RTSS_23_March_2024_IgG3_AK"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Chul.(SET1)_RTSS_23_Mar_2024_TotalIgG_JN"
"ProtocolVersion","2"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","Off"
"BatchStartTime","3/23/2024 10:43:37 AM"
"BatchStopTime","3/23/2024 11:55:10 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","fisherband #125665501","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","10"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 3/22/2024 9:13:06 AM"
"Last VER Verification","Passed 3/23/2024 3:06:41 AM"
"Last Fluidics Test","Passed 3/23/2024 3:08:01 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C03633","8/29/2025","3/22/2024 9:13:06 AM","28.7","28.7","28.7","28.7","202","223","395","395","0.007","0.007","0.00387","0.11453","Pass","MAGPX15265701"


"Samples","87","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"81(1,A11)","RCC-026-T07","92","112","117","129","110","100","88","121","128","145","1142"
"82(1,B11)","RCC-026-T08","87","103","105","102","99","100","74","105","116","101","992"
"83(1,C11)","RCM-029","92","86","104","130","96","103","77","97","141","129","1055"
"84(1,D11)","RCC-029-T01","77","99","120","109","108","123","96","124","117","113","1086"
"85(1,E11)","RCC-029-T07","98","79","107","126","112","114","110","125","139","141","1151"
"86(1,F11)","RCC-029-T08","75","89","86","100","87","97","92","90","133","122","971"
"87(1,G11)","RCM-031","109","102","108","145","103","106","119","129","141","130","1192"
"88(1,H11)","RCC-031-T01","120","126","133","142","103","117","124","135","137","161","1298"
"89(1,A12)","RCC-031-T07","92","83","113","111","96","98","107","109","121","136","1066"
"90(1,B12)","RCC-031-T08","96","89","79","101","96","113","77","114","127","110","1002"
"91(1,C12)","RCM-034","103","85","95","90","92","93","99","117","118","100","992"
"92(1,D12)","RCC-034-T01","91","107","133","118","130","115","136","144","126","132","1232"
"93(1,E12)","RCC-034-T07","92","92","86","103","100","117","100","95","107","117","1009"
"94(1,F12)","RCC-034-T08","82","100","91","93","90","95","85","93","99","99","927"
"95(1,G12)","HCAM-001","104","100","107","115","107","104","77","97","108","112","1031"
"96(1,H12)","HCAM-001","98","71","95","104","105","103","99","94","102","92","963"

"DataType:","Avg Net MFI"
"Sample","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp"
"Healthy-control-negative","3.5","1","1.25","0.5","0.5","1","1","1","27","6.75"
"Healthy-control-negative","3","1","0.75","1","-0.5","1","1","0.5","27","8.75"
"RCM-002","7337","172","8.75","4","3.5","63","618","8","13","20.75"
"RCC-002-T01","83","8","2.75","4","0.5","5","4","4","10","1.75"
"RCC-002-T07","42","14","2.75","8","3.5","10","8","14","11288","10.75"
"RCC-002-T08","12","34","1.75","10","1.5","25","10","15","633.5","6.75"
"RCM-004","1775","36.5","6.75","6","5.5","3025.5","222.5","9","21","9.75"
"RCC-004-T01","19","5","3598.25","3","0.5","9","4","6","15","1.75"
"RCC-004-T07","15","9","7006.75","3","0.5","5","8","6","3134","2.75"
"RCC-004-T08","6","8","1969.75","4","0.5","6","9.5","6","122","1.75"
"RCM-006","635","13","29.75","8","3.5","87","11956","9","818.5","18.75"
"RCC-006-T01","4","95","10.75","4.5","0.5","7","4","10","9","33.25"
"RCC-006-T07","12","6605","23.75","7","2.5","6","4","7","14130.5","6.75"
"RCC-006-T08","12","5115","11.75","7","1.5","7.5","4","6","1904","4.75"
"RCC-007-T07","8","15","42.75","8","2.5","6","3","7","5530.5","2.75"
"RCC-007-T01","9","96","171.25","3","0.5","6","3","5","3","1.75"
"RCC-007-T08","79.5","14","13.75","3","1.5","5","3","3","117.5","1.75"
"RCM-008","111","4","0.75","2","1.5","4883.5","44","3","111.5","3.75"
"RCC-008-T01","61","9","15.75","1","0.5","5","1","2","2","0.75"
"RCC-008-T07","8","18","14.75","1","0.5","3","1","2","1334.5","1.75"
"RCC-008-T08","6","11","4.75","2","0.5","3","1","3","41","1.75"
"RCM-009","37","14","11.75","9","5","13","8","11","164","34.75"
"RCC-009-T01","71","7.5","12.75","7","8.5","8","9","17","8","3.75"
"RCC-009-T07","30","4","18.75","2","1.5","3","2","3","5457","1.75"
"RCC-009-T08","15","1","11.75","3","1","4","3","3","222.5","1.75"
"RCM-010","2550.5","11","19.75","8","3.5","9376","10000","17","1869","23.75"
"RCC-010-T01","4","3","73.25","2","0.5","4","9","3","7","1.75"
"RCC-010-T07","4","2","24.75","4","0.5","3","9","2","9113.5","3.75"
"RCC-010-T08","4","3","16.75","4","-0.5","6","7.5","4","460","1.75"
"RCM-011","1084","193","45.25","7","3.5","27","1184.5","560","1841","62.75"
"RCC-011-T01","12","147","4.75","5","3.5","10","9","12","5","2.75"
"RCC-011-T07","5","17","7.75","5","1.5","7","4","9","18961","5.75"
"RCC-011-T08","4","16","3.75","3","1.5","5","5","16","2162","4.75"
"RCM-012","89","48.5","2.75","4","3.5","11.5","26","13","323","75.25"
"RCC-012-T01","425","94","3.75","3","2.5","94","6","6","3","1.75"
"RCC-012-T07","163","30","1.75","3","1.5","11","6","3","15490","3.75"
"RCC-012-T08","157","35.5","2.75","2","-0.5","7","3","2","1542","1.75"
"RCM-019","1283","1379.5","9.75","4","3.5","8840","5103","5","171","28.75"
"RCC-019-T01","562","92","274.75","24","33.5","35","38.5","58","40","14.75"
"RCC-019-T07","270.5","29","370.25","5","3.5","6","8","7","17524","4.75"
"RCC-022-T06","6","544","2.25","2","1.5","5","3","8","8886","3.75"
"RCC-022-T08","1","1","-0.25","1","0.5","1","1","1","335.5","0.75"
"RCM-023","4","4","2.75","2","0.5","3","901.5","2","17","3.75"
"RCC-023-T01","3","1071.5","1.75","1","-0.5","2","4","2","7","0.75"
"RCC-023-T06","4","453","28.75","2","1.5","3","5","3","18054","3.75"
"RCC-023-T08","3","334","14.75","1","0.5","2","3","1","1187","1.75"
"RCM-024","635.5","2","9.25","2","0.5","388.5","206","2","591","3.75"
"RCC-024-T01","8","58","30.75","4","-0.5","14","6","6","5","1.75"
"RCC-024-T07","12","8","8.75","5","3.5","7","8","5","12383","5.75"
"RCC-024-T08","3","1","2.75","2","0.5","2","3","1","413","1.75"
"RCM-025","4","2","1.25","2","0.5","4","27","1","76.5","4.75"
"RCC-025-T01","16","323","6054.75","8","5.5","12","10","20","9","6.25"
"RCC-025-T07","3","104","1283.75","2","0.5","3","4","2","9192","2.25"
"RCC-025-T08","2","136","514.75","2","0.5","2","4.5","2","682","1.75"
"RCM-026","37","11","10.25","5","2.5","6844.5","5608.5","4","23","9.75"
"RCC-026-T01","5","26","206.75","5","0.5","7","4","9","19.5","1.75"
"RCC-026-T07","8","4","3.75","6","3.5","5","5","297","21756","5.75"
"RCC-026-T08","10","18","12.75","9","0.5","18.5","7","16","396.5","3.75"
"RCM-029","1274.5","7","15.75","6","3.5","55","13092","6","264","200.75"
"RCC-029-T01","8","6","0.75","6","2","6","8","17","100","2.75"
"RCC-029-T07","3","5","12.75","3","0.5","5","4","4","8962","2.75"
"RCC-029-T08","7","6","8.75","4.5","0.5","7","4","107","4800","5.75"
"RCM-031","5421","8","11.25","4","2.5","15206","3587","4","36","13.75"
"RCC-031-T01","65.5","178","4.75","4","1.5","7","6","5","5","2.75"
"RCC-031-T07","255","244","7.75","7","6","9","9","10","19432","9.75"
"RCC-031-T08","136","306","5.75","5","3.5","7","6","7","1907","5.75"
"RCM-034","2","3","1.75","2","0.5","46","18","8","32","8.75"
"RCC-034-T01","8","52","-0.25","3","3.5","7","2","3","2","1.75"
"RCC-034-T07","23230","22","27.75","14","8.5","595","28746.5","18","3508","29.75"
"RCC-034-T08","9","9","1.75","10","3.5","9","6","9","129","9.75"
"HCAM-001","3","2","3.75","2","1.5","3","2","3","3","3.75"
"HCAM-001","2","2","1.75","2","1.5","3","2","2","2","2.75"
"RCC-019-T08","186.5","30","175.25","5","1.5","4","6","18","1542","4.75"
"RCM-020","1153.5","11","3.75","1","0.5","89","12","63","133","10.75"
"RCC-020-T01","15","95","96.75","4","4","6","6","9","8","2.75"
"RCC-020-T07","15","13","542.75","2","1.5","3","4","3","7118","2.75"
"RCC-020-T08","5","6","99.75","1","0.5","2","2","2","413.5","0.75"
"RCM-022","3.5","2","1.75","1","0.5","2","6","3","43","1.75"
"RCC-022-T01","5","200","1.75","2","0","3","6","7","4","5.75"
"African-Mix-Standard01","618.75","8","11.75","4","1","37.5","1879.25","4.5","50.75","22"
"African-Mix-Standard02","257.75","5.5","8.25","3.5","2","19.5","789.5","3.5","25.5","12.75"
"African-Mix-Standard03","99","3","3.75","2.5","1.5","9.5","302.5","2.5","13","6.75"
"African-Mix-Standard04","37.5","0.5","1.25","1","-0.5","4","108.75","0.75","6","3.25"
"African-Mix-Standard05","15","0.5","1.25","1","-0.5","2.5","44.75","0","4","2.25"
"African-Mix-Standard06","6.5","0","-0.25","1","0","1.5","16.5","0","2","0.75"
"African-Mix-Standard07","3.5","0","0.5","0.5","-0.5","0.5","8","0.5","1","0.75"

"DataType:","Units"
"Analyte:","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp"
"BeadID:","18","30","35","42","47","62","63","64","65","72"
"Units:","","","","","","","","","",""

"DataType:","Per Bead Count"
"Analyte:","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp"
"BeadID:","18","30","35","42","47","62","63","64","65","72"
"Per Bead:","50","50","50","50","50","50","50","50","50","50"

"DataType:","Dilution Factor"
"Location","Sample","Dilution Factor"
"1(1,A1)","Background0"
"2(1,B1)","African-Mix-Standard01","100"
"3(1,C1)","African-Mix-Standard02","200"
"4(1,D1)","African-Mix-Standard03","400"
"5(1,E1)","African-Mix-Standard04","800"
"6(1,F1)","African-Mix-Standard05","1600"
"7(1,G1)","African-Mix-Standard06","3200"
"8(1,H1)","African-Mix-Standard07","6400"
"9(1,A2)","Background0"
"10(1,B2)","African-Mix-Standard01","100"
"11(1,C2)","African-Mix-Standard02","200"
"12(1,D2)","African-Mix-Standard03","400"
"13(1,E2)","African-Mix-Standard04","800"
"14(1,F2)","African-Mix-Standard05","1600"
"15(1,G2)","African-Mix-Standard06","3200"
"16(1,H2)","African-Mix-Standard07","6400"
"17(1,A3)","Healthy-control-negative","100"
"18(1,B3)","Healthy-control-negative","100"
"19(1,C3)","RCM-002","100"
"20(1,D3)","RCC-002-T01","100"
"21(1,E3)","RCC-002-T07","100"
"22(1,F3)","RCC-002-T08","100"
"23(1,G3)","RCM-004","100"
"24(1,H3)","RCC-004-T01","100"
"25(1,A4)","RCC-004-T07","100"
"26(1,B4)","RCC-004-T08","100"
"27(1,C4)","RCM-006","100"
"28(1,D4)","RCC-006-T01","100"
"29(1,E4)","RCC-006-T07","100"
"30(1,F4)","RCC-006-T08","100"
"31(1,G4)","RCC-007-T07","100"
"32(1,H4)","RCC-007-T01","100"
"33(1,A5)","RCC-007-T08","100"
"34(1,B5)","RCM-008","100"
"35(1,C5)","RCC-008-T01","100"
"36(1,D5)","RCC-008-T07","100"
"37(1,E5)","RCC-008-T08","100"
"38(1,F5)","RCM-009","100"
"39(1,G5)","RCC-009-T01","100"
"40(1,H5)","RCC-009-T07","100"
"41(1,A6)","RCC-009-T08","100"
"42(1,B6)","RCM-010","100"
"43(1,C6)","RCC-010-T01","100"
"44(1,D6)","RCC-010-T07","100"
"45(1,E6)","RCC-010-T08","100"
"46(1,F6)","RCM-011","100"
"47(1,G6)","RCC-011-T01","100"
"48(1,H6)","RCC-011-T07","100"
"49(1,A7)","RCC-011-T08","100"
"50(1,B7)","RCM-012","100"
"51(1,C7)","RCC-012-T01","100"
"52(1,D7)","RCC-012-T07","100"
"53(1,E7)","RCC-012-T08","100"
"54(1,F7)","RCM-019","100"
"55(1,G7)","RCC-019-T01","100"
"56(1,H7)","RCC-019-T07","100"
"57(1,A8)","RCC-019-T08","100"
"59(1,C8)","RCM-020","100"
"60(1,D8)","RCC-020-T01","100"
"61(1,E8)","RCC-020-T07","100"
"62(1,F8)","RCC-020-T08","100"
"63(1,G8)","RCM-022","100"
"64(1,H8)","RCC-022-T01","100"
"65(1,A9)","RCC-022-T06","100"
"66(1,B9)","RCC-022-T08","100"
"67(1,C9)","RCM-023","100"
"68(1,D9)","RCC-023-T01","100"
"69(1,E9)","RCC-023-T06","100"
"70(1,F9)","RCC-023-T08","100"
"71(1,G9)","RCM-024","100"
"72(1,H9)","RCC-024-T01","100"
"73(1,A10)","RCC-024-T07","100"
"74(1,B10)","RCC-024-T08","100"
"75(1,C10)","RCM-025","100"
"76(1,D10)","RCC-025-T01","100"
"77(1,E10)","RCC-025-T07","100"
"78(1,F10)","RCC-025-T08","100"
"79(1,G10)","RCM-026","100"
"80(1,H10)","RCC-026-T01","100"
"81(1,A11)","RCC-026-T07","100"
"82(1,B11)","RCC-026-T08","100"
"83(1,C11)","RCM-029","100"
"84(1,D11)","RCC-029-T01","100"
"85(1,E11)","RCC-029-T07","100"
"86(1,F11)","RCC-029-T08","100"
"87(1,G11)","RCM-031","100"
"88(1,H11)","RCC-031-T01","100"
"89(1,A12)","RCC-031-T07","100"
"90(1,B12)","RCC-031-T08","100"
"91(1,C12)","RCM-034","100"
"92(1,D12)","RCC-034-T01","100"
"93(1,E12)","RCC-034-T07","100"
"94(1,F12)","RCC-034-T08","100"
"95(1,G12)","HCAM-001","100"
"96(1,H12)","HCAM-001","100"


"DataType:","Analysis Types"
"Analyte:","AMA1","PP28","Schisto","PP65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp"
"AnalysisType","None","None","None","None","None","None","None","None","None","None"

"DataType:","Audit Logs"
"UserId","Date","Message"

"DataType:","Warnings/Errors"
"Location","Status","Message"
"1,B1","Ok","The acquisition had at least one region that did not reach the specified count."
"1,B4","Ok","The acquisition had at least one region that did not reach the specified count."

-- CRC --
CRC32: DDFC51D8
